        Frequency / MHz                S1,1 (12)/abs,dB
----------------------------------------------------------------------
                      40                    8.725107e-08
               40.259998                    -0.027966749
                   40.52                    -0.056271432
               40.779999                    -0.066101528
               41.040001                    -0.051470969
               41.299999                    -0.023349308
               41.560001                   -0.0016453259
                   41.82                   -0.0014630507
               42.080002                     -0.02329587
                   42.34                    -0.052900662
               42.599998                    -0.070784774
               42.860001                    -0.065554746
               43.119999                    -0.041898449
               43.380001                    -0.017038071
               43.639999                   -0.0086074015
               43.900002                    -0.022934459
                   44.16                    -0.051127739
               44.419998                    -0.075009462
                   44.68                    -0.079388429
               44.939999                    -0.062628133
               45.200001                    -0.037647644
               45.459999                    -0.022683351
               45.720001                    -0.028930126
                   45.98                    -0.053393531
               46.240002                    -0.080995013
                    46.5                    -0.094617155
               46.759998                    -0.086834834
                   47.02                    -0.065031426
               47.279999                    -0.046031841
               47.540001                    -0.044522322
               47.799999                    -0.063494443
               48.060001                    -0.092513439
                   48.32                     -0.11461027
               48.580002                     -0.11768095
                   48.84                     -0.10280277
               49.099998                    -0.083331701
               49.360001                    -0.075612771
               49.619999                    -0.088210336
               49.880001                     -0.11661721
               50.139999                     -0.14629628
               50.400002                     -0.16222459
                   50.66                     -0.15899135
               50.919998                      -0.1444224
                   51.18                     -0.13411236
               51.439999                     -0.14110794
               51.700001                     -0.16778679
               51.959999                     -0.20462064
               52.220001                     -0.23630296
                   52.48                     -0.25163773
               52.740002                       -0.250913
                      53                     -0.24564223
               53.259998                      -0.2510933
                   53.52                     -0.27700404
               53.779999                     -0.32221343
               54.040001                     -0.37578881
               54.299999                     -0.42375258
               54.560001                     -0.45749786
                   54.82                     -0.47875176
               55.080002                     -0.49796561
                   55.34                     -0.52762928
               55.599998                     -0.57510253
               55.860001                     -0.63899254
               56.119999                     -0.71050644
               56.380001                     -0.77856818
               56.639999                     -0.83581105
               56.900002                     -0.88203308
                   57.16                      -0.9233052
               57.419998                     -0.96762264
                   57.68                      -1.0198635
               57.939999                      -1.0786781
               58.200001                      -1.1365477
               58.459999                      -1.1828259
               58.720001                      -1.2084619
                   58.98                      -1.2102458
               59.240002                      -1.1924103
                    59.5                      -1.1646464
               59.759998                      -1.1375279
                   60.02                      -1.1176129
               60.279999                       -1.104562
               60.540001                      -1.0916534
               60.799999                      -1.0697649
               61.060001                      -1.0330554
                   61.32                     -0.98317649
               61.580002                     -0.92916952
                   61.84                     -0.88282072
               62.099998                     -0.85221337
               62.360001                     -0.83721072
               62.619999                     -0.82944101
               62.880001                     -0.81708247
               63.139999                     -0.79207907
               63.400002                     -0.75538405
                   63.66                     -0.71655145
               63.919998                     -0.68778128
                   64.18                     -0.67635721
               64.440002                     -0.68012067
               64.699997                     -0.68861905
               64.959999                     -0.68944772
               65.220001                      -0.6761338
               65.480003                     -0.65236856
               65.739998                     -0.62949162
                      66                     -0.61899223
               66.260002                     -0.62515379
               66.519997                     -0.64238881
               66.779999                     -0.65882746
               67.040001                     -0.66409753
               67.300003                     -0.65633741
               67.559998                     -0.64351179
                   67.82                     -0.63799555
               68.080002                     -0.64836727
               68.339996                     -0.67385566
               68.599998                     -0.70483266
               68.860001                     -0.72910702
               69.120003                     -0.74015847
               69.379997                      -0.7417412
               69.639999                       -0.745415
               69.900002                     -0.76283524
               70.160004                     -0.79818565
               70.419998                     -0.84555463
                   70.68                     -0.89283367
               70.940002                      -0.9298654
               71.199997                     -0.95560016
               71.459999                     -0.97913844
               71.720001                      -1.0138571
               71.980003                      -1.0688644
               72.239998                      -1.1434416
                    72.5                      -1.2277956
               72.760002                      -1.3097433
               73.019997                      -1.3833289
               73.279999                      -1.4535747
               73.540001                      -1.5338877
               73.800003                      -1.6380245
               74.059998                      -1.7721559
                   74.32                      -1.9319115
               74.580002                      -2.1061273
               74.839996                      -2.2853044
               75.099998                      -2.4696711
               75.360001                      -2.6713477
               75.620003                      -2.9090611
               75.879997                      -3.1991436
               76.139999                      -3.5485656
               76.400002                      -3.9539301
               76.660004                      -4.4072464
               76.919998                      -4.9059581
                   77.18                      -5.4618218
               77.440002                      -6.1031583
               77.699997                      -6.8695322
               77.959999                      -7.8032082
               78.220001                       -8.943527
               78.480003                      -10.329237
               78.739998                      -12.013988
                      79                      -14.104762
               79.260002                      -16.851441
               79.519997                      -20.919387
               79.779999                       -29.00037
               80.040001                      -33.777784
               80.300003                      -22.466001
               80.559998                      -17.820861
                   80.82                      -14.968775
               81.080002                      -12.980732
               81.339996                      -11.486152
               81.599998                       -10.28803
               81.860001                      -9.2755005
               82.120003                      -8.3957955
               82.379997                      -7.6338565
               82.639999                      -6.9900843
               82.900002                       -6.461441
               83.160004                      -6.0316088
               83.419998                      -5.6717303
                   83.68                      -5.3499579
               83.940002                      -5.0445612
               84.199997                      -4.7522209
               84.459999                        -4.48524
               84.720001                      -4.2596455
               84.980003                      -4.0824591
               85.239998                      -3.9455849
                    85.5                       -3.829185
               85.760002                      -3.7126813
               86.019997                      -3.5869533
               86.279999                       -3.459246
               86.540001                      -3.3470014
               86.800003                      -3.2652872
               87.059998                      -3.2164603
                   87.32                      -3.1881122
               87.580002                      -3.1603968
