        Frequency / MHz                S1,1 (12)/arg,degrees
----------------------------------------------------------------------
                      40                       2.9212223
               40.259998                       1.8796946
                   40.52                       1.0034554
               40.779999                       0.2368837
               41.040001                     -0.55068306
               41.299999                      -1.4736783
               41.560001                      -2.5522424
                   41.82                      -3.7027541
               42.080002                      -4.7969188
                   42.34                      -5.7474493
               42.599998                      -6.5674559
               42.860001                       -7.363265
               43.119999                      -8.2609592
               43.380001                      -9.3191021
               43.639999                      -10.491872
               43.900002                      -11.663814
                   44.16                       -12.72788
               44.419998                      -13.657263
                   44.68                      -14.525281
               44.939999                       -15.45598
               45.200001                       -16.53824
               45.459999                      -17.766875
               45.720001                      -19.050336
                   45.98                      -20.274148
               46.240002                      -21.377427
                    46.5                      -22.395204
               46.759998                      -23.436439
                   47.02                      -24.609633
               47.279999                        -25.9498
               47.540001                      -27.398876
               47.799999                       -28.84822
               48.060001                      -30.211826
                   48.32                      -31.484775
               48.580002                      -32.749116
                   48.84                       -34.11997
               49.099998                      -35.668639
               49.360001                      -37.378448
               49.619999                      -39.161153
               49.880001                      -40.918163
               50.139999                      -42.607207
               50.400002                      -44.273566
                   50.66                      -46.023779
               50.919998                      -47.957307
                   51.18                      -50.104829
               51.439999                      -52.415071
               51.700001                       -54.79462
               51.959999                      -57.172429
               52.220001                       -59.55036
                   52.48                       -62.00867
               52.740002                      -64.660799
                      53                      -67.587372
               53.259998                      -70.794466
                   53.52                      -74.221467
               53.779999                      -77.787993
               54.040001                      -81.450224
               54.299999                       -85.23544
               54.560001                      -89.234434
                   54.82                      -93.556182
               55.080002                      -98.274142
                   55.34                      -103.39816
               55.599998                      -108.88559
               55.860001                      -114.67889
               56.119999                      -120.74612
               56.380001                      -127.10269
               56.639999                      -133.80264
               56.900002                      -140.90493
                   57.16                       -148.4338
               57.419998                      -156.35575
                   57.68                      -164.58242
               57.939999                      -172.99511
               58.200001                       178.52301
               58.459999                       170.05967
               58.720001                       161.66327
                   58.98                       153.35327
               59.240002                       145.14564
                    59.5                       137.07886
               59.759998                       129.22496
                   60.02                       121.67924
               60.279999                       114.53306
               60.540001                       107.84119
               60.799999                        101.6002
               61.060001                       95.751401
                   61.32                       90.211571
               61.580002                       84.916454
                   61.84                       79.851458
               62.099998                       75.051967
               62.360001                       70.573248
               62.619999                       66.447648
               62.880001                       62.652196
               63.139999                       59.108284
               63.400002                       55.717207
                   63.66                       52.410901
               63.919998                       49.184236
                   64.18                       46.088385
               64.440002                       43.190881
               64.699997                       40.525661
               64.959999                       38.063324
               65.220001                       35.720978
               65.480003                       33.409122
               65.739998                       31.083468
                      66                       28.766889
               66.260002                       26.528116
               66.519997                       24.432369
               66.779999                       22.494617
               67.040001                       20.664729
               67.300003                       18.856258
               67.559998                       17.001233
                   67.82                       15.092003
               68.080002                       13.182528
               68.339996                       11.349278
               68.599998                       9.6386434
               68.860001                       8.0326208
               69.120003                       6.4568955
               69.379997                        4.828196
               69.639999                       3.1079447
               69.900002                        1.325402
               70.160004                     -0.44487391
               70.419998                      -2.1343076
                   70.68                      -3.7279545
               70.940002                      -5.2785989
               71.199997                      -6.8747865
               71.459999                      -8.5836719
               71.720001                      -10.408672
               71.980003                      -12.290335
               72.239998                      -14.148146
                    72.5                      -15.935114
               72.760002                      -17.672743
               73.019997                      -19.441433
               73.279999                      -21.330992
               73.540001                      -23.383817
               73.800003                      -25.570954
               74.059998                      -27.814646
                   74.32                      -30.040985
               74.580002                      -32.231618
               74.839996                      -34.441729
               75.099998                      -36.770935
               75.360001                      -39.303077
               75.620003                       -42.05575
               75.879997                      -44.972163
               76.139999                      -47.957583
               76.400002                      -50.938303
               76.660004                      -53.910802
               76.919998                      -56.951958
                   77.18                      -60.178322
               77.440002                      -63.675514
               77.699997                      -67.441188
               77.959999                       -71.37229
               78.220001                      -75.299651
