        Time / ns                i1 (12)/real
----------------------------------------------------------------------
                       0                  -1.0839699e-08
             0.070750646                   1.5116018e-06
              0.14150129                   1.7222285e-06
              0.21225193                   1.9493784e-06
              0.28300259                   2.1915826e-06
              0.35375324                   2.4467149e-06
              0.42450386                   2.7115366e-06
              0.49525452                   2.9816845e-06
              0.56600517                   3.2512837e-06
              0.63675582                   3.5128719e-06
              0.70750648                   3.7569939e-06
              0.77825707                   3.9719516e-06
              0.84900773                   4.1435023e-06
              0.91975838                   4.2545025e-06
              0.99050903                   4.2845181e-06
               1.0612596                   4.2095148e-06
               1.1320103                   4.0014329e-06
               1.2027609                   3.6278268e-06
               1.2735116                   3.0514573e-06
               1.3442622                   2.2299882e-06
                1.415013                   1.1156068e-06
               1.4857635                   -3.452181e-07
               1.5565141                  -2.2119548e-06
               1.6272649                  -4.5501865e-06
               1.6980155                  -7.4316099e-06
               1.7687662                    -1.09339e-05
               1.8395168                  -1.5140532e-05
               1.9102675                  -2.0140242e-05
               1.9810181                  -2.6026433e-05
               2.0517688                  -3.2896194e-05
               2.1225193                    -4.08491e-05
                 2.19327                  -4.9985614e-05
               2.2640207                  -6.0405182e-05
               2.3347714                  -7.2203882e-05
               2.4055219                  -8.5471533e-05
               2.4762726                  -0.00010028846
               2.5470233                  -0.00011672156
               2.6177738                  -0.00013481991
               2.6885245                  -0.00015460975
               2.7592752                   -0.0001760887
               2.8300259                   -0.0001992196
               2.9007764                  -0.00022392346
               2.9715271                   -0.0002500719
               3.0422778                  -0.00027747889
               3.1130283                  -0.00030589203
                3.183779                  -0.00033498311
               3.2545297                  -0.00036433851
               3.3252804                  -0.00039344898
               3.3960309                  -0.00042169928
               3.4667816                  -0.00044835798
               3.5375323                  -0.00047256702
               3.6082828                  -0.00049333199
               3.6790335                  -0.00050951273
               3.7497842                  -0.00051981496
               3.8205349                  -0.00052278314
               3.8912854                   -0.0005167948
               3.9620361                  -0.00050005683
               4.0327868                  -0.00047060431
               4.1035376                  -0.00042630185
               4.1742883                  -0.00036484844
               4.2450385                  -0.00028378604
               4.3157892                  -0.00018051233
               4.3865399                  -5.2298376e-05
               4.4572906                   0.00010368862
               4.5280414                   0.00029035666
               4.5987921                   0.00051065418
               4.6695428                   0.00076752849
