        Frequency / MHz                Port 1 [1]/abs,linear
----------------------------------------------------------------------
                      40                       5461.8233
                   40.26                       11219.056
                   40.52                       17932.373
                   40.78                       8336.5457
                   41.04                       5207.5707
                    41.3                       3723.3293
                   41.56                       2777.6255
                   41.82                       2132.3269
                   42.08                       1702.7595
                   42.34                       1424.2209
                    42.6                       1243.5754
                   42.86                       1117.9293
                   43.12                       1011.6595
                   43.38                       902.02383
                   43.64                       788.10598
                    43.9                       683.71377
                   44.16                       601.01539
                   44.42                       545.30822
                   44.68                       518.90905
                   44.94                        525.4421
                    45.2                       572.09048
                   45.46                       668.40915
                   45.72                         810.335
                   45.98                       927.17169
                   46.24                       905.43964
                    46.5                       788.83796
                   46.76                       677.95268
                   47.02                       599.94494
                   47.28                       548.72064
                   47.54                       513.14223
                    47.8                        483.5419
                   48.06                       454.19984
                   48.32                       424.25291
                   48.58                       395.79185
                   48.84                        370.9449
                    49.1                       350.35467
                   49.36                       333.16563
                   49.62                       317.74096
                   49.88                       302.61732
                   50.14                       287.22556
                    50.4                       271.92599
                   50.66                        257.4506
                   50.92                       244.29904
                   51.18                       232.46513
                   51.44                       221.51869
                    51.7                       210.90689
                   51.96                       200.27811
                   52.22                       189.62561
                   52.48                       179.18648
                   52.74                       169.21919
                      53                       159.82926
                   53.26                       150.92567
                   53.52                       142.29762
                   53.78                       133.74664
                   54.04                       125.18787
                    54.3                       116.66358
                   54.56                       108.27969
                   54.82                       100.12254
                   55.08                       92.207161
                   55.34                       84.475714
                    55.6                       76.835617
                   55.86                       69.209655
                   56.12                       61.568506
                   56.38                       53.932098
                   56.64                       46.347907
                    56.9                       38.865304
                   57.16                       31.523586
                   57.42                       24.369687
                   57.68                       17.543948
                   57.94                        11.62009
                    58.2                       8.8519075
                   58.46                       11.950416
                   58.72                       18.278105
                   58.98                       25.635636
                   59.24                       33.407129
                    59.5                       41.406425
                   59.76                       49.583077
                   60.02                       57.951747
                   60.28                       66.560298
                   60.54                       75.461243
                    60.8                       84.686447
                   61.06                       94.234484
                   61.32                       104.07868
                   61.58                       114.19584
                   61.84                       124.60354
                    62.1                       135.38316
                   62.36                       146.66825
                   62.62                       158.59769
                   62.88                       171.25906
                   63.14                        184.6589
                    63.4                       198.74769
                   63.66                       213.49931
                   63.92                       229.00586
                   64.18                       245.52194
                   64.44                        263.4127
                    64.7                       283.02513
                   64.96                       304.56082
                   65.22                       328.04252
                   65.48                       353.43278
                   65.74                       380.87971
                      66                       410.95243
                   66.26                       444.68395
                   66.52                       483.34904
                   66.78                       528.08736
                   67.04                       579.60022
                    67.3                       638.18651
                   67.56                       704.30501
                   67.82                       779.48577
                   68.08                       866.83759
                   68.34                       970.12875
                    68.6                       1090.6091
                   68.86                       1221.3449
                   69.12                       1341.8581
                   69.38                       1422.2371
                   69.64                       1441.3715
                    69.9                       1400.0367
                   70.16                       1313.2933
                   70.42                       1199.1406
                   70.68                       1075.0244
                   70.94                       955.62406
                    71.2                       849.84566
                   71.46                       760.31501
                   71.72                       685.43506
                   71.98                       621.92768
                   72.24                       566.67956
                    72.5                       517.64636
                   72.76                       473.89558
                   73.02                       435.10917
                   73.28                        401.0176
                   73.54                       371.09576
                    73.8                       344.57358
                   74.06                       320.63964
                   74.32                       298.67143
                   74.58                       278.35394
                   74.84                       259.63462
                    75.1                       242.57004
                   75.36                       227.17254
                   75.62                       213.33662
                   75.88                       200.86266
                   76.14                       189.54468
                    76.4                       179.26353
                   76.66                       170.03155
                   76.92                       161.96725
                   77.18                        155.2207
                   77.44                       149.89462
                    77.7                       146.00172
                   77.96                       143.47741
                   78.22                       142.23639
                   78.48                       142.23619
                   78.74                         143.505
                      79                       146.11357
                   79.26                       150.10868
                   79.52                       155.45197
                   79.78                       162.00481
                   80.04                       169.57367
                    80.3                        177.9939
                   80.56                       187.20342
                   80.82                       197.25715
                   81.08                       208.26643
                   81.34                       220.29681
                    81.6                       233.28781
                   81.86                       247.05195
                   82.12                       261.36745
                   82.38                       276.11634
                   82.64                       291.36998
                    82.9                       307.33999
                   83.16                       324.20265
                   83.42                       341.90364
                   83.68                       360.08322
                   83.94                       378.20559
                    84.2                       395.83896
                   84.46                       412.88217
                   84.72                       429.52015
                   84.98                       445.89224
                   85.24                       461.71113
                    85.5                       476.15277
                   85.76                       488.17908
                   86.02                       497.11471
                   86.28                       503.00542
                   86.54                       506.41111
                    86.8                       507.80923
                   87.06                       507.14126
                   87.32                       503.88756
                   87.58                       497.60394
                   87.84                       488.45277
                    88.1                       477.25132
                   88.36                       465.01261
                   88.62                       452.40058
                   88.88                       439.51498
                   89.14                       426.09753
                    89.4                        411.9472
                   89.66                       397.21662
                   89.92                       382.38535
                   90.18                       367.97963
                   90.44                       354.28525
                    90.7                       341.25066
                   90.96                       328.61087
                   91.22                       316.12227
                   91.48                       303.74278
                   91.74                       291.64502
                      92                       280.07917
                   92.26                       269.20239
                   92.52                       258.99076
                   92.78                       249.27591
                   93.04                       239.86711
                    93.3                       230.67277
                   93.56                       221.74302
                   93.82                       213.21515
                   94.08                       205.21047
                   94.34                       197.75529
                    94.6                       190.77197
                   94.86                       184.13828
                   95.12                       177.77164
                   95.38                       171.68237
                   95.64                       165.96346
                    95.9                       160.72889
                   96.16                       156.04481
                   96.42                       151.89751
                   96.68                        148.2159
                   96.94                        144.9316
                    97.2                       142.03608
                   97.46                       139.59634
                   97.72                       137.71939
                   97.98                       136.49001
                   98.24                       135.92336
                    98.5                       135.96287
                   98.76                        136.5246
                   99.02                       137.55887
                   99.28                       139.08707
                   99.54                       141.18777
                    99.8                       143.94114
                  100.06                       147.36911
                  100.32                       151.41213
                  100.58                        155.9593
                  100.84                       160.91482
                   101.1                       166.25802
                  101.36                       172.05505
                  101.62                       178.41091
                  101.88                        185.3919
                  102.14                       192.97004
                   102.4                       201.02915
                  102.66                       209.43488
                  102.92                       218.12788
                  103.18                        227.1754
                  103.44                       236.73759
                   103.7                       246.96222
                  103.96                       257.87553
                  104.22                        269.3457
                  104.48                       281.15576
                  104.74                       293.15166
                     105                       305.36615
                  105.26                       318.01535
                  105.52                       331.34828
                  105.78                       345.44213
                  106.04                       360.08702
                   106.3                       374.86126
                  106.56                       389.37861
                  106.82                       403.54319
                  107.08                       417.59555
                  107.34                       431.87099
                   107.6                       446.42562
                  107.86                       460.80989
                  108.12                       474.19758
                  108.38                       485.84122
                  108.64                       495.52955
                   108.9                       503.63786
                  109.16                       510.68252
                  109.42                       516.73834
                  109.68                       521.20507
                  109.94                         523.151
                   110.2                       522.01008
                  110.46                       518.05428
                  110.72                        512.2045
                  110.98                       505.35156
                  111.24                        497.7752
                   111.5                       489.09637
                  111.76                       478.75501
                  112.02                       466.61713
                  112.28                       453.21223
                  112.54                       439.42713
                   112.8                       425.95554
                  113.06                       412.94467
                  113.32                       400.05155
                  113.58                       386.82008
                  113.84                       373.09021
                   114.1                        359.1421
                  114.36                       345.49643
                  114.62                       332.56302
                  114.88                       320.40421
                  115.14                       308.74929
                   115.4                       297.22056
                  115.66                        285.6063
                  115.92                        273.9918
                  116.18                       262.67022
                  116.44                       251.92218
                   116.7                       241.83013
                  116.96                       232.24087
                  117.22                       222.88329
                  117.48                       213.55504
                  117.74                       204.25049
                     118                       195.14659
                  118.26                       186.46953
                  118.52                       178.34386
                  118.78                       170.72166
                  119.04                       163.42926
                   119.3                       156.29766
                  119.56                        149.2905
                  119.82                       142.54437
                  120.08                       136.29855
                  120.34                       130.76788
                   120.6                       126.04367
                  120.86                       122.08551
                  121.12                       118.81327
                  121.38                       116.24569
                  121.64                       114.59315
                   121.9                       114.23406
                  122.16                       115.58279
                  122.42                        118.9354
                  122.68                       124.40186
                  122.94                       131.98713
                   123.2                       141.80054
                  123.46                       154.30439
                  123.72                       170.49934
                  123.98                       192.00861
                  124.24                       221.11992
                   124.5                       260.81228
                  124.76                       314.30603
                  125.02                       381.91902
                  125.28                       450.05455
                  125.54                       480.49335
                   125.8                       450.42908
                  126.06                       392.52845
                  126.32                       341.60977
                  126.58                       308.30486
                  126.84                         292.211
                   127.1                       290.56097
                  127.36                       300.46517
                  127.62                       319.29982
                  127.88                       344.90619
                  128.14                       375.99075
                   128.4                       412.62355
                  128.66                        456.4485
                  128.92                       510.33241
                  129.18                        577.5364
                  129.44                       660.57739
                   129.7                       759.81301
                  129.96                        871.9011
                  130.22                       988.34793
                  130.48                       1093.3925
                  130.74                        1161.414
                     131                       1163.7313
                  131.26                       1094.0032
                  131.52                       980.48327
                  131.78                       859.44707
                  132.04                       751.11975
                   132.3                       660.36895
                  132.56                       585.16285
                  132.82                       522.01225
                  133.08                       468.07037
                  133.34                       421.48306
                   133.6                       381.06771
                  133.86                       345.91633
                  134.12                       315.17302
                  134.38                       287.99932
                  134.64                       263.63957
                   134.9                        241.4948
                  135.16                       221.14904
                  135.42                       202.33727
                  135.68                       184.88131
                  135.94                        168.6307
                   136.2                       153.43142
                  136.46                       139.12409
                  136.72                       125.55881
                  136.98                       112.61157
                  137.24                       100.19206
                   137.5                       88.241292
                  137.76                       76.723717
                  138.02                       65.620924
                  138.28                       54.933531
                  138.54                       44.699225
                   138.8                       35.046369
                  139.06                       26.346451
                  139.32                       19.646077
                  139.58                       17.266824
                  139.84                       20.699333
                   140.1                       27.879664
                  140.36                       36.697852
                  140.62                       46.265667
                  140.88                       56.252582
                  141.14                       66.538349
                   141.4                       77.093452
                  141.66                       87.930056
                  141.92                        99.07325
                  142.18                         110.542
                  142.44                       122.34185
                   142.7                       134.47207
                  142.96                       146.94418
                  143.22                       159.80093
                  143.48                        173.1217
                  143.74                       187.00693
                     144                       201.54793
                  144.26                       216.80079
                  144.52                       232.78356
                  144.78                        249.5041
                  145.04                       267.00501
                   145.3                       285.39616
                  145.56                       304.84748
                  145.82                       325.53986
                  146.08                       347.60388
                  146.34                        371.0907
                   146.6                       396.00452
                  146.86                       422.38473
                  147.12                       450.38074
                  147.38                       480.25097
                  147.64                       512.26029
                   147.9                       546.52554
                  148.16                       582.91038
                  148.42                       621.05545
                  148.68                       660.53636
                  148.94                       701.01404
                   149.2                        742.1908
                  149.46                       783.50854
                  149.72                       823.76857
                  149.98                       861.01906
                  150.24                       892.95341
                   150.5                       917.65168
                  150.76                       934.09776
                  151.02                       942.05395
                  151.28                       941.54798
                  151.54                       932.62908
                   151.8                       915.67739
                  152.06                       891.85843
                  152.32                       863.11411
                  152.58                       831.58915
                  152.84                       798.96472
                   153.1                       766.18287
                  153.36                       733.63724
                  153.62                       701.56348
                  153.88                       670.30716
                  154.14                       640.32438
                   154.4                       612.00166
                  154.66                       585.48826
                  154.92                        560.6729
                  155.18                       537.30464
                  155.44                       515.16137
                   155.7                       494.15405
                  155.96                       474.31436
                  156.22                       455.69908
                  156.48                       438.29291
                  156.74                       421.97602
                     157                       406.56789
                  157.26                       391.90791
                  157.52                       377.91471
                  157.78                       364.58769
                  158.04                       351.95749
                   158.3                       340.02556
                  158.56                       328.73396
                  158.82                       317.98105
                  159.08                       307.66705
                  159.34                       297.73569
                   159.6                       288.18434
                  159.86                       279.03914
                  160.12                       270.31542
                  160.38                       261.99133
                  160.64                       254.01031
                   160.9                       246.30795
                  161.16                       238.84284
                  161.42                       231.61055
                  161.68                       224.63249
                  161.94                       217.92953
                   162.2                       211.49924
                  162.46                       205.31138
                  162.72                       199.32319
                  162.98                       193.50261
                  163.24                       187.84348
                   163.5                       182.36277
                  163.76                       177.08316
                  164.02                       172.01364
                  164.28                        167.1411
                  164.54                       162.43789
                   164.8                       157.87933
                  165.06                       153.45882
                  165.32                       149.19045
                  165.58                       145.09801
                  165.84                        141.1985
                   166.1                       137.49152
                  166.36                       133.96142
                  166.62                       130.59034
                  166.88                        127.3728
                  167.14                        124.3219
                   167.4                        121.4629
                  167.66                       118.81903
                  167.92                       116.39932
                  168.18                       114.19688
                  168.44                       112.19851
                   168.7                       110.39887
                  168.96                         108.809
                  169.22                       107.45316
                  169.48                       106.35598
                  169.74                       105.52902
                     170                       104.96621
                  170.26                       104.65136
                  170.52                       104.57241
                  170.78                       104.73202
                  171.04                       105.14676
                   171.3                       105.83511
                  171.56                       106.80298
                  171.82                       108.03745
                  172.08                       109.51355
                  172.34                       111.20954
                   172.6                       113.11974
                  172.86                       115.25536
                  173.12                       117.63225
                  173.38                       120.25458
                  173.64                       123.10665
                   173.9                       126.15973
                  174.16                       129.38966
                  174.42                       132.79261
                  174.68                       136.38628
                  174.94                       140.19442
                   175.2                       144.22524
                  175.46                       148.46069
                  175.72                       152.86756
                  175.98                       157.42557
                  176.24                       162.15279
                   176.5                       167.10593
                  176.76                       172.34747
                  177.02                       177.89537
                  177.28                       183.68796
                  177.54                       189.59426
                   177.8                       195.47711
                  178.06                       201.28174
                  178.32                       207.09533
                  178.58                       213.13047
                  178.84                       219.63045
                   179.1                       226.74593
                  179.36                       234.45168
                  179.62                       242.55275
                  179.88                       250.78595
                  180.14                       258.96989
                   180.4                       267.11566
                  180.66                       275.41964
                  180.92                       284.13389
                  181.18                       293.39341
                  181.44                       303.10918
                   181.7                       312.99853
                  181.96                       322.74829
                  182.22                       332.22014
                  182.48                       341.56001
                  182.74                       351.12283
                     183                       361.25044
                  183.26                       372.03872
                  183.52                       383.22985
                  183.78                       394.29453
                  184.04                       404.67095
                   184.3                       414.03185
                  184.56                       422.41787
                  184.82                       430.16212
                  185.08                       437.68131
                  185.34                       445.28267
                   185.6                       453.08301
                  185.86                       461.03322
                  186.12                       468.97901
                  186.38                       476.69992
                  186.64                       483.92632
                   186.9                        490.3796
                  187.16                       495.86536
                  187.42                        500.3793
                  187.68                       504.13136
                  187.94                       507.42797
                   188.2                       510.46225
                  188.46                       513.15175
                  188.72                       515.15552
                  188.98                       516.08987
                  189.24                       515.80949
                   189.5                       514.53933
                  189.76                       512.73745
                  190.02                       510.78063
                  190.28                       508.70417
                  190.54                        506.1868
                   190.8                       502.80146
                  191.06                       498.35941
                  191.32                       493.08657
                  191.58                       487.48863
                  191.84                       482.00992
                   192.1                       476.74372
                  192.36                       471.39768
                  192.62                       465.53596
                  192.88                       458.92787
                  193.14                       451.74413
                   193.4                       444.45047
                  193.66                       437.48764
                  193.92                       430.98079
                  194.18                       424.67789
                  194.44                       418.15251
                   194.7                       411.12917
                  194.96                        403.6958
                  195.22                       396.24451
                  195.48                       389.19406
                  195.74                       382.70528
                     196                       376.58423
                  196.26                       370.43121
                  196.52                       363.93342
                  196.78                       357.09411
                  197.04                       350.22855
                   197.3                       343.73607
                  197.56                       337.82257
                  197.82                        332.3648
                  198.08                       327.00129
                  198.34                       321.38944
                   198.6                       315.45154
                  198.86                       309.42885
                  199.12                       303.70609
                  199.38                       298.54126
                  199.64                       293.88961
                   199.9                       289.43443
                  200.16                       284.80655
                  200.42                       279.84725
                  200.68                       274.72357
                  200.94                       269.80894
                   201.2                       265.42114
                  201.46                       261.60284
                  201.72                       258.08753
                  201.98                       254.47759
                  202.24                       250.52464
                   202.5                       246.31398
                  202.76                       242.21053
                  203.02                       238.60615
                  203.28                       235.64889
                  203.54                       233.13179
                   203.8                       230.61967
                  204.06                       227.74933
                  204.32                         224.502
                  204.58                       221.23687
                  204.84                       218.45212
                   205.1                       216.44408
                  205.36                       215.08847
                  205.62                       213.89042
                  205.88                        212.3074
                  206.14                       210.15528
                   206.4                       207.78929
                  206.66                       205.89665
                  206.92                       205.04187
                  207.18                       205.25893
                  207.44                       205.94292
                   207.7                       206.17938
                  207.96                       205.40802
                  208.22                       203.96471
                  208.48                       203.01682
                  208.74                       203.89268
                     209                       207.19528
                  209.26                       212.04859
                  209.52                       215.87383
                  209.78                       215.39423
                  210.04                       208.90689
                   210.3                       197.79192
                  210.56                       185.47432
                  210.82                       175.34533
                  211.08                       169.64856
                  211.34                       169.27325
                   211.6                       173.74949
                  211.86                       181.30852
                  212.12                       189.32055
                  212.38                       195.37803
                  212.64                       198.57468
                   212.9                       199.83295
                  213.16                       200.93125
                  213.42                       203.21811
                  213.68                        206.9203
                  213.94                       211.19866
                   214.2                       214.79256
                  214.46                       216.91093
                  214.72                       217.75889
                  214.98                       218.28295
                  215.24                       219.41707
                   215.5                        221.4497
                  215.76                       223.87707
                  216.02                       225.77332
                  216.28                       226.44838
                  216.54                       225.92908
                   216.8                        224.8794
                  217.06                       224.06271
                  217.32                       223.80218
                  217.58                        223.7943
                  217.84                       223.35333
                   218.1                       221.91761
                  218.36                       219.45687
                  218.62                       216.46536
                  218.88                       213.57575
                  219.14                       211.12474
                   219.4                       208.96703
                  219.66                       206.62494
                  219.92                       203.65834
                  220.18                       199.99426
                  220.44                       195.97222
                   220.7                       192.09192
                  220.96                       188.67947
                  221.22                       185.70426
                  221.48                        182.8432
                  221.74                        179.7358
                     222                       176.25507
                  222.26                       172.60095
                  222.52                       169.15779
                  222.78                       166.23765
                  223.04                       163.89174
                   223.3                       161.90208
                  223.56                       159.95031
                  223.82                       157.85268
                  224.08                       155.69779
                  224.34                       153.78858
                   224.6                       152.43715
                  224.86                       151.75997
                  225.12                       151.60515
                  225.38                       151.65672
                  225.64                       151.65423
                   225.9                       151.58186
                  226.16                       151.68678
                  226.42                       152.30853
                  226.68                       153.63923
                  226.94                       155.57423
                   227.2                       157.75236
                  227.46                       159.77737
                  227.72                       161.49157
                  227.98                       163.10477
                  228.24                       165.06371
                   228.5                       167.73955
                  228.76                       171.13517
                  229.02                        174.7934
                  229.28                       177.99335
                  229.54                       180.18019
                   229.8                       181.38007
                  230.06                       182.27755
                  230.32                       183.87278
                  230.58                       186.96606
                  230.84                       191.77187
                   231.1                       197.80167
                  231.36                        204.0402
                  231.62                       209.39214
                  231.88                       213.23906
                  232.14                       215.75854
                   232.4                       217.74816
                  232.66                       220.10582
                  232.92                       223.36081
                  233.18                       227.50573
                  233.44                       232.13594
                   233.7                        236.7686
                  233.96                       241.15349
                  234.22                       245.39334
                  234.48                       249.81601
                  234.74                       254.71818
                     235                       260.17031
                  235.26                       265.99816
                  235.52                       271.92862
