        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
                      40                    -0.054813341
               40.259998                    -0.067556994
                   40.52                    -0.093868807
               40.779999                      -0.1202505
               41.040001                     -0.13203149
               41.299999                     -0.12467163
               41.560001                     -0.10892689
                   41.82                     -0.10491868
               42.080002                      -0.1287147
                   42.34                     -0.18038764
               42.599998                     -0.24159812
               42.860001                      -0.2865407
               43.119999                     -0.30263468
               43.380001                     -0.30752831
               43.639999                     -0.34802428
               43.900002                     -0.48045224
                   44.16                     -0.74410848
               44.419998                       -1.135803
                   44.68                      -1.5871919
               44.939999                      -1.9580432
               45.200001                      -2.0853703
               45.459999                      -1.8983555
               45.720001                       -1.483612
                   45.98                      -1.0081871
               46.240002                     -0.60830029
                    46.5                     -0.34763056
               46.759998                     -0.22641995
                   47.02                     -0.20317543
               47.279999                      -0.2186158
               47.540001                     -0.22192918
               47.799999                     -0.19195775
               48.060001                     -0.14035092
                   48.32                    -0.095027447
               48.580002                     -0.07801843
                   48.84                    -0.092371133
               49.099998                     -0.12280668
               49.360001                     -0.14707362
               49.619999                     -0.15059334
               49.880001                      -0.1350088
               50.139999                     -0.11515987
               50.400002                     -0.10779208
                   50.66                     -0.12069283
               50.919998                     -0.14881034
                   51.18                     -0.17859506
               51.439999                     -0.19730178
               51.700001                     -0.20124971
               51.959999                     -0.19758251
               52.220001                     -0.19879161
                   52.48                     -0.21441649
               52.740002                     -0.24549932
                      53                     -0.28474962
               53.259998                     -0.32176861
                   53.52                     -0.34991273
               53.779999                     -0.37043401
               54.040001                     -0.39134795
               54.299999                     -0.42221087
               54.560001                     -0.46850853
                   54.82                     -0.52900554
               55.080002                      -0.5971698
                   55.34                     -0.66549049
               55.599998                     -0.73002133
               55.860001                     -0.79245167
               56.119999                     -0.85864319
               56.380001                     -0.93482549
               56.639999                      -1.0238443
               56.900002                      -1.1233754
                   57.16                      -1.2267021
               57.419998                      -1.3253872
                   57.68                      -1.4124293
               57.939999                      -1.4843787
               58.200001                      -1.5415779
               58.459999                      -1.5866436
               58.720001                      -1.6221938
                   58.98                      -1.6489724
               59.240002                      -1.6652131
                    59.5                      -1.6675172
               59.759998                      -1.6528893
                   60.02                      -1.6209804
               60.279999                      -1.5752702
               60.540001                      -1.5223744
               60.799999                      -1.4696304
               61.060001                      -1.4221701
                   61.32                      -1.3810175
               61.580002                      -1.3432616
                   61.84                      -1.3043242
               62.099998                      -1.2611413
               62.360001                      -1.2144141
               62.619999                      -1.1684721
               62.880001                      -1.1287982
               63.139999                      -1.0987781
               63.400002                      -1.0776732
                   63.66                      -1.0610808
               63.919998                      -1.0436483
                   64.18                      -1.0224211
               64.440002                     -0.99868105
               64.699997                     -0.97702915
               64.959999                     -0.96232778
               65.220001                     -0.95653484
               65.480003                     -0.95743678
               65.739998                     -0.96006851
                      66                     -0.95992931
               66.260002                     -0.95592336
               66.519997                     -0.95104171
               66.779999                     -0.95032859
               67.040001                     -0.95754149
               67.300003                     -0.97273625
               67.559998                     -0.99230491
                   67.82                      -1.0114283
               68.080002                      -1.0273498
               68.339996                      -1.0412818
               68.599998                       -1.057635
               68.860001                      -1.0811424
               69.120003                      -1.1138397
               69.379997                      -1.1539012
               69.639999                      -1.1970473
               69.900002                      -1.2396021
               70.160004                       -1.281193
               70.419998                      -1.3252428
                   70.68                      -1.3769381
               70.940002                      -1.4400995
               71.199997                      -1.5150489
               71.459999                      -1.5988443
               71.720001                      -1.6877313
               71.980003                      -1.7802187
               72.239998                      -1.8787516
                    72.5                      -1.9888326
               72.760002                      -2.1162299
               73.019997                       -2.264154
               73.279999                      -2.4322481
               73.540001                      -2.6180534
               73.800003                      -2.8200518
               74.059998                      -3.0404048
                   74.32                      -3.2855619
               74.580002                      -3.5643493
               74.839996                      -3.8848023
