        Frequency / MHz                S1,1/arg,degrees
----------------------------------------------------------------------
                      40                       2.0664323
               40.259998                      0.91904096
                   40.52                     -0.15794717
               40.779999                      -1.1225733
               41.040001                      -2.0205841
               41.299999                      -2.9650935
               41.560001                      -4.0607677
                   41.82                      -5.3254258
               42.080002                      -6.6684435
                   42.34                      -7.9446892
               42.599998                      -9.0569399
               42.860001                      -10.048768
               43.119999                      -11.114847
               43.380001                      -12.491164
               43.639999                      -14.283403
               43.900002                      -16.346294
                   44.16                      -18.268585
               44.419998                      -19.449621
                   44.68                      -19.278156
               44.939999                      -17.479467
               45.200001                      -14.546111
               45.459999                      -11.722503
               45.720001                      -10.203993
                   45.98                      -10.393805
               46.240002                      -11.959972
                    46.5                      -14.270359
               46.759998                      -16.716903
                   47.02                      -18.880579
               47.279999                      -20.608516
               47.540001                      -22.008709
               47.799999                      -23.336526
               48.060001                      -24.816964
                   48.32                      -26.519153
               48.580002                      -28.354699
                   48.84                      -30.168907
               49.099998                      -31.850933
               49.360001                      -33.401912
               49.619999                      -34.927521
               49.880001                       -36.56298
               50.139999                      -38.385627
               50.400002                       -40.37652
                   50.66                      -42.448691
               50.919998                      -44.513398
                   51.18                      -46.540556
               51.439999                      -48.578583
               51.700001                      -50.722688
               51.959999                      -53.055298
               52.220001                      -55.600006
                   52.48                      -58.319057
               52.740002                       -61.14929
                      53                      -64.050782
               53.259998                      -67.038484
                   53.52                       -70.17871
               53.779999                      -73.554258
               54.040001                      -77.222501
               54.299999                      -81.193601
               54.560001                      -85.440428
                   54.82                       -89.92972
               55.080002                      -94.654449
                   55.34                      -99.649141
               55.599998                      -104.97977
               55.860001                      -110.71591
               56.119999                      -116.90139
               56.380001                       -123.5408
               56.639999                      -130.60495
               56.900002                      -138.04923
                   57.16                      -145.83271
               57.419998                      -153.92755
                   57.68                      -162.31466
               57.939999                      -170.96866
               58.200001                       -179.8406
               58.459999                       171.15168
               58.720001                       162.12012
                   58.98                       153.19083
               59.240002                       144.48215
                    59.5                       136.08432
               59.759998                       128.04831
                   60.02                       120.38899
               60.279999                       113.10019
               60.540001                       106.17454
               60.799999                       99.617151
               61.060001                       93.446185
                   61.32                       87.681096
               61.580002                       82.325107
                   61.84                       77.353685
               62.099998                       72.716259
               62.360001                       68.352863
               62.619999                       64.216717
               62.880001                       60.288432
               63.139999                         56.5745
               63.400002                       53.090149
                   63.66                       49.837802
               63.919998                       46.793972
                   64.18                       43.913299
               64.440002                        41.14759
               64.699997                       38.467617
               64.959999                       35.873319
               65.220001                       33.385519
               65.480003                       31.025469
               65.739998                       28.794646
                      66                       26.667752
               66.260002                       24.604135
               66.519997                       22.569476
               66.779999                       20.553833
               67.040001                       18.573294
               67.300003                       16.655078
               67.559998                       14.815901
                   67.82                       13.047291
               68.080002                       11.318324
               68.339996                       9.5931274
               68.599998                       7.8520571
               68.860001                       6.1016715
               69.120003                       4.3673496
               69.379997                       2.6736268
               69.639999                       1.0255566
               69.900002                     -0.59715982
               70.160004                      -2.2287555
               70.419998                      -3.8966874
                   70.68                       -5.605437
               70.940002                      -7.3361246
               71.199997                      -9.0611571
               71.459999                      -10.764661
               71.720001                      -12.455024
               71.980003                      -14.161341
               72.239998                      -15.915827
                    72.5                      -17.733941
               72.760002                      -19.605657
               73.019997                      -21.503084
               73.279999                      -23.399664
               73.540001                      -25.287666
               73.800003                      -27.183699
               74.059998                      -29.116779
                   74.32                      -31.107477
               74.580002                      -33.149788
               74.839996                       -35.20865
               75.099998                      -37.232875
               75.360001                      -39.175572
               75.620003                       -41.00833
               75.879997                      -42.718967
               76.139999                       -44.28925
               76.400002                      -45.662583
               76.660004                      -46.715443
               76.919998                      -47.243854
                   77.18                      -46.966029
               77.440002                      -45.534039
               77.699997                      -42.545233
               77.959999                      -37.558289
               78.220001                      -30.172915
               78.480003                      -20.323977
               78.739998                      -8.8274556
                      79                       2.4828182
               79.260002                       11.791219
               79.519997                       18.395985
               79.779999                       22.592341
               80.040001                       25.022386
               80.300003                        26.27163
               80.559998                       26.746219
                   80.82                       26.682617
               81.080002                       26.204994
               81.339996                       25.389196
               81.599998                       24.308715
               81.860001                       23.049939
               82.120003                       21.700675
               82.379997                       20.327753
               82.639999                       18.960295
               82.900002                       17.591169
               83.160004                       16.196035
               83.419998                       14.759182
                   83.68                       13.289189
               83.940002                       11.816764
               84.199997                       10.376959
               84.459999                       8.9884922
               84.720001                        7.643573
               84.980003                       6.3144451
               85.239998                       4.9728324
                    85.5                       3.6087612
               85.760002                       2.2364398
               86.019997                      0.88376188
               86.279999                     -0.42689683
               86.540001                      -1.6942521
               86.800003                      -2.9393136
               87.059998                      -4.1918882
                   87.32                      -5.4710462
               87.580002                      -6.7731533
               87.839996                      -8.0755611
               88.099998                      -9.3525873
               88.360001                      -10.593742
               88.620003                      -11.811594
               88.879997                      -13.034033
               89.139999                      -14.286033
               89.400002                      -15.573388
               89.660004                      -16.879266
               89.919998                      -18.176262
                   90.18                      -19.445149
               90.440002                      -20.688652
               90.699997                      -21.930218
               90.959999                      -23.198802
               91.220001                      -24.509295
               91.480003                      -25.852194
               91.739998                       -27.19946
                      92                      -28.522387
               92.260002                      -29.810236
               92.519997                      -31.076936
               92.779999                      -32.350928
               93.040001                      -33.654264
               93.300003                      -34.985223
               93.559998                      -36.315469
                   93.82                      -37.604573
               94.080002                      -38.822095
               94.339996                      -39.962738
               94.599998                      -41.044202
               94.860001                      -42.086296
               95.120003                      -43.084899
               95.379997                      -43.996481
               95.639999                      -44.744771
               95.900002                      -45.244491
               96.160004                      -45.427954
               96.419998                      -45.254059
                   96.68                      -44.687396
               96.940002                      -43.651478
               97.199997                      -41.981931
               97.459999                      -39.412221
               97.720001                      -35.618844
               97.980003                      -30.336651
               98.239998                      -23.521462
                    98.5                       -15.46569
               98.760002                      -6.7534552
               99.019997                       1.9231526
               99.279999                       9.9281894
               99.540001                        16.77059
               99.800003                       22.176521
                  100.06                       26.130055
                  100.32                       28.827951
                  100.58                        30.56771
                  100.84                       31.635978
                   101.1                       32.238538
                  101.36                       32.484259
                  101.62                       32.412925
                  101.88                       32.043985
                  102.14                       31.415692
                   102.4                       30.595986
                  102.66                       29.664893
                  102.92                        28.68591
                  103.18                       27.685397
                  103.44                       26.653027
                   103.7                       25.562493
                  103.96                       24.399283
                  104.22                       23.176515
                  104.48                       21.930608
                  104.74                       20.701173
                     105                       19.508649
                  105.26                       18.344486
                  105.52                       17.180047
                  105.78                       15.988179
                  106.04                       14.762843
                   106.3                       13.523518
                  106.56                       12.302555
                  106.82                       11.123555
                  107.08                       9.9863824
                  107.34                       8.8672151
                   107.6                       7.7351794
                  107.86                       6.5731999
                  108.12                       5.3895831
                  108.38                       4.2116212
                  108.64                       3.0668268
                   108.9                       1.9639697
                  109.16                      0.88624797
                  109.42                      -0.1975391
                  109.68                      -1.3123899
                  109.94                      -2.4602167
                   110.2                       -3.618999
                  110.46                      -4.7584931
                  110.72                      -5.8611868
                  110.98                      -6.9354931
                  111.24                      -8.0109472
                   111.5                      -9.1190498
                  111.76                       -10.27185
                  112.02                      -11.454319
                  112.28                      -12.634794
                  112.54                      -13.787265
                   112.8                      -14.910368
                  113.06                       -16.02997
                  113.32                      -17.183045
                  113.58                      -18.393137
                  113.84                      -19.654289
                   114.1                      -20.935387
                  114.36                      -22.201403
                  114.62                      -23.438297
                  114.88                      -24.664917
                  115.14                      -25.922547
                   115.4                      -27.248421
                  115.66                      -28.650631
                  115.92                      -30.102482
                  116.18                      -31.560019
                  116.44                      -32.992255
                   116.7                      -34.404245
                  116.96                      -35.837331
                  117.22                      -37.343334
                  117.48                      -38.949025
                  117.74                      -40.635454
                     118                       -42.34557
                  118.26                      -44.017737
                  118.52                       -45.62417
                  118.78                      -47.190389
                  119.04                       -48.77704
                   119.3                      -50.429538
                  119.56                      -52.123043
                  119.82                      -53.733465
                  120.08                      -55.044503
                  120.34                      -55.774815
                   120.6                      -55.580128
                  120.86                      -53.933807
                  121.12                      -49.650978
                  121.38                      -39.381789
                  121.64                      -14.426517
                   121.9                       24.941846
                  122.16                       48.499169
                  122.42                       56.766183
                  122.68                       58.705302
                  122.94                       57.974906
                   123.2                       55.960059
                  123.46                       53.148805
                  123.72                       49.626887
                  123.98                       45.335044
                  124.24                       40.234832
                   124.5                       34.393954
                  124.76                       28.003766
                  125.02                        21.36411
                  125.28                       14.867753
                  125.54                       8.9981084
                   125.8                       4.3325428
                  126.06                       1.5142429
                  126.32                       1.1022732
                  126.58                       3.1929669
                  126.84                        6.974679
                   127.1                       10.910917
                  127.36                       13.737003
                  127.62                       15.099024
                  127.88                       15.286337
                  128.14                        14.73604
               128.39999                       13.766099
                  128.66                        12.52448
                  128.92                       11.045936
               129.17999                       9.3361209
                  129.44                       7.4280939
                   129.7                        5.391304
               129.96001                       3.3051186
                  130.22                       1.2244517
                  130.48                     -0.83985005
               130.74001                      -2.9149707
                     131                       -5.040662
               131.25999                      -7.2413766
                  131.52                      -9.5133436
                  131.78                      -11.832002
               132.03999                      -14.171587
                   132.3                      -16.524148
                  132.56                      -18.905973
               132.82001                      -21.349404
                  133.08                      -23.886738
                  133.34                       -26.53647
               133.60001                      -29.300593
                  133.86                      -32.173426
                  134.12                      -35.154804
                  134.38                      -38.259561
