        Frequency / MHz                Port 1 [1]/arg,degrees
----------------------------------------------------------------------
                      40                       80.072902
                   40.26                       64.130245
                   40.52                      -14.309934
                   40.78                      -54.751984
                   41.04                      -66.677367
                    41.3                      -74.491244
                   41.56                      -79.957219
                   41.82                      -82.584679
                   42.08                      -82.727398
                   42.34                      -81.454285
                    42.6                      -79.978142
                   42.86                      -79.291865
                   43.12                      -79.753023
                   43.38                      -80.701494
                   43.64                      -80.773107
                    43.9                      -78.875384
                   44.16                      -74.697072
                   44.42                      -68.503936
                   44.68                      -60.901441
                   44.94                       -52.87833
                    45.2                      -46.016683
                   45.46                      -42.683782
                   45.72                       -45.90578
                   45.98                      -57.185532
                   46.24                      -71.313032
                    46.5                      -80.775269
                   46.76                      -84.821162
                   47.02                      -85.865153
                   47.28                      -85.909492
                   47.54                      -86.099148
                    47.8                      -86.806546
                   48.06                      -87.795204
                   48.32                      -88.596348
                   48.58                      -88.916494
                   48.84                      -88.787708
                    49.1                      -88.465231
                   49.36                      -88.238173
                   49.62                      -88.265413
                   49.88                      -88.505293
                   50.14                      -88.776799
                    50.4                      -88.902498
                   50.66                      -88.820542
                   50.92                      -88.600056
                   51.18                      -88.377306
                   51.44                      -88.264755
                    51.7                      -88.285411
                   51.96                      -88.369533
                   52.22                      -88.411015
                   52.48                      -88.338247
                   52.74                      -88.151495
                      53                      -87.911622
                   53.26                      -87.695554
                   53.52                       -87.54731
                   53.78                      -87.453139
                   54.04                      -87.353941
                    54.3                       -87.18286
                   54.56                      -86.901233
                   54.82                      -86.512612
                   55.08                      -86.050936
                   55.34                      -85.551752
                    55.6                      -85.021767
                   55.86                      -84.421268
                   56.12                      -83.664339
                   56.38                      -82.628267
                   56.64                       -81.15469
                    56.9                      -79.020442
                   57.16                      -75.839349
                   57.42                      -70.784767
                   57.68                      -61.735714
                   57.94                      -42.429988
                    58.2                     -0.89331755
                   58.46                       39.942846
                   58.72                       58.539941
                   58.98                       67.049477
                   59.24                       71.632612
                    59.5                       74.437941
                   59.76                       76.335938
                   60.02                       77.723603
                   60.28                       78.786442
                   60.54                       79.605831
                    60.8                       80.216737
                   61.06                       80.643786
                   61.32                       80.921059
                   61.58                       81.095885
                   61.84                       81.218448
                    62.1                       81.323858
                   62.36                       81.418025
                   62.62                       81.477664
                   62.88                       81.466389
                   63.14                       81.358571
                    63.4                       81.157421
                   63.66                       80.895832
                   63.92                       80.617162
                   64.18                       80.345864
                   64.44                       80.066929
                    64.7                       79.729226
                   64.96                       79.272255
                   65.22                       78.660646
                   65.48                       77.904675
                   65.74                       77.050326
                      66                       76.139677
                   66.26                       75.164812
                   66.52                       74.047222
                   66.78                        72.65873
                   67.04                       70.873042
                    67.3                       68.616726
                   67.56                       65.880269
                   67.82                       62.662474
                   68.08                       58.865253
                   68.34                       54.205206
                    68.6                        48.21929
                   68.86                       40.422933
                   69.12                       30.634422
                   69.38                       19.295028
                   69.64                       7.3765748
                    69.9                      -4.1627215
                   70.16                      -14.718964
                   70.42                      -23.926041
                   70.68                      -31.532786
                   70.94                      -37.475171
                    71.2                      -41.934368
                   71.46                      -45.255808
                   71.72                      -47.804136
                   71.98                      -49.848536
                   72.24                      -51.517741
                    72.5                      -52.826644
                   72.76                      -53.747078
                   73.02                      -54.275427
                   73.28                      -54.460044
                   73.54                      -54.384009
                    73.8                      -54.124339
                   74.06                       -53.71571
                   74.32                      -53.139627
                   74.58                      -52.343486
                   74.84                      -51.275366
                    75.1                      -49.912026
                   75.36                      -48.264848
                   75.62                      -46.363312
                   75.88                      -44.227889
                   76.14                      -41.849174
                    76.4                      -39.186455
                   76.66                       -36.18771
                   76.92                      -32.820233
                   77.18                       -29.09488
                   77.44                      -25.070401
                    77.7                      -20.835406
                   77.96                      -16.478991
                   78.22                      -12.069403
                   78.48                      -7.6551691
                   78.74                      -3.2860848
                      79                      0.96489799
                   79.26                       4.9992894
                   79.52                        8.715507
                   79.78                       12.042101
                   80.04                       14.959522
                    80.3                       17.496149
                   80.56                       19.701018
                   80.82                       21.609976
                   81.08                       23.225636
                   81.34                       24.522427
                    81.6                       25.471969
                   81.86                       26.071437
                   82.12                       26.355613
                   82.38                       26.382958
                   82.64                       26.202818
                    82.9                       25.825331
                   83.16                       25.215986
                   83.42                       24.320762
                   83.68                       23.106726
                   83.94                       21.590766
                    84.2                       19.834022
                   84.46                       17.902025
                   84.72                       15.818522
                   84.98                       13.550098
                   85.24                       11.037246
                    85.5                       8.2520643
                   85.76                       5.2398245
                   86.02                       2.1084232
                   86.28                      -1.0313273
                   86.54                      -4.1274186
                    86.8                      -7.1988597
                   87.06                      -10.289609
                   87.32                      -13.403376
                   87.58                      -16.472972
                   87.84                      -19.390164
                    88.1                      -22.071253
                   88.36                      -24.503654
                   88.62                      -26.738705
                   88.88                      -28.841595
                   89.14                      -30.838605
                    89.4                       -32.69927
                   89.66                      -34.363365
                   89.92                       -35.78893
                   90.18                      -36.983915
                   90.44                      -38.000529
                    90.7                      -38.900094
                   90.96                      -39.714549
                   91.22                      -40.430435
                   91.48                      -41.004696
                   91.74                      -41.399215
                      92                      -41.608884
                   92.26                      -41.664916
                   92.52                      -41.613457
                   92.78                       -41.48528
                   93.04                        -41.2768
                    93.3                      -40.954472
                   93.56                      -40.478549
                   93.82                      -39.829254
                   94.08                      -39.017855
                   94.34                      -38.076339
                    94.6                       -37.03344
                   94.86                      -35.893195
                   95.12                      -34.630374
                   95.38                       -33.20585
                   95.64                      -31.591418
                    95.9                      -29.787441
                   96.16                      -27.821832
                   96.42                      -25.731315
                   96.68                       -23.53769
                   96.94                      -21.235599
                    97.2                      -18.800963
                   97.46                      -16.214941
                   97.72                      -13.487044
                   97.98                      -10.661053
                   98.24                      -7.7989252
                    98.5                      -4.9532364
                   98.76                      -2.1471708
                   99.02                      0.62395465
                   99.28                        3.371091
                   99.54                       6.0858212
                    99.8                       8.7296129
                  100.06                       11.246007
                  100.32                       13.587272
                  100.58                       15.736947
                  100.84                       17.712843
                   101.1                       19.548553
                  101.36                       21.266125
                  101.62                       22.858441
                  101.88                       24.293042
                  102.14                       25.534377
                   102.4                       26.569118
                  102.66                       27.417282
                  102.92                       28.121062
                  103.18                       28.718008
                  103.44                       29.216386
                   103.7                       29.589944
                  103.96                        29.79631
                  104.22                       29.807114
                  104.48                       29.629607
                  104.74                       29.304074
                     105                       28.876788
                  105.26                       28.366169
                  105.52                        27.74657
                  105.78                       26.962829
                  106.04                       25.967139
                   106.3                       24.753517
                  106.56                       23.364425
                  106.82                       21.861292
                  107.08                       20.277842
                  107.34                       18.591497
                   107.6                       16.736911
                  107.86                       14.654724
                  108.12                       12.341755
                  108.38                       9.8637745
                  108.64                       7.3158986
                   108.9                       4.7579414
                  109.16                       2.1769304
                  109.42                     -0.49126477
                  109.68                      -3.2966185
                  109.94                      -6.2161257
                   110.2                      -9.1500965
                  110.46                       -11.98098
                  110.72                      -14.648108
                  110.98                      -17.176925
                  111.24                      -19.641723
                   111.5                       -22.09399
                  111.76                      -24.511865
                  112.02                      -26.809324
                  112.28                      -28.897156
                  112.54                      -30.745767
                   112.8                      -32.401344
                  113.06                      -33.947323
                  113.32                      -35.442578
                  113.58                      -36.880663
                  113.84                      -38.198334
                   114.1                      -39.325474
                  114.36                      -40.237618
                  114.62                      -40.973062
                  114.88                      -41.605518
                  115.14                      -42.193702
                   115.4                      -42.742538
                  115.66                       -43.20226
                  115.92                      -43.505328
                  116.18                       -43.61379
                  116.44                      -43.543583
                   116.7                      -43.350728
                  116.96                      -43.090249
                  117.22                      -42.775379
                  117.48                      -42.364498
                  117.74                      -41.784949
                     118                      -40.976982
                  118.26                      -39.927264
                  118.52                      -38.669676
                  118.78                      -37.252886
                  119.04                      -35.695051
                   119.3                      -33.955389
                  119.56                      -31.943253
                  119.82                      -29.560623
                  120.08                      -26.750855
                  120.34                      -23.521733
                   120.6                      -19.926169
                  120.86                      -16.010589
                  121.12                      -11.766349
                  121.38                      -7.1252373
                  121.64                      -2.0143883
                   121.9                       3.5588855
                  122.16                       9.4538803
                  122.42                        15.42554
                  122.68                       21.226339
                  122.94                       26.707336
                   123.2                       31.842289
                  123.46                       36.659273
                  123.72                       41.127004
                  123.98                       45.061775
                  124.24                       48.084743
                   124.5                       49.594087
                  124.76                       48.688495
                  125.02                       44.088695
                  125.28                       34.604076
                  125.54                       21.343216
                   125.8                       9.3355508
                  126.06                       2.7807698
                  126.32                       1.7218514
                  126.58                       4.4131122
                  126.84                       9.0795882
                   127.1                       14.293065
                  127.36                       19.061043
                  127.62                       22.860586
                  127.88                       25.576476
                  128.14                       27.353824
                   128.4                       28.409438
                  128.66                       28.858611
                  128.92                       28.619429
                  129.18                       27.420161
                  129.44                       24.881924
                   129.7                       20.629571
                  129.96                       14.385574
                  130.22                       6.0008295
                  130.48                      -4.5580869
                  130.74                      -17.067747
                     131                      -30.626402
                  131.26                      -43.569105
                  131.52                      -54.391224
                  131.78                      -62.630067
                  132.04                      -68.673763
                   132.3                      -73.157389
                  132.56                      -76.607206
                  132.82                      -79.349969
                  133.08                      -81.550943
                  133.34                      -83.291407
                   133.6                       -84.63436
                  133.86                      -85.654799
                  134.12                      -86.436964
                  134.38                      -87.055663
                  134.64                      -87.559353
                   134.9                      -87.965563
                  135.16                      -88.269618
                  135.42                      -88.459821
                  135.68                      -88.529793
                  135.94                      -88.482285
                   136.2                      -88.324568
                  136.46                      -88.059509
                  136.72                      -87.676998
                  136.98                      -87.148496
                  137.24                       -86.42423
                   137.5                      -85.429644
                  137.76                      -84.055463
                  138.02                      -82.133116
                  138.28                      -79.380029
                  138.54                      -75.278058
                   138.8                      -68.789175
                  139.06                      -57.684108
                  139.32                      -37.530294
                  139.58                      -5.7852822
                  139.84                       24.086621
                   140.1                       41.904164
                  140.36                       51.691796
                  140.62                       57.439853
                  140.88                       61.079049
                  141.14                        63.52308
                   141.4                       65.233041
                  141.66                       66.454066
                  141.92                       67.321372
                  142.18                       67.914669
                  142.44                       68.288841
                   142.7                       68.489922
                  142.96                       68.559659
                  143.22                        68.53204
                  143.48                       68.427124
                  143.74                       68.248151
                     144                        67.98551
                  144.26                       67.626423
                  144.52                       67.165128
                  144.78                       66.607498
                  145.04                       65.967001
                   145.3                       65.254293
                  145.56                       64.467263
                  145.82                       63.588569
                  146.08                       62.592818
                  146.34                       61.458841
                   146.6                       60.178574
                  146.86                       58.755648
                  147.12                       57.193579
                  147.38                       55.481308
                  147.64                       53.586909
                   147.9                       51.465239
                  148.16                       49.075399
                  148.42                       46.395919
                  148.68                       43.425648
                  148.94                       40.168043
                   149.2                        36.61085
                  149.46                       32.720208
