        Frequency / MHz                S1,1 (Mesh Pass=5)/abs,dB
----------------------------------------------------------------------
                      50                     -0.13709287
               50.200001                     -0.13212349
               50.400002                     -0.12915048
               50.599998                      -0.1297648
               50.799999                     -0.13348437
                      51                      -0.1380988
               51.200001                     -0.14118991
               51.400002                     -0.14177161
               51.599998                     -0.14094107
               51.799999                     -0.14110083
                      52                     -0.14432321
               52.200001                     -0.15098638
               52.400002                     -0.15956513
               52.599998                     -0.16770303
               52.799999                     -0.17381451
                      53                     -0.17815023
               53.200001                     -0.18262582
               53.400002                     -0.18955357
               53.599998                     -0.20015965
               53.799999                     -0.21385711
                      54                     -0.22871461
               54.200001                     -0.24278274
               54.400002                     -0.25540057
               54.599998                     -0.26764691
               54.799999                     -0.28166233
                      55                     -0.29932302
               55.200001                     -0.32114094
               55.400002                     -0.34604833
               55.599998                     -0.37215503
               55.799999                     -0.39797214
                      56                     -0.42333777
               56.200001                     -0.44946684
               56.400002                      -0.4781632
               56.599998                      -0.5106773
               56.799999                     -0.54691907
                      57                     -0.58542508
               57.200001                     -0.62405962
               57.400002                     -0.66099433
               57.599998                     -0.69542505
               57.799999                     -0.72762533
                      58                     -0.75838035
               58.200001                     -0.78814392
               58.400002                     -0.81641796
               58.599998                     -0.84166778
               58.799999                     -0.86183174
                      59                      -0.8751513
               59.200001                     -0.88092822
               59.400002                     -0.87980495
               59.599998                     -0.87344463
               59.799999                     -0.86375547
                      60                     -0.85206147
               60.200001                     -0.83863927
               60.400002                     -0.82286631
               60.599998                     -0.80389266
               60.799999                     -0.78147185
                      61                     -0.75645767
               61.200001                     -0.73064952
               61.400002                     -0.70603518
               61.599998                     -0.68385836
               61.799999                     -0.66406898
                      62                     -0.64548683
               62.200001                     -0.62662463
               62.400002                      -0.6066946
               62.599998                      -0.5861647
               62.799999                     -0.56652544
                      63                     -0.54938416
               63.200001                     -0.53546105
               63.400002                     -0.52412839
               63.599998                     -0.51379396
               63.799999                     -0.50289769
                      64                     -0.49090182
               64.199997                     -0.47862038
               64.400002                     -0.46766465
               64.599998                     -0.45937003
               64.800003                     -0.45390172
                      65                     -0.45012795
               65.199997                     -0.44634332
               65.400002                     -0.44137454
               65.599998                     -0.43534154
               65.800003                     -0.42955705
                      66                     -0.42562844
               66.199997                      -0.4243802
               66.400002                     -0.42529574
               66.599998                     -0.42686214
               66.800003                     -0.42758192
                      67                     -0.42697385
               67.199997                     -0.42589211
               67.400002                     -0.42593618
               67.599998                     -0.42837059
               67.800003                     -0.43328002
                      68                     -0.43952619
               68.199997                     -0.44553385
               68.400002                     -0.45037759
               68.599998                     -0.45442508
               68.800003                     -0.45909922
                      69                     -0.46591657
               69.199997                     -0.47547464
               69.400002                     -0.48705938
               69.599998                     -0.49915123
               69.800003                     -0.51047991
                      70                      -0.5209253
               70.199997                     -0.53164798
               70.400002                     -0.54434409
               70.599998                     -0.56016148
               70.800003                     -0.57898581
                      71                     -0.59958449
               71.199997                     -0.62050555
               71.400002                      -0.6411309
               71.599998                     -0.66216464
               71.800003                     -0.68524162
                      72                     -0.71191255
               72.199997                     -0.74271736
               72.400002                     -0.77695298
               72.599998                      -0.8132961
               72.800003                     -0.85085469
                      73                     -0.88994513
               73.199997                     -0.93207291
               73.400002                     -0.97913371
               73.599998                      -1.0323846
               73.800003                       -1.091888
                      74                      -1.1567785
               74.199997                      -1.2262013
               74.400002                      -1.3002837
               74.599998                      -1.3805063
               74.800003                      -1.4692262
                      75                      -1.5686975
               75.199997                      -1.6802306
               75.400002                      -1.8040749
               75.599998                      -1.9400949
               75.800003                      -2.0888276
                      76                      -2.2522589
               76.199997                      -2.4338112
               76.400002                      -2.6375954
               76.599998                       -2.867433
               76.800003                      -3.1263016
                      77                      -3.4166162
               77.199997                      -3.7412227
               77.400002                      -4.1045812
               77.599998                      -4.5135022
