        Frequency / MHz                S1,1 (Mesh Pass=5)/arg,degrees
----------------------------------------------------------------------
                      50                      -33.695452
               50.200001                      -34.984737
               50.400002                      -36.323923
               50.599998                       -37.70219
               50.799999                       -39.10554
                      51                      -40.528191
               51.200001                      -41.978388
               51.400002                      -43.474665
               51.599998                      -45.035291
               51.799999                      -46.668293
                      52                      -48.368704
               52.200001                      -50.124831
               52.400002                      -51.929004
               52.599998                      -53.785601
               52.799999                      -55.711228
                      53                      -57.726917
               53.200001                      -59.847852
               53.400002                      -62.077546
               53.599998                      -64.410103
               53.799999                      -66.838842
                      54                      -69.365549
               54.200001                      -72.004338
               54.400002                      -74.777901
               54.599998                      -77.708627
               54.799999                      -80.810585
                      55                      -84.087565
               55.200001                      -87.537637
               55.400002                      -91.161688
               55.599998                      -94.969799
               55.799999                      -98.981974
                      56                       -103.2226
               56.200001                       -107.7125
               56.400002                      -112.46256
               56.599998                      -117.47321
               56.799999                      -122.73872
                      57                      -128.25324
               57.200001                      -134.01487
               57.400002                        -140.025
               57.599998                      -146.28317
               57.799999                      -152.78024
                      58                      -159.49344
               58.200001                      -166.38584
               58.400002                       -173.4104
               58.599998                       179.48382
               58.799999                       172.34548
                      59                       165.21792
               59.200001                        158.1395
               59.400002                       151.14657
               59.599998                       144.27689
               59.799999                       137.57004
                      60                       131.06524
               60.200001                       124.79602
               60.400002                       118.78477
               60.599998                       113.04019
               60.799999                       107.55886
                      61                       102.33103
               61.200001                       97.347234
               61.400002                       92.602903
               61.599998                       88.098147
               61.799999                        83.83324
                      62                       79.802799
               62.200001                       75.992648
               62.400002                       72.381254
               62.599998                       68.945886
               62.799999                       65.669334
                      63                        62.54343
               63.200001                       59.567217
               63.400002                       56.740695
               63.599998                       54.058231
               63.799999                       51.505821
                      64                       49.064216
               64.199997                       46.715752
               64.400002                       44.450644
               64.599998                       42.268343
               64.800003                       40.173361
                      65                       38.168097
               65.199997                       36.247203
               65.400002                       34.397341
               65.599998                       32.602776
               65.800003                       30.852446
                      66                       29.144243
               66.199997                       27.483744
               66.400002                       25.877582
               66.599998                       24.326802
               66.800003                       22.823669
                      67                       21.354849
               67.199997                       19.908408
               67.400002                        18.47986
               67.599998                       17.073303
               67.800003                       15.696939
                      68                       14.355791
               68.199997                       13.046908
               68.400002                       11.759664
               68.599998                       10.481926
               68.800003                       9.2067304
                      69                       7.9358499
               69.199997                       6.6773743
               69.400002                       5.4387603
               69.599998                       4.2207738
               69.800003                       3.0154914
                      70                       1.8106183
               70.199997                      0.59648403
               70.400002                     -0.62844207
               70.599998                      -1.8577942
               70.800003                      -3.0826109
                      71                      -4.2986033
               71.199997                      -5.5100605
               71.400002                      -6.7280471
               71.599998                      -7.9642564
               71.800003                      -9.2240986
                      72                       -10.50454
               72.199997                      -11.797551
               72.400002                      -13.096761
               72.599998                      -14.403266
               72.800003                      -15.726246
                      73                      -17.078405
               73.199997                      -18.468787
               73.400002                       -19.89862
               73.599998                      -21.362163
               73.800003                      -22.852486
                      74                      -24.368131
               74.199997                      -25.916125
               74.400002                      -27.509579
               74.599998                      -29.161231
               74.800003                      -30.877383
                      75                      -32.656456
               75.199997                      -34.492658
               75.400002                      -36.382735
               75.599998                      -38.331141
