        Time / ns                i1 (Mesh Pass=5)/real
----------------------------------------------------------------------
                       0                  -8.5915417e-09
             0.089773647                   1.5055116e-06
              0.17954729                   1.7058539e-06
              0.26932094                    1.917364e-06
              0.35909459                   2.1371548e-06
              0.44886822                   2.3614255e-06
              0.53864187                   2.5849943e-06
              0.62841552                   2.8013487e-06
              0.71818918                   3.0022334e-06
              0.80796283                   3.1775157e-06
              0.89773643                   3.3148981e-06
              0.98751009                   3.3996707e-06
               1.0772837                   3.4144493e-06
               1.1670574                   3.3389254e-06
                1.256831                   3.1496093e-06
               1.3466047                   2.8195725e-06
               1.4363784                   2.3183054e-06
                1.526152                   1.6115059e-06
               1.6159257                   6.6098204e-07
               1.7056993                  -5.7534669e-07
               1.7954729                  -2.1434887e-06
               1.8852465                  -4.0931118e-06
               1.9750202                   -6.477333e-06
               2.0647938                  -9.3522403e-06
               2.1545675                  -1.2776262e-05
               2.2443411                  -1.6809361e-05
               2.3341148                  -2.1511951e-05
               2.4238884                   -2.694355e-05
               2.5136621                   -3.316121e-05
               2.6034358                  -4.0217583e-05
               2.6932094                  -4.8158552e-05
               2.7829831                  -5.7020683e-05
               2.8727567                  -6.6828179e-05
               2.9625304                   -7.758935e-05
                3.052304                  -8.9292836e-05
               3.1420777                  -0.00010190335
               3.2318513                  -0.00011535695
                3.321625                  -0.00012955601
               3.4113986                  -0.00014436373
               3.5011723                  -0.00015959852
               3.5909457                  -0.00017502795
               3.6807194                  -0.00019036252
                3.770493                  -0.00020524958
               3.8602667                  -0.00021926702
               3.9500403                  -0.00023191731
                4.039814                  -0.00024262194
               4.1295877                  -0.00025071623
               4.2193613                  -0.00025544508
                4.309135                  -0.00025595963
               4.3989086                  -0.00025131533
               4.4886823                  -0.00024047127
               4.5784559                  -0.00022229171
               4.6682296                   -0.0001955496
               4.7580032                  -0.00015893271
               4.8477769                  -0.00011105268
               4.9375505                  -5.0457016e-05
               5.0273242                   2.4354895e-05
               5.1170979                   0.00011491231
               5.2068715                   0.00022274918
               5.2966452                   0.00034937586
               5.3864188                   0.00049624604
               5.4761925                    0.0006647188
               5.5659661                   0.00085601595
               5.6557398                    0.0010711738
               5.7455134                    0.0013109905
               5.8352871                    0.0015759687
               5.9250607                     0.001866253
               6.0148344                    0.0021815647
               6.1046081                    0.0025211324
               6.1943817                    0.0028836192
               6.2841554                      0.00326705
                6.373929                    0.0036687376
               6.4637027                    0.0040852088
               6.5534763                    0.0045121326
                 6.64325                    0.0049442546
               6.7330236                    0.0053753345
               6.8227973                    0.0057980921
                6.912571                    0.0062041646
               7.0023446                    0.0065840743
               7.0921178                    0.0069272118
               7.1818914                    0.0072218357
               7.2716651                    0.0074550938
               7.3614388                    0.0076130638
               7.4512124                    0.0076808184
               7.5409861                    0.0076425211
               7.6307597                    0.0074815457
               7.7205334                    0.0071806298
                7.810307                    0.0067220596
               7.9000807                    0.0060878885
               7.9898543                    0.0052601886
                8.079628                    0.0042213388
               8.1694021                    0.0029543436
               8.2591753                    0.0014431885
               8.3489494                  -0.00032677676
               8.4387226                   -0.0023684255
               8.5284967                   -0.0046924162
               8.6182699                    -0.007306735
               8.7080441                    -0.010216221
               8.7978172                    -0.013422086
               8.8875914                    -0.016921427
               8.9773645                    -0.020706747
               9.0671387                    -0.024765493
               9.1569118                    -0.029079612
                9.246686                    -0.033625145
               9.3364592                    -0.038371868
               9.4262323                    -0.043282971
               9.5160065                    -0.048314832
               9.6057796                    -0.053416859
               9.6955538                    -0.058531389
                9.785327                    -0.063593745
               9.8751011                    -0.068532363
               9.9648743                    -0.073269039
               10.054648                    -0.077719338
               10.144422                    -0.081793085
               10.234196                    -0.085395046
               10.323969                    -0.088425741
               10.413743                    -0.090782367
               10.503516                    -0.092359923
                10.59329                    -0.093052432
               10.683064                    -0.092754304
               10.772838                    -0.091361865
               10.862611                    -0.088774942
               10.952385                    -0.084898591
               11.042158                    -0.079644889
               11.131932                    -0.072934762
               11.221705                     -0.06469994
                11.31148                    -0.054884799
               11.401253                    -0.043448284
               11.491027                    -0.030365728
                 11.5808                    -0.015630629
               11.670574                   0.00074371835
               11.760347                     0.018722724
               11.850121                     0.038249187
               11.939895                     0.059242196
               12.029669                     0.081596293
               12.119442                      0.10518091
               12.209216                      0.12984009
               12.298989                      0.15539265
               12.388763                      0.18163252
               12.478537                      0.20832968
               12.568311                      0.23523133
               12.658084                       0.2620635
               12.747858                      0.28853318
               12.837631                      0.31433067
               12.927405                      0.33913237
               13.017179                      0.36260414
               13.106953                      0.38440472
               13.196726                      0.40418965
                 13.2865                      0.42161542
               13.376273                      0.43634391
               13.466047                      0.44804683
                13.55582                      0.45641062
               13.645595                      0.46114105
               13.735368                      0.46196809
               13.825142                      0.45865056
               13.914915                      0.45098072
               14.004689                      0.43878853
               14.094462                      0.42194584
               14.184236                      0.40036997
                14.27401                      0.37402692
               14.363783                      0.34293428
               14.453557                      0.30716324
                14.54333                      0.26684022
               14.633104                      0.22214775
               14.722878                      0.17332473
               14.812652                      0.12066574
               14.902425                     0.064519778
               14.992199                    0.0052881707
               15.081972                    -0.056578312
               15.171746                     -0.12058309
               15.261519                     -0.18618813
               15.351294                     -0.25281897
               15.441067                     -0.31987053
               15.530841                     -0.38671324
               15.620614                     -0.45269993
               15.710388                     -0.51717305
               15.800161                      -0.5794723
               15.889935                     -0.63894224
               15.979709                     -0.69494051
               16.069483                      -0.7468456
               16.159256                      -0.7940647
               16.249029                     -0.83604169
               16.338804                     -0.87226421
               16.428577                     -0.90227079
               16.518351                     -0.92565709
               16.608124                     -0.94208211
               16.697899                     -0.95127267
               16.787672                     -0.95302826
               16.877445                      -0.9472242
               16.967218                     -0.93381405
               17.056993                     -0.91283119
               17.146767                     -0.88438928
                17.23654                     -0.84868175
               17.326313                     -0.80598027
               17.416088                     -0.75663179
               17.505861                     -0.70105553
               17.595634                     -0.63973796
               17.685408                     -0.57322764
               17.775183                     -0.50212878
               17.864956                     -0.42709455
               17.954729                     -0.34881926
               18.044502                     -0.26803032
               18.134277                     -0.18547967
               18.224051                     -0.10193504
               18.313824                    -0.018170811
               18.403597                     0.065040961
               18.493372                       0.1469395
               18.583145                      0.22678414
               18.672918                      0.30386269
               18.762691                      0.37749949
               18.852465                      0.44706288
                18.94224                      0.51197189
               19.032013                      0.57170254
               19.121786                      0.62579292
               19.211559                      0.67384768
               19.301334                      0.71554154
               19.391108                       0.7506218
               19.480881                      0.77890986
               19.570654                      0.80030197
               19.660429                      0.81476873
               19.750202                      0.82235378
               19.839975                      0.82317168
               19.929749                      0.81740481
               20.019524                      0.80529952
               20.109297                      0.78716147
                20.19907                      0.76335061
               20.288843                      0.73427522
               20.378618                      0.70038593
               20.468391                      0.66216898
               20.558165                      0.62013948
               20.647938                      0.57483435
               20.737713                      0.52680552
               20.827486                      0.47661269
               20.917259                      0.42481679
               21.007032                      0.37197316
               21.096807                      0.31862536
               21.186581                      0.26529932
               21.276354                      0.21249782
               21.366127                       0.1606957
               21.455902                      0.11033542
               21.545675                     0.061823342
               21.635448                     0.015526614
               21.725222                    -0.028229332
               21.814997                    -0.069162592
                21.90477                     -0.10703597
               21.994543                     -0.14165758
               22.084316                     -0.17288071
               22.174091                     -0.20060326
               22.263865                     -0.22476652
               22.353638                     -0.24535356
               22.443411                     -0.26238701
               22.533186                     -0.27592662
               22.622959                     -0.28606635
               22.712732                     -0.29293129
               22.802505                     -0.29667425
               22.892281                     -0.29747224
               22.982054                      -0.2955229
               23.071827                     -0.29104072
                 23.1616                     -0.28425345
               23.251375                     -0.27539858
               23.341148                     -0.26471961
               23.430922                     -0.25246286
               23.520695                     -0.23887439
               23.610468                     -0.22419681
               23.700243                     -0.20866673
               23.790016                     -0.19251232
               23.879789                     -0.17595115
               23.969563                      -0.1591883
               24.059338                     -0.14241482
               24.149111                     -0.12580647
               24.238884                     -0.10952277
               24.328657                     -0.09370631
               24.418432                     -0.07848236
               24.508205                    -0.063958734
               24.597979                     -0.05022588
               24.687752                    -0.037357245
               24.777527                    -0.025409769
                 24.8673                     -0.01442461
               24.957073                   -0.0044279955
               25.046846                    0.0045677871
               25.136621                     0.012563305
               25.226395                     0.019570811
               25.316168                     0.025613017
               25.405941                     0.030721847
               25.495716                     0.034937162
               25.585489                     0.038305506
               25.675262                      0.04087887
               25.765036                     0.042713501
               25.854811                      0.04386875
               25.944584                     0.044406027
               26.034357                     0.044387776
                26.12413                     0.043876585
               26.213905                     0.042934328
               26.303679                     0.041621476
               26.393452                     0.039996419
               26.483225                     0.038114939
                  26.573                     0.036029749
               26.662773                     0.033790134
               26.752546                     0.031441685
               26.842319                     0.029026072
               26.932095                     0.026580967
               27.021868                     0.024139956
               27.111641                     0.021732574
               27.201414                     0.019384373
               27.291189                     0.017117029
               27.380962                     0.014948515
               27.470736                     0.012893287
               27.560509                      0.01096251
               27.650284                    0.0091643045
               27.740057                    0.0075040031
                27.82983                    0.0059844204
               27.919603                    0.0046061282
               28.009378                    0.0033677262
               28.099152                    0.0022661134
               28.188925                    0.0012967472
               28.278698                   0.00045389435
               28.368471                  -0.00026913479
               28.458246                  -0.00087976432
               28.548019                   -0.0013859504
               28.637793                   -0.0017959955
               28.727566                   -0.0021183828
               28.817341                   -0.0023616294
               28.907114                   -0.0025341557
               28.996887                   -0.0026441785
                29.08666                   -0.0026996166
               29.176435                   -0.0027080169
               29.266209                   -0.0026764954
               29.355982                   -0.0026116916
               29.445755                   -0.0025197391
                29.53553                    -0.002406246
               29.625303                   -0.0022762865
               29.715076                   -0.0021344037
                29.80485                   -0.0019846179
               29.894625                    -0.001830444
               29.984398                   -0.0016749128
               30.074171                   -0.0015205981
               30.163944                   -0.0013696461
               30.253719                   -0.0012238082
               30.343493                   -0.0010844739
               30.433266                  -0.00095270661
               30.523039                  -0.00082927709
               30.612814                  -0.00071469788
               30.702587                   -0.0006092565
                30.79236                  -0.00051304663
               30.882133                  -0.00042599853
               30.971909                  -0.00034790635
               31.061682                  -0.00027845398
               31.151455                  -0.00021723866
               31.241228                  -0.00016379188
               31.331003                  -0.00011759828
               31.420776                  -7.8112258e-05
                31.51055                  -4.4772023e-05
               31.600323                  -1.7012284e-05
               31.690098                   5.7260881e-06
               31.779871                   2.3987046e-05
               31.869644                   3.8292848e-05
               31.959417                   4.9139213e-05
               32.049191                   5.6990859e-05
               32.138966                   6.2279083e-05
               32.228741                   6.5400491e-05
               32.318512                    6.671586e-05
               32.408287                   6.6550354e-05
               32.498058                   6.5194414e-05
               32.587833                   6.2904641e-05
               32.677608                   5.9905746e-05
                32.76738                   5.6392033e-05
               32.857155                   5.2530009e-05
               32.946926                   4.8460224e-05
               33.036701                   4.4299697e-05
               33.126476                   4.0144347e-05
               33.216248                   3.6071255e-05
