        Frequency / MHz                Port 1 [1] (Mesh Pass=5)/abs,linear
----------------------------------------------------------------------
                      50                       330.11044
                    50.2                       317.21538
                    50.4                       304.75629
                    50.6                       292.82249
                    50.8                       281.50206
                      51                       270.79504
                    51.2                       260.59862
                    51.4                       250.76189
                    51.6                       241.16637
                    51.8                       231.77735
                      52                       222.63618
                    52.2                       213.80701
                    52.4                       205.31872
                    52.6                        197.1388
                    52.8                       189.19019
                      53                       181.39459
                    53.2                       173.71161
                    53.4                       166.14938
                    53.6                       158.74387
                    53.8                       151.52478
                      54                         144.491
                    54.2                       137.60887
                    54.4                       130.83092
                    54.6                       124.12067
                    54.8                        117.4675
                      55                       110.88391
                    55.2                       104.38965
                    55.4                       97.994329
                    55.6                       91.688954
                    55.8                       85.449646
                      56                       79.249596
                    56.2                       73.071048
                    56.4                       66.910424
                    56.6                       60.774883
                    56.8                       54.673738
                      57                       48.610363
                    57.2                       42.578905
                    57.4                       36.567115
                    57.6                       30.563805
                    57.8                        24.56877
                      58                       18.606987
                    58.2                       12.768634
                    58.4                       7.4293665
                    58.6                       4.8621535
                    58.8                       8.3261326
                      59                       13.913883
                    59.2                       19.964368
                    59.4                       26.216054
                    59.6                       32.610015
                    59.8                       39.126895
                      60                       45.755672
                    60.2                       52.488541
                    60.4                       59.323579
                    60.6                       66.268614
                    60.8                       73.342147
                      61                       80.569332
                    61.2                       87.974116
                    61.4                       95.571544
                    61.6                       103.36506
                    61.8                       111.35153
                      62                       119.53252
                    62.2                       127.92569
                    62.4                       136.56875
                    62.6                       145.51172
                    62.8                       154.80054
                      63                        164.4619
                    63.2                       174.50018
                    63.4                       184.91145
                    63.6                       195.70862
                    63.8                       206.94268
                      64                       218.70412
                    64.2                       231.09999
                    64.4                       244.21884
                    64.6                        258.1072
                    64.8                       272.77713
                      65                       288.24762
                    65.2                       304.59852
                    65.4                       322.00177
                    65.6                       340.70346
                    65.8                       360.96242
                      66                       382.98411
                    66.2                       406.90039
                    66.4                       432.82557
                    66.6                       460.97473
                    66.8                       491.78159
                      67                       525.93752
                    67.2                        564.3184
                    67.4                       607.84645
                    67.6                        657.3971
                    67.8                       713.87156
                      68                       778.49992
                    68.2                       853.32061
                    68.4                       941.65731
                    68.6                        1048.403
                    68.8                       1180.0633
                      69                       1344.6918
                    69.2                       1551.9344
                    69.4                       1813.1781
                    69.6                       2140.2629
                    69.8                       2535.2464
                      70                       2950.9246
                    70.2                       3222.2495
                    70.4                       3144.5393
                    70.6                       2771.4425
                    70.8                       2335.0651
                      71                       1961.6027
                    71.2                       1668.8853
                    71.4                       1440.9701
                    71.6                       1260.1322
                    71.8                       1113.7367
                      72                        993.6602
                    72.2                       894.42204
                    72.4                       811.79474
                    72.6                       742.17902
                    72.8                       682.51345
                      73                       630.39716
                    73.2                       584.17103
                    73.4                       542.82791
                    73.6                       505.77168
                    73.8                       472.54883
                      74                       442.67497
                    74.2                       415.60204
                    74.4                       390.79032
                    74.6                       367.80809
                    74.8                       346.38577
                      75                       326.39372
                    75.2                       307.76632
                    75.4                       290.42371
                    75.6                       274.23392
                    75.8                       259.02605
                      76                       244.63496
                    76.2                        230.9444
                    76.4                       217.90195
                    76.6                       205.50079
                    76.8                       193.74426
                      77                       182.61635
                    77.2                       172.07377
                    77.4                       162.06025
                    77.6                       152.53174
                    77.8                       143.47659
                      78                       134.92002
                    78.2                       126.91291
                    78.4                       119.51359
                    78.6                       112.77407
                    78.8                        106.7382
                      79                       101.45171
                    79.2                       96.976689
                    79.4                       93.399667
                    79.6                       90.824642
                    79.8                       89.350487
                      80                       89.042226
                    80.2                       89.911287
                    80.4                       91.916129
                    80.6                       94.982414
                    80.8                       99.029859
                      81                       103.99009
                    81.2                       109.80776
                    81.4                       116.42894
                    81.6                       123.78876
                    81.8                       131.80947
                      82                       140.41296
                    82.2                       149.54194
                    82.4                       159.17684
                    82.6                       169.33623
                    82.8                       180.05724
                      83                        191.3661
                    83.2                       203.25668
                    83.4                       215.69277
                    83.6                       228.63628
                    83.8                       242.08553
                      84                       256.09674
                    84.2                       270.76859
                    84.4                       286.19328
                    84.6                       302.40334
                    84.8                       319.35197
                      85                       336.94809
                    85.2                       355.13068
                    85.4                       373.93144
                    85.6                       393.47044
                    85.8                       413.87029
                      86                       435.13597
                    86.2                       457.08409
                    86.4                       479.38572
                    86.6                        501.7118
                    86.8                       523.87894
                      87                       545.86365
                    87.2                       567.63856
                    87.4                       588.93425
                    87.6                       609.11996
                    87.8                       627.34104
                      88                       642.85982
                    88.2                       655.34667
                    88.4                       664.86475
                    88.6                       671.55271
                    88.8                       675.29425
                      89                       675.68614
                    89.2                       672.35673
                    89.4                       665.36577
                    89.6                       655.32213
                    89.8                       643.10732
                      90                       629.44601
                    90.2                       614.66425
                    90.4                        598.7794
                    90.6                        581.7983
                    90.8                       563.96438
                      91                       545.76761
                    91.2                       527.74071
                    91.4                       510.22445
                    91.6                       493.27344
                    91.8                       476.74526
                      92                       460.48803
                    92.2                       444.48938
                    92.4                       428.89409
                    92.6                       413.90057
                    92.8                       399.62821
                      93                       386.05069
                    93.2                        373.0301
                    93.4                       360.41697
                    93.6                       348.14302
                    93.8                       336.24651
                      94                       324.82199
                    94.2                       313.93833
                    94.4                       303.58351
                    94.6                       293.66864
                    94.8                        284.0822
                      95                       274.75403
                    95.2                       265.68627
                    95.4                       256.93402
                    95.6                       248.55397
                    95.8                       240.55811
                      96                       232.90167
                    96.2                       225.50996
                    96.4                       218.32315
                    96.6                       211.32858
                    96.8                       204.56021
                      97                       198.06842
                    97.2                       191.88235
                    97.4                       185.98976
                    97.6                       180.34587
                    97.8                       174.90369
                      98                       169.64482
                    98.2                       164.59069
                    98.4                         159.788
                    98.6                       155.27953
                    98.8                       151.08009
                      99                       147.17281
                    99.2                       143.52715
                    99.4                       140.12599
                    99.6                       136.98363
                    99.8                       134.14267
                     100                        131.6526
                   100.2                       129.54459
                   100.4                       127.81918
                   100.6                        126.4548
                   100.8                       125.43092
                     101                       124.75002
                   101.2                       124.44272
                   101.4                       124.55252
                   101.6                       125.11009
                   101.8                       126.11477
                     102                       127.53603
                   102.2                        129.3343
                   102.4                       131.48729
                   102.6                       134.00396
                   102.8                       136.91589
                     103                       140.25181
                   103.2                       144.01253
                   103.4                       148.16387
                   103.6                       152.65361
                   103.8                       157.44232
                     104                       162.52764
                   104.2                       167.94477
                   104.4                        173.7409
                   104.6                       179.94016
                   104.8                       186.52252
                     105                       193.43293
                   105.2                       200.61713
                   105.4                       208.06173
                   105.6                       215.81029
                   105.8                       223.94067
                     106                       232.51588
                   106.2                       241.54054
                   106.4                       250.95481
                   106.6                       260.67498
                   106.8                       270.65806
                     107                       280.94574
                   107.2                       291.65148
                   107.4                       302.89191
                   107.6                       314.70565
                   107.8                       327.01747
                     108                       339.68093
                   108.2                       352.58094
                   108.4                       365.72775
                   108.6                       379.26615
                   108.8                       393.37761
                     109                       408.13372
                   109.2                       423.40443
                   109.4                        438.8999
                   109.6                       454.33834
                   109.8                       469.62932
                     110                        484.9222
                   110.2                       500.45385
                   110.4                       516.28716
                   110.6                       532.13283
                   110.8                       547.41145
                     111                        561.5529
                   111.2                       574.32788
                   111.4                       585.92954
                   111.6                        596.7003
                   111.8                       606.70234
                     112                       615.47999
                   112.2                       622.23974
                   112.4                       626.35928
                   112.6                       627.83167
                   112.8                        627.2477
                     113                       625.30998
                   113.2                       622.28339
                   113.4                       617.82287
                   113.6                       611.31258
                   113.8                       602.45498
                     114                       591.62752
                   114.2                       579.70701
                   114.4                       567.52616
                   114.6                        555.4079
                   114.8                       543.10095
                     115                       530.12077
                   115.2                       516.22471
                   115.4                       501.66187
                   115.6                       487.02459
                   115.8                       472.85471
                     116                       459.32165
                   116.2                       446.18541
                   116.4                       433.03925
                   116.6                       419.64436
                   116.8                       406.11231
                     117                       392.81297
                   117.2                       380.10191
                   117.4                       368.08034
                   117.6                       356.54663
                   117.8                       345.15514
                     118                       333.66392
                   118.2                       322.09404
                   118.4                       310.68997
                   118.6                       299.72449
                   118.8                        289.2991
                     119                       279.27431
                   119.2                       269.36695
                   119.4                        259.3432
                   119.6                       249.16969
                   119.8                       239.01389
                     120                       229.10067
                   120.2                        219.5361
                   120.4                       210.22169
                   120.6                       200.91565
                   120.8                        191.4022
                     121                       181.65219
                   121.2                       171.85666
                   121.4                       162.30828
                   121.6                        153.2155
                   121.8                       144.57215
                     122                       136.17471
                   122.2                       127.81306
                   122.4                       119.56467
                   122.6                       112.04644
                   122.8                       106.50237
                     123                       104.68536
                   123.2                       108.52292
                   123.4                       119.68991
                   123.6                        139.5081
                   123.8                          169.45
                     124                        211.9578
                   124.2                       271.14166
                   124.4                       352.67233
                   124.6                       460.00344
                   124.8                       579.52822
                     125                       661.96266
                   125.2                       664.24847
                   125.4                       611.18436
                   125.6                        545.0941
                   125.8                       484.30202
                     126                        432.5672
                   126.2                        389.6839
                   126.4                       354.74725
                   126.6                       326.66102
                   126.8                       304.18523
                     127                       286.05529
                   127.2                       271.17691
                   127.4                       258.79509
                   127.6                       248.53179
                   127.8                       240.25271
                     128                       233.82475
                   128.2                       228.88519
                   128.4                       224.74268
                   128.6                       220.48811
                   128.8                       215.29647
                     129                       208.75524
                   129.2                        200.9909
                   129.4                       192.51291
                   129.6                       183.91907
                   129.8                       175.66399
                     130                       167.98013
                   130.2                       160.92305
                   130.4                       154.46838
                   130.6                       148.59417
                   130.8                        143.3128
                     131                       138.65306
                   131.2                       134.62123
                   131.4                       131.17592
                   131.6                       128.23612
                   131.8                       125.71745
                     132                       123.57196
                   132.2                       121.80426
                   132.4                       120.45365
                   132.6                        119.5554
                   132.8                        119.1077
                     133                       119.06602
                   133.2                       119.36728
                   133.4                       119.96653
                   133.6                       120.86016
                   133.8                       122.07987
                     134                       123.66192
                   134.2                       125.61378
                   134.4                       127.90108
                   134.6                       130.46369
                   134.8                       133.24986
                     135                       136.24492
                   135.2                        139.4744
                   135.4                       142.97935
                   135.6                       146.78091
                   135.8                       150.85874
                     136                       155.15841
