        Frequency / MHz                Port 1 [1] (Mesh Pass=5)/arg,degrees
----------------------------------------------------------------------
                      50                      -88.370313
                    50.2                      -88.480231
                    50.4                      -88.562025
                    50.6                      -88.600548
                    50.8                      -88.604238
                      51                      -88.598361
                    51.2                      -88.607753
                    51.4                      -88.640982
                    51.6                      -88.686181
                    51.8                      -88.720577
                      52                      -88.726439
                    52.2                      -88.702383
                    52.4                      -88.663155
                    52.6                      -88.629051
                    52.8                      -88.612454
                      53                      -88.610306
                    53.2                       -88.60699
                    53.4                      -88.585056
                    53.6                      -88.536256
                    53.8                      -88.465857
                      54                       -88.38812
                    54.2                      -88.316397
                    54.4                      -88.254304
                    54.6                      -88.193379
                    54.8                      -88.118229
                      55                      -88.015384
                    55.2                      -87.880148
                    55.4                      -87.717455
                    55.6                      -87.536613
                    55.8                      -87.343191
                      56                        -87.1327
                    56.2                      -86.889255
                    56.4                      -86.589192
                    56.6                      -86.206543
                    56.8                      -85.716127
                      57                      -85.090716
                    57.2                      -84.289932
                    57.4                      -83.238222
                    57.6                      -81.783838
                    57.8                      -79.609752
                      58                      -75.987778
                    58.2                      -68.892267
                    58.4                      -50.638877
                    58.6                       5.3033895
                    58.8                       53.272042
                      59                       68.417913
                    59.2                       74.738435
                    59.4                       78.126027
                    59.6                       80.211722
                    59.8                       81.601808
                      60                       82.575189
                    60.2                       83.283868
                    60.4                       83.821552
                    60.6                        84.24868
                    60.8                       84.601896
                      61                       84.899308
                    61.2                       85.146337
                    61.4                       85.343034
                    61.6                       85.491162
                    61.8                       85.598412
                      62                       85.677998
                    62.2                       85.743991
                    62.4                        85.80512
                    62.6                       85.860893
                    62.8                       85.902785
                      63                       85.920201
                    63.2                       85.907851
                    63.4                       85.870022
                    63.6                       85.818804
                    63.8                       85.766888
                      64                       85.719225
                    64.2                       85.669058
                    64.4                       85.601372
                    64.6                        85.50199
                    64.8                       85.366694
                      65                       85.204265
                    65.2                       85.030741
                    65.4                       84.857906
                    65.6                       84.683402
                    65.8                       84.489499
                      66                       84.252032
                    66.2                       83.954234
                    66.4                       83.596397
                    66.6                        83.19409
                    66.8                       82.764484
                      67                       82.308825
                    67.2                       81.802819
                    67.4                       81.202191
                    67.6                       80.460694
                    67.8                       79.549004
                      68                        78.46019
                    68.2                       77.193323
                    68.4                       75.719781
                    68.6                       73.949009
                    68.8                       71.710853
                      69                        68.75866
                    69.2                       64.779059
                    69.4                       59.377444
                    69.6                       52.001845
                    69.8                       41.815352
                      70                       27.767387
                    70.2                       9.6467708
                    70.4                      -9.9207324
                    70.6                      -26.672142
                    70.8                      -38.873772
                      71                      -47.333689
                    71.2                      -53.327755
                    71.4                      -57.764282
                    71.6                      -61.156503
                    71.8                      -63.771867
                      72                      -65.768941
                    72.2                        -67.2791
                    72.4                      -68.432025
                    72.6                      -69.344727
                    72.8                       -70.10013
                      73                      -70.736003
                    73.2                      -71.253252
                    73.4                      -71.638786
                    73.6                      -71.888818
                    73.8                      -72.019514
                      74                      -72.061332
                    74.2                      -72.043507
                    74.4                      -71.979691
                    74.6                      -71.863606
                    74.8                      -71.676534
                      75                      -71.400892
                    75.2                      -71.030803
                    75.4                       -70.57352
                    75.6                      -70.041851
                    75.8                      -69.443094
                      76                      -68.771471
                    76.2                      -68.008345
                    76.4                        -67.1294
                    76.6                      -66.113683
                    76.8                      -64.948712
                      77                      -63.628732
                    77.2                      -62.147459
                    77.4                      -60.489756
                    77.6                       -58.62708
                    77.8                      -56.519221
                      78                      -54.121162
                    78.2                      -51.391167
                    78.4                      -48.295899
                    78.6                      -44.810614
                    78.8                      -40.915857
                      79                      -36.595222
                    79.2                      -31.839507
                    79.4                      -26.659793
                    79.6                      -21.105621
                    79.8                      -15.277852
                      80                      -9.3244941
                    80.2                      -3.4160326
                    80.4                       2.2891534
                    80.6                       7.6711099
                    80.8                       12.655017
                      81                       17.201492
                    81.2                       21.292573
                    81.4                       24.923456
                    81.6                       28.102062
                    81.8                       30.851885
                      82                       33.212034
                    82.2                       35.231287
                    82.4                       36.957538
                    82.6                       38.427537
                    82.8                       39.662267
                      83                       40.670404
                    83.2                       41.457584
                    83.4                       42.035694
                    83.6                       42.426271
                    83.8                       42.655594
                      84                       42.744363
                    84.2                       42.698835
                    84.4                       42.509818
                    84.6                       42.160979
                    84.8                       41.641583
                      85                       40.955234
                    85.2                       40.118126
                    85.4                       39.147004
                    85.6                       38.044662
