        Frequency / MHz                S1,1 (8)/abs,dB
----------------------------------------------------------------------
                      40                      -3.6342549
               40.259998                      -3.6743693
                   40.52                      -3.7143377
               40.779999                      -3.7629444
               41.040001                      -3.8316191
               41.299999                       -3.929122
               41.560001                      -4.0579724
                   41.82                      -4.2153095
               42.080002                      -4.3988167
                   42.34                      -4.6155359
               42.599998                      -4.8889486
               42.860001                      -5.2600274
               43.119999                      -5.7813523
               43.380001                      -6.5056805
               43.639999                      -7.4664914
               43.900002                      -8.6353064
                   44.16                      -9.8258629
               44.419998                       -10.58507
                   44.68                      -10.426694
               44.939999                      -9.4518309
               45.200001                       -8.198782
               45.459999                      -7.0444396
               45.720001                      -6.1181643
                   45.98                      -5.4256376
               46.240002                      -4.9269228
                    46.5                      -4.5694138
               46.759998                      -4.3033311
                   47.02                      -4.0910304
               47.279999                      -3.9112863
               47.540001                      -3.7574606
               47.799999                      -3.6308107
               48.060001                      -3.5328487
                   48.32                      -3.4605495
               48.580002                      -3.4059892
                   48.84                      -3.3595219
               49.099998                      -3.3140885
               49.360001                      -3.2678771
               49.619999                      -3.2238303
               49.880001                      -3.1865469
               50.139999                      -3.1587709
               50.400002                       -3.139508
                   50.66                      -3.1246603
               50.919998                      -3.1095085
                   51.18                      -3.0914024
               51.439999                      -3.0710139
               51.700001                       -3.051464
               51.959999                      -3.0360695
               52.220001                      -3.0261997
                   52.48                      -3.0205173
               52.740002                      -3.0159293
                      53                      -3.0095485
               53.259998                      -3.0003942
                   53.52                      -2.9898235
               53.779999                      -2.9804774
               54.040001                      -2.9745373
               54.299999                      -2.9723865
               54.560001                      -2.9724753
                   54.82                      -2.9723675
               55.080002                      -2.9702726
                   55.34                      -2.9660941
               55.599998                      -2.9613713
               55.860001                      -2.9582119
               56.119999                      -2.9579501
               56.380001                      -2.9603597
               56.639999                       -2.963867
               56.900002                      -2.9665794
                   57.16                      -2.9674514
               57.419998                      -2.9668736
                   57.68                      -2.9663436
               57.939999                      -2.9674723
               58.200001                      -2.9709843
               58.459999                      -2.9763055
               58.720001                      -2.9819713
                   58.98                      -2.9865529
               59.240002                      -2.9895146
                    59.5                      -2.9914962
               59.759998                      -2.9938387
                   60.02                      -2.9977303
               60.279999                       -3.003466
               60.540001                      -3.0103027
               60.799999                       -3.016939
               61.060001                      -3.0223211
                   61.32                       -3.026254
               61.580002                      -3.0294702
                   61.84                      -3.0331282
               62.099998                       -3.038079
               62.360001                      -3.0443517
               62.619999                      -3.0511561
               62.880001                      -3.0573845
               63.139999                      -3.0622743
               63.400002                      -3.0658463
                   63.66                      -3.0688484
               63.919998                      -3.0722703
                   64.18                      -3.0767316
               64.440002                      -3.0821285
               64.699997                      -3.0877173
               64.959999                       -3.092588
               65.220001                      -3.0962159
               65.480003                      -3.0987663
               65.739998                      -3.1009833
                      66                      -3.1037391
               66.260002                      -3.1075338
               66.519997                      -3.1122379
               66.779999                      -3.1172205
               67.040001                      -3.1217724
               67.300003                       -3.125563
               67.559998                      -3.1288694
                   67.82                      -3.1324351
               68.080002                      -3.1370729
