        Frequency / MHz                S1,1 (8)/arg,degrees
----------------------------------------------------------------------
                      40                      0.29867118
               40.259998                      -2.7677938
                   40.52                      -5.9306561
               40.779999                      -9.2307308
               41.040001                      -12.666534
               41.299999                      -16.195871
               41.560001                      -19.764302
                   41.82                      -23.345719
               42.080002                      -26.970624
                   42.34                      -30.717891
               42.599998                      -34.661348
               42.860001                      -38.787328
               43.119999                      -42.909933
               43.380001                      -46.592786
               43.639999                      -49.060132
               43.900002                      -49.104662
                   44.16                      -45.230065
               44.419998                      -36.888373
                   44.68                      -26.830299
               44.939999                      -19.666281
               45.200001                      -17.077514
               45.459999                      -18.021449
               45.720001                      -21.031715
                   45.98                      -25.028521
               46.240002                      -29.337612
                    46.5                      -33.589385
               46.759998                      -37.636274
                   47.02                      -41.479597
               47.279999                      -45.191796
               47.540001                       -48.84453
               47.799999                      -52.465274
               48.060001                      -56.033653
                   48.32                      -59.507498
               48.580002                      -62.856892
                   48.84                      -66.086021
               49.099998                      -69.231959
               49.360001                      -72.343651
               49.619999                      -75.455557
               49.880001                      -78.572713
               50.139999                      -81.674795
               50.400002                      -84.734214
                   50.66                      -87.735986
               50.919998                      -90.688165
                   51.18                      -93.616751
               51.439999                      -96.550284
               51.700001                      -99.503774
               51.959999                      -102.47228
               52.220001                      -105.43706
                   52.48                      -108.37945
               52.740002                      -111.29336
                      53                       -114.1892
               53.259998                       -117.0873
                   53.52                      -120.00567
               53.779999                      -122.94997
               54.040001                      -125.91176
               54.299999                      -128.87562
               54.560001                      -131.82964
                   54.82                       -134.7735
               55.080002                      -137.71851
                   55.34                      -140.68082
               55.599998                      -143.67176
               55.860001                      -146.69189
               56.119999                      -149.73202
               56.380001                      -152.78003
               56.639999                      -155.82917
               56.900002                      -158.88256
                   57.16                      -161.95135
               57.419998                      -165.04822
                   57.68                      -168.17987
               57.939999                      -171.34417
               58.200001                      -174.53232
               58.459999                      -177.73532
               58.720001                       179.05002
                   58.98                       175.81863
               59.240002                       172.56027
                    59.5                       169.26548
               59.759998                       165.93057
                   60.02                       162.55927
               60.279999                       159.15939
               60.540001                       155.73747
               60.799999                        152.2943
               61.060001                       148.82422
                   61.32                       145.31839
               61.580002                       141.76986
                   61.84                       138.17726
               62.099998                       134.54509
               62.360001                       130.88031
               62.619999                       127.18776
               62.880001                       123.46708
               63.139999                       119.71293
               63.400002                       115.91816
                   63.66                       112.07809
               63.919998                       108.19317
                   64.18                       104.26837
               64.440002                       100.31017
               64.699997                       96.322624
               64.959999                       92.305215
               65.220001                        88.25352
               65.480003                       84.162319
               65.739998                       80.029043
                      66                        75.85547
               66.260002                       71.647143
               66.519997                       67.410405
               66.779999                       63.149107
               67.040001                       58.863244
               67.300003                       54.549676
               67.559998                       50.204858
                   67.82                       45.827744
               68.080002                       41.421206
               68.339996                       36.990953
               68.599998                       32.543219
               68.860001                       28.081849
               69.120003                       23.607174
               69.379997                       19.117008
               69.639999                       14.608755
               69.900002                        10.08225
               70.160004                       5.5405032
               70.419998                      0.98900133
                   70.68                      -3.5666254
               70.940002                      -8.1229629
               71.199997                      -12.679874
               71.459999                      -17.239544
               71.720001                      -21.804269
               71.980003                      -26.374456
               72.239998                      -30.947544
                    72.5                      -35.518933
               72.760002                      -40.083987
               73.019997                      -44.640269
               73.279999                      -49.188328
               73.540001                      -53.730894
               73.800003                      -58.270869
               74.059998                      -62.809284
                   74.32                      -67.344473
               74.580002                      -71.872943
               74.839996                      -76.391277
               75.099998                      -80.898027
               75.360001                      -85.394805
               75.620003                      -89.885108
               75.879997                      -94.372515
               76.139999                      -98.858939
               76.400002                      -103.34353
               76.660004                      -107.82353
               76.919998                      -112.29671
                   77.18                      -116.76245
               77.440002                      -121.22322
               77.699997                      -125.68328
               77.959999                      -130.14711
               78.220001                        -134.617
               78.480003                      -139.09274
               78.739998                      -143.57236
                      79                      -148.05401
               79.260002                      -152.53794
               79.519997                      -157.02724
               79.779999                      -161.52696
               80.040001                      -166.04199
               80.300003                      -170.57527
               80.559998                      -175.12674
                   80.82                      -179.69466
               81.080002                       175.72277
               81.339996                       171.12502
               81.599998                       166.50868
               81.860001                       161.86852
               82.120003                       157.19957
               82.379997                       152.49925
               82.639999                       147.76817
               82.900002                       143.00917
               83.160004                        138.2252
               83.419998                       133.41712
                   83.68                       128.58288
               83.940002                        123.7188
               84.199997                       118.82188
               84.459999                       113.89191
               84.720001                       108.93253
               84.980003                       103.95032
               85.239998                       98.952045
                    85.5                       93.942511
               85.760002                       88.923961
               86.019997                       83.896614
               86.279999                       78.861617
               86.540001                       73.822742
               86.800003                       68.787853
               87.059998                       63.767064
                   87.32                       58.771136
               87.580002                        53.80772
               87.839996                       48.881295
               88.099998                       43.993447
               88.360001                       39.145542
               88.620003                       34.341074
               88.879997                       29.586175
               89.139999                       24.889353
               89.400002                       20.258431
               89.660004                       15.698376
               89.919998                       11.210124
                   90.18                       6.7914825
               90.440002                       2.4393412
               90.699997                      -1.8481055
               90.959999                      -6.0696542
               91.220001                      -10.222464
               91.480003                       -14.30342
               91.739998                      -18.311155
                      92                      -22.246876
               92.260002                      -26.114019
               92.519997                      -29.916522
               92.779999                      -33.657444
               93.040001                      -37.338807
               93.300003                       -40.96181
               93.559998                      -44.528263
                   93.82                      -48.041386
               94.080002                      -51.505491
               94.339996                       -54.92452
               94.599998                      -58.301095
               94.860001                      -61.635866
               95.120003                      -64.928125
               95.379997                       -68.17755
               95.639999                      -71.385879
               95.900002                      -74.556999
               96.160004                      -77.696263
               96.419998                      -80.808643
                   96.68                      -83.896709
               96.940002                      -86.960841
               97.199997                       -89.99962
               97.459999                      -93.012552
               97.720001                      -96.001224
               97.980003                      -98.969407
               98.239998                      -101.92218
                    98.5                       -104.8637
               98.760002                      -107.79581
               99.019997                      -110.71826
               99.279999                      -113.62945
               99.540001                      -116.52911
               99.800003                      -119.41905
                  100.06                      -122.30336
                  100.32                      -125.18662
                  100.58                       -128.0724
                  100.84                      -130.96169
                   101.1                      -133.85353
                  101.36                      -136.74653
                  101.62                      -139.64083
                  101.88                      -142.53875
                  102.14                      -145.44464
                   102.4                      -148.36271
                  102.66                      -151.29576
                  102.92                      -154.24399
                  103.18                      -157.20617
                  103.44                      -160.18102
                   103.7                      -163.16941
                  103.96                       -166.1742
                  104.22                       -169.1996
                  104.48                      -172.24963
                  104.74                      -175.32606
                     105                       -178.4286
                  105.26                       178.44448
                  105.52                       175.29396
                  105.78                       172.11891
                  106.04                       168.91588
                   106.3                       165.68093
                  106.56                       162.41086
                  106.82                       159.10526
                  107.08                       155.76503
                  107.34                       152.39245
                   107.6                       148.98861
                  107.86                       145.55264
                  108.12                        142.0817
                  108.38                       138.57262
                  108.64                        135.0242
                   108.9                       131.43699
                  109.16                       127.81426
                  109.42                       124.15907
                  109.68                       120.47372
                  109.94                       116.75864
                   110.2                       113.01231
                  110.46                       109.23385
                  110.72                       105.42402
                  110.98                       101.58622
                  111.24                       97.725361
                   111.5                       93.846906
                  111.76                       89.954354
                  112.02                       86.049452
                  112.28                       82.132639
                  112.54                       78.205226
                   112.8                       74.269508
                  113.06                       70.330619
                  113.32                       66.394572
                  113.58                        62.46716
                  113.84                       58.552097
                   114.1                       54.651128
                  114.36                       50.764803
                  114.62                       46.893889
                  114.88                       43.041115
                  115.14                       39.210965
                   115.4                       35.407919
                  115.66                       31.636231
                  115.92                       27.897222
                  116.18                        24.19078
                  116.44                        20.51548
                   116.7                       16.871002
                  116.96                       13.258433
                  117.22                       9.6803973
                  117.48                       6.1402828
                  117.74                       2.6396194
                     118                     -0.82181107
                  118.26                      -4.2461948
                  118.52                      -7.6361542
                  118.78                      -10.993548
                  119.04                      -14.318047
                   119.3                      -17.608449
                  119.56                      -20.862789
                  119.82                      -24.080956
                  120.08                      -27.264261
                  120.34                      -30.415764
                   120.6                      -33.538418
                  120.86                       -36.63408
                  121.12                      -39.702527
                  121.38                      -42.742779
                  121.64                      -45.753855
                   121.9                      -48.736407
                  122.16                      -51.692403
                  122.42                      -54.624797
                  122.68                      -57.536531
                  122.94                       -60.42871
                   123.2                      -63.301323
                  123.46                      -66.153061
                  123.72                      -68.983602
                  123.98                      -71.793924
                  124.24                      -74.586433
                   124.5                       -77.36397
                  124.76                      -80.128942
                  125.02                       -82.88189
                  125.28                      -85.622161
                  125.54                      -88.348991
                   125.8                       -91.06238
                  126.06                      -93.763419
                  126.32                      -96.454841
                  126.58                      -99.139379
                  126.84                      -101.81878
                   127.1                      -104.49294
                  127.36                      -107.16152
                  127.62                      -109.82376
                  127.88                      -112.48011
                  128.14                      -115.13295
               128.39999                      -117.78503
                  128.66                      -120.43941
                  128.92                      -123.09794
               129.17999                      -125.76182
                  129.44                      -128.43215
                   129.7                      -131.11068
               129.96001                      -133.80013
                  130.22                      -136.50314
                  130.48                      -139.22079
               130.74001                      -141.95166
                     131                      -144.69127
               131.25999                      -147.43373
                  131.52                      -150.17433
                  131.78                      -152.91111
               132.03999                      -155.64668
                   132.3                       -158.3864
                  132.56                      -161.13597
               132.82001                      -163.89952
                  133.08                      -166.67837
                  133.34                      -169.47066
               133.60001                      -172.27508
                  133.86                      -175.09097
                  134.12                      -177.92086
                  134.38                       179.23145
                  134.64                       176.36211
               134.89999                        173.4695
                  135.16                       170.55503
                  135.42                       167.62133
               135.67999                       164.67068
                  135.94                        161.7031
                   136.2                       158.71596
               136.46001                       155.70511
                  136.72                       152.66737
                  136.98                       149.60274
               137.24001                       146.51396
                   137.5                       143.40475
               137.75999                       140.27817
                  138.02                       137.13388
                  138.28                       133.96882
               138.53999                       130.77918
                   138.8                       127.56254
                  139.06                       124.32077
               139.32001                       121.05867
                  139.58                       117.78236
                  139.84                       114.49546
               140.10001                       111.19785
                  140.36                       107.88613
                  140.62                       104.55606
                  140.88                       101.20675
                  141.14                       97.842257
               141.39999                       94.470656
                  141.66                       91.100477
                  141.92                       87.737073
               142.17999                       84.379571
                  142.44                       81.022615
                   142.7                       77.659866
               142.96001                       74.290235
                  143.22                       70.919724
                  143.48                       67.561241
               143.74001                       64.229967
                     144                       60.935739
               144.25999                       57.678995
                  144.52                       54.449132
                  144.78                       51.230314
               145.03999                        48.00843
                   145.3                        44.77846
                  145.56                        41.54751
               145.82001                       38.332075
                  146.08                       35.152045
                  146.34                       32.022729
               146.60001                       28.949252
                  146.86                       25.926483
                  147.12                       22.943276
                  147.38                       19.987714
                  147.64                       17.053249
               147.89999                       14.140856
                  148.16                       11.256549
                  148.42                       8.4080862
               148.67999                       5.5996222
                  148.94                       2.8311553
                   149.2                      0.09886107
               149.46001                       -2.602506
                  149.72                      -5.2764432
                  149.98                      -7.9228411
               150.24001                      -10.539295
                   150.5                      -13.122856
               150.75999                      -15.671663
                  151.02                      -18.186813
                  151.28                      -20.671251
               151.53999                      -23.128152
                   151.8                      -25.559481
                  152.06                      -27.965131
               152.32001                      -30.343893
                  152.58                      -32.694242
                  152.84                      -35.015743
               153.10001                      -37.309921
                  153.36                      -39.578857
                  153.62                      -41.824622
                  153.88                      -44.048419
                  154.14                      -46.250146
               154.39999                      -48.428705
                  154.66                      -50.583655
                  154.92                      -52.715112
               155.17999                      -54.824385
                  155.44                      -56.913001
                   155.7                      -58.982276
               155.96001                      -61.032971
                  156.22                      -63.064544
                  156.48                      -65.076551
               156.74001                      -67.068672
                     157                      -69.041122
               157.25999                      -70.995103
                  157.52                      -72.931598
                  157.78                      -74.851591
               158.03999                      -76.754974
                   158.3                      -78.641637
                  158.56                      -80.510595
               158.82001                      -82.362067
                  159.08                      -84.196273
                  159.34                      -86.013869
               159.60001                      -87.815728
                  159.86                      -89.601959
                  160.12                      -91.372562
                  160.38                      -93.126992
                  160.64                       -94.86492
               160.89999                        -96.5858
                  161.16                      -98.290396
                  161.42                      -99.979147
               161.67999                      -101.65238
                  161.94                      -103.31031
                   162.2                      -104.95305
               162.46001                      -106.57995
                  162.72                      -108.19144
                  162.98                      -109.78763
               163.24001                      -111.36961
                   163.5                      -112.93869
               163.75999                       -114.4963
                  164.02                      -116.04408
                  164.28                      -117.58366
               164.53999                      -119.11733
                   164.8                      -120.64828
                  165.06                      -122.18065
               165.32001                      -123.72023
                  165.58                      -125.27358
                  165.84                      -126.84889
               166.10001                      -128.45546
                  166.36                      -130.10433
                  166.62                      -131.80837
                  166.88                      -133.58247
                  167.14                      -135.44389
               167.39999                      -137.41121
                  167.66                       -139.5043
                  167.92                      -141.74253
               168.17999                       -144.1449
                  168.44                      -146.72693
                   168.7                      -149.50064
               168.96001                      -152.47106
                  169.22                      -155.63601
                  169.48                      -158.98357
               169.74001                      -162.49243
                     170                      -166.13308
               170.25999                      -169.86892
                  170.52                      -173.66017
                  170.78                      -177.46639
               171.03999                       178.74936
                   171.3                       175.01844
                  171.56                       171.36489
               171.82001                       167.80445
                  172.08                       164.34586
                  172.34                       160.99131
               172.60001                       157.73915
                  172.86                       154.58393
                  173.12                       151.51876
                  173.38                       148.53468
                  173.64                       145.62185
               173.89999                       142.76967
                  174.16                       139.96853
                  174.42                       137.20946
               174.67999                       134.48525
                  174.94                       131.78957
                   175.2                       129.11683
               175.46001                       126.46169
                  175.72                       123.81869
                  175.98                       121.18289
               176.24001                       118.55004
                   176.5                       115.91752
               176.75999                       113.28369
                  177.02                       110.64822
                  177.28                       108.01002
               177.53999                       105.36788
                   177.8                       102.71996
                  178.06                       100.06416
               178.32001                       97.400169
                  178.58                       94.728417
                  178.84                       92.050765
               179.10001                       89.369396
                  179.36                       86.685514
                  179.62                       83.999009
                  179.88                       81.309008
                  180.14                       78.614853
               180.39999                       75.917966
                  180.66                       73.220753
                  180.92                       70.526818
               181.17999                       67.839437
                  181.44                       65.160037
                   181.7                       62.488066
               181.96001                       59.822547
                  182.22                       57.162922
                  182.48                        54.51128
               182.74001                       51.871329
                     183                       49.247554
               183.25999                        46.64323
                  183.52                       44.058687
                  183.78                       41.491628
               184.03999                       38.939214
                   184.3                       36.400242
                  184.56                       33.877332
               184.82001                       31.375845
                  185.08                       28.901567
                  185.34                        26.45767
               185.60001                        24.04208
                  185.86                       21.648344
                  186.12                       19.268268
                  186.38                       16.897046
                  186.64                       14.536642
               186.89999                        12.19558
                  187.16                       9.8867577
                  187.42                       7.6208842
               187.67999                       5.4024381
                  187.94                       3.2270504
                   188.2                       1.0830266
               188.46001                      -1.0429654
                  188.72                      -3.1607613
                  188.98                      -5.2725463
               189.24001                      -7.3732944
                   189.5                       -9.454261
               189.75999                      -11.507252
                  190.02                      -13.529099
                  190.28                      -15.521765
               190.53999                      -17.490934
                   190.8                      -19.442401
                  191.06                      -21.378679
               191.32001                      -23.298675
                  191.58                      -25.199213
                  191.84                      -27.076915
               192.10001                      -28.930903
                  192.36                      -30.763141
                  192.62                       -32.57713
                  192.88                       -34.37593
                  193.14                        -36.1603
               193.39999                      -37.929373
                  193.66                      -39.680962
                  193.92                      -41.413536
               194.17999                      -43.127094
                  194.44                      -44.824041
                   194.7                      -46.506565
               194.96001                      -48.176408
                  195.22                      -49.833795
                  195.48                       -51.47763
               195.74001                      -53.106165
                     196                      -54.718964
               196.25999                      -56.316901
                  196.52                      -57.901941
                  196.78                      -59.475616
               197.03999                      -61.038799
                   197.3                      -62.591274
                  197.56                      -64.131728
               197.82001                      -65.659285
                  198.08                      -67.173731
                  198.34                      -68.676809
               198.60001                      -70.169616
                  198.86                      -71.653897
                  199.12                      -73.129219
                  199.38                      -74.595141
                  199.64                      -76.050792
               199.89999                      -77.495295
                  200.16                      -78.929744
                  200.42                       -80.35523
               200.67999                       -81.77285
                  200.94                      -83.183694
                   201.2                      -84.586889
               201.46001                      -85.982214
                  201.72                      -87.368579
                  201.98                      -88.746201
               202.24001                      -90.115954
                   202.5                      -91.479151
               202.75999                      -92.836883
                  203.02                      -94.189151
                  203.28                      -95.535299
               203.53999                       -96.87511
                   203.8                      -98.207707
                  204.06                      -99.534184
               204.32001                      -100.85542
                  204.58                      -102.17271
                  204.84                      -103.48608
               205.10001                      -104.79638
                  205.36                      -106.10253
                  205.62                      -107.40409
                  205.88                       -108.7015
                  206.14                      -109.99563
               206.39999                      -111.28779
                  206.66                       -112.5793
                  206.92                      -113.86993
               207.17999                      -115.15991
                  207.44                      -116.44879
                   207.7                      -117.73637
               207.96001                      -119.02394
                  208.22                      -120.31238
