        Time / ns                i1 (8)/real
----------------------------------------------------------------------
                       0                  -6.6445409e-09
             0.068851776                   1.5062437e-06
              0.13770355                   1.7105559e-06
              0.20655534                   1.9305253e-06
              0.27540711                   2.1649469e-06
              0.34425887                   2.4118544e-06
              0.41311067                   2.6684288e-06
              0.48196244                   2.9307935e-06
              0.55081421                     3.19382e-06
              0.61966598                   3.4509278e-06
              0.68851775                   3.6938397e-06
              0.75736958                    3.912342e-06
              0.82622135                   4.0940035e-06
              0.89507312                   4.2238735e-06
              0.96392488                   4.2841862e-06
               1.0327767                   4.2540401e-06
               1.1016284                   4.1090552e-06
               1.1704803                    3.821051e-06
                1.239332                   3.3577121e-06
               1.3081838                   2.6822715e-06
               1.3770355                   1.7532009e-06
               1.4458873                   5.2396143e-07
               1.5147392                  -1.0572346e-06
               1.5835909                  -3.0475708e-06
               1.6524427                  -5.5097157e-06
               1.7212944                   -8.511799e-06
               1.7901462                  -1.2127283e-05
               1.8589979                  -1.6434682e-05
               1.9278498                  -2.1517109e-05
               1.9967016                  -2.7461629e-05
               2.0655534                  -3.4358378e-05
               2.1344051                  -4.2299438e-05
               2.2032568                  -5.1377396e-05
               2.2721086                   -6.168359e-05
               2.3409605                  -7.3305979e-05
               2.4098122                  -8.6326647e-05
               2.4786639                  -0.00010081885
               2.5475159                   -0.0001168436
               2.6163676                  -0.00013444577
               2.6852193                   -0.0001536497
                2.754071                  -0.00017445425
               2.8229229                  -0.00019682728
               2.8917747                  -0.00022069969
               2.9606264                  -0.00024595871
               3.0294783                   -0.0002724409
                 3.09833                  -0.00029992455
               3.1671817                   -0.0003281215
               3.2360334                  -0.00035666878
               3.3048854                  -0.00038511981
               3.3737371                  -0.00041293548
               3.4425888                  -0.00043947503
               3.5114408                  -0.00046398706
               3.5802925                  -0.00048560082
               3.6491442                  -0.00050331786
               3.7179959                  -0.00051600434
               3.7868478                   -0.0005223843
               3.8556995                  -0.00052103418
               3.9245512                  -0.00051037874
               3.9934032                  -0.00048868876
               4.0622549                  -0.00045408116
               4.1311069                  -0.00040452156
               4.1999583                  -0.00033782967
               4.2688103                  -0.00025168835
               4.3376617                   -0.0001436563
               4.4065137                  -1.1184831e-05
               4.4753656                    0.0001483605
               4.5442171                   0.00033767344
               4.6130691                    0.0005594751
                4.681921                   0.00081647636
               4.7507725                    0.0011113343
               4.8196244                    0.0014466023
               4.8884764                    0.0018246738
               4.9573278                    0.0022477198
               5.0261798                    0.0027176195
               5.0950317                    0.0032358847
               5.1638832                    0.0038035787
               5.2327352                    0.0044212285
               5.3015866                     0.005088733
               5.3704386                    0.0058052661
               5.4392905                     0.006569175
                5.508142                    0.0073778811
               5.5769939                    0.0082277711
               5.6458459                    0.0091140959
               5.7146974                     0.010030868
               5.7835493                     0.010970765
               5.8524013                      0.01192503
               5.9212527                     0.012883393
               5.9901047                     0.013833997
               6.0589566                     0.014763326
               6.1278081                      0.01565617
                 6.19666                     0.016495584
               6.2655115                     0.017262885
               6.3343635                     0.017937668
               6.4032154                      0.01849784
               6.4720669                      0.01891969
               6.5409188                     0.019177996
               6.6097708                     0.019246146
               6.6786222                     0.019096317
               6.7474742                     0.018699672
               6.8163261                     0.018026613
               6.8851776                     0.017047057
               6.9540296                     0.015730765
               7.0228815                       0.0140477
                7.091733                      0.01196844
               7.1605849                    0.0094646076
               7.2294364                    0.0065093515
               7.2982883                    0.0030778586
               7.3671403                  -0.00085211301
               7.4359918                   -0.0052996669
               7.5048437                    -0.010280186
               7.5736957                    -0.015804738
               7.6425471                     -0.02187947
               7.7113991                    -0.028505011
                7.780251                    -0.035675876
               7.8491025                    -0.043379899
               7.9179544                    -0.051597681
               7.9868064                    -0.060302094
               8.0556583                    -0.069457814
               8.1245098                    -0.079020932
               8.1933613                    -0.088938639
               8.2622137                    -0.099148966
               8.3310652                     -0.10958064
               8.3999166                     -0.12015303
               8.4687691                     -0.13077626
               8.5376205                     -0.14135128
                8.606472                     -0.15177035
               8.6753235                     -0.16191733
               8.7441759                      -0.1716684
               8.8130274                     -0.18089268
               8.8818789                     -0.18945321
               8.9507313                     -0.19720797
               9.0195827                     -0.20401098
               9.0884342                      -0.2097137
               9.1572866                     -0.21416643
               9.2261381                     -0.21721989
               9.2949896                     -0.21872689
                9.363842                     -0.21854417
               9.4326935                      -0.2165342
                9.501545                     -0.21256712
               9.5703974                     -0.20652273
               9.6392488                     -0.19829251
               9.7081003                     -0.18778151
               9.7769527                     -0.17491044
               9.8458042                     -0.15961747
               9.9146557                      -0.1418601
               9.9835081                     -0.12161682
                10.05236                     -0.09888874
               10.121211                     -0.07370092
               10.190063                    -0.046103604
               10.258915                    -0.016173162
               10.327766                     0.015987171
               10.396619                      0.05024685
                10.46547                     0.086447865
               10.534322                      0.12440491
               10.603173                      0.16390583
               10.672026                      0.20471245
               10.740877                      0.24656175
               10.809729                      0.28916731
               10.878581                      0.33222121
               10.947433                       0.3753961
               11.016284                      0.41834784
               11.085136                       0.4607181
               11.153988                       0.5021376
               11.222839                      0.54222941
               11.291692                      0.58061236
               11.360543                      0.61690497
               11.429395                      0.65072924
               11.498247                      0.68171465
               11.567099                      0.70950222
                11.63595                      0.73374867
               11.704803                       0.7541303
               11.773654                      0.77034706
               11.842505                      0.78212637
               11.911358                      0.78922659
               11.980209                      0.79144073
               12.049061                      0.78859901
               12.117913                      0.78057224
               12.186765                      0.76727366
               12.255616                       0.7486614
               12.324469                      0.72473955
                12.39332                      0.69555944
               12.462172                      0.66122031
               12.531023                      0.62186897
               12.599875                       0.5776996
               12.668727                       0.5289526
               12.737578                      0.47591305
               12.806431                       0.4189086
               12.875282                      0.35830683
               12.944134                      0.29451227
               13.012986                      0.22796293
               13.081838                      0.15912615
               13.150689                     0.088494532
               13.219542                       0.0165812
               13.288393                    -0.056085046
               13.357244                     -0.12896484
               13.426097                     -0.20151348
               13.494948                     -0.27318633
                 13.5638                     -0.34344408
               13.632652                     -0.41175815
               13.701504                     -0.47761592
               13.770355                     -0.54052573
               13.839208                     -0.60002178
               13.908059                     -0.65566862
               13.976911                     -0.70706534
               14.045763                     -0.75384951
               14.114614                     -0.79570037
               14.183466                     -0.83234209
               14.252318                     -0.86354578
                14.32117                     -0.88913155
               14.390021                     -0.90896988
               14.458873                     -0.92298245
               14.527725                     -0.93114209
               14.596577                     -0.93347281
               14.665428                     -0.93004858
               14.734281                     -0.92099196
               14.803132                     -0.90647233
               14.871984                     -0.88670319
               14.940836                     -0.86193973
               15.009687                     -0.83247501
               15.078539                     -0.79863679
               15.147391                     -0.76078343
               15.216243                     -0.71929979
               15.285094                     -0.67459273
               15.353947                      -0.6270867
               15.422798                     -0.57721919
                15.49165                     -0.52543586
               15.560502                     -0.47218642
               15.629354                     -0.41791952
               15.698205                     -0.36307892
               15.767057                     -0.30809891
               15.835909                     -0.25340053
                15.90476                     -0.19938783
               15.973613                     -0.14644442
               16.042463                    -0.094930515
               16.111317                    -0.045180112
               16.180168                    0.0025012451
                16.24902                     0.047838438
               16.317871                     0.090588287
               16.386723                      0.13054067
               16.455574                      0.16751921
               16.524427                      0.20138167
               16.593279                      0.23201977
                16.66213                      0.25935885
               16.730982                      0.28335702
               16.799833                      0.30400404
               16.868685                      0.32132003
               16.937538                      0.33535361
                17.00639                      0.34618014
               17.075241                      0.35389957
               17.144093                      0.35863408
               17.212944                      0.36052591
               17.281796                      0.35973451
               17.350647                      0.35643435
                 17.4195                      0.35081208
               17.488352                      0.34306404
               17.557203                      0.33339375
               17.626055                      0.32200938
               17.694906                       0.3091214
               17.763758                      0.29494029
               17.832611                      0.27967444
               17.901463                      0.26352817
               17.970314                      0.24669988
               18.039165                      0.22938043
               18.108017                      0.21175177
               18.176868                       0.1939856
               18.245722                      0.17624238
               18.314573                      0.15867046
               18.383425                      0.14140539
               18.452276                      0.12456953
               18.521128                      0.10827168
               18.589979                     0.092607014
               18.658833                     0.077657111
               18.727684                      0.06349016
               18.796535                     0.050161272
               18.865387                      0.03771298
               18.934238                     0.026175762
                19.00309                     0.015568724
               19.071943                    0.0059003294
               19.140795                   -0.0028308057
               19.209646                    -0.010635062
               19.278498                    -0.017530939
               19.347349                    -0.023544155
               19.416201                    -0.028706735
               19.485052                    -0.033056118
               19.553905                    -0.036634259
               19.622757                    -0.039486773
               19.691608                    -0.041662104
                19.76046                    -0.043210745
               19.829311                     -0.04418448
               19.898163                    -0.044635717
               19.967016                    -0.044616852
               20.035868                    -0.044179689
               20.104719                    -0.043374937
               20.173571                    -0.042251766
               20.242422                    -0.040857397
               20.311274                    -0.039236814
               20.380127                    -0.037432462
               20.448978                    -0.035484057
                20.51783                    -0.033428419
               20.586681                    -0.031299379
               20.655533                    -0.029127706
               20.724384                    -0.026941096
               20.793238                    -0.024764203
               20.862089                    -0.022618683
               20.930941                    -0.020523297
               20.999792                    -0.018494008
               21.068644                    -0.016544128
               21.137495                    -0.014684468
               21.206347                    -0.012923501
                 21.2752                     -0.01126754
               21.344051                   -0.0097209252
               21.412903                   -0.0082862014
               21.481754                   -0.0069643157
               21.550606                    -0.005754794
               21.619457                   -0.0046559265
               21.688311                   -0.0036649411
               21.757162                   -0.0027781713
               21.826014                    -0.001991214
               21.894865                    -0.001299078
               21.963717                  -0.00069632044
               22.032568                  -0.00017717382
               22.101421                   0.00026434052
               22.170273                   0.00063430972
               22.239124                   0.00093883899
               22.307976                    0.0011839721
               22.376827                    0.0013756237
               22.445679                     0.001519522
               22.514532                    0.0016211611
               22.583384                    0.0016857636
               22.652235                     0.001718251
               22.721087                    0.0017232232
               22.789938                    0.0017049443
               22.858789                    0.0016673347
               22.927643                      0.00161397
               22.996494                     0.001548084
               23.065346                    0.0014725756
