        Frequency / MHz                Port 1 [1] (28)/arg,degrees
----------------------------------------------------------------------
                      40                       79.236844
                   40.26                       80.772254
                   40.52                       81.946439
                   40.78                       82.836397
                   41.04                       83.459104
                    41.3                       83.849414
                   41.56                        84.07748
                   41.82                       84.229606
                   42.08                       84.376087
                   42.34                       84.546373
                    42.6                       84.725259
                   42.86                        84.87192
                   43.12                       84.949715
                   43.38                       84.948995
                   43.64                       84.891515
                    43.9                        84.81659
                   44.16                       84.758143
                   44.42                       84.725785
                   44.68                       84.700662
                   44.94                       84.648041
                    45.2                       84.538238
                   45.46                       84.363151
                   45.72                       84.139372
                   45.98                       83.896699
                   46.24                       83.658594
                    46.5                       83.425814
                   46.76                       83.173026
                   47.02                       82.860388
                   47.28                       82.452846
                   47.54                       81.935736
                    47.8                       81.317402
                   48.06                       80.615966
                   48.32                       79.835517
                   48.58                       78.943563
                   48.84                       77.861291
                    49.1                       76.469723
                   49.36                       74.623806
                   49.62                       72.158206
                   49.88                       68.861968
                   50.14                       64.390425
                    50.4                       58.069586
                   50.66                       48.540546
                   50.92                       33.389698
                   51.18                       10.518803
                   51.44                      -15.632615
                    51.7                      -35.960865
                   51.96                      -48.848391
                   52.22                      -56.956075
                   52.48                      -62.380462
                   52.74                      -66.237736
                      53                      -69.079784
                   53.26                      -71.189712
                   53.52                      -72.740154
                   53.78                      -73.865942
                   54.04                      -74.686462
                    54.3                      -75.301978
                   54.56                      -75.781514
                   54.82                      -76.155045
                   55.08                      -76.417296
                   55.34                      -76.542766
                    55.6                      -76.504846
                   55.86                      -76.290037
                   56.12                      -75.901181
                   56.38                      -75.348239
                   56.64                      -74.629432
                    56.9                      -73.708984
                   57.16                       -72.49796
                   57.42                      -70.839695
                   57.68                      -68.491672
                   57.94                      -65.082779
                    58.2                      -60.003933
                   58.46                      -52.150183
                   58.72                       -39.42638
                   58.98                      -18.684722
                   59.24                        9.541613
                    59.5                        34.88147
                   59.76                        51.17971
                   60.02                       60.851858
                   60.28                       66.816881
                   60.54                       70.739314
                    60.8                       73.494846
                   61.06                       75.547437
                   61.32                       77.138854
                   61.58                       78.389328
                   61.84                       79.359514
                    62.1                       80.090161
                   62.36                       80.623444
                   62.62                       81.008349
                   62.88                       81.294128
                   63.14                        81.51799
                    63.4                       81.694543
                   63.66                       81.813489
                   63.92                       81.847587
                   64.18                         81.7672
                   64.44                       81.554273
                    64.7                       81.208617
                   64.96                       80.741825
                   65.22                       80.158559
                   65.48                       79.430275
                   65.74                        78.46902
                      66                       77.103655
                   66.26                       75.045779
                   66.52                       71.801708
                   66.78                       66.401902
                   67.04                       56.514717
                    67.3                       35.634155
                   67.56                      -6.0671908
                   67.82                      -44.179414
                   68.08                      -61.966611
                   68.34                        -70.3478
                    68.6                      -74.886832
                   68.86                      -77.646942
                   69.12                      -79.512454
                   69.38                      -80.901134
                   69.64                      -82.003875
                    69.9                      -82.892622
                   70.16                      -83.588157
                   70.42                      -84.105677
                   70.68                      -84.477261
                   70.94                      -84.752105
                    71.2                      -84.981698
                   71.46                      -85.201084
                   71.72                      -85.417667
                   71.98                      -85.614421
                   72.24                      -85.765649
                    72.5                      -85.855814
                   72.76                      -85.890715
                   73.02                      -85.895305
                   73.28                      -85.899838
                   73.54                      -85.922351
                    73.8                      -85.957946
                   74.06                      -85.981682
                   74.32                      -85.963439
                   74.58                      -85.885823
                   74.84                      -85.754655
                    75.1                      -85.595806
                   75.36                      -85.439412
                   75.62                      -85.300013
                   75.88                      -85.164646
                   76.14                      -84.996741
                    76.4                      -84.753942
                   76.66                       -84.40964
                   76.92                      -83.965676
                   77.18                      -83.447335
                   77.44                      -82.880175
                    77.7                      -82.259131
                   77.96                      -81.526239
                   78.22                      -80.567731
                   78.48                      -79.227364
                   78.74                      -77.318905
                      79                      -74.606615
                   79.26                      -70.696312
                   79.52                      -64.708541
                   79.78                      -54.370933
                   80.04                      -33.763735
                    80.3                       3.9229512
                   80.56                       38.542782
                   80.82                       56.107522
                   81.08                       64.881751
                   81.34                       69.969633
                    81.6                       73.349001
                   81.86                       75.795193
                   82.12                       77.615324
                   82.38                       78.946626
                   82.64                       79.888351
                    82.9                       80.547599
                   83.16                       81.036977
                   83.42                       81.451426
                   83.68                       81.845387
                   83.94                       82.225503
                    84.2                       82.564343
                   84.46                       82.827627
                   84.72                       82.999386
                   84.98                       83.092276
                   85.24                       83.139963
                    85.5                       83.177779
                   85.76                       83.223116
                   86.02                       83.266909
                   86.28                       83.281023
                   86.54                       83.236587
                    86.8                        83.12195
                   87.06                       82.949883
                   87.32                       82.749891
                   87.58                       82.549544
                   87.84                       82.355354
                    88.1                        82.14499
                   88.36                        81.87619
                   88.62                       81.507494
                   88.88                       81.018942
                   89.14                       80.420566
                    89.4                       79.741625
                   89.66                        79.00306
                   89.92                        78.18636
                   90.18                       77.215957
                   90.44                       75.964435
                    90.7                       74.275716
                   90.96                       71.990265
                   91.22                       68.948088
                   91.48                       64.936408
                   91.74                        59.54339
                      92                        51.88341
                   92.26                       40.218361
                   92.52                       22.093002
                   92.78                      -2.2904382
                   93.04                      -25.616439
                    93.3                      -42.054037
                   93.56                      -52.585183
                   93.82                      -59.570779
                   94.08                        -64.4882
                   94.34                      -68.083704
                    94.6                      -70.739715
                   94.86                      -72.697678
                   95.12                       -74.15539
                   95.38                      -75.287388
                   95.64                      -76.229954
                    95.9                      -77.061982
                   96.16                      -77.802545
                   96.42                      -78.431775
                   96.68                      -78.925093
                   96.94                      -79.281765
                    97.2                      -79.533518
                   97.46                      -79.731364
                   97.72                      -79.920044
                   97.98                      -80.115542
                   98.24                      -80.299524
                    98.5                      -80.434309
                   98.76                      -80.488647
                   99.02                      -80.458307
                   99.28                      -80.369562
                   99.54                      -80.263779
                    99.8                      -80.171896
                  100.06                       -80.09423
                  100.32                      -79.998862
                  100.58                      -79.840101
                  100.84                      -79.585538
                   101.1                      -79.235202
                  101.36                      -78.821025
                  101.62                      -78.385365
                  101.88                      -77.950012
                  102.14                      -77.494999
                   102.4                      -76.961894
                  102.66                      -76.280549
                  102.92                      -75.403538
