        Frequency / MHz                Port 1 [1] (28)/abs,linear
----------------------------------------------------------------------
                      40                       32.167995
                   40.26                       39.306493
                   40.52                       46.608275
                   40.78                       54.145031
                   41.04                       61.929415
                    41.3                       69.914275
                   41.56                       78.031137
                   41.82                       86.242907
                   42.08                       94.579789
                   42.34                       103.13627
                    42.6                       112.02889
                   42.86                       121.34027
                   43.12                       131.08503
                   43.38                        141.2196
                   43.64                        151.6905
                    43.9                        162.4942
                   44.16                       173.71366
                   44.42                       185.50742
                   44.68                       198.05476
                   44.94                       211.49008
                    45.2                       225.86822
                   45.46                       241.18509
                   45.72                       257.44706
                   45.98                       274.75526
                   46.24                       293.35818
                    46.5                       313.63838
                   46.76                       336.03839
                   47.02                       360.97312
                   47.28                       388.79029
                   47.54                       419.82246
                    47.8                       454.53636
                   48.06                       493.74079
                   48.32                       538.77885
                   48.58                       591.63849
                   48.84                       654.98488
                    49.1                       732.21216
                   49.36                       827.68979
                   49.62                       947.45668
                   49.88                       1100.7238
                   50.14                       1302.5762
                    50.4                       1577.5552
                   50.66                       1958.5419
                   50.92                       2446.8759
                   51.18                       2840.5209
                   51.44                       2722.3713
                    51.7                       2222.3917
                   51.96                       1746.0512
                   52.22                       1395.6054
                   52.48                       1144.7612
                   52.74                       959.90572
                      53                       818.64767
                   53.26                       707.46237
                   53.52                       618.05912
                   53.78                       544.99241
                   54.04                       484.35923
                    54.3                       433.17558
                   54.56                         389.121
                   54.82                       350.44874
                   55.08                       315.93165
                   55.34                       284.77317
                    55.6                       256.47326
                   55.86                       230.68323
                   56.12                       207.09193
                   56.38                       185.36858
                   56.64                        165.1644
                    56.9                       146.15528
                   57.16                       128.09494
                   57.42                       110.84806
                   57.68                       94.390103
                   57.94                       78.784773
                    58.2                       64.171876
                   58.46                       50.822263
                   58.72                        39.36845
                   58.98                       31.359937
                   59.24                        29.48751
                    59.5                       34.834841
                   59.76                       45.082839
                   60.02                       57.852595
                   60.28                       71.950175
                   60.54                       86.867147
                    60.8                        102.4337
                   61.06                       118.67313
                   61.32                       135.71907
                   61.58                       153.74647
                   61.84                       172.91726
                    62.1                       193.35672
                   62.36                       215.16991
                   62.62                       238.49352
                   62.88                       263.56463
                   63.14                       290.77796
                    63.4                       320.70587
                   63.66                       354.07485
                   63.92                       391.72259
                   64.18                       434.58192
                   64.44                       483.74432
                    64.7                       540.65036
                   64.96                       607.44189
                   65.22                       687.49541
                   65.48                       786.17325
                   65.74                       911.95321
                      66                       1078.4303
                   66.26                       1308.4415
                   66.52                        1643.479
                   66.78                       2166.8241
                   67.04                       3059.3788
                    67.3                       4621.3351
                   67.56                       5814.9818
                   67.82                       4316.6162
                   68.08                       2899.0555
                   68.34                       2105.7558
                    68.6                        1638.402
                   68.86                       1337.9744
                   69.12                       1130.2994
                   69.38                       977.95186
                   69.64                       860.60162
                    69.9                       766.72239
                   70.16                       689.62583
                   70.42                        625.2775
                   70.68                       571.00856
                   70.94                       524.79743
                    71.2                       484.94537
                   71.46                       450.00395
                   71.72                       418.82347
                   71.98                       390.60535
                   72.24                       364.88001
                    72.5                        341.3993
                   72.76                       319.99273
                   73.02                       300.45332
                   73.28                       282.49615
                   73.54                        265.7939
                    73.8                       250.05639
                   74.06                       235.10032
                   74.32                       220.86543
                   74.58                       207.37044
                   74.84                       194.63819
                    75.1                       182.63269
                   75.36                        171.2407
                   75.62                       160.30467
                   75.88                        149.6849
                   76.14                       139.31144
                    76.4                       129.19454
                   76.66                        119.3901
                   76.92                       109.94294
                   77.18                       100.84117
                   77.44                       92.007718
                    77.7                       83.333811
                   77.96                       74.733636
                   78.22                       66.185672
                   78.48                       57.736526
                   78.74                       49.467711
                      79                       41.447979
                   79.26                       33.705732
                   79.52                       26.260779
                   79.78                       19.272422
                   80.04                       13.493293
                    80.3                       11.295985
                   80.56                       14.626757
                   80.82                       21.037072
                   81.08                        28.47313
                   81.34                       36.282603
                    81.6                       44.322757
                   81.86                       52.621867
                   82.12                       61.235525
                   82.38                       70.172814
                   82.64                       79.380601
                    82.9                       88.776226
                   83.16                       98.302802
                   83.42                       107.97443
                   83.68                       117.88435
                   83.94                       128.16867
                    84.2                       138.94562
                   84.46                       150.26781
                   84.72                       162.11689
                   84.98                       174.44418
                   85.24                        187.2346
                    85.5                       200.55768
                   85.76                       214.57355
                   86.02                       229.48654
                   86.28                       245.47293
                   86.54                       262.62877
                    86.8                       280.97404
                   87.06                       300.51974
                   87.32                        321.3691
                   87.58                       343.79869
                   87.84                       368.26603
                    88.1                       395.33059
                   88.36                       425.53275
                   88.62                       459.30997
                   88.88                       497.02361
                   89.14                        539.1311
                    89.4                       586.47505
                   89.66                       640.58495
                   89.92                        703.8591
                   90.18                       779.57005
                   90.44                       871.77688
                    90.7                       985.34345
                   90.96                       1126.3643
                   91.22                       1303.4656
                   91.48                       1530.5694
                   91.74                       1831.2613
                      92                       2241.9766
                   92.26                       2795.9434
                   92.52                       3412.8819
                   92.78                       3678.6784
                   93.04                       3293.3406
                    93.3                       2676.5941
                   93.56                       2159.5139
                   93.82                       1778.6588
                   94.08                       1497.8897
                   94.34                       1284.9392
                    94.6                       1119.2606
                   94.86                       988.14435
                   95.12                       883.06446
                   95.38                        797.6505
                   95.64                       726.84852
                    95.9                       666.71396
                   96.16                       614.42218
                   96.42                        568.2107
                   96.68                       527.12752
                   96.94                       490.64739
                    97.2                       458.31758
                   97.46                       429.56132
                   97.72                       403.67249
                   97.98                       379.95069
                   98.24                        357.8709
                    98.5                       337.17443
                   98.76                       317.82711
                   99.02                       299.88005
                   99.28                       283.32099
                   99.54                       267.99525
                    99.8                       253.62946
                  100.06                       239.93526
                  100.32                       226.72474
                  100.58                       213.96426
                  100.84                       201.73732
                   101.1                       190.14621
                  101.36                       179.21434
                  101.62                       168.84469
                  101.88                       158.85671
                  102.14                       149.07773
                   102.4                       139.42952
                  102.66                       129.95466
                  102.92                       120.76944
                  103.18                       111.97531
                  103.44                       103.58296
                   103.7                       95.495614
                  103.96                       87.565413
                  104.22                       79.689276
                  104.48                       71.882567
                  104.74                       64.284787
                     105                       57.096446
                  105.26                       50.487491
                  105.52                       44.542081
                  105.78                       39.302388
                  106.04                       34.921034
                   106.3                       31.824936
                  106.56                       30.669361
                  106.82                       31.903107
                  107.08                       35.323335
                  107.34                       40.260593
                   107.6                       46.097368
                  107.86                       52.527522
                  108.12                       59.518628
                  108.38                       67.142491
                  108.64                       75.410292
                   108.9                        84.20331
                  109.16                       93.318374
                  109.42                       102.58155
                  109.68                        111.9567
                  109.94                       121.58076
                   110.2                        131.6941
                  110.46                       142.50205
                  110.72                       154.05621
                  110.98                       166.23278
                  111.24                       178.82431
                   111.5                       191.69936
                  111.76                       204.94199
                  112.02                       218.87574
                  112.28                       233.93442
                  112.54                       250.44883
                   112.8                       268.48378
                  113.06                       287.83231
                  113.32                       308.19583
                  113.58                       329.48745
                  113.84                       352.09451
                   114.1                       376.89783
                  114.36                       404.97646
                  114.62                       437.15159
                  114.88                       473.63382
                  115.14                       514.01027
                   115.4                       557.74042
                  115.66                       605.11296
                  115.92                       658.13711
                  116.18                       720.56794
                  116.44                       796.70622
                   116.7                       889.17897
                  116.96                       996.06124
                  117.22                       1108.7651
                  117.48                       1214.5233
                  117.74                       1304.3044
                     118                       1375.1213
                  118.26                       1417.2978
                  118.52                       1403.4818
                  118.78                       1311.8243
                  119.04                       1164.0506
                   119.3                       1007.5008
                  119.56                       871.88943
                  119.82                       762.13598
                  120.08                       670.53521
                  120.34                       587.11318
                   120.6                       506.03899
                  120.86                       427.54489
                  121.12                       355.30544
                  121.38                       293.34929
                  121.64                       245.78934
                   121.9                       218.57343
                  122.16                       219.74485
                  122.42                       255.29422
                  122.68                       327.40437
                  122.94                        440.0886
                   123.2                       601.28696
                  123.46                       806.71712
                  123.72                       991.03662
                  123.98                       1043.4725
                  124.24                       977.57831
