        Frequency / MHz                S1,1 (28)/abs,dB
----------------------------------------------------------------------
                      40                     -0.38551672
               40.259998                      -0.4016882
                   40.52                     -0.41259123
               40.779999                     -0.42228737
               41.040001                      -0.4359207
               41.299999                     -0.45651642
               41.560001                     -0.48313004
                   41.82                     -0.51145312
               42.080002                     -0.53649245
                   42.34                     -0.55570401
               42.599998                     -0.57059245
               42.860001                     -0.58574538
               43.119999                     -0.60594861
               43.380001                     -0.63323407
               43.639999                     -0.66565568
               43.900002                     -0.69849521
                   44.16                     -0.72717792
               44.419998                     -0.75012366
                   44.68                     -0.76972458
               44.939999                     -0.79082363
               45.200001                     -0.81770642
               45.459999                      -0.8514793
               45.720001                     -0.88941436
                   45.98                     -0.92661616
               46.240002                     -0.95902113
                    46.5                     -0.98590621
               46.759998                      -1.0103203
                   47.02                      -1.0371578
               47.279999                      -1.0701344
               47.540001                      -1.1095239
               47.799999                       -1.151986
               48.060001                      -1.1925852
                   48.32                      -1.2278162
               48.580002                      -1.2577941
                   48.84                      -1.2862213
               49.099998                      -1.3181263
               49.360001                       -1.356775
               49.619999                       -1.401615
               49.880001                      -1.4484113
               50.139999                      -1.4915551
               50.400002                       -1.527262
                   50.66                      -1.5557953
               50.919998                      -1.5813335
                   51.18                      -1.6095651
               51.439999                      -1.6444753
               51.700001                      -1.6861342
               51.959999                      -1.7306787
               52.220001                      -1.7724438
                   52.48                      -1.8070955
               52.740002                      -1.8339751
                      53                      -1.8563085
               53.259998                      -1.8791736
                   53.52                      -1.9064976
               53.779999                      -1.9388034
               54.040001                      -1.9728944
               54.299999                      -2.0035867
               54.560001                      -2.0265524
                   54.82                        -2.04066
               55.080002                       -2.048478
                   55.34                      -2.0546719
               55.599998                      -2.0632798
               55.860001                      -2.0754265
               56.119999                      -2.0886805
               56.380001                      -2.0983557
               56.639999                      -2.1000481
               56.900002                       -2.092025
                   57.16                      -2.0761289
               57.419998                       -2.056683
                   57.68                      -2.0380787
               57.939999                      -2.0224094
               58.200001                      -2.0084069
               58.459999                      -1.9922086
               58.720001                      -1.9695236
                   58.98                      -1.9380646
               59.240002                      -1.8988842
                    59.5                      -1.8558729
               59.759998                      -1.8137129
                   60.02                      -1.7754631
               60.279999                      -1.7410701
               60.540001                        -1.70756
               60.799999                      -1.6708093
               61.060001                      -1.6279533
                   61.32                       -1.579116
               61.580002                      -1.5274756
                   61.84                       -1.477611
               62.099998                      -1.4330928
               62.360001                      -1.3946587
               62.619999                      -1.3599195
               62.880001                      -1.3247827
               63.139999                      -1.2858217
               63.400002                      -1.2423014
                   63.66                      -1.1966642
               63.919998                      -1.1531898
                   64.18                      -1.1156065
               64.440002                       -1.085024
               64.699997                      -1.0593344
               64.959999                      -1.0344138
               65.220001                      -1.0064949
               65.480003                     -0.97436339
               65.739998                     -0.94008004
                      66                     -0.90776739
               66.260002                      -0.8811891
               66.519997                       -0.861549
               66.779999                     -0.84677121
               67.040001                     -0.83267495
               67.300003                     -0.81540412
               67.559998                     -0.79370661
                   67.82                     -0.76967078
               68.080002                     -0.74745666
               68.339996                     -0.73077478
               68.599998                     -0.72066274
               68.860001                     -0.71484061
               69.120003                     -0.70903393
               69.379997                     -0.69950497
               69.639999                     -0.68531186
