        Frequency / MHz                S1,1 (28)/arg,degrees
----------------------------------------------------------------------
                      40                       166.49309
               40.259998                       163.45551
                   40.52                       160.37645
               40.779999                       157.23351
               41.040001                       154.03044
               41.299999                       150.79405
               41.560001                       147.55682
                   41.82                       144.33633
               42.080002                       141.12366
                   42.34                       137.88843
               42.599998                       134.59729
               42.860001                       131.23429
               43.119999                       127.80995
               43.380001                       124.35395
               43.639999                       120.89604
               43.900002                       117.44717
                   44.16                       113.99197
               44.419998                       110.49767
                   44.68                       106.93383
               44.939999                       103.29057
               45.200001                       99.583714
               45.459999                       95.844118
               45.720001                       92.098045
                   45.98                       88.350389
               46.240002                       84.580842
                    46.5                       80.755683
               46.759998                         76.8479
                   47.02                       72.853004
               47.279999                       68.790728
               47.540001                       64.691994
               47.799999                       60.579229
               48.060001                       56.451756
                   48.32                       52.285097
               48.580002                       48.045131
                   48.84                       43.708429
               49.099998                       39.276218
               49.360001                       34.773342
               49.619999                       30.233215
               49.880001                       25.677386
               50.139999                        21.10144
               50.400002                       16.475718
                   50.66                        11.76104
               50.919998                       6.9303095
                   51.18                        1.983117
               51.439999                      -3.0549867
               51.700001                      -8.1475365
               51.959999                      -13.267822
               52.220001                      -18.413938
                   52.48                      -23.609837
               52.740002                      -28.891631
                      53                      -34.287026
               53.259998                      -39.800026
                   53.52                       -45.40949
               53.779999                      -51.081611
               54.040001                      -56.788766
               54.299999                      -62.524762
               54.560001                      -68.307533
                   54.82                       -74.16828
               55.080002                      -80.132852
                   55.34                      -86.206304
               55.599998                      -92.369423
               55.860001                      -98.588358
               56.119999                      -104.83179
               56.380001                      -111.08631
               56.639999                      -117.36151
               56.900002                      -123.68235
                   57.16                      -130.07266
               57.419998                      -136.53921
                   57.68                      -143.06565
               57.939999                      -149.61858
               58.200001                      -156.16288
               58.459999                      -162.67716
               58.720001                      -169.16211
                   58.98                      -175.63635
               59.240002                       177.87725
                    59.5                       171.36797
               59.759998                        164.8462
                   60.02                       158.34107
               60.279999                       151.88763
               60.540001                       145.51146
               60.799999                       139.21747
               61.060001                       132.99048
                   61.32                       126.80628
               61.580002                       120.64769
                   61.84                       114.51645
               62.099998                       108.43402
               62.360001                       102.43176
               62.619999                       96.535015
               62.880001                        90.75061
               63.139999                       85.064204
               63.400002                       79.449161
                   63.66                       73.882447
               63.919998                       68.358298
                   64.18                       62.891743
