        Time / ns                i1 (28)/real
----------------------------------------------------------------------
                       0                   -1.075864e-08
             0.070756257                   1.5116644e-06
              0.14151251                   1.7223084e-06
              0.21226877                   1.9494457e-06
              0.28302503                   2.1916826e-06
              0.35378128                   2.4468266e-06
              0.42453754                    2.711688e-06
               0.4952938                   2.9818452e-06
              0.56605005                    3.251482e-06
              0.63680631                   3.5130772e-06
              0.70756257                    3.757202e-06
              0.77831882                   3.9721494e-06
              0.84907508                   4.1436606e-06
              0.91983134                   4.2545885e-06
              0.99058759                    4.284499e-06
               1.0613439                   4.2093475e-06
               1.1321001                   4.0010545e-06
               1.2028564                   3.6271583e-06
               1.2736126                   3.0504159e-06
               1.3443689                   2.2284639e-06
               1.4151251                   1.1134798e-06
               1.4858814                  -3.4809668e-07
               1.5566376                   -2.215769e-06
                1.627394                  -4.5551392e-06
               1.6981502                  -7.4379168e-06
               1.7689065                  -1.0941831e-05
               1.8396627                  -1.5150367e-05
                1.910419                  -2.0152313e-05
               1.9811752                  -2.6041091e-05
               2.0519314                  -3.2913824e-05
               2.1226878                  -4.0870105e-05
                2.193444                   -5.001044e-05
               2.2642002                  -6.0434286e-05
               2.3349564                  -7.2237715e-05
               2.4057128                  -8.5510575e-05
                2.476469                  -0.00010033315
               2.5472252                  -0.00011677233
               2.6179814                  -0.00013487715
               2.6887379                  -0.00015467373
               2.7594941                  -0.00017615966
               2.8302503                  -0.00019929763
               2.9010065                  -0.00022400847
               2.9717629                   -0.0002501636
               3.0425191                  -0.00027757674
               3.1132753                  -0.00030599517
               3.1840315                  -0.00033509036
               3.2547879                  -0.00036444821
               3.3255441                  -0.00039355896
               3.3963003                  -0.00042180688
               3.4670565                  -0.00044845985
               3.5378129                   -0.0004726591
               3.6085691                   -0.0004934094
               3.6793253                  -0.00050956971
               3.7500815                  -0.00051984482
                3.820838                  -0.00052277814
               3.8915942                  -0.00051674602
               3.9623504                  -0.00049995421
               4.0331068                  -0.00047043653
               4.1038628                   -0.0004260563
               4.1746192                  -0.00036451124
               4.2453756                  -0.00028334203
               4.3161316                  -0.00017994503
                4.386888                  -5.1590079e-05
               4.4576445                   0.00010455671
               4.5284004                   0.00029140434
               4.5991569                   0.00051190204
               4.6699128                   0.00076899776
               4.7406693                    0.0010655898
               4.8114257                     0.001404471
               4.8821816                    0.0017882652
               4.9529381                    0.0022193571
               5.0236945                    0.0026998124
               5.0944505                     0.003231294
               5.1652069                    0.0038149667
               5.2359629                    0.0044513983
               5.3067193                    0.0051404545
               5.3774757                    0.0058811856
               5.4482317                    0.0066717146
               5.5189881                    0.0075091161
               5.5897446                    0.0083892979
               5.6605005                    0.0093068825
                5.731257                     0.010255092
               5.8020129                     0.011225632
               5.8727694                     0.012208592
               5.9435258                     0.013192346
               6.0142817                     0.014163475
               6.0850382                     0.015106692
               6.1557946                     0.016004806
               6.2265506                     0.016838688
                6.297307                     0.017587271
                6.368063                     0.018227581
               6.4388194                     0.018734798
               6.5095758                     0.019082345
               6.5803318                      0.01924203
               6.6510882                     0.019184213
               6.7218447                     0.018878024
               6.7926006                      0.01829163
               6.8633571                     0.017392531
                6.934113                     0.016147926
               7.0048695                     0.014525112
               7.0756259                     0.012491927
               7.1463819                     0.010017252
               7.2171383                    0.0070715356
               7.2878947                    0.0036273827
               7.3586507                   -0.0003398422
               7.4294071                    -0.004851372
               7.5001631                   -0.0099243708
               7.5709195                    -0.015571254
               7.6416759                    -0.021798994
               7.7124319                    -0.028608438
               7.7831883                    -0.035993617
               7.8539448                    -0.043941107
               7.9247007                    -0.052429393
               7.9954572                    -0.061428294
               8.0662136                    -0.070898451
               8.1369696                    -0.080790885
               8.2077255                    -0.091046631
               8.2784824                     -0.10159647
               8.3492384                      -0.1123608
               8.4199944                     -0.12324958
               8.4907513                     -0.13416249
               8.5615072                     -0.14498912
               8.6322632                     -0.15560941
               8.7030201                     -0.16589426
               8.7737761                     -0.17570619
                8.844532                     -0.18490034
               8.9152889                     -0.19332545
               8.9860449                      -0.2008252
               9.0568008                     -0.20723961
               9.1275568                     -0.21240661
               9.1983137                     -0.21616377
               9.2690697                     -0.21835019
               9.3398256                      -0.2188085
               9.4105825                     -0.21738696
               9.4813385                     -0.21394163
               9.5520945                     -0.20833862
               9.6228514                     -0.20045638
               9.6936073                     -0.19018799
               9.7643633                      -0.1774434
               9.8351202                     -0.16215165
               9.9058762                     -0.14426292
               9.9766321                      -0.1237506
               10.047389                     -0.10061298
               10.118145                    -0.074875012
