        Frequency / MHz                S1,1 (13)/arg,degrees
----------------------------------------------------------------------
                      40                       146.96541
               40.259998                       145.35041
                   40.52                       143.72171
               40.779999                         142.078
               41.040001                       140.41698
               41.299999                       138.73549
               41.560001                       137.03012
                   41.82                       135.29773
               42.080002                       133.53592
                   42.34                       131.74311
               42.599998                       129.91822
               42.860001                       128.06006
               43.119999                       126.16671
               43.380001                       124.23503
               43.639999                       122.26077
               43.900002                       120.23889
                   44.16                       118.16434
               44.419998                       116.03258
                   44.68                       113.83996
               44.939999                       111.58346
               45.200001                       109.26008
               45.459999                       106.86591
               45.720001                       104.39544
                   45.98                       101.84109
               46.240002                       99.193532
                    46.5                       96.442298
               46.759998                       93.576645
                   47.02                       90.586217
               47.279999                       87.461194
               47.540001                       84.191787
               47.799999                       80.767239
               48.060001                       77.174827
                   48.32                       73.399071
               48.580002                       69.421858
                   48.84                       65.223368
               49.099998                       60.783746
               49.360001                       56.085002
               49.619999                       51.112252
               49.880001                       45.853425
               50.139999                       40.295982
               50.400002                        34.41768
                   50.66                       28.163443
               50.919998                       21.380053
                   51.18                       13.579235
               51.439999                       2.5745012
               51.700001                      -41.549855
               51.959999                      -160.66358
               52.220001                      -175.75396
                   52.48                       175.88012
               52.740002                       169.12805
                      53                        163.1203
               53.259998                       157.59536
                   53.52                       152.44772
               53.779999                       147.62222
               54.040001                       143.08146
               54.299999                       138.79453
               54.560001                       134.73376
                   54.82                       130.87405
               55.080002                       127.19358
                   55.34                       123.67401
               55.599998                       120.30022
               55.860001                       117.05968
               56.119999                       113.94123
               56.380001                       110.93401
               56.639999                       108.02741
               56.900002                       105.21048
                   57.16                       102.47299
               57.419998                       99.805693
                   57.68                       97.201041
               57.939999                       94.653544
               58.200001                       92.159159
               58.459999                       89.715126
               58.720001                       87.319041
                   58.98                       84.968363
               59.240002                        82.66006
                    59.5                       80.390852
               59.759998                       78.157325
                   60.02                       75.956584
               60.279999                        73.78647
               60.540001                        71.64556
               60.799999                         69.5332
               61.060001                       67.448819
                   61.32                       65.391784
               61.580002                       63.360922
                   61.84                       61.354651
               62.099998                       59.370999
               62.360001                       57.408141
               62.619999                       55.464486
               62.880001                       53.539083
               63.139999                       51.631525
               63.400002                       49.741717
                   63.66                       47.869587
               63.919998                       46.014863
                   64.18                       44.176861
               64.440002                       42.354483
               64.699997                       40.546723
               64.959999                       38.752461
               65.220001                       36.971147
               65.480003                       35.202538
               65.739998                       33.446771
                      66                       31.704009
               66.260002                       29.974358
               66.519997                       28.257546
               66.779999                        26.55287
               67.040001                       24.859337
               67.300003                       23.175969
               67.559998                       21.501727
                   67.82                       19.835925
               68.080002                       18.178075
               68.339996                       16.527709
               68.599998                       14.884256
               68.860001                       13.246923
               69.120003                       11.614399
               69.379997                       9.9852617
               69.639999                       8.3577643
               69.900002                       6.7303219
               70.160004                       5.1015401
               70.419998                        3.470491
                   70.68                       1.8364914
               70.940002                      0.19913097
               71.199997                      -1.4420268
               71.459999                      -3.0873102
               71.720001                      -4.7371833
               71.980003                      -6.3920565
               72.239998                      -8.0521475
                    72.5                      -9.7174291
               72.760002                      -11.387411
               73.019997                      -13.061355
               73.279999                       -14.73819
               73.540001                       -16.41697
               73.800003                      -18.096762
               74.059998                      -19.776986
                   74.32                      -21.457158
               74.580002                      -23.137111
               74.839996                      -24.816654
               75.099998                      -26.495516
               75.360001                      -28.173312
               75.620003                      -29.849659
               75.879997                      -31.524202
               76.139999                      -33.196696
               76.400002                       -34.86717
               76.660004                      -36.536028
               76.919998                      -38.203826
                   77.18                      -39.871292
               77.440002                      -41.539061
               77.699997                       -43.20765
               77.959999                      -44.877361
               78.220001                      -46.548433
               78.480003                      -48.221037
               78.739998                      -49.895497
                      79                      -51.572257
               79.260002                      -53.251853
               79.519997                      -54.934785
               79.779999                      -56.621379
               80.040001                      -58.311441
               80.300003                      -60.004232
               80.559998                      -61.698281
                   80.82                      -63.391104
               81.080002                      -65.079527
               81.339996                      -66.759097
               81.599998                      -68.424217
               81.860001                      -70.067506
               82.120003                      -71.679348
               82.379997                      -73.247423
               82.639999                      -74.756239
               82.900002                      -76.186753
               83.160004                      -77.517112
               83.419998                      -78.723104
                   83.68                      -79.780062
               83.940002                      -80.665227
               84.199997                      -81.360814
               84.459999                      -81.857614
               84.720001                      -82.158034
               84.980003                      -82.278545
               85.239998                      -82.249941
                    85.5                      -82.115413
               85.760002                      -81.926135
               86.019997                      -81.735135
               86.279999                      -81.591073
               86.540001                      -81.533316
               86.800003                      -81.589242
               87.059998                      -81.773877
                   87.32                       -82.09148
               87.580002                      -82.538365
               87.839996                      -83.105572
               88.099998                      -83.781406
               88.360001                      -84.553462
               88.620003                      -85.409449
               88.879997                      -86.338054
               89.139999                      -87.328814
               89.400002                      -88.372522
               89.660004                      -89.460899
               89.919998                      -90.586815
                   90.18                      -91.744231
               90.440002                      -92.928122
               90.699997                      -94.134715
               90.959999                      -95.361063
               91.220001                      -96.605003
               91.480003                      -97.865092
               91.739998                      -99.139905
                      92                      -100.42852
               92.260002                      -101.73008
               92.519997                      -103.04404
               92.779999                      -104.36997
               93.040001                      -105.70809
               93.300003                      -107.05877
               93.559998                      -108.42273
                   93.82                       -109.8009
               94.080002                      -111.19426
               94.339996                      -112.60374
               94.599998                       -114.0301
               94.860001                      -115.47411
               95.120003                      -116.93648
               95.379997                      -118.41798
               95.639999                      -119.91931
               95.900002                      -121.44118
               96.160004                      -122.98426
               96.419998                      -124.54903
                   96.68                      -126.13549
               96.940002                      -127.74337
               97.199997                      -129.37213
               97.459999                      -131.02083
               97.720001                      -132.68848
               97.980003                      -134.37401
               98.239998                      -136.07626
                    98.5                      -137.79408
               98.760002                      -139.52637
               99.019997                      -141.27184
               99.279999                      -143.02917
               99.540001                      -144.79699
               99.800003                      -146.57377
                  100.06                      -148.35819
                  100.32                      -150.14896
                  100.58                      -151.94503
                  100.84                      -153.74552
                   101.1                      -155.54978
                  101.36                      -157.35716
                  101.62                      -159.16705
                  101.88                      -160.97869
                  102.14                      -162.79137
                   102.4                      -164.60421
                  102.66                      -166.41634
                  102.92                      -168.22705
                  103.18                      -170.03563
                  103.44                      -171.84148
