        Frequency / MHz                Port 1 [1] (13)/abs,linear
----------------------------------------------------------------------
                      40                       92.298502
                   40.26                       95.885809
                   40.52                       99.573359
                   40.78                       103.36327
                   41.04                       107.26099
                    41.3                       111.27556
                   41.56                       115.41872
                   41.82                       119.70328
                   42.08                       124.14146
                   42.34                       128.74402
                    42.6                       133.52052
                   42.86                       138.48083
                   43.12                       143.63728
                   43.38                       149.00653
                   43.64                       154.61053
                    43.9                       160.47602
                   44.16                       166.63293
                   44.42                       173.11241
                   44.68                       179.94554
                   44.94                       187.16356
                    45.2                        194.7998
                   45.46                       202.89309
                   45.72                       211.49142
                   45.98                       220.65465
                   46.24                        230.4553
                    46.5                       240.97697
                   46.76                       252.31085
                   47.02                       264.55111
                   47.28                        277.7901
                   47.54                       292.11309
                    47.8                       307.59039
                   48.06                       324.26195
                   48.32                        342.1059
                   48.58                        360.9786
                   48.84                       380.51188
                    49.1                       399.95813
                   49.36                       417.99908
                   49.62                       432.59844
                   49.88                       441.08348
                   50.14                       440.69561
                    50.4                       429.63658
                   50.66                       408.08808
                   50.92                       378.37188
                   51.18                       344.03062
                   51.44                       308.55714
                    51.7                       274.59118
                   51.96                       243.76306
                   52.22                        216.9061
                   52.48                       194.34297
                   52.74                       176.10346
                      53                        162.0471
                   53.26                       151.91485
                   53.52                       145.34811
                   53.78                       141.90856
                   54.04                       141.11416
                    54.3                        142.4857
                   54.56                        145.5874
                   54.82                       150.04987
                   55.08                        155.5749
                   55.34                       161.92847
                    55.6                       168.92979
                   55.86                       176.44107
                   56.12                       184.35999
                   56.38                       192.61434
                   56.64                       201.15759
                    56.9                       209.96429
                   57.16                        219.0246
                   57.42                       228.33862
                   57.68                       237.91112
                   57.94                       247.74787
                    58.2                       257.85416
                   58.46                       268.23531
                   58.72                       278.89877
                   58.98                       289.85636
                   59.24                       301.12574
                    59.5                       312.73038
                   59.76                       324.69801
                   60.02                       337.05815
                   60.28                       349.83994
                   60.54                       363.07098
                    60.8                       376.77806
                   61.06                       390.98932
                   61.32                       405.73733
                   61.58                       421.06171
                   61.84                       437.01043
                    62.1                       453.63923
                   62.36                       471.00954
                   62.62                       489.18575
                   62.88                       508.23329
                   63.14                        528.2185
                    63.4                       549.21073
                   63.66                       571.28607
                   63.92                       594.53164
                   64.18                       619.04866
                   64.44                       644.95329
                    64.7                       672.37484
                   64.96                       701.45218
                   65.22                       732.33001
                   65.48                       765.15678
                   65.74                        800.0857
                      66                       837.27848
                   66.26                       876.91048
                   66.52                       919.17419
                   66.78                        964.2779
                   67.04                       1012.4371
                    67.3                       1063.8577
                   67.56                        1118.712
                   67.82                       1177.1089
                   68.08                       1239.0605
                   68.34                       1304.4419
                    68.6                       1372.9418
                   68.86                       1443.9939
                   69.12                       1516.6828
                   69.38                       1589.6273
                   69.64                       1660.8589
                    69.9                       1727.7446
                   70.16                       1787.0265
                   70.42                       1835.0559
                   70.68                       1868.2571
                   70.94                       1883.7535
                    71.2                        1879.977
                   71.46                       1857.0327
                   71.72                       1816.6705
                   71.98                       1761.8888
                   72.24                       1696.3432
                    72.5                       1623.7645
                   72.76                        1547.525
                   73.02                       1470.3965
                   73.28                       1394.4728
                   73.54                       1321.2054
                    73.8                       1251.5005
                   74.06                       1185.8395
                   74.32                       1124.3967
                   74.58                       1067.1419
                   74.84                       1013.9203
                    75.1                       964.50993
                   75.36                       918.65813
                   75.62                       876.10335
                   75.88                       836.58583
                   76.14                       799.85287
                    76.4                       765.66169
                   76.66                       733.78207
                   76.92                       703.99918
                   77.18                       676.11629
                   77.44                       649.95664
                    77.7                       625.36365
                   77.96                       602.19963
                   78.22                       580.34303
                   78.48                       559.68525
                   78.74                       540.12785
                      79                       521.58059
                   79.26                       503.96092
                   79.52                        487.1943
                   79.78                       471.21519
                   80.04                       455.96795
                    80.3                       441.40711
                   80.56                       427.49713
                   80.82                       414.21154
                   81.08                       401.53212
                   81.34                       389.44844
                    81.6                       377.95815
                   81.86                       367.06806
                   82.12                       356.79567
                   82.38                        347.1706
                   82.64                        338.2351
                    82.9                       330.04302
                   83.16                       322.65653
                   83.42                       316.14064
                   83.68                        310.5553
                   83.94                       305.94584
                    84.2                       302.33268
                   84.46                       299.70157
