        Frequency / MHz                Port 1 [1] (13)/arg,degrees
----------------------------------------------------------------------
                      40                       55.908834
                   40.26                       56.945182
                   40.52                       57.909476
                   40.78                       58.808885
                   41.04                       59.650164
                    41.3                       60.438759
                   41.56                       61.178208
                   41.82                       61.870104
                   42.08                       62.514629
                   42.34                       63.111441
                    42.6                       63.660525
                   42.86                       64.162644
                   43.12                       64.619216
                   43.38                       65.031685
                   43.64                       65.400644
                    43.9                       65.725115
                   44.16                       66.002247
                   44.42                       66.227581
                   44.68                       66.395706
                   44.94                       66.501013
                    45.2                       66.538148
                   45.46                       66.501906
                   45.72                       66.386501
                   45.98                       66.184383
                   46.24                       65.884936
                    46.5                         65.4734
                   46.76                       64.930232
                   47.02                       64.230889
                   47.28                       63.345741
                   47.54                       62.239706
                    47.8                       60.871198
                   48.06                       59.190214
                   48.32                       57.135869
                   48.58                       54.634347
                   48.84                       51.599281
                    49.1                       47.937877
                   49.36                       43.567523
                   49.62                       38.447631
                   49.88                       32.626636
                   50.14                       26.290059
                    50.4                       19.776979
                   50.66                        13.53259
                   50.92                       8.0054789
                   51.18                       3.5479749
                   51.44                      0.37397708
                    51.7                      -1.4239355
                   51.96                       -1.833498
                   52.22                     -0.89028917
                   52.48                       1.3331012
                   52.74                       4.7184287
                      53                       9.0850794
                   53.26                       14.182293
                   53.52                       19.705812
                   53.78                       25.340775
                   54.04                       30.813364
                    54.3                       35.926638
                   54.56                        40.56842
                   54.82                       44.697164
                   55.08                       48.319454
                   55.34                       51.469542
                    55.6                       54.194848
                   55.86                       56.547052
                   56.12                       58.576966
                   56.38                       60.331585
                   56.64                       61.852374
                    56.9                       63.174396
                   57.16                       64.326191
                   57.42                       65.330333
                   57.68                       66.204509
                   57.94                        66.96286
                    58.2                       67.617253
                   58.46                       68.178221
                   58.72                       68.655427
                   58.98                       69.057675
                   59.24                       69.392653
                    59.5                       69.666622
                   59.76                        69.88427
                   60.02                       70.048851
                   60.28                       70.162574
                   60.54                       70.227126
                    60.8                        70.24413
                   61.06                       70.215391
                   61.32                        70.14285
                   61.58                       70.028296
                   61.84                       69.872973
                    62.1                       69.677246
                   62.36                       69.440479
                   62.62                       69.161164
                   62.88                       68.837251
                   63.14                       68.466528
                    63.4                       68.046897
                   63.66                       67.576419
                   63.92                       67.053101
                   64.18                       66.474505
                   64.44                       65.837328
                    64.7                       65.137111
                   64.96                       64.368193
                   65.22                         63.5239
                   65.48                       62.596865
                   65.74                       61.579315
                      66                       60.463147
                   66.26                       59.239704
                   66.52                       57.899274
                   66.78                       56.430458
                   67.04                       54.819601
                    67.3                       53.050489
                   67.56                       51.104392
                   67.82                       48.960407
                   68.08                        46.59596
                   68.34                        43.98728
                    68.6                       41.109778
                   68.86                       37.938461
                   69.12                       34.448792
                   69.38                       30.618573
                   69.64                       26.431424
                    69.9                       21.882088
                   70.16                       16.982989
                   70.42                       11.770546
                   70.68                       6.3088427
                   70.94                      0.68831329
                    71.2                      -4.9816269
                   71.46                      -10.584715
                   71.72                      -16.011402
                   71.98                      -21.170061
                   72.24                      -25.993463
                    72.5                      -30.440237
                   72.76                      -34.492594
                   73.02                      -38.151977
                   73.28                      -41.434034
                   73.54                      -44.363768
                    73.8                      -46.971304
                   74.06                      -49.288508
                   74.32                      -51.346521
                   74.58                       -53.17422
                   74.84                      -54.797491
                    75.1                      -56.239126
                   75.36                      -57.519112
                   75.62                      -58.655082
                   75.88                      -59.662713
                   76.14                      -60.555979
                    76.4                      -61.347246
                   76.66                      -62.047247
                   76.92                      -62.665057
                   77.18                      -63.208127
                   77.44                      -63.682447
                    77.7                      -64.092793
                   77.96                      -64.443032
                   78.22                       -64.73638
                   78.48                       -64.97556
                   78.74                      -65.162818
                      79                      -65.299838
                   79.26                      -65.387588
                   79.52                      -65.426185
                   79.78                      -65.414836
                   80.04                       -65.35188
                    80.3                      -65.234911
                   80.56                      -65.060949
                   80.82                      -64.826579
                   81.08                       -64.52805
                   81.34                      -64.161304
                    81.6                      -63.722008
                   81.86                      -63.205661
                   82.12                      -62.607884
                   82.38                      -61.924997
                   82.64                      -61.154899
                    82.9                      -60.298257
                   83.16                      -59.359861
                   83.42                      -58.349967
                   83.68                      -57.285334
                   83.94                       -56.18965
                    84.2                      -55.093056
                   84.46                      -54.030572
                   84.72                      -53.039456
                   84.98                       -52.15575
                   85.24                       -51.41056
                    85.5                      -50.826721
                   85.76                      -50.416503
                   86.02                      -50.180787
                   86.28                      -50.109813
                   86.54                      -50.185261
                    86.8                      -50.383164
                   87.06                      -50.677018
                   87.32                      -51.040549
                   87.58                      -51.449758
                   87.84                      -51.884092
                    88.1                      -52.326829
                   88.36                      -52.764886
                   88.62                       -53.18832
                   88.88                      -53.589745
                   89.14                      -53.963828
                    89.4                      -54.306907
                   89.66                       -54.61671
                   89.92                      -54.892137
                   90.18                       -55.13302
                   90.44                      -55.339863
                    90.7                      -55.513558
                   90.96                      -55.655123
                   91.22                      -55.765503
                   91.48                      -55.845473
                   91.74                      -55.895626
                      92                       -55.91644
                   92.26                      -55.908339
                   92.52                      -55.871737
                   92.78                      -55.807002
                   93.04                      -55.714372
                    93.3                      -55.593825
                   93.56                      -55.444972
                   93.82                      -55.266989
                   94.08                      -55.058619
                   94.34                      -54.818224
                    94.6                      -54.543858
