        Frequency / MHz                Port 1 [1] (6)/abs,linear
----------------------------------------------------------------------
                      40                       96.950022
                   40.26                       100.80619
                   40.52                       104.76572
                   40.78                       108.83205
                   41.04                       113.00787
                    41.3                        117.2949
                   41.56                       121.69393
                   41.82                        126.2053
                   42.08                       130.82949
                   42.34                       135.56799
                    42.6                       140.42395
                   42.86                       145.40274
                   43.12                        150.5121
                   43.38                       155.76203
                   43.64                       161.16415
                    43.9                       166.73099
                   44.16                       172.47505
                   44.42                       178.40809
                   44.68                       184.54055
                   44.94                       190.88158
                    45.2                       197.43941
                   45.46                       204.22219
                   45.72                       211.23916
                   45.98                       218.50192
                   46.24                       226.02553
                    46.5                        233.8292
                   46.76                       241.93647
                   47.02                       250.37459
                   47.28                       259.17335
                   47.54                        268.3633
                    47.8                       277.97376
                   48.06                       288.03085
                   48.32                       298.55586
                   48.58                       309.56399
                   48.84                       321.06364
                    49.1                       333.05568
                   49.36                        345.5322
                   49.62                       358.47356
                   49.88                       371.84223
                   50.14                       385.57168
                    50.4                       399.54843
                   50.66                       413.58603
                   50.92                       427.39123
                   51.18                       440.52575
                   51.44                       452.37275
                    51.7                         462.125
                   51.96                       468.81893
                   52.22                       471.43946
                   52.48                       469.10158
                   52.74                       461.27518
                      53                       447.97311
                   53.26                       429.81213
                   53.52                       407.90673
                   53.78                       383.64099
                   54.04                       358.41768
                    54.3                       333.47095
                   54.56                       309.77539
                   54.82                       288.03591
                   55.08                        268.7231
                   55.34                       252.12247
                    55.6                       238.37827
                   55.86                       227.52503
                   56.12                       219.50785
                   56.38                       214.19668
                   56.64                       211.40028
                    56.9                       210.88311
                   57.16                       212.38548
                   57.42                       215.64411
                   57.68                       220.41015
                   57.94                       226.46212
                    58.2                        233.6133
                   58.46                       241.71395
                   58.72                       250.64973
                   58.98                       260.33767
                   59.24                       270.72086
                    59.5                       281.76293
                   59.76                       293.44294
                   60.02                       305.75128
                   60.28                       318.68682
                   60.54                       332.25534
                    60.8                       346.46922
                   61.06                       361.34819
                   61.32                       376.92063
                   61.58                       393.22526
                   61.84                       410.31255
                    62.1                       428.24582
                   62.36                       447.10148
                   62.62                       466.96868
                   62.88                       487.94821
                   63.14                       510.15111
                    63.4                       533.69723
                   63.66                       558.71412
                   63.92                       585.33672
                   64.18                       613.70771
                   64.44                       643.97889
                    64.7                       676.31287
                   64.96                       710.88474
                   65.22                       747.88247
                   65.48                       787.50476
                   65.74                       829.95438
                      66                       875.42474
                   66.26                       924.07708
                   66.52                       976.00503
                   66.78                       1031.1835
                   67.04                       1089.3994
                    67.3                       1150.1625
                   67.56                        1212.602
                   67.82                       1275.3603
                   68.08                       1336.5105
                   68.34                        1393.543
                    68.6                       1443.4738
                   68.86                       1483.1221
                   69.12                        1509.556
                   69.38                       1520.6234
                   69.64                       1515.4069
                    69.9                       1494.4293
                   70.16                       1459.5242
                   70.42                       1413.4291
                   70.68                       1359.2627
                   70.94                       1300.0563
                    71.2                        1238.439
                   71.46                       1176.4915
                   71.72                       1115.7323
                   71.98                       1057.1816
                   72.24                        1001.458
                    72.5                       948.87855
                   72.76                       899.54735
                   73.02                       853.42667
                   73.28                       810.39098
                   73.54                       770.26584
                    73.8                        732.8546
                   74.06                       697.95582
                   74.32                       665.37378
                   74.58                       634.92427
                   74.84                       606.43697
                    75.1                         579.756
                   75.36                       554.73926
                   75.62                       531.25738
                   75.88                        509.1926
                   76.14                       488.43781
                    76.4                       468.89595
                   76.66                       450.47956
                   76.92                        433.1106
                   77.18                       416.72032
                   77.44                       401.24909
                    77.7                       386.64623
                   77.96                       372.86954
                   78.22                       359.88484
                   78.48                       347.66525
                   78.74                       336.19039
                      79                        325.4455
                   79.26                       315.42059
                   79.52                       306.10952
                   79.78                       297.50914
                   80.04                       289.61842
                    80.3                       282.43761
                   80.56                       275.96726
                   80.82                       270.20725
                   81.08                       265.15564
                   81.34                       260.80739
                    81.6                       257.15301
                   81.86                       254.17719
                   82.12                       251.85741
                   82.38                       250.16283
                   82.64                        249.0535
                    82.9                       248.48001
                   83.16                       248.38373
                   83.42                       248.69773
                   83.68                       249.34822
                   83.94                       250.25661
                    84.2                       251.34183
                   84.46                        252.5229
                   84.72                       253.72133
                   84.98                       254.86338
                   85.24                       255.88176
                    85.5                       256.71693
                   85.76                       257.31777
                   86.02                        257.6419
                   86.28                       257.65553
                   86.54                       257.33312
                    86.8                       256.65689
                   87.06                       255.61629
                   87.32                       254.20742
                   87.58                        252.4325
                   87.84                       250.29919
                    88.1                       247.81996
                   88.36                       245.01129
                   88.62                       241.89282
                   88.88                       238.48653
                   89.14                       234.81585
                    89.4                       230.90494
                   89.66                       226.77808
                   89.92                       222.45921
                   90.18                       217.97168
                   90.44                       213.33816
                    90.7                       208.58062
                   90.96                        203.7204
                   91.22                       198.77829
                   91.48                       193.77459
                   91.74                       188.72909
                      92                       183.66104
                   92.26                       178.58905
                   92.52                       173.53099
                   92.78                       168.50398
                   93.04                       163.52431
                    93.3                       158.60756
                   93.56                       153.76873
                   93.82                       149.02245
                   94.08                       144.38328
                   94.34                       139.86599
                    94.6                       135.48587
                   94.86                       131.25901
                   95.12                       127.20244
                   95.38                       123.33433
                   95.64                       119.67392
                    95.9                       116.24151
                   96.16                       113.05827
                   96.42                       110.14596
                   96.68                       107.52662
                   96.94                       105.22212
                    97.2                       103.25368
                   97.46                       101.64131
                   97.72                       100.40314
                   97.98                       99.554799
                   98.24                       99.108726
                    98.5                       99.073582
                   98.76                        99.45378
                   99.02                       100.24921
                   99.28                       101.45519
                   99.54                       103.06272
                    99.8                        105.0589
                  100.06                        107.4276
                  100.32                       110.15024
                  100.58                       113.20662
                  100.84                       116.57565
                   101.1                       120.23603
                  101.36                       124.16676
                  101.62                        128.3475
                  101.88                       132.75871
                  102.14                       137.38171
                   102.4                       142.19851
                  102.66                       147.19171
                  102.92                       152.34422
                  103.18                       157.63905
                  103.44                       163.05912
                   103.7                       168.58707
                  103.96                       174.20516
                  104.22                       179.89519
                  104.48                       185.63844
                  104.74                       191.41564
                     105                       197.20688
                  105.26                       202.99155
                  105.52                       208.74825
