        Frequency / MHz                S1,1 (6)/arg,degrees
----------------------------------------------------------------------
                      40                       144.56597
               40.259998                       142.89741
                   40.52                       141.21581
               40.779999                       139.52052
               41.040001                        137.8113
               41.299999                       136.08847
               41.560001                       134.35262
                   41.82                       132.60446
               42.080002                       130.84463
                   42.34                       129.07335
               42.599998                       127.29037
               42.860001                       125.49477
               43.119999                       123.68514
               43.380001                       121.85965
               43.639999                       120.01629
               43.900002                       118.15322
                   44.16                       116.26892
               44.419998                       114.36245
                   44.68                       112.43345
               44.939999                       110.48209
               45.200001                       108.50885
               45.459999                       106.51425
               45.720001                       104.49855
                   45.98                        102.4614
               46.240002                        100.4017
                    46.5                       98.317506
               46.759998                        96.20611
                   47.02                       94.064245
               47.279999                       91.888461
               47.540001                       89.675398
               47.799999                       87.422139
               48.060001                       85.126369
                   48.32                       82.786388
               48.580002                       80.400964
                   48.84                        77.96898
               49.099998                       75.489006
               49.360001                       72.958831
               49.619999                       70.375113
               49.880001                       67.733163
               50.139999                       65.027082
               50.400002                       62.250181
                   50.66                       59.395789
               50.919998                       56.458352
                   51.18                       53.434841
               51.439999                       50.326328
               51.700001                       47.139783
               51.959999                       43.890097
               52.220001                       40.602685
                   52.48                       37.317063
               52.740002                       34.092503
                      53                        31.01778
               53.259998                        28.22906
                   53.52                       25.945146
               53.779999                       24.541611
               54.040001                       24.719459
               54.299999                       27.914327
               54.560001                         37.2371
                   54.82                       57.964299
               55.080002                       87.407188
                   55.34                       108.19401
               55.599998                       117.62069
               55.860001                       120.96115
               56.119999                       121.32375
               56.380001                       120.13923
               56.639999                       118.10185
               56.900002                       115.57908
                   57.16                       112.78054
               57.419998                       109.83253
                   57.68                       106.81388
               57.939999                       103.77437
               58.200001                       100.74509
               58.459999                        97.74483
               58.720001                       94.784051
                   58.98                       91.867868
               59.240002                       88.998041
                    59.5                       86.174509
               59.759998                       83.396398
                   60.02                       80.662683
               60.279999                       77.972497
               60.540001                       75.325191
               60.799999                       72.720206
               61.060001                       70.156944
                   61.32                        67.63439
               61.580002                       65.151085
                   61.84                       62.705037
               62.099998                       60.293666
               62.360001                       57.913966
               62.619999                       55.562858
               62.880001                       53.237203
               63.139999                       50.934257
               63.400002                       48.651723
                   63.66                       46.387869
               63.919998                       44.141562
                   64.18                       41.912133
               64.440002                       39.699179
               64.699997                       37.502497
               64.959999                       35.321769
               65.220001                       33.156425
               65.480003                       31.005728
               65.739998                       28.868523
                      66                       26.743453
               66.260002                       24.629054
               66.519997                       22.523876
               66.779999                       20.426637
               67.040001                         18.3363
               67.300003                       16.252155
               67.559998                        14.17379
                   67.82                       12.101035
               68.080002                       10.033848
               68.339996                       7.9722004
               68.599998                       5.9159554
               68.860001                       3.8647772
               69.120003                       1.8180934
               69.379997                      -0.2249026
               69.639999                      -2.2651931
               69.900002                      -4.3038479
               70.160004                       -6.341921
               70.419998                      -8.3803518
                   70.68                      -10.419892
               70.940002                      -12.461074
               71.199997                      -14.504209
               71.459999                      -16.549452
               71.720001                      -18.596862
               71.980003                      -20.646492
               72.239998                      -22.698476
                    72.5                      -24.753075
               72.760002                      -26.810707
               73.019997                      -28.871925
               73.279999                      -30.937369
               73.540001                      -33.007702
               73.800003                      -35.083518
               74.059998                      -37.165245
                   74.32                      -39.253117
               74.580002                      -41.347108
               74.839996                      -43.446962
               75.099998                       -45.55216
               75.360001                      -47.662039
               75.620003                      -49.775768
               75.879997                      -51.892418
               76.139999                       -54.01098
               76.400002                      -56.130344
               76.660004                      -58.249252
               76.919998                      -60.366243
                   77.18                      -62.479503
               77.440002                      -64.586801
               77.699997                      -66.685349
               77.959999                        -68.7717
               78.220001                      -70.841671
               78.480003                      -72.890249
               78.739998                      -74.911631
                      79                      -76.899098
               79.260002                      -78.845157
               79.519997                      -80.741442
               79.779999                      -82.578797
               80.040001                      -84.347345
               80.300003                      -86.036485
               80.559998                      -87.635009
                   80.82                      -89.131202
               81.080002                      -90.513052
               81.339996                      -91.768516
               81.599998                      -92.885914
               81.860001                      -93.854483
               82.120003                      -94.665029
               82.379997                      -95.310789
               82.639999                      -95.788301
               82.900002                      -96.098302
               83.160004                      -96.246565
               83.419998                      -96.244421
                   83.68                      -96.108869
               83.940002                      -95.862231
               84.199997                      -95.531165
               84.459999                      -95.145307
               84.720001                      -94.735482
               84.980003                      -94.331934
               85.239998                      -93.962694
                    85.5                      -93.652337
               85.760002                      -93.421238
               86.019997                      -93.285289
               86.279999                      -93.256022
               86.540001                      -93.341017
               86.800003                      -93.544454
               87.059998                      -93.867727
                   87.32                      -94.309982
               87.580002                       -94.86865
               87.839996                      -95.539894
               88.099998                      -96.318979
               88.360001                      -97.200579
               88.620003                      -98.179079
               88.879997                      -99.248796
               89.139999                      -100.40416
               89.400002                      -101.63987
               89.660004                      -102.95096
               89.919998                      -104.33289
                   90.18                      -105.78151
               90.440002                      -107.29306
               90.699997                      -108.86408
               90.959999                      -110.49136
               91.220001                      -112.17183
               91.480003                      -113.90259
               91.739998                      -115.68074
                      92                      -117.50351
               92.260002                      -119.36816
               92.519997                      -121.27205
               92.779999                      -123.21268
               93.040001                      -125.18772
               93.300003                      -127.19509
               93.559998                      -129.23284
                   93.82                      -131.29928
               94.080002                      -133.39291
               94.339996                      -135.51237
               94.599998                      -137.65644
               94.860001                       -139.8239
               95.120003                      -142.01364
               95.379997                      -144.22454
               95.639999                      -146.45543
               95.900002                      -148.70518
               96.160004                      -150.97268
               96.419998                      -153.25688
                   96.68                      -155.55677
               96.940002                      -157.87145
               97.199997                      -160.20011
               97.459999                       -162.5421
               97.720001                      -164.89678
               97.980003                      -167.26364
               98.239998                      -169.64213
                    98.5                      -172.03178
               98.760002                      -174.43199
               99.019997                       -176.8422
               99.279999                       -179.2617
               99.540001                       178.31019
               99.800003                       175.87425
                  100.06                        173.4312
                  100.32                       170.98174
                  100.58                       168.52651
                  100.84                       166.06596
                   101.1                       163.60057
                  101.36                        161.1306
                  101.62                        158.6563
                  101.88                       156.17778
                  102.14                       153.69517
                   102.4                       151.20866
                  102.66                       148.71835
                  102.92                       146.22443
                  103.18                       143.72718
