        Frequency / MHz                S1,1 (8)/abs,dB
----------------------------------------------------------------------
                      40                      -2.8242305
               40.259998                      -2.8248358
                   40.52                      -2.8253635
               40.779999                      -2.8267387
               41.040001                      -2.8296493
               41.299999                       -2.834157
               41.560001                       -2.839666
                   41.82                      -2.8452915
               42.080002                      -2.8503907
                   42.34                      -2.8549842
               42.599998                      -2.8597845
               42.860001                      -2.8658334
               43.119999                      -2.8739356
               43.380001                      -2.8842285
               43.639999                      -2.8961393
               43.900002                      -2.9087593
                   44.16                      -2.9214421
               44.419998                      -2.9342764
                   44.68                      -2.9481486
               44.939999                      -2.9643572
               45.200001                      -2.9839852
               45.459999                      -3.0074018
               45.720001                      -3.0341857
                   45.98                      -3.0635319
               46.240002                      -3.0949556
                    46.5                      -3.1288649
               46.759998                      -3.1667052
                   47.02                      -3.2105542
               47.279999                      -3.2624092
               47.540001                      -3.3235825
               47.799999                      -3.3945864
               48.060001                       -3.475637
                   48.32                      -3.5675689
               48.580002                      -3.6727208
                   48.84                      -3.7953376
               49.099998                      -3.9413251
               49.360001                      -4.1175818
               49.619999                      -4.3314472
               49.880001                      -4.5908224
               50.139999                      -4.9053235
               50.400002                      -5.2884033
                   50.66                      -5.7600895
               50.919998                       -6.349964
                   51.18                      -7.1004711
               51.439999                      -8.0717655
               51.700001                      -9.3513356
               51.959999                      -11.076315
               52.220001                       -13.49103
                   52.48                      -17.120205
               52.740002                       -23.34021
                      53                      -27.033831
               53.259998                      -19.377667
                   53.52                      -14.951303
               53.779999                      -12.155662
               54.040001                      -10.209665
               54.299999                      -8.7824748
               54.560001                      -7.7015506
                   54.82                      -6.8630558
               55.080002                      -6.1988983
                   55.34                      -5.6626886
               55.599998                       -5.222691
               55.860001                      -4.8573455
               56.119999                      -4.5518311
               56.380001                      -4.2953078
               56.639999                      -4.0790066
               56.900002                      -3.8952347
                   57.16                      -3.7372132
               57.419998                      -3.5993686
                   57.68                      -3.4776476
               57.939999                      -3.3695256
               58.200001                      -3.2736079
               58.459999                       -3.188995
               58.720001                      -3.1146951
                   58.98                      -3.0493485
               59.240002                      -2.9913247
                    59.5                      -2.9390724
               59.759998                      -2.8914897
                   60.02                      -2.8480954
               60.279999                      -2.8089029
               60.540001                      -2.7740928
               60.799999                      -2.7436617
               61.060001                      -2.7172383
                   61.32                       -2.694139
               61.580002                      -2.6736156
                   61.84                      -2.6551305
               62.099998                      -2.6385146
               62.360001                      -2.6239147
               62.619999                      -2.6115838
               62.880001                      -2.6016275
               63.139999                      -2.5938678
               63.400002                       -2.587863
                   63.66                      -2.5830918
               63.919998                      -2.5791605
                   64.18                      -2.5759343
               64.440002                      -2.5735169
               64.699997                      -2.5721026
               64.959999                      -2.5717827
               65.220001                       -2.572433
               65.480003                      -2.5737281
               65.739998                      -2.5752688
                      66                      -2.5767519
               66.260002                        -2.57808
               66.519997                      -2.5793505
               66.779999                      -2.5807425
               67.040001                      -2.5823707
               67.300003                      -2.5841841
               67.559998                       -2.585975
                   67.82                      -2.5874784
               68.080002                      -2.5885008
               68.339996                      -2.5890178
               68.599998                       -2.589163
               68.860001                      -2.5891405
               69.120003                      -2.5891038
               69.379997                       -2.589077
               69.639999                      -2.5889531
               69.900002                        -2.58857
               70.160004                      -2.5878214
               70.419998                      -2.5867289
                   70.68                       -2.585444
               70.940002                      -2.5841709
               71.199997                      -2.5830742
               71.459999                      -2.5822076
               71.720001                      -2.5815119
               71.980003                      -2.5808795
               72.239998                      -2.5802444
                    72.5                      -2.5796367
               72.760002                      -2.5791943
               73.019997                      -2.5791008
               73.279999                      -2.5795058
               73.540001                      -2.5804689
               73.800003                      -2.5819535
               74.059998                      -2.5838844
                   74.32                      -2.5862137
               74.580002                      -2.5889773
               74.839996                       -2.592303
               75.099998                      -2.5963578
               75.360001                      -2.6012894
               75.620003                      -2.6071728
               75.879997                      -2.6140051
               76.139999                      -2.6217555
               76.400002                      -2.6304142
               76.660004                      -2.6400531
               76.919998                      -2.6508225
                   77.18                      -2.6629215
               77.440002                      -2.6765384
               77.699997                      -2.6918127
               77.959999                      -2.7088301
               78.220001                      -2.7276527
               78.480003                      -2.7483762
               78.739998                      -2.7711723
                      79                      -2.7962921
               79.260002                      -2.8240424
               79.519997                      -2.8547369
               79.779999                      -2.8886567
               80.040001                      -2.9260456
               80.300003                      -2.9671322
               80.559998                      -3.0121782
                   80.82                        -3.06151
               81.080002                      -3.1155249
               81.339996                      -3.1746679
               81.599998                      -3.2393826
               81.860001                      -3.3100682
               82.120003                        -3.38707
               82.379997                       -3.470682
               82.639999                      -3.5611828
               82.900002                      -3.6588542
               83.160004                      -3.7639815
               83.419998                      -3.8768136
                   83.68                      -3.9975137
               83.940002                      -4.1261004
               84.199997                      -4.2624161
               84.459999                      -4.4061193
               84.720001                      -4.5567021
               84.980003                      -4.7135074
               85.239998                      -4.8757202
                    85.5                      -5.0423422
               85.760002                      -5.2121457
               86.019997                      -5.3836372
               86.279999                      -5.5550541
               86.540001                      -5.7244026
               86.800003                      -5.8895398
               87.059998                      -6.0482628
                   87.32                       -6.198392
               87.580002                      -6.3378351
               87.839996                      -6.4646304
               88.099998                       -6.576996
               88.360001                      -6.6734046
               88.620003                      -6.7526785
               88.879997                      -6.8140867
               89.139999                      -6.8574065
               89.400002                      -6.8829257
               89.660004                      -6.8913825
               89.919998                      -6.8838652
                   90.18                      -6.8617084
               90.440002                      -6.8264188
               90.699997                      -6.7796263
               90.959999                      -6.7230482
               91.220001                      -6.6584498
               91.480003                      -6.5875806
               91.739998                       -6.512112
                      92                      -6.4335629
               92.260002                      -6.3532725
               92.519997                      -6.2723947
               92.779999                      -6.1919323
               93.040001                      -6.1127666
               93.300003                      -6.0356833
               93.559998                      -5.9613753
                   93.82                      -5.8904312
               94.080002                       -5.823322
               94.339996                      -5.7603974
               94.599998                      -5.7019074
               94.860001                      -5.6480367
               95.120003                      -5.5989318
               95.379997                      -5.5547277
               95.639999                      -5.5155499
               95.900002                      -5.4814978
               96.160004                      -5.4526308
               96.419998                      -5.4289659
                   96.68                      -5.4104841
               96.940002                      -5.3971502
               97.199997                      -5.3889415
               97.459999                      -5.3858568
               97.720001                      -5.3879175
               97.980003                      -5.3951543
               98.239998                      -5.4075868
                    98.5                      -5.4252195
               98.760002                      -5.4480378
               99.019997                      -5.4760327
               99.279999                      -5.5092071
               99.540001                      -5.5475962
               99.800003                      -5.5912645
                  100.06                      -5.6402869
                  100.32                      -5.6947438
                  100.58                      -5.7547014
                  100.84                      -5.8202204
                   101.1                      -5.8913621
                  101.36                      -5.9682077
                  101.62                      -6.0508641
                  101.88                       -6.139467
                  102.14                      -6.2341665
                   102.4                      -6.3351133
                  102.66                      -6.4424498
                  102.92                      -6.5563085
                  103.18                      -6.6768213
                  103.44                      -6.8041365
                   103.7                      -6.9384251
                  103.96                      -7.0798825
                  104.22                      -7.2287163
                  104.48                      -7.3851343
                  104.74                      -7.5493296
                     105                      -7.7214837
                  105.26                      -7.9017745
                  105.52                      -8.0903872
                  105.78                      -8.2875302
                  106.04                      -8.4934299
                   106.3                      -8.7083256
                  106.56                      -8.9324524
                  106.82                      -9.1660311
                  107.08                      -9.4092642
                  107.34                      -9.6623456
                   107.6                      -9.9254757
                  107.86                      -10.198874
                  108.12                      -10.482779
                  108.38                      -10.777439
                  108.64                      -11.083093
                   108.9                      -11.399959
                  109.16                      -11.728226
                  109.42                      -12.068062
                  109.68                      -12.419632
                  109.94                      -12.783101
                   110.2                      -13.158635
                  110.46                      -13.546379
                  110.72                      -13.946425
                  110.98                      -14.358774
                  111.24                      -14.783314
                   111.5                      -15.219799
                  111.76                      -15.667839
                  112.02                       -16.12686
                  112.28                      -16.596039
                  112.54                        -17.0742
                   112.8                      -17.559664
                  113.06                      -18.050101
                  113.32                      -18.542353
                  113.58                      -19.032287
                  113.84                      -19.514642
                   114.1                      -19.982896
                  114.36                      -20.429171
                  114.62                      -20.844248
                  114.88                      -21.217825
                  115.14                       -21.53911
                   115.4                      -21.797797
                  115.66                      -21.985306
                  115.92                      -22.096005
                  116.18                      -22.128069
                  116.44                      -22.083708
                   116.7                      -21.968727
                  116.96                       -21.79161
                  117.22                      -21.562375
                  117.48                      -21.291496
                  117.74                      -20.989016
                     118                      -20.663941
                  118.26                      -20.323919
                  118.52                      -19.975164
                  118.78                      -19.622554
                  119.04                      -19.269832
                   119.3                       -18.91983
                  119.56                      -18.574673
                  119.82                      -18.235921
                  120.08                      -17.904683
                  120.34                      -17.581694
                   120.6                      -17.267399
                  120.86                      -16.962026
                  121.12                      -16.665664
                  121.38                      -16.378329
                  121.64                      -16.099988
                   121.9                      -15.830579
                  122.16                      -15.570003
                  122.42                      -15.318124
                  122.68                       -15.07477
                  122.94                      -14.839757
                   123.2                      -14.612907
                  123.46                      -14.394066
                  123.72                      -14.183104
                  123.98                      -13.979907
                  124.24                      -13.784351
                   124.5                      -13.596303
                  124.76                      -13.415612
                  125.02                      -13.242119
                  125.28                      -13.075674
                  125.54                      -12.916145
                   125.8                      -12.763419
                  126.06                      -12.617385
                  126.32                      -12.477925
                  126.58                      -12.344902
                  126.84                      -12.218162
                   127.1                      -12.097542
                  127.36                      -11.982888
                  127.62                      -11.874064
                  127.88                      -11.770952
                  128.14                      -11.673439
               128.39999                      -11.581408
                  128.66                      -11.494726
                  128.92                      -11.413243
               129.17999                      -11.336805
                  129.44                      -11.265268
                   129.7                      -11.198511
               129.96001                      -11.136432
                  130.22                      -11.078937
                  130.48                      -11.025933
               130.74001                      -10.977305
                     131                      -10.932925
               131.25999                      -10.892661
                  131.52                      -10.856386
                  131.78                         -10.824
               132.03999                      -10.795423
                   132.3                      -10.770591
                  132.56                      -10.749434
               132.82001                      -10.731865
                  133.08                      -10.717782
                  133.34                       -10.70707
               133.60001                       -10.69963
                  133.86                      -10.695384
                  134.12                       -10.69429
                  134.38                      -10.696322
                  134.64                       -10.70146
               134.89999                      -10.709665
                  135.16                      -10.720885
                  135.42                      -10.735061
               135.67999                       -10.75215
                  135.94                      -10.772148
                   136.2                      -10.795097
               136.46001                      -10.821073
                  136.72                      -10.850169
                  136.98                      -10.882471
               137.24001                      -10.918057
                   137.5                      -10.957001
               137.75999                      -10.999408
                  138.02                      -11.045436
                  138.28                      -11.095309
               138.53999                      -11.149314
                   138.8                      -11.207764
                  139.06                      -11.270985
               139.32001                      -11.339297
                  139.58                      -11.413023
                  139.84                      -11.492531
               140.10001                      -11.578255
                  140.36                      -11.670735
                  140.62                      -11.770597
                  140.88                      -11.878534
                  141.14                      -11.995264
               141.39999                       -12.12152
                  141.66                      -12.258051
                  141.92                      -12.405677
               142.17999                      -12.565336
                  142.44                      -12.738134
                   142.7                      -12.925351
               142.96001                      -13.128418
                  143.22                      -13.348874
                  143.48                      -13.588346
               143.74001                      -13.848566
                     144                      -14.131455
               144.25999                      -14.439224
                  144.52                      -14.774492
                  144.78                      -15.140352
               145.03999                      -15.540378
                   145.3                      -15.978613
                  145.56                       -16.45955
               145.82001                      -16.988184
                  146.08                      -17.570141
                  146.34                      -18.211861
               146.60001                      -18.920657
                  146.86                      -19.704421
                  147.12                      -20.570446
                  147.38                        -21.5225
                  147.64                       -22.55436
               147.89999                      -23.636654
                  148.16                      -24.693426
                  148.42                      -25.573699
               148.67999                      -26.058425
                  148.94                      -25.971353
                   149.2                      -25.332392
               149.46001                      -24.338797
                  149.72                      -23.204749
                  149.98                      -22.070498
               150.24001                      -21.005915
                   150.5                      -20.038316
               150.75999                      -19.172555
                  151.02                      -18.401472
                  151.28                      -17.710912
               151.53999                      -17.082614
                   151.8                      -16.496722
                  152.06                       -15.93456
               152.32001                      -15.381465
                  152.58                      -14.828889
                  152.84                      -14.274992
               153.10001                      -13.723469
                  153.36                      -13.181223
                  153.62                      -12.655818
                  153.88                      -12.153566
                  154.14                      -11.678574
               154.39999                      -11.232663
                  154.66                      -10.815858
                  154.92                      -10.427065
               155.17999                      -10.064718
                  155.44                      -9.7271819
                   155.7                      -9.4129296
               155.96001                      -9.1205394
                  156.22                      -8.8486155
                  156.48                      -8.5957267
               156.74001                       -8.360418
                     157                      -8.1412826
               157.25999                      -7.9370551
                  157.52                      -7.7466682
                  157.78                      -7.5692592
               158.03999                      -7.4041078
                   158.3                      -7.2505552
                  158.56                      -7.1079399
               158.82001                      -6.9755823
                  159.08                      -6.8528044
                  159.34                      -6.7389946
               159.60001                      -6.6336441
                  159.86                      -6.5363599
                  160.12                      -6.4468356
                  160.38                      -6.3647983
                  160.64                      -6.2899641
               160.89999                      -6.2220189
                  161.16                       -6.160636
                  161.42                      -6.1055138
               161.67999                      -6.0564184
                  161.94                      -6.0131946
                   162.2                      -5.9757518
               162.46001                      -5.9440264
                  162.72                      -5.9179404
                  162.98                      -5.8973886
               163.24001                      -5.8822469
                   163.5                      -5.8723998
               163.75999                      -5.8677837
                  164.02                      -5.8683956
                  164.28                      -5.8742933
               164.53999                      -5.8855529
                   164.8                      -5.9022494
                  165.06                      -5.9244304
               165.32001                       -5.952126
                  165.58                      -5.9853732
                  165.84                      -6.0242528
               166.10001                      -6.0689104
                  166.36                      -6.1195491
                  166.62                      -6.1764102
                  166.88                      -6.2397411
                  167.14                      -6.3097768
               167.39999                      -6.3867457
                  167.66                      -6.4708956
                  167.92                      -6.5625281
               168.17999                      -6.6620251
                  168.44                      -6.7698476
                   168.7                      -6.8865231
               168.96001                      -7.0126095
                  169.22                      -7.1486861
                  169.48                      -7.2953498
               169.74001                      -7.4532485
                     170                       -7.623117
               170.25999                       -7.805814
                  170.52                      -8.0023331
                  170.78                      -8.2137973
               171.03999                      -8.4414296
