        Frequency / MHz                Port 1 [1] (Mesh Pass=3)/arg,degrees
----------------------------------------------------------------------
                      40                       10.588483
                   40.26                       13.130722
                   40.52                       15.612519
                   40.78                       18.025769
                   41.04                       20.363809
                    41.3                       22.621461
                   41.56                       24.795063
                   41.82                       26.882436
                   42.08                       28.882748
                   42.34                       30.796264
                    42.6                        32.62404
                   42.86                       34.367645
                   43.12                       36.028963
                   43.38                       37.610109
                   43.64                        39.11342
                    43.9                       40.541479
                   44.16                       41.897112
                   44.42                       43.183318
                   44.68                        44.40317
                   44.94                       45.559683
                    45.2                       46.655733
                   45.46                       47.694033
                   45.72                       48.677169
                   45.98                       49.607681
                   46.24                       50.488128
                    46.5                       51.321127
                   46.76                        52.10933
                   47.02                       52.855371
                   47.28                       53.561805
                   47.54                       54.231068
                    47.8                       54.865475
                   48.06                       55.467257
                   48.32                       56.038609
                   48.58                        56.58171
                   48.84                       57.098712
                    49.1                       57.591679
                   49.36                       58.062493
                   49.62                       58.512764
                   49.88                       58.943772
                   50.14                       59.356456
                    50.4                       59.751443
                   50.66                       60.129122
                   50.92                       60.489715
                   51.18                       60.833342
                   51.44                       61.160068
                    51.7                       61.469931
                   51.96                       61.762969
                   52.22                       62.039267
                   52.48                       62.299003
                   52.74                       62.542509
                      53                       62.770315
                   53.26                       62.983167
                   53.52                       63.182004
                   53.78                         63.3679
                   54.04                       63.541977
                    54.3                       63.705332
                   54.56                       63.858967
                   54.82                       64.003756
                   55.08                       64.140437
                   55.34                        64.26961
                    55.6                       64.391733
                   55.86                       64.507109
                   56.12                       64.615858
                   56.38                       64.717883
                   56.64                       64.812851
                    56.9                       64.900198
                   57.16                       64.979159
                   57.42                       65.048817
                   57.68                       65.108152
                   57.94                       65.156076
                    58.2                       65.191448
                   58.46                       65.213047
                   58.72                       65.219545
                   58.98                       65.209463
                   59.24                       65.181139
                    59.5                        65.13271
                   59.76                       65.062098
                   60.02                       64.966992
                   60.28                       64.844811
                   60.54                       64.692642
                    60.8                       64.507143
                   61.06                       64.284436
                   61.32                       64.019984
                   61.58                       63.708473
                   61.84                       63.343692
                    62.1                       62.918413
                   62.36                        62.42423
                   62.62                       61.851368
                   62.88                       61.188409
                   63.14                       60.421969
                    63.4                       59.536289
                   63.66                       58.512787
                   63.92                       57.329579
                   64.18                       55.961009
                   64.44                       54.377241
                    64.7                       52.544015
                   64.96                       50.422734
                   65.22                       47.971205
                   65.48                       45.145492
