        Time / ns                i1 (Mesh Pass=3)/real
----------------------------------------------------------------------
                       0                  -3.5749963e-09
             0.057445455                   1.4739807e-06
              0.11489091                    1.641097e-06
              0.17233637                   1.8193153e-06
              0.22978182                   2.0080799e-06
              0.28722727                   2.2065174e-06
              0.34467274                   2.4133781e-06
              0.40211818                   2.6269727e-06
              0.45956364                   2.8451027e-06
              0.51700908                   3.0649817e-06
              0.57445455                   3.2831535e-06
              0.63190001                   3.4953998e-06
              0.68934548                   3.6966419e-06
              0.74679089                   3.8808371e-06
              0.80423635                   4.0408659e-06
              0.86168182                   4.1684148e-06
              0.91912729                   4.2538541e-06
              0.97657275                    4.286107e-06
               1.0340182                   4.2525212e-06
               1.0914637                    4.138732e-06
               1.1489091                   3.9285292e-06
               1.2063545                   3.6037206e-06
                  1.2638                    3.144004e-06
               1.3212454                   2.5268403e-06
                1.378691                    1.727338e-06
               1.4361364                   7.1815026e-07
               1.4935818                  -5.3061348e-07
               1.5510273                  -2.0514535e-06
               1.6084727                  -3.8795215e-06
               1.6659182                  -6.0526304e-06
               1.7233636                  -8.6112286e-06
                1.780809                   -1.159833e-05
               1.8382546                  -1.5059396e-05
                  1.8957                  -1.9042154e-05
               1.9531455                   -2.359636e-05
                2.010591                  -2.8773477e-05
               2.0680363                  -3.4626279e-05
               2.1254818                  -4.1208357e-05
               2.1829274                  -4.8573536e-05
               2.2403727                  -5.6775152e-05
               2.2978182                   -6.586525e-05
               2.3552637                  -7.5893622e-05
                2.412709                  -8.6906693e-05
               2.4701545                  -9.8946315e-05
                  2.5276                  -0.00011204834
               2.5850456                  -0.00012624108
               2.6424909                   -0.0001415435
               2.6999364                   -0.0001579634
               2.7573819                  -0.00017549524
               2.8148272                  -0.00019411791
               2.8722727                  -0.00021379218
               2.9297183                  -0.00023445817
               2.9871635                  -0.00025603236
               3.0446091                  -0.00027840471
               3.1020546                  -0.00030143547
               3.1595001                   -0.0003249518
               3.2169454                  -0.00034874442
               3.2743909                  -0.00037256398
               3.3318365                  -0.00039611754
               3.3892817                  -0.00041906486
               3.4467273                  -0.00044101465
               3.5041728                  -0.00046152112
               3.5616181                  -0.00048008037
               3.6190636                    -0.000496127
               3.6765091                  -0.00050903094
               3.7339547                  -0.00051809463
                  3.7914                  -0.00052255043
               3.8488455                  -0.00052155869
                3.906291                  -0.00051420589
               3.9637363                  -0.00049950427
               4.0211821                  -0.00047639103
               4.0786271                  -0.00044372934
               4.1360726                  -0.00040030995
               4.1935182                  -0.00034485364
               4.2509637                  -0.00027601517
               4.3084092                  -0.00019238835
               4.3658547                  -9.2512557e-05
               4.4233003                   2.5119274e-05
               4.4807453                   0.00016205091
               4.5381908                   0.00031985148
               4.5956364                   0.00050010218
               4.6530819                   0.00070438109
               4.7105274                   0.00093424611
               4.7679729                    0.0011912154
                4.825418                    0.0014767462
               4.8828635                     0.001792211
                4.940309                    0.0021388719
               4.9977546                    0.0025178532
               5.0552001                    0.0029301094
               5.1126456                    0.0033763959
               5.1700912                    0.0038572322
               5.2275362                    0.0043728673
               5.2849817                    0.0049232417
               5.3424273                    0.0055079483
               5.3998728                    0.0061261915
               5.4573183                    0.0067767473
               5.5147638                    0.0074579185
               5.5722094                    0.0081674969
               5.6296544                    0.0089027165
               5.6870999                    0.0096602151
               5.7445455                     0.010435995
                5.801991                     0.011225381
               5.8594365                     0.012022987
                5.916882                     0.012822682
               5.9743271                     0.013617562
               6.0317726                     0.014399922
               6.0892181                     0.015161237
               6.1466637                     0.015892148
               6.2041092                     0.016582455
               6.2615547                     0.017221116
               6.3190002                      0.01779625
               6.3764453                     0.018295161
               6.4338908                     0.018704358
               6.4913363                     0.019009598
               6.5487819                      0.01919592
               6.6062274                     0.019247722
               6.6636729                     0.019148817
               6.7211185                     0.018882526
               6.7785635                     0.018431766
                6.836009                     0.017779168
               6.8934546                     0.016907195
               6.9509001                     0.015798284
               7.0083456                     0.014434991
               7.0657911                     0.012800156
               7.1232362                     0.010877082
               7.1806817                    0.0086497199
               7.2381272                    0.0061028721
               7.2955728                    0.0032223999
               7.3530183                  -4.5544857e-06
               7.4104638                   -0.0035893393
               7.4679093                   -0.0075415601
               7.5253544                    -0.011868837
               7.5827999                    -0.016576566
               7.6402454                     -0.02166767
                7.697691                    -0.027142361
               7.7551365                    -0.032997895
                7.812582                    -0.039228342
               7.8700275                    -0.045824368
               7.9274726                    -0.052773014
               7.9849181                    -0.060057502
               8.0423641                    -0.067657061
               8.0998087                    -0.075546741
               8.1572542                    -0.083697341
               8.2146997                    -0.092075214
               8.2721453                     -0.10064226
               8.3295908                     -0.10935587
               8.3870363                     -0.11816887
               8.4444818                      -0.1270296
               8.5019274                     -0.13588196
               8.5593729                     -0.14466554
               8.6168184                     -0.15331577
                8.674264                      -0.1617641
               8.7317095                     -0.16993831
                8.789155                     -0.17776276
               8.8466005                     -0.18515876
               8.9040451                     -0.19204499
               8.9614906                     -0.19833788
               9.0189362                     -0.20395224
               9.0763817                     -0.20880166
               9.1338272                     -0.21279918
               9.1912727                     -0.21585792
               9.2487183                     -0.21789172
               9.3061638                     -0.21881586
               9.3636093                     -0.21854781
               9.4210548                     -0.21700795
               9.4785004                      -0.2141204
               9.5359459                     -0.20981377
               9.5933914                     -0.20402204
                9.650836                     -0.19668525
               9.7082815                     -0.18775043
                9.765727                     -0.17717229
               9.8231726                       -0.164914
               9.8806181                     -0.15094802
               9.9380636                     -0.13525666
               9.9955091                     -0.11783288
               10.052955                    -0.098680779
                 10.1104                    -0.077816196
               10.167846                    -0.055267189
               10.225291                     -0.03107441
               10.282737                   -0.0052914382
               10.340182                     0.022014994
               10.397627                     0.050764874
               10.455072                     0.080864877
               10.512518                      0.11220843
               10.569963                      0.14467593
               10.627409                      0.17813496
               10.684855                      0.21244082
                 10.7423                      0.24743696
               10.799746                      0.28295562
               10.857191                      0.31881869
               10.914637                       0.3548384
               10.972082                      0.39081851
               11.029528                      0.42655522
               11.086973                      0.46183842
               11.144419                      0.49645299
               11.201863                       0.5301801
               11.259309                      0.56279862
               11.316754                      0.59408677
                 11.3742                      0.62382346
               11.431645                      0.65179008
               11.489091                      0.67777205
               11.546536                      0.70156032
               11.603982                      0.72295326
               11.661427                      0.74175823
               11.718873                      0.75779301
               11.776319                      0.77088767
               11.833764                      0.78088588
                11.89121                      0.78764635
               11.948654                      0.79104447
                 12.0061                      0.79097319
               12.063545                      0.78734457
               12.120991                      0.78009051
               12.178436                      0.76916397
               12.235882                      0.75453949
               12.293327                      0.73621392
               12.350773                      0.71420693
               12.408218                       0.6885612
               12.465664                      0.65934259
               12.523109                       0.6266402
               12.580555                      0.59056592
