        Frequency / MHz                Port 1 [1] (Mesh Pass=3)/abs,linear
----------------------------------------------------------------------
                      40                       60.051966
                   40.26                       60.761308
                   40.52                       61.604249
                   40.78                       62.576613
                   41.04                       63.673837
                    41.3                       64.890999
                   41.56                       66.222904
                   41.82                       67.664274
                   42.08                       69.209987
                   42.34                       70.855289
                    42.6                       72.595905
                   42.86                       74.428026
                   43.12                       76.348183
                   43.38                       78.353096
                   43.64                       80.439567
                    43.9                       82.604461
                   44.16                       84.844788
                   44.42                       87.157816
                   44.68                       89.541159
                   44.94                       91.992779
                    45.2                       94.510894
                   45.46                        97.09383
                   45.72                       99.739883
                   45.98                       102.44725
                   46.24                       105.21407
                    46.5                       108.03851
                   46.76                       110.91894
                   47.02                         113.854
                   47.28                       116.84267
                   47.54                       119.88418
                    47.8                       122.97798
                   48.06                       126.12368
                   48.32                       129.32108
                   48.58                       132.57029
                   48.84                       135.87195
                    49.1                       139.22738
                   49.36                       142.63869
                   49.62                       146.10871
                   49.88                       149.64089
                   50.14                         153.239
                    50.4                       156.90692
                   50.66                       160.64846
                   50.92                       164.46719
                   51.18                       168.36644
                   51.44                       172.34926
                    51.7                       176.41844
                   51.96                       180.57644
                   52.22                       184.82537
                   52.48                       189.16692
                   52.74                       193.60253
                      53                        198.1335
                   53.26                       202.76129
                   53.52                       207.48793
                   53.78                       212.31625
                   54.04                       217.25023
                    54.3                       222.29501
                   54.56                       227.45698
                   54.82                       232.74365
                   55.08                        238.1637
                   55.34                       243.72692
                    55.6                       249.44432
                   55.86                       255.32821
                   56.12                       261.39234
                   56.38                       267.65182
                   56.64                       274.12309
                    56.9                       280.82375
                   57.16                        287.7724
                   57.42                       294.98866
                   57.68                       302.49321
                   57.94                       310.30811
                    58.2                       318.45717
                   58.46                       326.96632
                   58.72                       335.86407
                   58.98                       345.18176
                   59.24                       354.95391
                    59.5                       365.21845
                   59.76                       376.01721
                   60.02                       387.39649
                   60.28                        399.4078
                   60.54                       412.10882
                    60.8                       425.56427
                   61.06                       439.84691
                   61.32                       455.03833
                   61.58                       471.22983
                   61.84                       488.52318
                    62.1                       507.03162
                   62.36                       526.88089
                   62.62                       548.21032
                   62.88                       571.17362
                   63.14                         595.939
                    63.4                       622.68782
                   63.66                       651.61091
                   63.92                       682.90103
                   64.18                       716.73967
                   64.44                       753.27524
                    64.7                       792.58871
                   64.96                        834.6412
                   65.22                       879.19762
                   65.48                       925.72116
                   65.74                       973.24032
                      66                       1020.2052
                   66.26                       1064.3792
                   66.52                       1102.8506
                   66.78                       1132.2723
                   67.04                       1149.4001
                    67.3                       1151.8546
                   67.56                       1138.8338
                   67.82                       1111.4173
                   68.08                       1072.2795
                   68.34                       1024.9647
                    68.6                       973.08771
                   68.86                       919.75873
                   69.12                       867.32796
                   69.38                       817.38134
                   69.64                       770.86874
                    69.9                        728.2699
                   70.16                       689.74599
                   70.42                       655.25798
                   70.68                       624.65073
                   70.94                       597.70886
                    71.2                       574.19182
                   71.46                       553.85456
                   71.72                       536.45864
                   71.98                       521.77707
                   72.24                       509.59556
                    72.5                       499.71148
                   72.76                       491.93197
                   73.02                       486.07186
                   73.28                       481.95186
                   73.54                        479.3974
                    73.8                       478.23795
                   74.06                       478.30699
                   74.32                       479.44217
                   74.58                       481.48579
                   74.84                       484.28529
                    75.1                       487.69405
                   75.36                        491.5722
                   75.62                        495.7878
                   75.88                        500.2181
                   76.14                       504.75088
                    76.4                       509.28546
                   76.66                        513.7333
                   76.92                       518.01806
                   77.18                       522.07501
                   77.44                       525.85005
                    77.7                       529.29854
                   77.96                       532.38412
                   78.22                       535.07765
                   78.48                       537.35616
                   78.74                       539.20174
                      79                       540.60045
                   79.26                       541.54102
                   79.52                       542.01373
                   79.78                       542.00953
                   80.04                       541.51961
                    80.3                       540.53548
                   80.56                       539.04943
                   80.82                       537.05517
                   81.08                       534.54843
                   81.34                       531.52732
                    81.6                       527.99253
                   81.86                       523.94732
                   82.12                       519.39761
                   82.38                       514.35209
                   82.64                       508.82244
                    82.9                       502.82354
                   83.16                       496.37353
                   83.42                       489.49357
                   83.68                       482.20746
                   83.94                       474.54103
                    84.2                       466.52166
                   84.46                       458.17785
                   84.72                       449.53908
                   84.98                       440.63575
                   85.24                        431.4992
                    85.5                       422.16162
                   85.76                       412.65589
                   86.02                       403.01527
                   86.28                       393.27306
                   86.54                       383.46239
                    86.8                       373.61605
                   87.06                       363.76654
                   87.32                        353.9461
                   87.58                       344.18686
                   87.84                       334.52084
                    88.1                       324.97991
                   88.36                       315.59565
                   88.62                       306.39924
                   88.88                       297.42135
                   89.14                       288.69201
                    89.4                       280.24063
                   89.66                       272.09591
                   89.92                       264.28573
                   90.18                       256.83699
                   90.44                       249.77526
                    90.7                       243.12439
                   90.96                       236.90611
                   91.22                        231.1396
                   91.48                       225.84111
                   91.74                       221.02368
                      92                       216.69684
                   92.26                       212.86641
                   92.52                       209.53424
                   92.78                       206.69793
                   93.04                       204.35059
                    93.3                       202.48056
                   93.56                       201.07129
                   93.82                       200.10134
                   94.08                       199.54456
                   94.34                       199.37042
                    94.6                       199.54454
                   94.86                       200.02932
                   95.12                       200.78466
                   95.38                        201.7688
                   95.64                       202.93923
                    95.9                       204.25367
                   96.16                       205.67107
                   96.42                       207.15262
                   96.68                       208.66253
                   96.94                       210.16868
                    97.2                       211.64293
                   97.46                       213.06114
                   97.72                       214.40301
                   97.98                       215.65167
                   98.24                       216.79331
                    98.5                       217.81668
