        Frequency / MHz                S1,1 (Mesh Pass=3)/abs,dB
----------------------------------------------------------------------
                      40                      -3.8978611
               40.259998                      -3.9035529
                   40.52                      -3.9093541
               40.779999                      -3.9152463
               41.040001                      -3.9212086
               41.299999                      -3.9272242
               41.560001                      -3.9332625
                   41.82                       -3.939293
               42.080002                      -3.9452786
                   42.34                      -3.9511937
               42.599998                      -3.9570281
               42.860001                      -3.9627868
               43.119999                      -3.9684868
               43.380001                      -3.9741541
               43.639999                      -3.9798113
               43.900002                       -3.985473
                   44.16                      -3.9911435
               44.419998                       -3.996824
                   44.68                      -4.0025159
               44.939999                      -4.0082282
               45.200001                      -4.0139772
               45.459999                      -4.0197862
               45.720001                      -4.0256723
                   45.98                       -4.031644
               46.240002                      -4.0376902
                    46.5                      -4.0437833
               46.759998                      -4.0498814
                   47.02                      -4.0559362
               47.279999                       -4.061894
               47.540001                      -4.0677038
               47.799999                      -4.0733116
               48.060001                      -4.0786569
                   48.32                      -4.0836681
               48.580002                      -4.0882615
                   48.84                      -4.0923454
               49.099998                      -4.0958328
               49.360001                      -4.0986496
               49.619999                      -4.1007471
               49.880001                      -4.1021084
               50.139999                      -4.1027519
               50.400002                      -4.1027185
                   50.66                      -4.1020717
               50.919998                       -4.100883
                   51.18                      -4.0992258
               51.439999                      -4.0971722
               51.700001                      -4.0947913
               51.959999                      -4.0921435
               52.220001                      -4.0892747
                   52.48                      -4.0862111
               52.740002                      -4.0829518
                      53                      -4.0794596
               53.259998                       -4.075661
                   53.52                       -4.071452
               53.779999                      -4.0667024
               54.040001                      -4.0612761
               54.299999                      -4.0550335
               54.560001                      -4.0478461
                   54.82                      -4.0396012
               55.080002                      -4.0301978
                   55.34                      -4.0195545
               55.599998                      -4.0076012
               55.860001                      -3.9942868
               56.119999                      -3.9795821
               56.380001                      -3.9634845
               56.639999                      -3.9460173
               56.900002                      -3.9272373
                   57.16                      -3.9072199
               57.419998                       -3.886057
                   57.68                      -3.8638446
               57.939999                      -3.8406813
               58.200001                      -3.8166592
               58.459999                      -3.7918714
               58.720001                      -3.7664088
                   58.98                      -3.7403683
               59.240002                      -3.7138566
                    59.5                      -3.6869847
               59.759998                      -3.6598721
                   60.02                        -3.63264
               60.279999                      -3.6054134
               60.540001                      -3.5783233
               60.799999                      -3.5515118
               61.060001                      -3.5251366
                   61.32                      -3.4993822
               61.580002                      -3.4744561
                   61.84                      -3.4505969
               62.099998                       -3.428068
               62.360001                      -3.4071543
               62.619999                      -3.3881663
               62.880001                      -3.3714383
               63.139999                       -3.357334
               63.400002                      -3.3462527
                   63.66                      -3.3386378
               63.919998                       -3.334981
                   64.18                      -3.3358276
               64.440002                      -3.3417745
               64.699997                      -3.3534726
               64.959999                      -3.3716259
               65.220001                      -3.3969928
               65.480003                      -3.4303881
               65.739998                      -3.4726834
                      66                      -3.5248049
               66.260002                      -3.5877332
               66.519997                      -3.6624839
               66.779999                      -3.7500993
               67.040001                      -3.8516198
               67.300003                      -3.9680571
               67.559998                      -4.1003702
                   67.82                      -4.2494341
               68.080002                      -4.4160068
               68.339996                      -4.6007027
               68.599998                      -4.8039643
               68.860001                      -5.0260204
               69.120003                      -5.2668546
               69.379997                      -5.5261632
               69.639999                      -5.8033068
               69.900002                      -6.0972636
               70.160004                      -6.4065709
               70.419998                       -6.729273
                   70.68                      -7.0628613
               70.940002                      -7.4042161
               71.199997                      -7.7495584
               71.459999                      -8.0944279
               71.720001                      -8.4336968
               71.980003                      -8.7616554
               72.239998                      -9.0721843
                    72.5                      -9.3590393
               72.760002                      -9.6162407
               73.019997                      -9.8385311
               73.279999                      -10.021837
               73.540001                      -10.163656
               73.800003                      -10.263266
               74.059998                      -10.321748
                   74.32                      -10.341764
               74.580002                      -10.327217
               74.839996                      -10.282795
               75.099998                      -10.213538
               75.360001                      -10.124454
               75.620003                       -10.02023
               75.879997                      -9.9050399
               76.139999                       -9.782439
               76.400002                      -9.6553427
               76.660004                      -9.5260433
               76.919998                      -9.3962767
                   77.18                      -9.2673068
               77.440002                      -9.1400073
               77.699997                      -9.0149432
               77.959999                      -8.8924471
               78.220001                      -8.7726704
               78.480003                      -8.6556339
               78.739998                      -8.5412639
                      79                       -8.429419
               79.260002                      -8.3199237
               79.519997                      -8.2125907
               79.779999                      -8.1072438
               80.040001                      -8.0037287
               80.300003                      -7.9019231
               80.559998                      -7.8017388
                   80.82                       -7.703113
               81.080002                      -7.6060095
               81.339996                      -7.5104084
               81.599998                      -7.4163075
               81.860001                      -7.3237243
               82.120003                      -7.2326967
               82.379997                       -7.143285
               82.639999                       -7.055574
               82.900002                      -6.9696645
               83.160004                       -6.885675
               83.419998                      -6.8037381
                   83.68                      -6.7239955
               83.940002                      -6.6466089
               84.199997                      -6.5717567
               84.459999                      -6.4996482
               84.720001                      -6.4305229
               84.980003                      -6.3646578
               85.239998                       -6.302362
                    85.5                      -6.2439807
               85.760002                      -6.1898866
               86.019997                      -6.1404834
               86.279999                      -6.0962044
               86.540001                      -6.0575147
               86.800003                      -6.0249151
               87.059998                      -5.9989428
                   87.32                      -5.9801681
               87.580002                      -5.9691927
               87.839996                      -5.9666369
               88.099998                       -5.973138
               88.360001                      -5.9893301
               88.620003                      -6.0158452
               88.879997                      -6.0532981
               89.139999                      -6.1022784
               89.400002                      -6.1633438
               89.660004                       -6.237001
               89.919998                      -6.3236982
                   90.18                      -6.4238056
               90.440002                      -6.5376042
               90.699997                      -6.6652686
               90.959999                      -6.8068645
               91.220001                      -6.9623398
               91.480003                      -7.1315279
               91.739998                       -7.314147
                      92                      -7.5097978
               92.260002                      -7.7179636
               92.519997                      -7.9380005
               92.779999                      -8.1691243
               93.040001                      -8.4104022
               93.300003                      -8.6607273
               93.559998                      -8.9188155
                   93.82                      -9.1831886
               94.080002                      -9.4521675
               94.339996                      -9.7238768
               94.599998                      -9.9962478
               94.860001                      -10.267039
               95.120003                      -10.533867
               95.379997                      -10.794258
               95.639999                       -11.04572
               95.900002                      -11.285821
               96.160004                      -11.512293
               96.419998                      -11.723124
                   96.68                      -11.916635
               96.940002                       -12.09154
               97.199997                      -12.246967
               97.459999                      -12.382454
               97.720001                      -12.497922
               97.980003                      -12.593634
               98.239998                      -12.670144
                    98.5                      -12.728251
               98.760002                      -12.768945
               99.019997                      -12.793364
               99.279999                      -12.802748
               99.540001                      -12.798394
               99.800003                      -12.781631
                  100.06                      -12.753791
                  100.32                      -12.716199
                  100.58                      -12.670163
                  100.84                      -12.616963
                   101.1                      -12.557847
                  101.36                      -12.494006
