        Frequency / MHz                S1,1 (Mesh Pass=3)/arg,degrees
----------------------------------------------------------------------
                      40                       175.02428
               40.259998                       173.77687
                   40.52                       172.52692
               40.779999                       171.27438
               41.040001                       170.01928
               41.299999                       168.76164
               41.560001                        167.5015
                   41.82                       166.23877
               42.080002                       164.97337
                   42.34                       163.70507
               42.599998                       162.43359
               42.860001                        161.1587
               43.119999                       159.88017
               43.380001                       158.59792
               43.639999                       157.31192
               43.900002                       156.02222
                   44.16                       154.72888
               44.419998                        153.4319
                   44.68                       152.13128
               44.939999                       150.82697
               45.200001                       149.51899
               45.459999                       148.20743
               45.720001                       146.89247
                   45.98                       145.57442
               46.240002                       144.25356
                    46.5                       142.93022
               46.759998                       141.60464
                   47.02                         140.277
               47.279999                       138.94741
               47.540001                       137.61595
               47.799999                       136.28268
               48.060001                       134.94765
                   48.32                       133.61085
               48.580002                       132.27223
                   48.84                       130.93157
               49.099998                       129.58844
               49.360001                       128.24229
               49.619999                       126.89243
               49.880001                       125.53804
               50.139999                       124.17845
               50.400002                         122.813
                   50.66                       121.44121
               50.919998                       120.06277
                   51.18                       118.67749
               51.439999                       117.28534
               51.700001                       115.88644
               51.959999                       114.48099
               52.220001                       113.06939
                   52.48                       111.65211
               52.740002                       110.22975
                      53                       108.80291
               53.259998                       107.37213
                   53.52                       105.93785
               53.779999                       104.50023
               54.040001                       103.05928
               54.299999                        101.6147
               54.560001                       100.16605
                   54.82                       98.712688
               55.080002                       97.253882
                   55.34                       95.788793
               55.599998                       94.316491
               55.860001                       92.835924
               56.119999                       91.345987
               56.380001                       89.845497
               56.639999                       88.333266
               56.900002                       86.808153
                   57.16                       85.269106
               57.419998                        83.71521
                   57.68                       82.145654
               57.939999                       80.559724
               58.200001                       78.956748
               58.459999                       77.336066
               58.720001                       75.696998
                   58.98                       74.038834
               59.240002                       72.360867
                    59.5                       70.662397
               59.759998                        68.94272
                   60.02                       67.201124
               60.279999                       65.436889
               60.540001                       63.649203
               60.799999                       61.837247
               61.060001                       60.000031
                   61.32                       58.136535
               61.580002                       56.245819
                   61.84                       54.326813
               62.099998                       52.378538
               62.360001                       50.400116
               62.619999                       48.390627
               62.880001                       46.349245
               63.139999                       44.275084
               63.400002                       42.167328
                   63.66                       40.025208
               63.919998                        37.84805
                   64.18                       35.635344
               64.440002                       33.386752
               64.699997                       31.102293
               64.959999                       28.782227
               65.220001                       26.427216
               65.480003                       24.038395
               65.739998                        21.61737
                      66                       19.166407
               66.260002                       16.688533
               66.519997                       14.187684
               66.779999                       11.668821
               67.040001                       9.1380493
               67.300003                       6.6026939
               67.559998                       4.0713487
                   67.82                       1.5538963
               68.080002                     -0.93849402
               68.339996                      -3.3933811
               68.599998                      -5.7970809
               68.860001                      -8.1347073
               69.120003                      -10.390236
               69.379997                      -12.546598
               69.639999                      -14.585816
               69.900002                      -16.489211
               70.160004                      -18.237646
               70.419998                      -19.811904
                   70.68                       -21.19318
               70.940002                      -22.363704
               71.199997                      -23.307619
               71.459999                      -24.012068
               71.720001                      -24.468561
               71.980003                      -24.674529
               72.239998                      -24.634929
                    72.5                      -24.363618
               72.760002                      -23.884179
               73.019997                      -23.229785
               73.279999                      -22.441861
               73.540001                      -21.567578
               73.800003                      -20.656439
               74.059998                      -19.756541
                   74.32                      -18.911171
               74.580002                      -18.156279
               74.839996                      -17.519063
               75.099998                      -17.017722
               75.360001                      -16.662055
               75.620003                      -16.454718
               75.879997                      -16.392713
               76.139999                      -16.468948
               76.400002                      -16.673695
               76.660004                      -16.995798
               76.919998                      -17.423653
                   77.18                      -17.945913
               77.440002                      -18.551929
               77.699997                      -19.232016
               77.959999                      -19.977552
               78.220001                      -20.781005
               78.480003                      -21.635893
               78.739998                      -22.536753
                      79                      -23.479072
               79.260002                      -24.459242
               79.519997                       -25.47445
               79.779999                      -26.522589
               80.040001                      -27.602103
               80.300003                      -28.711874
               80.559998                      -29.851096
                   80.82                      -31.019178
               81.080002                      -32.215707
               81.339996                      -33.440425
               81.599998                      -34.693218
               81.860001                      -35.974116
               82.120003                      -37.283256
               82.379997                      -38.620878
               82.639999                      -39.987268
               82.900002                      -41.382742
               83.160004                      -42.807636
               83.419998                      -44.262315
                   83.68                      -45.747192
               83.940002                       -47.26274
               84.199997                      -48.809515
               84.459999                      -50.388137
               84.720001                      -51.999239
               84.980003                      -53.643444
               85.239998                      -55.321283
                    85.5                      -57.033214
               85.760002                      -58.779555
               86.019997                      -60.560495
               86.279999                      -62.376067
               86.540001                      -64.226154
               86.800003                      -66.110404
               87.059998                      -68.028254
                   87.32                      -69.978757
               87.580002                       -71.96062
               87.839996                      -73.972069
               88.099998                      -76.010866
               88.360001                      -78.074247
               88.620003                      -80.158923
               88.879997                       -82.26105
               89.139999                      -84.376237
               89.400002                       -86.49951
               89.660004                      -88.625331
               89.919998                      -90.747567
                   90.18                      -92.859536
               90.440002                      -94.954089
               90.699997                      -97.023636
               90.959999                      -99.060296
               91.220001                      -101.05595
               91.480003                      -103.00231
               91.739998                      -104.89105
                      92                      -106.71374
               92.260002                      -108.46193
               92.519997                      -110.12714
               92.779999                      -111.70093
               93.040001                      -113.17495
               93.300003                      -114.54101
               93.559998                      -115.79132
                   93.82                      -116.91862
               94.080002                       -117.9164
               94.339996                      -118.77922
               94.599998                      -119.50292
               94.860001                      -120.08504
               95.120003                      -120.52511
               95.379997                      -120.82497
               95.639999                      -120.98904
               95.900002                      -121.02448
               96.160004                      -120.94111
               96.419998                      -120.75116
                   96.68                      -120.46888
               96.940002                      -120.10993
               97.199997                      -119.69075
               97.459999                      -119.22795
               97.720001                      -118.73777
               97.980003                      -118.23573
               98.239998                      -117.73621
                    98.5                      -117.25237
               98.760002                      -116.79596
               99.019997                      -116.37722
               99.279999                      -116.00496
               99.540001                      -115.68655
               99.800003                      -115.42807
                  100.06                      -115.23439
                  100.32                      -115.10934
                  100.58                      -115.05577
                  100.84                      -115.07556
                   101.1                      -115.16969
                  101.36                      -115.33829
                  101.62                      -115.58068
                  101.88                      -115.89544
                  102.14                      -116.28071
                   102.4                      -116.73419
                  102.66                      -117.25342
                  102.92                      -117.83584
                  103.18                      -118.47884
                  103.44                      -119.17988
                   103.7                      -119.93635
                  103.96                      -120.74572
                  104.22                      -121.60554
                  104.48                      -122.51342
                  104.74                      -123.46709
                     105                      -124.46448
                  105.26                       -125.5036
                  105.52                      -126.58256
                  105.78                      -127.69947
                  106.04                      -128.85242
                   106.3                      -130.03937
                  106.56                       -131.2582
                  106.82                      -132.50668
                  107.08                      -133.78253
                  107.34                      -135.08332
                   107.6                      -136.40661
                  107.86                      -137.74988
                  108.12                      -139.11035
                  108.38                       -140.4852
                  108.64                      -141.87136
                   108.9                      -143.26559
                  109.16                      -144.66458
                  109.42                      -146.06485
                  109.68                      -147.46292
                  109.94                      -148.85546
                   110.2                      -150.23901
                  110.46                      -151.61017
                  110.72                      -152.96576
                  110.98                      -154.30255
                  111.24                      -155.61758
                   111.5                      -156.90817
                  111.76                      -158.17216
                  112.02                       -159.4078
                  112.28                      -160.61411
                  112.54                       -161.7908
                   112.8                      -162.93838
                  113.06                      -164.05814
                  113.32                      -165.15203
                  113.58                      -166.22302
                  113.84                      -167.27469
                   114.1                      -168.31156
                  114.36                       -169.3389
                  114.62                      -170.36251
                  114.88                      -171.38883
                  115.14                      -172.42459
                   115.4                      -173.47671
                  115.66                      -174.55215
                  115.92                      -175.65781
                  116.18                      -176.80051
                  116.44                      -177.98707
                   116.7                        -179.224
                  116.96                       179.48217
                  117.22                       178.12518
                  117.48                       176.69916
                  117.74                       175.19867
                     118                       173.61877
                  118.26                       171.95521
                  118.52                       170.20444
                  118.78                       168.36367
                  119.04                       166.43106
                   119.3                       164.40568
                  119.56                       162.28763
                  119.82                       160.07812
                  120.08                       157.77948
                  120.34                       155.39508
                   120.6                       152.92911
                  120.86                       150.38656
                  121.12                       147.77285
                  121.38                       145.09373
                  121.64                       142.35492
                   121.9                        139.5622
                  122.16                       136.72113
                  122.42                       133.83697
                  122.68                       130.91468
                  122.94                       127.95886
                   123.2                       124.97374
                  123.46                        121.9631
                  123.72                       118.93044
                  123.98                       115.87877
                  124.24                       112.81078
                   124.5                       109.72916
                  124.76                       106.63637
                  125.02                       103.53495
                  125.28                        100.4274
                  125.54                       97.316498
                   125.8                       94.204937
                  126.06                       91.095562
                  126.32                       87.991186
                  126.58                       84.894679
                  126.84                       81.808881
                   127.1                       78.736662
                  127.36                        75.68089
                  127.62                       72.644433
                  127.88                       69.630162
                  128.14                       66.640805
               128.39999                       63.678854
                  128.66                       60.746681
                  128.92                       57.846173
               129.17999                       54.979107
                  129.44                        52.14682
                   129.7                        49.35054
               129.96001                       46.591061
                  130.22                       43.869173
                  130.48                       41.185182
               130.74001                       38.539197
                     131                       35.930965
               131.25999                       33.359919
                  131.52                       30.825124
                  131.78                       28.325386
               132.03999                       25.859251
                   132.3                       23.425135
                  132.56                       21.021345
               132.82001                       18.646023
                  133.08                       16.297176
                  133.34                       13.972754
               133.60001                       11.670487
                  133.86                       9.3881121
                  134.12                       7.1233855
                  134.38                       4.8740129
                  134.64                        2.638055
               134.89999                      0.41365354
                  135.16                      -1.8006663
                  135.42                      -4.0061622
               135.67999                      -6.2037888
                  135.94                      -8.3942308
                   136.2                      -10.577733
               136.46001                      -12.754322
                  136.72                      -14.923536
                  136.98                      -17.084391
               137.24001                      -19.235516
                   137.5                      -21.374977
               137.75999                      -23.500396
                  138.02                      -25.609011
                  138.28                      -27.697685
               138.53999                      -29.762971
                   138.8                      -31.800988
                  139.06                      -33.807561
               139.32001                      -35.778072
                  139.58                      -37.707518
                  139.84                      -39.590463
               140.10001                      -41.421009
                  140.36                       -43.19306
                  140.62                      -44.899842
                  140.88                      -46.534306
                  141.14                      -48.088887
               141.39999                        -49.5553
                  141.66                      -50.924427
                  141.92                      -52.186313
               142.17999                      -53.329745
                  142.44                      -54.342441
                   142.7                      -55.210807
               142.96001                      -55.920164
                  143.22                      -56.454611
                  143.48                      -56.797731
               143.74001                      -56.932886
                     144                      -56.844505
               144.25999                      -56.519742
                  144.52                      -55.950677
                  144.78                      -55.137698
               145.03999                      -54.092816
                   145.3                      -52.843162
                  145.56                      -51.433383
               145.82001                      -49.925415
                  146.08                      -48.395778
                  146.34                      -46.929148
               146.60001                      -45.609937
                  146.86                      -44.513555
                  147.12                      -43.699288
                  147.38                      -43.206229
                  147.64                      -43.052631
               147.89999                      -43.237949
                  148.16                      -43.746443
                  148.42                      -44.551476
               148.67999                      -45.619746
                  148.94                      -46.914503
                   149.2                      -48.398541
               149.46001                      -50.036038
                  149.72                      -51.794017
                  149.98                      -53.642839
               150.24001                      -55.556881
                   150.5                      -57.514191
               150.75999                      -59.496531
                  151.02                      -61.488952
                  151.28                      -63.479379
               151.53999                      -65.458304
                   151.8                      -67.418402
                  152.06                      -69.354133
               152.32001                      -71.261588
                  152.58                      -73.138057
                  152.84                      -74.981908
               153.10001                      -76.792127
                  153.36                      -78.568331
                  153.62                      -80.310523
                  153.88                       -82.01897
                  154.14                      -83.694225
               154.39999                      -85.336995
                  154.66                      -86.948236
