        Time / ns                o2 [pw] (1)/real
----------------------------------------------------------------------
                       0                               0
             0.068378963                               0
              0.13675793                               0
              0.20513688                               0
              0.27351585                               0
              0.34189481                               0
              0.41027376                               0
              0.47865272                               0
               0.5470317                               0
              0.61541063                               0
              0.68378961                               0
               0.7521686                               0
              0.82054752                               0
              0.88892651                               0
              0.95730543                               0
               1.0256845                               0
               1.0940634                               0
               1.1624423                               0
               1.2308213                               0
               1.2992003                               0
               1.3675792                               0
               1.4359581                               0
               1.5043372                               0
               1.5727161                               0
                1.641095                               0
               1.7094741                               0
                1.777853                               0
               1.8462319                               0
               1.9146109                               0
               1.9829899                               0
                2.051369                               0
               2.1197479                               0
               2.1881268                               0
               2.2565057                               0
               2.3248847                               0
               2.3932636                               0
               2.4616425                               0
               2.5300217                               0
               2.5984006                               0
               2.6667795                               0
               2.7351584                               0
               2.8035374                               0
               2.8719163                               0
               2.9402952                               0
               3.0086744                               0
               3.0770533                               0
               3.1454322                               0
               3.2138112                               0
               3.2821901                               0
                3.350569                               0
               3.4189482                               0
               3.4873271                               0
                3.555706                               0
               3.6240849                               0
               3.6924639                               0
               3.7608428                               0
               3.8292217                               0
               3.8976009                               0
               3.9659798                               0
               4.0343585                               0
               4.1027379                               0
               4.1711168                               0
               4.2394958                               0
               4.3078747                               0
               4.3762536                               0
               4.4446325                               0
               4.5130115                               0
               4.5813904                               0
               4.6497693                               0
               4.7181482                               0
               4.7865272                               0
               4.8549061                               0
                4.923285                               0
               4.9916644                               0
               5.0600433                               0
               5.1284223                               0
               5.1968012                               0
               5.2651801                               0
                5.333559                               0
                5.401938                               0
               5.4703169                               0
               5.5386958                               0
               5.6070747                               0
               5.6754537                               0
               5.7438326                               0
               5.8122115                               0
               5.8805904                               0
               5.9489698                               0
               6.0173488                               0
               6.0857277                               0
               6.1541066                               0
               6.2224855                               0
               6.2908645                               0
               6.3592434                               0
               6.4276223                               0
               6.4960012                               0
               6.5643802                               0
               6.6327591                               0
                6.701138                               0
               6.7695169                               0
               6.8378963                               0
               6.9062753                               0
               6.9746542                               0
               7.0430331                   3.3143798e-35
                7.111412                   1.0401776e-33
                7.179791                   1.0192385e-32
               7.2481699                   8.0629168e-32
               7.3165488                   5.9935194e-31
               7.3849277                   4.2624238e-30
               7.4533067                   2.9089652e-29
               7.5216856                   1.9066105e-28
               7.5900645                   1.2006761e-27
               7.6584435                   7.2678764e-27
               7.7268229                   4.2303375e-26
               7.7952018                   2.3685808e-25
               7.8635807                   1.2761406e-24
               7.9319596                   6.6183174e-24
               8.0003386                   3.3049593e-23
                8.068717                    1.589543e-22
               8.1370964                   7.3649569e-22
               8.2054758                   3.2881251e-21
               8.2738543                    1.414744e-20
               8.3422337                   5.8669394e-20
               8.4106121                   2.3452168e-19
               8.4789915                   9.0366184e-19
                 8.54737                   3.3564069e-18
               8.6157494                   1.2016126e-17
               8.6841278                    4.146039e-17
               8.7525072                   1.3785537e-16
               8.8208857                   4.4163567e-16
               8.8892651                   1.3629274e-15
               8.9576435                   4.0509711e-15
               9.0260229                   1.1593851e-14
               9.0944023                    3.194329e-14
               9.1627808                    8.470631e-14
               9.2311602                    2.161416e-13
               9.2995386                   5.3058236e-13
                9.367918                   1.2527637e-12
               9.4362965                   2.8444807e-12
               9.5046759                   6.2097805e-12
               9.5730543                   1.3032198e-11
               9.6414337                   2.6288343e-11
               9.7098122                   5.0963209e-11
               9.7781916                   9.4940313e-11
                 9.84657                    1.699445e-10
               9.9149494                    2.922807e-10
               9.9833288                     4.82969e-10
               10.051707                   7.6678769e-10
               10.120087                   1.1697899e-09
               10.188465                   1.7151423e-09
               10.256845                   2.4176621e-09
               10.325223                   3.2781282e-09
               10.393602                   4.2790553e-09
               10.461981                   5.3838463e-09
                10.53036                   6.5407546e-09
               10.598739                   7.6917974e-09
               10.667118                    8.784939e-09
               10.735497                   9.7861026e-09
               10.803876                   1.0686746e-08
               10.872255                   1.1503418e-08
               10.940634                   1.2268062e-08
               11.009013                   1.3011131e-08
               11.077392                   1.3742547e-08
               11.145771                   1.4436865e-08
               11.214149                   1.5027723e-08
               11.282529                   1.5413217e-08
               11.350907                   1.5469469e-08
               11.419287                   1.5066227e-08
               11.487665                   1.4077617e-08
               11.556045                   1.2383467e-08
               11.624423                   9.8609698e-09
               11.692802                   6.3709438e-09
