        Frequency / MHz                Port 1 [1] (Mesh Pass=3)/abs,linear
----------------------------------------------------------------------
                      40                       14545.214
                   40.26                       12206.318
                   40.52                       6809.1202
                   40.78                       4611.5485
                   41.04                       3340.0334
                    41.3                       2488.5368
                   41.56                       1922.8544
                   41.82                       1557.4232
                   42.08                       1322.8327
                   42.34                       1166.8009
                    42.6                       1048.8674
                   42.86                        939.2196
                   43.12                       825.80834
                   43.38                       715.50084
                   43.64                       620.91855
                    43.9                       549.61235
                   44.16                       504.23329
                   44.42                       486.61377
                   44.68                       500.85173
                   44.94                       555.22238
                    45.2                       662.84075
                   45.46                       833.03346
                   45.72                       1019.9123
                   45.98                       1071.0356
                   46.24                       960.00807
                    46.5                       824.83778
                   46.76                       724.30404
                   47.02                       656.03963
                   47.28                       606.69869
                   47.54                       565.19289
                    47.8                       525.79469
                   48.06                       487.94679
                   48.32                       453.52196
                   48.58                       424.01878
                   48.84                       399.45046
                    49.1                       378.58443
                   49.36                       359.73136
                   49.62                       341.59014
                   49.88                       323.73062
                   50.14                       306.46835
                    50.4                       290.34359
                   50.66                       275.65175
                   50.92                         262.275
                   51.18                        249.7975
                   51.44                       237.76524
                    51.7                       225.91843
                   51.96                       214.26214
                   52.22                       202.96392
                   52.48                       192.18531
                   52.74                        181.9654
                      53                       172.20618
                   53.26                       162.74076
                   53.52                       153.42772
                   53.78                       144.21161
                   54.04                       135.12047
                    54.3                       126.21675
                   54.56                       117.54226
                   54.82                       109.08936
                   55.08                       100.80678
                   55.34                       92.628483
                    55.6                       84.504449
                   55.86                        76.41625
                   56.12                       68.372763
                   56.38                       60.393902
                   56.64                       52.494605
                    56.9                       44.677923
                   57.16                        36.94088
                   57.42                         29.2953
                   57.68                       21.817565
                   57.94                       14.810975
                    58.2                       9.5541333
                   58.46                       9.7763219
                   58.72                       15.373561
                   58.98                       22.757256
                   59.24                       30.743778
                    59.5                       39.047201
                   59.76                       47.595249
                   60.02                       56.381828
                   60.28                       65.422229
                   60.54                       74.733181
                    60.8                       84.324058
                   61.06                       94.197709
                   61.32                       104.35976
                   61.58                       114.83187
                   61.84                       125.66106
                    62.1                       136.91751
                   62.36                       148.67932
                   62.62                       161.01167
                   62.88                       173.95389
                   63.14                       187.52591
                    63.4                       201.75582
                   63.66                       216.71596
                   63.92                       232.54479
                   64.18                       249.43685
                   64.44                       267.60241
                    64.7                       287.22203
                   64.96                        308.4305
                   65.22                       331.35412
                   65.48                       356.19558
                   65.74                       383.32594
                      66                       413.32776
                   66.26                       446.95982
                   66.52                       485.06981
                   66.78                       528.53127
                   67.04                       578.29716
                    67.3                       635.63385
                   67.56                       702.52615
                   67.82                       782.15693
                   68.08                       879.34479
                   68.34                       1000.9161
                    68.6                       1156.1246
                   68.86                        1357.253
                   69.12                       1620.0528
                   69.38                       1960.9438
                   69.64                       2376.8856
                    69.9                       2773.4548
                   70.16                       2897.3425
                   70.42                       2618.6009
                   70.68                       2173.5256
                   70.94                       1775.4933
                    71.2                       1470.8572
                   71.46                       1243.2889
                   71.72                       1069.9937
                   71.98                       934.00262
                   72.24                       824.37022
                    72.5                       734.28455
                   72.76                       659.32053
                   73.02                        596.2786
                   73.28                       542.59503
                   73.54                       496.14896
                    73.8                       455.26111
                   74.06                       418.71792
                   74.32                       385.72511
                   74.58                       355.77953
                   74.84                       328.51365
                    75.1                       303.58052
                   75.36                       280.61352
                   75.62                       259.25066
                   75.88                       239.18525
                   76.14                       220.20151
                    76.4                       202.17258
                   76.66                       185.02624
                   76.92                       168.70314
                   77.18                       153.13177
                   77.44                       138.23097
                    77.7                       123.93508
                   77.96                       110.22878
                   78.22                        97.18116
                   78.48                       84.979277
                   78.74                       73.973814
                      79                       64.747897
                   79.26                       58.175207
                   79.52                       55.310152
                   79.78                       56.917815
                   80.04                       62.957337
                    80.3                       72.712747
                   80.56                        85.35885
                   80.82                        100.2904
                   81.08                       117.15267
                   81.34                       135.77989
                    81.6                       156.14431
                   81.86                       178.33081
                   82.12                       202.52406
                   82.38                       228.99388
                   82.64                        258.0707
                    82.9                       290.11261
                   83.16                       325.47077
                   83.42                       364.45845
                   83.68                        407.3167
                   83.94                       454.14596
                    84.2                       504.74791
                   84.46                       558.31647
                   84.72                       612.97473
                   84.98                        665.3238
                   85.24                       710.43097
                    85.5                       742.77825
                   85.76                       758.14898
                   86.02                       755.37535
                   86.28                       736.61842
                   86.54                       706.10788
                    86.8                       668.48594
                   87.06                       627.71618
                   87.32                       586.69343
                   87.58                       547.27335
                   87.84                       510.46808
                    88.1                       476.68231
                   88.36                       445.93805
                   88.62                       418.06205
                   88.88                       392.82057
                   89.14                       369.99645
                    89.4                       349.41595
                   89.66                       330.94296
                   89.92                       314.46207
                   90.18                       299.86676
                   90.44                       287.05997
                    90.7                        275.9645
                   90.96                       266.53512
                   91.22                       258.76397
                   91.48                       252.67461
                   91.74                        248.3061
                      92                       245.69271
                   92.26                       244.84656
                   92.52                       245.74812
                   92.78                       248.34515
                   93.04                       252.55588
                    93.3                       258.26908
                   93.56                       265.33499
                   93.82                       273.54596
                   94.08                       282.61311
                   94.34                       292.15117
                    94.6                       301.68398
                   94.86                       310.67526
                   95.12                        318.5771
                   95.38                       324.87932
                   95.64                       329.14676
                    95.9                       331.04537
                   96.16                       330.36874
                   96.42                       327.06889
                   96.68                       321.27625
                   96.94                        313.2852
                    97.2                       303.49793
                   97.46                       292.34686
                   97.72                         280.229
                   97.98                       267.47402
                   98.24                       254.34496
                    98.5                       241.05459
                   98.76                       227.77947
                   99.02                       214.66411
                   99.28                       201.81823
                   99.54                       189.31503
                    99.8                        177.1961
                  100.06                       165.48307
                  100.32                       154.19176
                  100.58                       143.34398
                  100.84                       132.97428
                   101.1                       123.13256
                  101.36                        113.8856
                  101.62                       105.32097
                  101.88                       97.554318
                  102.14                       90.738815
                   102.4                       85.071428
                  102.66                       80.788198
                  102.92                       78.139863
                  103.18                         77.3457
                  103.44                       78.539347
                   103.7                       81.735103
                  103.96                       86.836495
                  104.22                       93.680548
                  104.48                       102.09053
                  104.74                       111.91454
                     105                        123.0437
                  105.26                       135.41493
                  105.52                       149.00582
                  105.78                       163.82802
                  106.04                       179.92352
                   106.3                       197.36588
                  106.56                       216.26561
                  106.82                       236.77652
                  107.08                       259.09823
                  107.34                       283.47191
                   107.6                       310.17046
                  107.86                       339.48884
                  108.12                       371.74231
                  108.38                       407.27489
                  108.64                       446.46789
                   108.9                         489.722
                  109.16                       537.37598
                  109.42                       589.52904
                  109.68                       645.75888
                  109.94                       704.77106
                   110.2                       764.07194
                  110.46                       819.81119
                  110.72                       866.97803
                  110.98                        900.1456
                  111.24                       914.84475
                   111.5                       909.20928
                  111.76                       884.92276
                  112.02                       846.60134
                  112.28                       799.93962
                  112.54                       749.90781
                   112.8                       699.91148
                  113.06                       651.86924
                  113.32                       606.69517
                  113.58                       564.76245
                  113.84                       526.17968
                   114.1                       490.89757
                  114.36                       458.73496
                  114.62                       429.40104
                  114.88                       402.54436
                  115.14                       377.81816
                   115.4                       354.93387
                  115.66                       333.68035
                  115.92                        313.9072
                  116.18                       295.48943
                  116.44                       278.29757
                   116.7                       262.18892
                  116.96                        247.0204
                  117.22                       232.67112
                  117.48                       219.05884
                  117.74                       206.14076
                     118                       193.89981
                  118.26                       182.32634
                  118.52                       171.40669
                  118.78                       161.12511
                  119.04                       151.47755
                   119.3                       142.48991
                  119.56                        134.2316
                  119.82                       126.81857
                  120.08                       120.40521
                  120.34                       115.16923
                   120.6                       111.29492
                  120.86                       108.95959
                  121.12                       108.32491
                  121.38                       109.53192
                  121.64                       112.69617
                   121.9                       117.90019
                  122.16                       125.18441
                  122.42                       134.54249
                  122.68                       145.93015
                  122.94                       159.29756
                   123.2                       174.65293
                  123.46                       192.15658
                  123.72                       212.22694
                  123.98                       235.62104
                  124.24                        263.4432
                   124.5                       297.02784
                  124.76                       337.59608
                  125.02                        385.4718
                  125.28                       438.60394
                  125.54                       490.80178
                   125.8                       532.12127
                  126.06                       554.31799
                  126.32                       557.31535
                  126.58                       548.02747
                  126.84                       533.65979
                   127.1                        517.7521
                  127.36                       500.47926
                  127.62                       480.71904
                  127.88                       457.99863
                  128.14                       433.27778
                   128.4                       408.41865
                  128.66                       385.15067
                  128.92                       364.38962
                  129.18                       346.12137
                  129.44                       329.64976
                   129.7                       314.00106
                  129.96                       298.34476
                  130.22                       282.28819
                  130.48                       265.92978
                  130.74                       249.68589
                     131                       234.03588
                  131.26                       219.33261
                  131.52                       205.73299
                  131.78                        193.2237
                  132.04                       181.69368
                   132.3                       171.01269
                  132.56                       161.08976
