        Frequency / MHz                Port 1 [1] (Mesh Pass=3)/arg,degrees
----------------------------------------------------------------------
                      40                       41.392995
                   40.26                      -31.236406
                   40.52                      -55.755342
                   40.78                      -67.356261
                   41.04                      -75.394966
                    41.3                      -80.063804
                   41.56                      -81.510342
                   41.82                      -80.782166
                   42.08                      -79.182338
                   42.34                      -77.859107
                    42.6                      -77.512505
                   42.86                       -78.01291
                   43.12                      -78.327686
                   43.38                      -77.195667
                   43.64                      -73.906071
                    43.9                      -68.396413
                   44.16                      -60.985987
                   44.42                      -52.263997
                   44.68                       -43.19551
                   44.94                      -35.280327
                    45.2                      -30.666662
                   45.46                      -32.240835
                   45.72                      -42.625859
                   45.98                      -58.843034
                   46.24                      -71.796938
                    46.5                      -78.491073
                   46.76                      -81.340202
                   47.02                      -82.707821
                   47.28                      -83.873381
                   47.54                      -85.221991
                    47.8                      -86.564897
                   48.06                       -87.56073
                   48.32                      -88.050077
                   48.58                      -88.132463
                   48.84                      -88.053283
                    49.1                      -88.045501
                   49.36                      -88.213631
                   49.62                      -88.506257
                   49.88                      -88.784235
                   50.14                      -88.929631
                    50.4                      -88.916343
                   50.66                      -88.808119
                   50.92                      -88.704736
                   51.18                      -88.677695
                   51.44                      -88.732418
                    51.7                      -88.815799
                   51.96                      -88.858692
                   52.22                      -88.820772
                   52.48                      -88.709533
                   52.74                      -88.567598
                      53                      -88.441656
                   53.26                      -88.353429
                   53.52                      -88.289104
                   53.78                       -88.21115
                   54.04                      -88.082034
                    54.3                      -87.883638
                   54.56                       -87.62195
                   54.82                      -87.316909
                   55.08                      -86.984885
                   55.34                      -86.623656
                    55.6                      -86.206827
                   55.86                       -85.68797
                   56.12                      -85.008495
                   56.38                      -84.100723
                   56.64                      -82.878395
                    56.9                      -81.206007
                   57.16                      -78.828329
                   57.42                      -75.202008
                   57.68                      -69.019257
                   57.94                      -56.568197
                    58.2                      -26.600369
                   58.46                       23.397032
                   58.72                       52.052558
                   58.98                       63.977727
                   59.24                       69.920017
                    59.5                        73.39452
