        Frequency / MHz                S1,1 (Mesh Pass=3)/abs,dB
----------------------------------------------------------------------
                      40                    -0.089596604
               40.259998                     -0.12168712
                   40.52                     -0.14354821
               40.779999                     -0.14497566
               41.040001                     -0.13103997
               41.299999                     -0.12026636
               41.560001                     -0.13302543
                   41.82                     -0.17796883
               42.080002                     -0.24513578
                   42.34                     -0.31097654
               42.599998                     -0.35509482
               42.860001                     -0.38008123
               43.119999                     -0.41976589
               43.380001                      -0.5284225
               43.639999                     -0.75788284
               43.900002                      -1.1328167
                   44.16                      -1.6265101
               44.419998                      -2.1385423
                   44.68                      -2.4983318
               44.939999                      -2.5442517
               45.200001                      -2.2533452
               45.459999                      -1.7625732
               45.720001                      -1.2498679
                   45.98                     -0.83448305
               46.240002                     -0.55998322
                    46.5                     -0.41443524
               46.759998                      -0.3545647
                   47.02                     -0.32863015
               47.279999                     -0.29762593
               47.540001                     -0.24831313
               47.799999                     -0.19108381
               48.060001                     -0.14542899
                   48.32                     -0.12429922
               48.580002                     -0.12648902
                   48.84                     -0.13903248
               49.099998                     -0.14630571
               49.360001                      -0.1397511
               49.619999                     -0.12211307
               49.880001                     -0.10394324
               50.139999                     -0.09570227
               50.400002                     -0.10116053
                   50.66                      -0.1158496
               50.919998                     -0.13072939
                   51.18                     -0.13832737
               51.439999                     -0.13734536
               51.700001                     -0.13289058
               51.959999                     -0.13261706
               52.220001                     -0.14175084
                   52.48                     -0.16021522
               52.740002                     -0.18331657
                      53                      -0.2051934
               53.259998                     -0.22270262
                   53.52                     -0.23731745
               53.779999                     -0.25400394
               54.040001                     -0.27811004
               54.299999                     -0.31239449
               54.560001                     -0.35594464
                   54.82                     -0.40536108
               55.080002                     -0.45727986
                   55.34                     -0.51064022
               55.599998                     -0.56737175
               55.860001                     -0.63125205
               56.119999                     -0.70577779
               56.380001                     -0.79231394
               56.639999                      -0.8894174
               56.900002                      -0.9934394
                   57.16                      -1.0998895
               57.419998                      -1.2047512
                   57.68                      -1.3051336
               57.939999                      -1.3990876
               58.200001                      -1.4849189
               58.459999                       -1.560497
               58.720001                      -1.6230017
                   58.98                      -1.6692622
               59.240002                      -1.6965498
                    59.5                      -1.7035554
               59.759998                      -1.6911078
                   60.02                      -1.6622982
               60.279999                      -1.6218392
