        Frequency / MHz                S1,1 (Mesh Pass=3)/arg,degrees
----------------------------------------------------------------------
                      40                      0.52094102
               40.259998                     -0.48684743
                   40.52                      -1.3911917
               40.779999                      -2.2931913
               41.040001                      -3.3192484
               41.299999                      -4.5335562
               41.560001                      -5.8893041
                   41.82                      -7.2538119
               42.080002                      -8.4947565
                   42.34                      -9.5820416
               42.599998                      -10.640617
               42.860001                      -11.897515
               43.119999                      -13.534101
               43.380001                      -15.536133
               43.639999                      -17.626124
               43.900002                      -19.285672
                   44.16                      -19.852864
               44.419998                      -18.745648
                   44.68                       -15.89053
               44.939999                      -12.135407
               45.200001                      -8.9494543
               45.459999                      -7.4043065
               45.720001                      -7.6370276
                   45.98                      -9.1575534
               46.240002                      -11.314154
                    46.5                      -13.557532
               46.759998                      -15.551019
                   47.02                      -17.201846
               47.279999                      -18.619883
               47.540001                      -20.002895
               47.799999                      -21.501597
               48.060001                      -23.144917
                   48.32                      -24.856438
               48.580002                      -26.527986
                   48.84                      -28.095833
               49.099998                      -29.578236
               49.360001                      -31.057975
               49.619999                      -32.625783
               49.880001                      -34.325702
               50.139999                      -36.138033
               50.400002                       -38.00444
                   50.66                      -39.873071
               50.919998                      -41.734343
                   51.18                      -43.627228
               51.439999                      -45.614565
               51.700001                       -47.74588
               51.959999                      -50.033019
               52.220001                      -52.452912
                   52.48                      -54.971894
               52.740002                      -57.574342
                      53                      -60.278291
               53.259998                      -63.129757
                   53.52                      -66.181002
               53.779999                      -69.467682
               54.040001                      -72.999845
               54.299999                      -76.770022
               54.560001                      -80.771666
                   54.82                      -85.016266
               55.080002                      -89.538972
                   55.34                      -94.390653
               55.599998                        -99.6221
               55.860001                      -105.26981
               56.119999                      -111.35074
               56.380001                       -117.8667
               56.639999                      -124.81359
               56.900002                      -132.18872
                   57.16                      -139.99127
               57.419998                      -148.21549
                   57.68                       -156.8395
               57.939999                      -165.81546
               58.200001                      -175.06485
               58.459999                       175.51761
               58.720001                       166.05368
                   58.98                       156.66739
               59.240002                       147.47101
                    59.5                       138.55532
               59.759998                       129.98636
                   60.02                       121.80863
               60.279999                       114.05142
               60.540001                       106.73527
               60.799999                       99.873911
               61.060001                       93.472358
                   61.32                       87.522663
               61.580002                       82.001384
                   61.84                       76.871501
               62.099998                       72.090204
               62.360001                        67.61867
               62.619999                       63.428924
               62.880001                       59.504679
               63.139999                       55.835505
               63.400002                       52.408414
                   63.66                       49.201805
               63.919998                       46.185948
                   64.18                       43.329562
               64.440002                       40.608525
               64.699997                       38.010595
               64.959999                       35.533694
               65.220001                       33.178506
               65.480003                       30.940145
               65.739998                        28.80432
                      66                       26.750182
               66.260002                       24.758059
               66.519997                       22.816865
               66.779999                       20.925969
               67.040001                       19.090889
               67.300003                       17.315258
               67.559998                       15.594679
                   67.82                       13.916145
               68.080002                       12.263513
               68.339996                       10.625223
               68.599998                       8.9989272
               68.860001                       7.3902816
