        Time / ns                i1 (Mesh Pass=2)/real
----------------------------------------------------------------------
                       0                  -4.7998583e-09
             0.068499565                   1.5052502e-06
              0.13699913                   1.7083888e-06
               0.2054987                   1.9270431e-06
              0.27399826                   2.1600167e-06
              0.34249783                   2.4054075e-06
              0.41099739                   2.6604519e-06
              0.47949696                   2.9213577e-06
              0.54799652                   3.1831269e-06
              0.61649609                   3.4393338e-06
              0.68499565                   3.6819149e-06
              0.75349522                   3.9009037e-06
              0.82199478                   4.0841833e-06
              0.89049435                   4.2171869e-06
              0.95899391                     4.28261e-06
               1.0274935                   4.2600896e-06
                1.095993                   4.1258854e-06
               1.1644926                   3.8525595e-06
               1.2329922                   3.4086429e-06
               1.3014917                   2.7583344e-06
               1.3699913                   1.8611977e-06
               1.4384909                   6.7190513e-07
               1.5069904                  -8.5998704e-07
                 1.57549                  -2.7902008e-06
               1.6439896                   -5.179822e-06
               1.7124891                  -8.0953032e-06
               1.7809887                  -1.1608337e-05
               1.8494883                  -1.5795615e-05
               1.9179878                  -2.0738395e-05
               1.9864874                  -2.6521915e-05
                2.054987                  -3.3234563e-05
               2.1234865                  -4.0966806e-05
               2.1919861                  -4.9809849e-05
               2.2604856                  -5.9853959e-05
               2.3289852                  -7.1186485e-05
               2.3974848                  -8.3889441e-05
               2.4659843                  -9.8036733e-05
               2.5344839                  -0.00011369089
               2.6029835                  -0.00013089941
                2.671483                   -0.0001496905
               2.7399826                  -0.00017006839
               2.8084822                  -0.00019200808
               2.8769817                  -0.00021544956
               2.9454813                  -0.00024029151
               3.0139809                  -0.00026638448
               3.0824804                  -0.00029352357
                 3.15098                   -0.0003214406
               3.2194796                  -0.00034979614
               3.2879791                  -0.00037817081
               3.3564787                  -0.00040605667
               3.4249783                  -0.00043284841
               3.4934778                  -0.00045783454
               3.5619774                  -0.00048018878
                3.630477                  -0.00049896183
               3.6989765                  -0.00051307364
               3.7674761                  -0.00052130671
               3.8359756                  -0.00052230014
               3.9044752                  -0.00051454542
               3.9729748                  -0.00049638376
               4.0414743                  -0.00046600524
               4.1099739                  -0.00042145059
               4.1784735                  -0.00036061581
                4.246973                  -0.00028125974
               4.3154726                  -0.00018101514
               4.3839722                   -5.740394e-05
               4.4524717                   9.2143287e-05
               4.5209713                   0.00027026315
               4.5894709                   0.00047963002
               4.6579704                    0.0007229214
                 4.72647                    0.0010027775
               4.7949696                    0.0013217543
               4.8634691                    0.0016822718
               4.9319687                    0.0020865544
               5.0004683                    0.0025365658
               5.0689678                    0.0030339384
               5.1374674                    0.0035798948
               5.2059669                    0.0041751661
               5.2744665                    0.0048199031
               5.3429661                    0.0055135824
               5.4114656                    0.0062549128
               5.4799652                    0.0070417323
               5.5484648                    0.0078709098
               5.6169643                    0.0087382421
               5.6854639                    0.0096383542
               5.7539635                       0.0105646
                5.822463                     0.011508972
               5.8909626                     0.012462012
               5.9594622                     0.013412734
               6.0279617                     0.014348558
               6.0964613                     0.015255258
               6.1649609                     0.016116925
               6.2334604                     0.016915942
                 6.30196                        0.017633
               6.3704596                     0.018247113
               6.4389591                     0.018735675
               6.5074587                     0.019074548
               6.5759583                     0.019238167
               6.6444578                     0.019199695
               6.7129574                     0.018931199
               6.7814569                     0.018403875
               6.8499565                     0.017588302
               6.9184561                     0.016454738
               6.9869556                     0.014973454
               7.0554552                     0.013115112
               7.1239548                     0.010851169
               7.1924543                    0.0081543289
               7.2609539                    0.0049990197
               7.3294535                    0.0013619034
                7.397953                   -0.0027775853
               7.4664526                   -0.0074366825
               7.5349522                    -0.012628718
               7.6034517                    -0.018362535
               7.6719513                    -0.024641898
               7.7404509                    -0.031464908
               7.8089504                    -0.038823441
                 7.87745                     -0.04670259
               7.9459496                    -0.055080164
               8.0144491                     -0.06392619
               8.0829487                    -0.073202521
               8.1514482                    -0.082862452
               8.2199478                    -0.092850454
               8.2884474                     -0.10310195
               8.3569469                     -0.11354321
               8.4254465                      -0.1240914
               8.4939461                      -0.1346546
               8.5624456                     -0.14513208
               8.6309452                     -0.15541467
               8.6994448                     -0.16538523
               8.7679443                     -0.17491929
               8.8364439                     -0.18388578
               8.9049435                     -0.19214801
                8.973443                     -0.19956465
               9.0419426                     -0.20599097
               9.1104422                     -0.21128015
               9.1789417                     -0.21528473
               9.2474413                     -0.21785821
               9.3159409                     -0.21885663
               9.3844404                     -0.21814045
                 9.45294                     -0.21557632
               9.5214396                     -0.21103898
               9.5899391                     -0.20441319
               9.6584387                     -0.19559574
               9.7269382                     -0.18449728
               9.7954378                     -0.17104426
               9.8639374                      -0.1551808
               9.9324369                     -0.13687035
               10.000937                     -0.11609746
               10.069436                    -0.092869073
               10.137936                    -0.067216001
               10.206435                    -0.039193951
               10.274935                   -0.0088844318
               10.343434                     0.023604603
               10.411934                     0.058138382
               10.480433                     0.094555236
               10.548933                      0.13266681
               10.617433                      0.17225862
               10.685932                      0.21309088
               10.754432                      0.25489974
               10.822931                      0.29739878
               10.891431                      0.34028089
                10.95993                      0.38322037
                11.02843                      0.42587554
                11.09693                      0.46789142
               11.165429                      0.50890279
               11.233929                      0.54853749
               11.302428                      0.58641988
               11.370928                      0.62217456
               11.439427                       0.6554302
               11.507927                      0.68582332
               11.576427                      0.71300244
               11.644926                      0.73663187
               11.713426                      0.75639582
               11.781925                      0.77200204
               11.850425                       0.7831856
               11.918924                      0.78971249
               11.987424                      0.79138267
               12.055923                      0.78803331
               12.124423                      0.77954125
               12.192923                      0.76582539
               12.261422                       0.7468484
               12.329922                      0.72261852
               12.398421                      0.69319004
               12.466921                      0.65866423
                12.53542                      0.61918914
                12.60392                      0.57495898
                12.67242                      0.52621329
               12.740919                       0.4732351
               12.809419                      0.41634923
               12.877918                      0.35591936
               12.946418                      0.29234532
               13.014917                      0.22605944
               13.083417                      0.15752283
               13.151917                     0.087221123
               13.220416                     0.015659994
               13.288916                    -0.056639634
               13.357415                     -0.12914655
               13.425915                     -0.20132434
               13.494414                     -0.27263668
               13.562914                     -0.34255245
               13.631413                     -0.41055098
               13.699913                     -0.47612724
               13.768413                     -0.53879654
               13.836912                     -0.59809953
               13.905412                      -0.6536063
               13.973911                     -0.70492095
               14.042411                     -0.75168478
                14.11091                     -0.79358017
                14.17941                     -0.83033299
                14.24791                     -0.86171526
               14.316409                     -0.88754678
               14.384909                     -0.90769672
               14.453408                     -0.92208433
               14.521908                     -0.93067896
               14.590407                     -0.93350023
               14.658907                     -0.93061662
               14.727407                     -0.92214453
               14.795906                      -0.9082464
               14.864406                     -0.88912827
               14.932905                      -0.8650369
               15.001405                     -0.83625704
               15.069904                     -0.80310762
               15.138404                     -0.76593804
               15.206903                     -0.72512412
               15.275403                     -0.68106389
