        Frequency / MHz                Port 1 [1] (Mesh Pass=3)/abs,linear
----------------------------------------------------------------------
                      40                       10377.551
                   40.26                       8492.6091
                   40.52                       5139.5699
                   40.78                       3374.0654
                   41.04                       2465.5476
                    41.3                       1953.3347
                   41.56                       1635.7928
                   41.82                       1415.2396
                   42.08                       1240.4437
                   42.34                       1088.0167
                    42.6                       952.97277
                   42.86                       838.24189
                   43.12                       746.60621
                   43.38                       678.38416
                   43.64                       632.49913
                    43.9                       607.96909
                   44.16                       604.81643
                   44.42                       624.40614
                   44.68                       669.12882
                   44.94                        740.4739
                    45.2                       832.87254
                   45.46                       921.77392
                   45.72                       962.79505
                   45.98                       932.80325
                   46.24                       859.42508
                    46.5                       780.82199
                   46.76                       714.37756
                   47.02                        661.3829
                   47.28                       617.14459
                   47.54                       576.77277
                    47.8                       537.90766
                   48.06                       500.96005
                   48.32                       467.54086
                   48.58                       438.76133
                   48.84                       414.49784
                    49.1                       393.55533
                   49.36                       374.32895
                   49.62                       355.60433
                   49.88                       337.05643
                   50.14                       319.13432
                    50.4                       302.50706
                   50.66                       287.53755
                   50.92                       274.07407
                   51.18                        261.5732
                   51.44                       249.42875
                    51.7                       237.30245
                   51.96                       225.24597
                   52.22                       213.55989
                   52.48                       202.53468
                   52.74                       192.25902
                      53                       182.58349
                   53.26                       173.22628
                   53.52                       163.94238
                   53.78                       154.64772
                   54.04                       145.42518
                    54.3                       136.43023
                   54.56                       127.77593
                   54.82                       119.46645
                   55.08                       111.40341
                   55.34                       103.44826
                    55.6                       95.497882
                   55.86                       87.527496
                   56.12                       79.581381
                   56.38                       71.728427
                   56.64                       64.015106
                    56.9                        56.44006
                   57.16                       48.958173
                   57.42                       41.508292
                   57.68                       34.050846
                   57.94                        26.60514
                    58.2                       19.304471
                   58.46                       12.605816
                   58.72                       8.3703426
                   58.98                        10.39567
                   59.24                       16.574138
                    59.5                       23.952051
                   59.76                       31.821752
                   60.02                       40.042541
                   60.28                       48.591525
                   60.54                        57.45831
                    60.8                       66.616844
                   61.06                       76.028693
                   61.32                       85.665462
                   61.58                       95.538693
                   61.84                       105.71911
                    62.1                       116.32721
                   62.36                       127.49197
                   62.62                       139.29698
                   62.88                       151.74538
                   63.14                       164.77182
                    63.4                       178.31022
                   63.66                       192.39193
                   63.92                       207.21281
                   64.18                       223.10819
                   64.44                       240.43227
                    64.7                       259.40843
                   64.96                       280.04598
                   65.22                       302.20221
                   65.48                       325.80872
                   65.74                       351.16323
                      66                       379.08355
                   66.26                        410.7751
                   66.52                       447.46762
                   66.78                       490.03624
                   67.04                       538.86767
                    67.3                       594.23626
                   67.56                       657.30255
                   67.82                       731.39388
                   68.08                       822.91097
                   68.34                       941.63143
                    68.6                       1100.9188
                   68.86                       1318.7261
                   69.12                       1621.2659
                   69.38                       2055.1339
                   69.64                       2721.1999
                    69.9                       3828.6723
                   70.16                       5305.9724
                   70.42                       4908.1689
                   70.68                       3316.2272
                   70.94                       2331.5387
                    71.2                       1779.1115
                   71.46                       1440.3638
                   71.72                       1209.9135
                   71.98                       1038.0059
                   72.24                       901.73962
                    72.5                       791.21039
                   72.76                       701.61486
                   73.02                       629.24954
                   73.28                       570.25907
                   73.54                       520.78102
                    73.8                       477.55538
                   74.06                       438.46552
                   74.32                       402.63321
                   74.58                       369.98656
                   74.84                       340.62381
                    75.1                       314.37378
                   75.36                        290.7031
                   75.62                       268.88916
                   75.88                       248.29318
                   76.14                       228.56052
                    76.4                       209.63798
                   76.66                       191.63179
                   76.92                       174.63017
                   77.18                        158.6006
                   77.44                       143.39389
                    77.7                       128.82543
                   77.96                       114.77883
                   78.22                       101.28316
                   78.48                       88.548387
                   78.74                       76.985112
                      79                       67.245029
                   79.26                       60.262538
                   79.52                       57.136986
                   79.78                       58.653721
                   80.04                       64.765478
                    80.3                       74.745847
                   80.56                       87.784199
                   80.82                       103.31962
                   81.08                       121.04851
                   81.34                        140.8208
                    81.6                       162.54222
                   81.86                       186.12425
                   82.12                       211.50185
                   82.38                       238.70905
                   82.64                       267.94344
                    82.9                       299.50281
                   83.16                       333.50746
                   83.42                       369.44808
                   83.68                       405.79594
                   83.94                       440.08448
                    84.2                       469.70746
                   84.46                       492.92976
                   84.72                       509.08083
                   84.98                       517.76419
                   85.24                       518.25271
                    85.5                        510.0854
                   85.76                       494.28695
                   86.02                       473.62489
                   86.28                       451.43245
                   86.54                       430.18147
                    86.8                       410.91248
                   87.06                       393.56601
                   87.32                       377.72055
                   87.58                       363.24228
                   87.84                       350.52367
                    88.1                       340.27866
                   88.36                       333.13493
                   88.62                       329.31106
                   88.88                       328.53136
                   89.14                       330.19517
                    89.4                        333.7188
                   89.66                       338.87044
                   89.92                       345.87892
                   90.18                       355.21685
                   90.44                       367.16991
                    90.7                       381.43626
                   90.96                        397.0054
                   91.22                       412.47457
                   91.48                       426.70511
                   91.74                       439.34632
                      92                       450.70511
                   92.26                       460.98468
                   92.52                       469.52399
                   92.78                       474.75091
                   93.04                       475.07746
                    93.3                       470.09371
                   93.56                       460.91223
                   93.82                       449.30665
                   94.08                       436.52977
                   94.34                       422.80292
                    94.6                       407.68838
                   94.86                       390.89122
                   95.12                       372.80011
                   95.38                       354.36675
                   95.64                       336.54387
                    95.9                       319.80334
                   96.16                       304.03569
                   96.42                       288.79987
                   96.68                       273.70921
                   96.94                       258.69655
                    97.2                       244.00701
                   97.46                       229.97955
                   97.72                       216.81044
                   97.98                       204.44913
                   98.24                        192.6572
                    98.5                       181.16769
                   98.76                       169.83753
                   99.02                       158.70077
                   99.28                       147.90649
                   99.54                         137.603
                    99.8                       127.84852
                  100.06                       118.59342
                  100.32                       109.73253
                  100.58                       101.19213
                  100.84                       93.001723
                   101.1                       85.315502
                  101.36                       78.382319
                  101.62                       72.488742
                  101.88                       67.903855
                  102.14                       64.845554
                   102.4                       63.476056
                  102.66                       63.916092
                  102.92                       66.250354
                  103.18                       70.505972
                  103.44                       76.619886
                   103.7                       84.428464
                  103.96                       93.694244
                  104.22                       104.16154
                  104.48                       115.62641
                  104.74                       128.00324
                     105                        141.3604
                  105.26                       155.89665
                  105.52                       171.85568
                  105.78                       189.41434
                  106.04                       208.60409
                   106.3                        229.3261
                  106.56                       251.49311
                  106.82                       275.25575
                  107.08                       301.17129
                  107.34                       330.15382
                   107.6                       363.16959
                  107.86                       400.80645
                  108.12                       442.95798
                  108.38                       488.93643
                  108.64                       538.22211
                   108.9                       591.47461
                  109.16                       650.73013
                  109.42                       717.87009
                  109.68                       791.44007
                  109.94                       863.39255
                   110.2                       920.02334
                  110.46                       950.63827
                  110.72                        955.7632
                  110.98                       942.83896
                  111.24                       916.24554
                   111.5                       875.23965
                  111.76                       820.07931
                  112.02                       756.77201
                  112.28                        694.2584
                  112.54                       638.83721
                   112.8                       592.05375
                  113.06                       551.95701
                  113.32                       515.45779
                  113.58                       480.44999
                  113.84                       446.76618
                   114.1                       415.59548
                  114.36                       388.16429
                  114.62                       364.80118
                  114.88                       344.77746
                  115.14                       326.74983
                   115.4                       309.50009
                  115.66                       292.55845
                  115.92                       276.30378
                  116.18                       261.52357
                  116.44                       248.82499
                   116.7                       238.26795
                  116.96                       229.34732
                  117.22                       221.29638
                  117.48                       213.56196
                  117.74                       206.16058
                     118                       199.66197
                  118.26                       194.82702
                  118.52                       192.15149
                  118.78                       191.55707
                  119.04                       192.38358
                   119.3                       193.74726
                  119.56                       195.12264
                  119.82                       196.74223
                  120.08                        199.4528
                  120.34                       204.08508
                   120.6                       210.71735
                  120.86                       218.24819
                  121.12                       224.68179
                  121.38                       228.29651
                  121.64                       228.95216
                   121.9                       228.15712
                  122.16                       227.66535
                  122.42                       227.78491
                  122.68                       226.55584
                  122.94                       220.68647
                   123.2                        208.3913
                  123.46                       191.62959
                  123.72                       175.10301
                  123.98                       163.89599
                  124.24                       162.46078
                   124.5                       174.69328
                  124.76                       204.53577
                  125.02                       257.79512
                  125.28                       345.36193
                  125.54                       483.98266
                   125.8                       664.55425
                  126.06                       749.59947
                  126.32                       664.25069
                  126.58                       554.17239
                  126.84                       476.28119
                   127.1                       423.48559
                  127.36                       383.09542
                  127.62                       347.48648
                  127.88                       314.48228
                  128.14                       284.89579
                   128.4                       259.83405
                  128.66                       239.48127
                  128.92                       223.09086
                  129.18                       209.41372
                  129.44                       197.20562
                   129.7                        185.6342
                  129.96                       174.39942
                  130.22                        163.5373
                  130.48                       153.10814
                  130.74                       143.00606
                     131                       132.98273
                  131.26                       122.82046
                  131.52                       112.50314
                  131.78                       102.26044
                  132.04                       92.480715
                   132.3                       83.579846
                  132.56                       75.902862
                  132.82                       69.681659
                  133.08                        65.04649
                  133.34                        62.08237
                   133.6                       60.897057
                  133.86                       61.638249
                  134.12                       64.424526
                  134.38                       69.240761
                  134.64                       75.892598
                   134.9                       84.054468
                  135.16                       93.370828
                  135.42                       103.56086
                  135.68                       114.49459
                  135.94                       126.21302
                   136.2                       138.87578
                  136.46                       152.65433
                  136.72                       167.62278
                  136.98                       183.70627
                  137.24                       200.72719
                   137.5                       218.54705
                  137.76                       237.23232
                  138.02                       257.12064
                  138.28                       278.70285
                  138.54                       302.36145
                   138.8                       328.11405
                  139.06                       355.53807
                  139.32                       383.99604
                  139.58                        413.0917
                  139.84                        443.0101
                   140.1                       474.34052
                  140.36                       507.34706
                  140.62                       541.12941
                  140.88                       573.35642
                  141.14                        601.1007
                   141.4                       622.43796
                  141.66                       637.34717
                  141.92                        646.8574
                  142.18                        651.3522
                  142.44                       649.85351
                   142.7                       641.03988
                  142.96                       624.99099
                  143.22                        603.7962
                  143.48                       580.40387
                  143.74                       556.99522
                     144                       534.27057
                  144.26                       511.85236
                  144.52                       489.21155
                  144.78                       466.38464
                  145.04                       444.04218
                   145.3                       423.02528
                  145.56                       403.82759
                  145.82                       386.38853
                  146.08                       370.24893
                  146.34                       354.90411
                   146.6                       340.11523
                  146.86                       325.99447
                  147.12                       312.84983
                  147.38                       300.93719
                  147.64                       290.29317
                   147.9                        280.7319
                  148.16                       271.98028
                  148.42                        263.8553
                  148.68                       256.37066
                  148.94                        249.7133
                   149.2                       244.11982
                  149.46                       239.74154
                  149.72                       236.57878
                  149.98                        234.5154
                  150.24                       233.42623
                   150.5                       233.28894
                  150.76                       234.22828
                  151.02                       236.46409
                  151.28                       240.19654
                  151.54                       245.49915
                   151.8                       252.28332
                  152.06                       260.35777
                  152.32                       269.55048
                  152.58                       279.81476
                  152.84                       291.23803
                   153.1                       303.92912
                  153.36                       317.84145
                  153.62                       332.64211
                  153.88                       347.72572
                  154.14                       362.39287
                   154.4                       376.08567
                  154.66                        388.4929
                  154.92                       399.41984
                  155.18                       408.53057
                  155.44                       415.21497
                   155.7                       418.75884
                  155.96                       418.73287
                  156.22                        415.2782
                  156.48                       409.02594
                  156.74                       400.72771
                     157                       390.91684
                  157.26                        379.8343
                  157.52                       367.59962
                  157.78                       354.43035
                  158.04                       340.72008
                   158.3                       326.93548
                  158.56                       313.44317
                  158.82                       300.40349
                  159.08                        287.7899
                  159.34                       275.49931
                   159.6                       263.47061
                  159.86                       251.73856
                  160.12                       240.40404
                  160.38                       229.55969
                  160.64                       219.22906
                   160.9                       209.35583
                  161.16                       199.84156
                  161.42                       190.60179
                  161.68                       181.60381
                  161.94                       172.86602
                   162.2                       164.42617
                  162.46                       156.30365
                  162.72                       148.47982
                  162.98                       140.90519
                  163.24                       133.52534
                   163.5                       126.30738
                  163.76                       119.25115
                  164.02                       112.38065
                  164.28                       105.72414
                  164.54                       99.296532
                   164.8                       93.094453
                  165.06                       87.105935
                  165.32                       81.328232
                  165.58                       75.783575
                  165.84                       70.524972
                   166.1                       65.630791
                  166.36                       61.193289
                  166.62                       57.308919
                  166.88                       54.076113
                  167.14                       51.600098
                   167.4                       49.996838
                  167.66                       49.384673
                  167.92                        49.85898
                  168.18                       51.460984
                  168.44                       54.162696
                   168.7                        57.88114
                  168.96                       62.513497
                  169.22                       67.972327
                  169.48                       74.204686
                  169.74                       81.191093
                     170                       88.930293
                  170.26                       97.420334
                  170.52                       106.64578
                  170.78                       116.57666
                  171.04                       127.17881
                   171.3                       138.42984
                  171.56                       150.33076
                  171.82                       162.90392
                  172.08                       176.17506
                  172.34                       190.14743
                   172.6                       204.78467
                  172.86                       220.01742
                  173.12                       235.77503
                  173.38                       252.02318
                  173.64                       268.77476
                   173.9                       286.05185
                  174.16                       303.80984
                  174.42                       321.86926
                  174.68                       339.90841
                  174.94                       357.53626
                   175.2                       374.40157
                  175.46                       390.24832
                  175.72                       404.85642
                  175.98                       417.90759
                  176.24                       428.90479
                   176.5                       437.25738
                  176.76                       442.51296
                  177.02                       444.56821
                  177.28                       443.67999
                  177.54                       440.26843
                   177.8                       434.68704
                  178.06                       427.14404
                  178.32                       417.80584
                  178.58                       406.95643
                  178.84                         395.055
                   179.1                        382.6403
                  179.36                       370.16544
                  179.62                        357.8889
                  179.88                       345.88621
                  180.14                       334.15437
                   180.4                       322.72733
                  180.66                       311.72713
                  180.92                       301.33049
                  181.18                       291.68991
                  181.44                       282.87076
                   181.7                       274.84485
                  181.96                       267.53891
                  182.22                       260.90305
                  182.48                       254.95533
                  182.74                       249.77711
                     183                       245.46749
                  183.26                       242.08981
                  183.52                       239.64448
                  183.78                       238.08346
                  184.04                       237.35523
                   184.3                       237.45053
                  184.56                       238.41947
                  184.82                       240.34878
                  185.08                       243.31464
                  185.34                        247.3413
                   185.6                       252.39238
                  185.86                       258.40151
                  186.12                       265.32411
                  186.38                       273.17716
                  186.64                       282.03865
                   186.9                       292.00344
                  187.16                       303.12147
                  187.42                       315.35786
                  187.68                       328.60391
                  187.94                       342.73663
                   188.2                       357.68895
                  188.46                       373.47578
                  188.72                       390.14315
                  188.98                       407.65941
                  189.24                        425.8148
                   189.5                        444.2029
                  189.76                       462.31103
                  190.02                       479.66512
                  190.28                       495.91447
                  190.54                       510.77332
                   190.8                       523.85829
                  191.06                       534.57429
                  191.32                        542.1929
                  191.58                       546.11802
                  191.84                       546.15128
                   192.1                       542.53798
                  192.36                       535.76101
                  192.62                       526.27175
                  192.88                       514.37555
                  193.14                       500.32206
                   193.4                       484.46861
                  193.66                       467.34366
                  193.92                       449.55104
                  194.18                       431.60116
                  194.44                           413.8
                   194.7                        396.2599
                  194.96                       379.00092
                  195.22                       362.05989
                  195.48                       345.53753
                  195.74                       329.56968
                     196                       314.26242
                  196.26                       299.64509
                  196.52                       285.67083
