        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
                      40                    -0.055229003
               40.259998                    -0.084496595
                   40.52                     -0.12467557
               40.779999                     -0.17359346
               41.040001                     -0.22928559
               41.299999                     -0.29050844
               41.560001                     -0.35709847
                   41.82                     -0.43011384
               42.080002                     -0.51169693
                   42.34                     -0.60467587
               42.599998                       -0.711932
               42.860001                     -0.83563059
               43.119999                     -0.97635689
               43.380001                      -1.1322671
               43.639999                      -1.2983331
               43.900002                      -1.4658449
                   44.16                      -1.6224105
               44.419998                      -1.7527772
                   44.68                      -1.8407382
               44.939999                      -1.8720681
               45.200001                      -1.8378435
               45.459999                      -1.7370052
               45.720001                      -1.5770133
                   45.98                      -1.3723266
               46.240002                      -1.1413989
                    46.5                     -0.90342603
               46.759998                     -0.67580301
                   47.02                     -0.47263142
               47.279999                     -0.30412893
               47.540001                     -0.17661012
               47.799999                    -0.092726005
               48.060001                    -0.051770208
                   48.32                    -0.049972248
               48.580002                    -0.080794687
                   48.84                     -0.13532145
               49.099998                     -0.20284757
               49.360001                     -0.27178644
               49.619999                      -0.3309198
               49.880001                     -0.37087314
               50.139999                     -0.38552367
               50.400002                     -0.37294979
                   50.66                     -0.33561677
               50.919998                     -0.27971114
                   51.18                     -0.21386013
               51.439999                     -0.14761282
               51.700001                    -0.090046695
               51.959999                      -0.0487077
               52.220001                    -0.028952148
                   52.48                    -0.033619463
               52.740002                    -0.062963741
                      53                     -0.11477088
               53.259998                     -0.18463932
                   53.52                     -0.26643353
               53.779999                     -0.35291831
               54.040001                     -0.43659076
               54.299999                      -0.5106325
               54.560001                     -0.56986044
                   54.82                     -0.61147335
               55.080002                     -0.63542848
                   55.34                     -0.64433398
               55.599998                     -0.64290354
               55.860001                     -0.63712243
               56.119999                     -0.63333554
               56.380001                     -0.63740866
               56.639999                     -0.65410325
               56.900002                      -0.6866562
                   57.16                     -0.73656787
               57.419998                     -0.80355102
                   57.68                     -0.88559768
               57.939999                     -0.97916255
               58.200001                      -1.0794228
               58.459999                      -1.1806441
               58.720001                      -1.2766186
                   58.98                      -1.3611843
               59.240002                      -1.4287549
                    59.5                      -1.4748239
               59.759998                      -1.4963557
                   60.02                      -1.4920248
               60.279999                      -1.4622528
               60.540001                      -1.4090717
               60.799999                      -1.3358499
               61.060001                      -1.2469377
                   61.32                      -1.1472972
               61.580002                      -1.0421519
                   61.84                      -0.9366721
               62.099998                     -0.83571229
               62.360001                     -0.74358711
               62.619999                     -0.66387469
               62.880001                     -0.59925414
               63.139999                     -0.55135239
               63.400002                     -0.52063175
                   63.66                     -0.50630314
               63.919998                     -0.50630233
                   64.18                     -0.51735645
               64.440002                     -0.53515926
               64.699997                     -0.55470835
               64.959999                     -0.57078208
               65.220001                     -0.57855541
               65.480003                     -0.57425886
               65.739998                     -0.55576321
                      66                     -0.52296291
               66.260002                      -0.4778487
               66.519997                     -0.42424274
               66.779999                      -0.3672613
               67.040001                     -0.31261228
               67.300003                      -0.2658574
               67.559998                     -0.23175463
                   67.82                      -0.2137281
               68.080002                     -0.21349566
               68.339996                     -0.23085911
               68.599998                      -0.2636476
               68.860001                     -0.30784638
               69.120003                     -0.35793004
               69.379997                     -0.40742803
               69.639999                      -0.4497163
               69.900002                     -0.47896936
               70.160004                      -0.4911081
               70.419998                     -0.48455278
                   70.68                     -0.46057307
               70.940002                     -0.42313276
               71.199997                     -0.37827706
               71.459999                      -0.3332214
               71.720001                     -0.29535148
               71.980003                     -0.27130979
               72.239998                     -0.26627722
                    72.5                     -0.28346014
               72.760002                     -0.32378244
               73.019997                     -0.38576039
               73.279999                     -0.46555962
               73.540001                     -0.55727897
               73.800003                     -0.65351362
               74.059998                     -0.74624155
                   74.32                     -0.82800571
               74.580002                     -0.89326205
               74.839996                     -0.93959948
               75.099998                     -0.96854849
               75.360001                      -0.9857337
               75.620003                      -1.0003656
               75.879997                      -1.0242753
               76.139999                       -1.070797
               76.400002                      -1.1538044
               76.660004                      -1.2870714
               76.919998                      -1.4839886
                   77.18                      -1.7576306
               77.440002                       -2.121074
               77.699997                      -2.5879314
               77.959999                      -3.1730368
               78.220001                      -3.8932544
               78.480003                      -4.7682856
               78.739998                       -5.821052
                      79                      -7.0762399
               79.260002                      -8.5522448
               79.519997                      -10.231542
               79.779999                      -11.970062
               80.040001                      -13.316453
               80.300003                      -13.571193
               80.559998                      -12.625095
                   80.82                      -11.135144
               81.080002                      -9.6351112
               81.339996                      -8.3178481
               81.599998                       -7.216105
               81.860001                      -6.3139976
               82.120003                      -5.5855514
               82.379997                      -5.0056401
