        Frequency / MHz                Port 1 [1]/abs,linear
----------------------------------------------------------------------
                      40                       5459.9271
                   40.26                       12127.797
                   40.52                       11834.035
                   40.78                       5483.3153
                   41.04                       3458.3068
                    41.3                       2523.3323
                   41.56                       1987.0955
                   41.82                       1637.8191
                   42.08                         1391.04
                   42.34                       1207.1586
                    42.6                       1065.4997
                   42.86                       954.37469
                   43.12                        866.7434
                   43.38                       798.15875
                   43.64                       745.74854
                    43.9                       707.69965
                   44.16                       682.99502
                   44.42                       671.27844
                   44.68                       672.77504
                   44.94                       688.19872
                    45.2                       718.52359
                   45.46                       764.33895
                   45.72                       824.20212
                   45.98                       891.20652
                   46.24                       948.52341
                    46.5                       970.82302
                   46.76                       941.06822
                   47.02                       868.15745
                   47.28                       777.35904
                   47.54                       689.12023
                    47.8                       612.57319
                   48.06                       549.49655
                   48.32                        498.6568
                   48.58                       458.04304
                   48.84                       425.69636
                    49.1                       399.91632
                   49.36                       379.24352
                   49.62                       362.38498
                   49.88                       348.15214
                   50.14                       335.44418
                    50.4                       323.28855
                   50.66                       310.92531
                   50.92                       297.89348
                   51.18                       284.06633
                   51.44                       269.60646
                    51.7                       254.85698
                   51.96                       240.21702
                   52.22                       226.04539
                   52.48                       212.60966
                   52.74                       200.07382
                      53                       188.50802
                   53.26                       177.90609
                   53.52                       168.20264
                   53.78                       159.28725
                   54.04                        151.0166
                    54.3                       143.22687
                   54.56                       135.74817
                   54.82                       128.42113
                   55.08                       121.11326
                   55.34                        113.7315
                    55.6                       106.22744
                   55.86                       98.594123
                   56.12                       90.856087
                   56.38                       83.056392
                   56.64                       75.244357
                    56.9                       67.466476
                   57.16                       59.761349
                   57.42                       52.158305
                   57.68                       44.679055
                   57.94                       37.342309
                    58.2                        30.17324
                   58.46                       23.226064
                   58.72                       16.653987
                   58.98                       10.991855
                   59.24                       8.2220872
                    59.5                       10.802913
                   59.76                       16.386701
                   60.02                       22.913621
                   60.28                       29.832249
                   60.54                       37.000549
                    60.8                       44.387809
                   61.06                       52.002768
                   61.32                        59.87183
                   61.58                       68.030788
                   61.84                       76.520781
                    62.1                        85.38558
                   62.36                       94.669069
