        Frequency / MHz                Port 1 [1]/arg,degrees
----------------------------------------------------------------------
                      40                       80.000482
                   40.26                       53.848801
                   40.52                      -31.862326
                   40.78                      -56.766894
                   41.04                       -62.82381
                    41.3                      -65.008608
                   41.56                      -65.840626
                   41.82                      -66.002767
                   42.08                      -65.708342
                   42.34                      -65.014557
                    42.6                      -63.926314
                   42.86                      -62.438907
                   43.12                      -60.557042
                   43.38                      -58.303398
                   43.64                      -55.723201
                    43.9                      -52.888453
                   44.16                      -49.903745
                   44.42                      -46.914427
                   44.68                      -44.117277
                   44.94                      -41.773596
                    45.2                      -40.224143
                   45.46                      -39.901779
                   45.72                      -41.323585
                   45.98                      -45.006926
                   46.24                      -51.204385
                    46.5                      -59.442371
                   46.76                      -68.316062
                   47.02                      -76.166782
                   47.28                      -82.051175
                   47.54                      -85.898428
                    47.8                      -88.076359
                   48.06                      -89.030636
                   48.32                      -89.145052
                   48.58                      -88.721174
                   48.84                      -87.994952
                    49.1                      -87.156487
                   49.36                      -86.362809
                   49.62                      -85.741732
                   49.88                      -85.387817
                   50.14                      -85.353602
                    50.4                      -85.641322
                   50.66                      -86.201353
                   50.92                      -86.941712
                   51.18                      -87.747892
                   51.44                      -88.506788
                    51.7                      -89.126557
                   51.96                      -89.547221
                   52.22                      -89.741908
                   52.48                      -89.712098
                   52.74                      -89.480721
                      53                      -89.085635
                   53.26                      -88.574351
                   53.52                      -87.999697
                   53.78                      -87.415689
                   54.04                      -86.872973
                    54.3                      -86.413719
                   54.56                      -86.066575
                   54.82                      -85.842827
                   55.08                      -85.734972
                   55.34                       -85.71833
                    55.6                      -85.755258
                   55.86                       -85.80061
                   56.12                      -85.806712
                   56.38                      -85.726421
                   56.64                      -85.513438
                    56.9                      -85.119482
                   57.16                      -84.487774
                   57.42                      -83.541144
                   57.68                      -82.160108
                   57.94                       -80.13863
                    58.2                       -77.08344
                   58.46                      -72.150585
                   58.72                       -63.23929
                   58.98                      -44.305965
                   59.24                      -3.5515087
                    59.5                       38.047924
                   59.76                       57.690622
                   60.02                       67.003295
                   60.28                        72.27801
                   60.54                       75.695872
                    60.8                       78.126355
                   61.06                        79.97007
                   61.32                       81.431909
                   61.58                       82.624058
                   61.84                       83.610217
                    62.1                       84.426719
                   62.36                       85.093598
                   62.62                       85.620973
                   62.88                        86.01317
                   63.14                       86.271807
                    63.4                       86.398477
                   63.66                       86.397373
                   63.92                       86.277905
                   64.18                        86.05709
                   64.44                       85.761224
                    64.7                       85.426059
                   64.96                       85.094807
                   65.22                       84.813665
                   65.48                       84.625372
                   65.74                       84.562155
                      66                         84.6398
                   66.26                       84.854235
                   66.52                       85.181057
                   66.78                         85.5774
                   67.04                        85.98497
                    67.3                       86.333117
                   67.56                        86.54134
                   67.82                       86.521402
                   68.08                       86.180113
                   68.34                       85.424624
                    68.6                       84.172546
                   68.86                       82.368449
                   69.12                       80.004927
                   69.38                       77.139308
                   69.64                       73.889092
                    69.9                        70.38819
                   70.16                       66.696448
                   70.42                       62.658935
                   70.68                       57.658959
                   70.94                       49.980574
                    71.2                       34.672541
                   71.46                     -0.32685617
                   71.72                       -44.13382
                   71.98                      -65.287323
                   72.24                      -73.621472
                    72.5                      -77.019494
                   72.76                      -78.229535
                   73.02                      -78.355074
                   73.28                      -77.934598
                   73.54                      -77.280407
                    73.8                      -76.600806
                   74.06                      -76.046644
                   74.32                      -75.725594
                   74.58                       -75.70066
                   74.84                      -75.982522
                    75.1                       -76.52437
                   75.36                      -77.226766
                   75.62                      -77.955363
                   75.88                      -78.566858
                   76.14                      -78.933295
                    76.4                       -78.95608
                   76.66                      -78.567227
                   76.92                      -77.721045
                   77.18                      -76.381335
                   77.44                      -74.507803
                    77.7                      -72.043157
                   77.96                      -68.900745
                   78.22                      -64.952242
                   78.48                      -60.016298
                   78.74                      -53.853855
                      79                      -46.187255
                   79.26                      -36.779762
                   79.52                      -25.619155
                   79.78                      -13.166812
                   80.04                     -0.42258884
                    80.3                        11.44876
                   80.56                       21.656504
                   80.82                        29.96308
                   81.08                       36.496819
                   81.34                       41.513875
                    81.6                       45.262206
                   81.86                       47.933152
                   82.12                       49.655152
                   82.38                       50.502199
                   82.64                       50.506366
                    82.9                       49.672147
                   83.16                       47.993695
                   83.42                       45.476464
                   83.68                       42.162512
                   83.94                       38.153687
                    84.2                       33.621184
                   84.46                       28.790002
                   84.72                       23.898357
                   84.98                       19.149421
                   85.24                       14.679315
                    85.5                       10.553516
                   85.76                       6.7861288
                   86.02                       3.3677072
                   86.28                      0.28936167
                   86.54                      -2.4430371
                    86.8                      -4.8054879
                   87.06                       -6.761012
                   87.32                      -8.2694408
                   87.58                      -9.2978483
                   87.84                      -9.8287715
                    88.1                      -9.8650757
                   88.36                      -9.4317643
                   88.62                      -8.5756971
