        Frequency / MHz                S1,1/arg,degrees
----------------------------------------------------------------------
                      40                       2.0666911
               40.259998                      0.76295372
                   40.52                     -0.51117897
               40.779999                      -1.7480647
               41.040001                      -2.9475864
               41.299999                      -4.1154651
               41.560001                      -5.2602055
                   41.82                      -6.3891453
               42.080002                      -7.5042783
                   42.34                      -8.5986097
               42.599998                      -9.6536566
               42.860001                      -10.638591
               43.119999                      -11.511287
               43.380001                      -12.221543
               43.639999                      -12.716789
               43.900002                      -12.950528
                   44.16                      -12.893424
               44.419998                      -12.545799
                   44.68                      -11.948537
               44.939999                      -11.187551
               45.200001                      -10.387133
               45.459999                      -9.6911192
               45.720001                      -9.2368232
                   45.98                      -9.1309472
               46.240002                      -9.4353993
                    46.5                      -10.165234
               46.759998                      -11.295651
                   47.02                      -12.773003
               47.279999                      -14.525746
               47.540001                      -16.473406
               47.799999                       -18.53329
               48.060001                      -20.625466
                   48.32                       -22.67695
               48.580002                      -24.625749
                   48.84                      -26.425256
               49.099998                      -28.048824
               49.360001                      -29.493842
               49.619999                      -30.783959
               49.880001                      -31.967857
               50.139999                       -33.11356
               50.400002                        -34.2986
                   50.66                       -35.59806
               50.919998                      -37.073536
                   51.18                      -38.765624
               51.439999                      -40.691123
               51.700001                      -42.844473
               51.959999                      -45.202076
               52.220001                      -47.727834
                   52.48                      -50.379112
               52.740002                      -53.112049
                      53                      -55.886833
               53.259998                      -58.672289
                   53.52                      -61.450065
               53.779999                      -64.218096
               54.040001                      -66.992687
               54.299999                      -69.808612
               54.560001                      -72.716748
                   54.82                      -75.779008
               55.080002                      -79.061598
                   55.34                       -82.62764
               55.599998                      -86.531263
               55.860001                      -90.813369
               56.119999                      -95.500504
               56.380001                      -100.60524
               56.639999                      -106.12807
               56.900002                      -112.06005
                   57.16                      -118.38469
               57.419998                      -125.07982
                   57.68                      -132.11828
               57.939999                      -139.46812
               58.200001                       -147.0927
               58.459999                      -154.94981
               58.720001                      -162.99169
                   58.98                      -171.16509
               59.240002                       -179.4124
                    59.5                       172.32655
               59.759998                       164.11177
                   60.02                       156.00002
               60.279999                       148.04195
               60.540001                       140.27985
               60.799999                       132.74636
               61.060001                       125.46458
                   61.32                       118.44905
               61.580002                       111.70757
                   61.84                       105.24334
               62.099998                       99.056994
               62.360001                       93.148771
               62.619999                       87.519603
               62.880001                       82.172137
               63.139999                       77.110996
               63.400002                       72.342131
                   63.66                       67.871989
               63.919998                        63.70574
                   64.18                       59.845289
               64.440002                       56.286788
               64.699997                       53.018375
               64.959999                       50.018558
               65.220001                         47.2555
               65.480003                       44.687977
               65.739998                       42.268506
                      66                       39.947309
               66.260002                       37.677775
               66.519997                       35.421379
               66.779999                       33.151461
               67.040001                       30.855206
               67.300003                       28.533788
               67.559998                       26.200978
                   67.82                       23.880544
               68.080002                       21.602729
               68.339996                       19.400295
               68.599998                       17.304712
               68.860001                       15.341442
               69.120003                       13.526032
               69.379997                       11.860477
               69.639999                       10.330896
               69.900002                       8.9074034
               70.160004                       7.5466931
               70.419998                       6.1971299
                   70.68                       4.8061211
               70.940002                       3.3272755
               71.199997                       1.7268257
               71.459999                    -0.012550245
               71.720001                      -1.8909343
               71.980003                      -3.8923982
               72.239998                      -5.9880912
                    72.5                      -8.1405024
               72.760002                      -10.307831
