        Time / ns                i1/real
----------------------------------------------------------------------
                       0                  -4.8197535e-09
             0.033011027                   1.4063083e-06
             0.066022053                   1.4981941e-06
             0.099033087                   1.5938318e-06
              0.13204411                   1.6931518e-06
              0.16505514                   1.7961178e-06
              0.19806617                   1.9025914e-06
              0.23107719                   2.0124442e-06
              0.26408821                    2.125483e-06
              0.29709926                   2.2415004e-06
              0.33011028                   2.3602151e-06
               0.3631213                   2.4813285e-06
              0.39613235                   2.6044484e-06
              0.42914337                   2.7291771e-06
              0.46215439                   2.8549925e-06
              0.49516541                   2.9813609e-06
              0.52817643                   3.1076352e-06
              0.56118751                   3.2331191e-06
              0.59419852                   3.3569961e-06
              0.62720954                      3.4784e-06
              0.66022056                   3.5963287e-06
              0.69323158                   3.7097036e-06
               0.7262426                   3.8173202e-06
              0.75925362                   3.9178694e-06
               0.7922647                   4.0098907e-06
              0.82527572                   4.0918221e-06
              0.85828674                   4.1619392e-06
              0.89129776                    4.218381e-06
              0.92430878                   4.2591141e-06
               0.9573198                   4.2819706e-06
              0.99033082                   4.2845686e-06
               1.0233419                   4.2643787e-06
               1.0563529                   4.2186598e-06
               1.0893639                   4.1444896e-06
                1.122375                   4.0387213e-06
                1.155386                    3.898007e-06
                1.188397                   3.7187644e-06
                1.221408                    3.497189e-06
               1.2544191                   3.2292266e-06
                 1.28743                   2.9105847e-06
               1.3204411                    2.536706e-06
               1.3534522                   2.1027856e-06
               1.3864632                   1.6037336e-06
               1.4194742                   1.0342047e-06
               1.4524852                   3.8856015e-07
               1.4854963                  -3.3911473e-07
               1.5185072                  -1.1550239e-06
               1.5515183                  -2.0656566e-06
               1.5845294                  -3.0777965e-06
               1.6175404                  -4.1985154e-06
               1.6505514                  -5.4351785e-06
               1.6835624                  -6.7954297e-06
               1.7165735                  -8.2872084e-06
               1.7495844                  -9.9187173e-06
               1.7825955                  -1.1698443e-05
               1.8156066                  -1.3635114e-05
               1.8486176                  -1.5737724e-05
               1.8816286                  -1.8015486e-05
               1.9146396                  -2.0477839e-05
               1.9476507                  -2.3134413e-05
               1.9806616                  -2.5995014e-05
               2.0136726                  -2.9069595e-05
               2.0466838                  -3.2368232e-05
               2.0796947                  -3.5901085e-05
               2.1127057                  -3.9678369e-05
               2.1457169                  -4.3710301e-05
               2.1787279                  -4.8007085e-05
               2.2117388                   -5.257882e-05
                 2.24475                  -5.7435493e-05
                2.277761                  -6.2586885e-05
               2.3107719                  -6.8042536e-05
               2.3437829                  -7.3811658e-05
               2.3767941                  -7.9903068e-05
               2.4098051                  -8.6325133e-05
                2.442816                  -9.3085633e-05
               2.4758272                  -0.00010019173
               2.5088382                  -0.00010764985
               2.5418491                  -0.00011546555
               2.5748601                  -0.00012364348
               2.6078713                  -0.00013218718
               2.6408823                  -0.00014109907
               2.6738932                  -0.00015038018
               2.7069044                  -0.00016003018
               2.7399154                   -0.0001700471
               2.7729263                  -0.00018042728
               2.8059373                  -0.00019116512
               2.8389485                  -0.00020225304
               2.8719594                  -0.00021368121
               2.9049704                  -0.00022543743
               2.9379816                   -0.0002375069
               2.9709926                  -0.00024987213
               3.0040035                  -0.00026251265
               3.0370145                  -0.00027540483
               3.0700257                  -0.00028852175
               3.1030366                  -0.00030183289
               3.1360476                  -0.00031530394
               3.1690588                  -0.00032889671
               3.2020698                  -0.00034256873
               3.2350807                  -0.00035627309
               3.2680917                  -0.00036995823
               3.3011029                  -0.00038356776
               3.3341138                  -0.00039704013
               3.3671248                  -0.00041030845
                3.400136                  -0.00042330025
                3.433147                  -0.00043593731
               3.4661579                  -0.00044813528
               3.4991689                  -0.00045980368
               3.5321801                  -0.00047084544
                3.565191                  -0.00048115695
                3.598202                  -0.00049062766
               3.6312132                  -0.00049913983
               3.6642241                   -0.0005065687
               3.6972351                   -0.0005127819
               3.7302461                  -0.00051763956
               3.7632573                  -0.00052099401
               3.7962682                  -0.00052268972
               3.8292792                  -0.00052256329
               3.8622904                  -0.00052044319
               3.8953013                  -0.00051614986
               3.9283123                  -0.00050949544
               3.9613233                  -0.00050028396
               3.9943345                  -0.00048831146
               4.0273452                  -0.00047336571
               4.0603566                  -0.00045522649
               4.0933676                   -0.0004336657
               4.1263785                  -0.00040844752
               4.1593895                  -0.00037932862
               4.1924005                  -0.00034605825
               4.2254114                  -0.00030837883
               4.2584229                  -0.00026602592
               4.2914338                  -0.00021872892
               4.3244448                  -0.00016621134
               4.3574557                  -0.00010819129
               4.3904667                  -4.4382137e-05
               4.4234776                   2.5506974e-05
               4.4564886                   0.00010177041
                  4.4895                   0.00018470534
                4.522511                   0.00027461085
                4.555522                   0.00037178723
               4.5885329                   0.00047653486
               4.6215439                   0.00058915326
               4.6545548                   0.00070993998
               4.6875658                   0.00083918957
               4.7205772                   0.00097719219
               4.7535882                    0.0011242322
               4.7865992                    0.0012805872
               4.8196101                    0.0014465258
               4.8526211                    0.0016223071
                4.885632                    0.0018081779
                4.918643                     0.002004372
               4.9516544                    0.0022111079
               4.9846654                    0.0024285866
               5.0176764                    0.0026569909
               5.0506873                    0.0028964817
               5.0836983                    0.0031471972
               5.1167092                    0.0034092506
               5.1497202                     0.003682727
               5.1827316                    0.0039676819
               5.2157426                    0.0042641391
               5.2487535                    0.0045720874
               5.2817645                     0.004891478
               5.3147755                    0.0052222242
               5.3477864                    0.0055641956
               5.3807974                     0.005917218
               5.4138088                    0.0062810699
               5.4468198                    0.0066554798
               5.4798307                    0.0070401244
               5.5128417                    0.0074346233
               5.5458527                    0.0078385407
               5.5788636                    0.0082513783
               5.6118746                    0.0086725764
                5.644886                    0.0091015082
                5.677897                    0.0095374808
               5.7109079                    0.0099797286
               5.7439189                     0.010427414
               5.7769299                     0.010879623
               5.8099408                     0.011335366
               5.8429518                     0.011793572
               5.8759632                      0.01225309
               5.9089742                     0.012712682
               5.9419851                     0.013171027
               5.9749961                      0.01362672
                6.008007                     0.014078261
                6.041018                     0.014524067
                6.074029                      0.01496246
               6.1070404                     0.015391673
               6.1400514                     0.015809847
               6.1730623                     0.016215028
               6.2060733                     0.016605178
               6.2390842                     0.016978156
               6.2720952                      0.01733174
               6.3051062                     0.017663613
               6.3381176                     0.017971369
               6.3711286                     0.018252512
               6.4041395                     0.018504471
               6.4371505                     0.018724578
               6.4701614                     0.018910095
               6.5031724                     0.019058203
               6.5361834                      0.01916601
               6.5691948                     0.019230552
               6.6022058                     0.019248806
               6.6352167                     0.019217683
               6.6682277                     0.019134039
               6.7012386                     0.018994685
               6.7342496                     0.018796386
               6.7672606                     0.018535873
                6.800272                     0.018209847
               6.8332829                     0.017814986
               6.8662939                     0.017347962
               6.8993049                     0.016805435
               6.9323158                     0.016184071
               6.9653268                     0.015480559
               6.9983377                     0.014691603
               7.0313492                     0.013813949
               7.0643601                     0.012844387
               7.0973711                     0.011779764
               7.1303821                        0.010617
                7.163393                    0.0093530975
                7.196404                    0.0079851514
               7.2294149                    0.0065103681
               7.2624264                    0.0049260748
               7.2954373                    0.0032297338
               7.3284483                    0.0014189588
               7.3614593                   -0.0005084732
               7.3944702                   -0.0025546055
               7.4274812                   -0.0047212881
               7.4604921                   -0.0070101609
               7.4935036                   -0.0094226412
               7.5265145                    -0.011959906
               7.5595255                    -0.014622878
               7.5925364                     -0.01741221
               7.6255474                    -0.020328268
               7.6585584                    -0.023371121
               7.6915693                    -0.026540518
               7.7245808                    -0.029835882
               7.7575917                    -0.033256289
               7.7906027                    -0.036800455
               7.8236136                     -0.04046673
               7.8566246                    -0.044253066
               7.8896356                    -0.048157021
               7.9226465                    -0.052175745
                7.955658                    -0.056305964
               7.9886689                    -0.060543962
               8.0216799                    -0.064885587
               8.0546904                    -0.069326214
               8.0877018                    -0.073860787
               8.1207132                    -0.078483753
               8.1537237                    -0.083189085
               8.1867352                    -0.087970287
               8.2197456                    -0.092820346
               8.2527571                    -0.097731784
               8.2857685                     -0.10269662
                8.318779                     -0.10770638
               8.3517904                     -0.11275209
               8.3848009                     -0.11782428
               8.4178123                     -0.12291301
               8.4508228                     -0.12800784
               8.4838343                     -0.13309786
               8.5168457                     -0.13817167
               8.5498562                     -0.14321744
               8.5828676                     -0.14822288
               8.6158781                     -0.15317525
               8.6488895                      -0.1580614
                  8.6819                     -0.16286777
               8.7149115                     -0.16758043
               8.7479229                     -0.17218506
               8.7809334                       -0.176667
               8.8139448                      -0.1810113
               8.8469553                     -0.18520267
               8.8799667                     -0.18922557
               8.9129772                     -0.19306421
               8.9459887                     -0.19670263
               8.9790001                     -0.20012462
               9.0120106                     -0.20331392
                9.045022                     -0.20625407
               9.0780325                      -0.2089286
               9.1110439                       -0.211321
               9.1440544                     -0.21341474
               9.1770658                     -0.21519338
               9.2100773                     -0.21664052
               9.2430878                     -0.21773997
               9.2760992                     -0.21847565
               9.3091097                     -0.21883176
               9.3421211                     -0.21879275
               9.3751316                     -0.21834341
                9.408143                     -0.21746887
               9.4411545                     -0.21615474
                9.474165                     -0.21438706
               9.5071764                     -0.21215239
               9.5401869                     -0.20943788
               9.5731983                     -0.20623131
               9.6062088                     -0.20252112
               9.6392202                     -0.19829647
               9.6722317                     -0.19354731
               9.7052422                     -0.18826441
               9.7382536                     -0.18243943
               9.7712641                     -0.17606492
               9.8042755                     -0.16913439
                9.837286                     -0.16164242
               9.8702974                      -0.1535846
               9.9033089                     -0.14495762
               9.9363194                     -0.13575934
               9.9693308                     -0.12598877
               10.002341                     -0.11564618
               10.035353                     -0.10473306
               10.068363                    -0.093252182
               10.101375                     -0.08120767
               10.134386                    -0.068604961
               10.167397                    -0.055450872
               10.200408                    -0.041753612
               10.233418                    -0.027522802
                10.26643                    -0.012769483
                10.29944                    0.0024938625
               10.332452                     0.018253306
               10.365463                     0.034493469
               10.398474                     0.051197514
               10.431485                     0.068347156
               10.464496                     0.085922673
               10.497507                      0.10390289
               10.530518                      0.12226523
               10.563529                       0.1409857
                10.59654                      0.16003893
               10.629551                      0.17939822
               10.662562                      0.19903551
               10.695573                      0.21892145
               10.728584                       0.2390255
               10.761595                      0.25931585
               10.794606                      0.27975953
               10.827618                      0.30032253
               10.860628                      0.32096973
                10.89364                        0.341665
                10.92665                      0.36237136
               10.959661                      0.38305089
               10.992672                      0.40366489
               11.025683                      0.42417398
               11.058695                      0.44453812
               11.091705                       0.4647167
               11.124717                      0.48466861
               11.157727                      0.50435245
               11.190739                      0.52372634
               11.223749                      0.54274839
               11.256761                      0.56137645
               11.289772                      0.57956845
               11.322783                      0.59728235
               11.355794                       0.6144762
               11.388804                      0.63110852
               11.421816                      0.64713806
               11.454826                      0.66252416
               11.487838                       0.6772266
               11.520849                      0.69120604
                11.55386                      0.70442379
               11.586871                      0.71684206
               11.619882                      0.72842413
               11.652893                      0.73913443
               11.685904                      0.74893838
               11.718915                       0.7578029
               11.751926                      0.76569629
               11.784937                      0.77258813
               11.817948                      0.77844995
               11.850959                      0.78325456
                11.88397                      0.78697681
               11.916981                      0.78959322
               11.949992                      0.79108244
               11.983004                      0.79142487
               12.016014                       0.7906031
               12.049026                      0.78860188
               12.082036                      0.78540814
               12.115047                      0.78101104
               12.148058                      0.77540213
               12.181069                      0.76857513
               12.214081                      0.76052642
               12.247091                      0.75125456
               12.280103                      0.74076086
               12.313113                      0.72904879
               12.346125                      0.71612465
               12.379135                      0.70199704
               12.412147                      0.68667722
               12.445158                      0.67017889
               12.478168                      0.65251833
                12.51118                      0.63371432
                12.54419                      0.61378813
               12.577202                      0.59276348
               12.610212                      0.57066655
               12.643224                      0.54752588
               12.676235                      0.52337235
               12.709246                      0.49823925
               12.742257                      0.47216195
               12.775268                      0.44517806
               12.808279                      0.41732737
                12.84129                      0.38865161
               12.874301                      0.35919446
               12.907312                      0.32900152
               12.940323                      0.29812008
               12.973334                      0.26659921
               13.006345                      0.23448946
               13.039356                      0.20184287
               13.072367                      0.16871287
               13.105378                      0.13515408
                13.13839                      0.10122229
                 13.1714                     0.066974252
               13.204412                     0.032467607
               13.237422                   -0.0022392482
               13.270433                    -0.037087299
               13.303444                    -0.072017051
               13.336455                     -0.10696863
               13.369467                     -0.14188199
               13.402477                     -0.17669696
               13.435489                     -0.21135341
               13.468499                     -0.24579145
               13.501511                     -0.27995145
               13.534521                     -0.31377432
               13.567533                     -0.34720144
               13.600544                     -0.38017505
               13.633554                     -0.41263819
               13.666566                     -0.44453484
               13.699576                     -0.47581017
               13.732588                     -0.50641054
               13.765598                     -0.53628373
                13.79861                      -0.5653789
               13.831621                     -0.59364694
               13.864632                     -0.62104023
               13.897643                     -0.64751321
               13.930654                     -0.67302197
               13.963665                     -0.69752491
               13.996675                     -0.72098213
               14.029687                     -0.74335635
               14.062698                     -0.76461214
               14.095709                     -0.78471667
                14.12872                     -0.80363947
               14.161731                     -0.82135242
               14.194742                     -0.83782995
               14.227753                     -0.85304916
               14.260764                     -0.86698967
               14.293776                     -0.87963378
               14.326786                     -0.89096642
               14.359797                     -0.90097517
               14.392808                     -0.90965044
               14.425819                     -0.91698527
                14.45883                     -0.92297548
               14.491841                     -0.92761952
               14.524853                     -0.93091851
               14.557863                     -0.93287647
               14.590875                     -0.93349975
               14.623885                     -0.93279761
               14.656897                     -0.93078166
               14.689907                     -0.92746621
               14.722919                     -0.92286801
                14.75593                     -0.91700619
                14.78894                     -0.90990233
               14.821952                     -0.90158021
               14.854962                     -0.89206588
               14.887974                     -0.88138753
               14.920984                      -0.8695755
               14.953996                     -0.85666192
               14.987007                     -0.84268105
               15.020018                     -0.82766867
               15.053029                     -0.81166244
                15.08604                     -0.79470152
               15.119051                     -0.77682662
               15.152061                     -0.75807983
               15.185073                     -0.73850435
               15.218084                     -0.71814466
               15.251095                     -0.69704634
               15.284106                     -0.67525578
               15.317117                     -0.65282017
               15.350128                     -0.62978745
               15.383139                     -0.60620618
                15.41615                     -0.58212519
               15.449162                     -0.55759376
               15.482172                     -0.53266156
               15.515183                     -0.50737798
               15.548194                     -0.48179281
               15.581205                     -0.45595542
               15.614216                     -0.42991507
               15.647227                     -0.40372071
               15.680239                     -0.37742075
               15.713249                     -0.35106316
               15.746261                     -0.32469517
               15.779271                      -0.2983633
               15.812283                      -0.2721132
               15.845293                     -0.24598962
               15.878304                     -0.22003628
               15.911316                     -0.19429579
               15.944326                     -0.16880959
               15.977338                     -0.14361784
               16.010349                     -0.11875939
                16.04336                    -0.094271705
                16.07637                    -0.070190772
               16.109381                    -0.046551093
               16.142393                    -0.023385605
               16.175404                  -0.00072562462
               16.208414                     0.021399168
               16.241426                     0.042960782
               16.274437                     0.063932948
               16.307447                      0.08429113
               16.340458                      0.10401257
                16.37347                      0.12307628
               16.406481                      0.14146309
               16.439491                      0.15915561
               16.472504                      0.17613824
               16.505514                      0.19239724
               16.538525                       0.2079206
               16.571537                      0.22269814
               16.604548                      0.23672143
               16.637558                       0.2499838
               16.670568                      0.26248029
               16.703581                      0.27420765
               16.736591                      0.28516433
               16.769602                      0.29535031
               16.802614                      0.30476731
               16.835625                      0.31341848
               16.868635                      0.32130855
               16.901646                      0.32844368
               16.934658                      0.33483145
               16.967669                       0.3404808
               17.000679                      0.34540197
               17.033691                      0.34960648
               17.066702                      0.35310698
               17.099712                      0.35591727
               17.132723                      0.35805228
               17.165735                      0.35952786
               17.198746                      0.36036086
               17.231756                      0.36056897
               17.264769                      0.36017075
               17.297779                       0.3591854
                17.33079                      0.35763294
                 17.3638                      0.35553387
               17.396812                      0.35290936
               17.429823                      0.34978101
               17.462833                      0.34617081
               17.495846                      0.34210116
               17.528856                      0.33759472
               17.561867                      0.33267444
               17.594877                      0.32736337
                17.62789                      0.32168472
                 17.6609                       0.3156617
               17.693911                      0.30931756
               17.726923                      0.30267552
               17.759933                      0.29575863
               17.792944                      0.28858984
               17.825954                      0.28119177
               17.858967                      0.27358693
               17.891977                      0.26579744
               17.924988                      0.25784507
                  17.958                      0.24975128
               17.991011                      0.24153699
               18.024021                      0.23322275
               18.057032                      0.22482856
               18.090044                      0.21637394
               18.123055                      0.20787778
               18.156065                      0.19935848
               18.189077                      0.19083378
               18.222088                      0.18232077
               18.255098                      0.17383595
               18.288109                      0.16539511
               18.321121                      0.15701339
               18.354132                      0.14870521
               18.387142                       0.1404843
               18.420155                      0.13236369
               18.453165                      0.12435567
               18.486176                      0.11647183
               18.519186                      0.10872302
               18.552198                       0.1011194
               18.585209                     0.093670376
               18.618219                     0.086384654
               18.651232                     0.079270229
               18.684242                     0.072334394
               18.717253                     0.065583751
               18.750263                     0.059024211
               18.783276                     0.052661024
               18.816286                     0.046498779
               18.849297                     0.040541422
               18.882309                     0.034792267
               18.915319                     0.029254025
                18.94833                     0.023928812
                18.98134                     0.018818166
               19.014353                      0.01392308
               19.047363                    0.0092440015
               19.080374                    0.0047808723
               19.113386                   0.00053314038
               19.146397                   -0.0035002173
               19.179407                   -0.0073206709
               19.212418                    -0.010930116
                19.24543                    -0.014330851
                19.27844                    -0.017525554
               19.311451                    -0.020517256
               19.344463                    -0.023309328
               19.377474                    -0.025905447
               19.410484                    -0.028309578
               19.443495                    -0.030525951
               19.476507                    -0.032559041
               19.509518                    -0.034413543
               19.542528                    -0.036094345
               19.575541                    -0.037606519
               19.608551                    -0.038955294
               19.641562                    -0.040146027
               19.674572                    -0.041184194
               19.707584                    -0.042075377
               19.740595                    -0.042825226
               19.773605                    -0.043439452
               19.806618                    -0.043923806
               19.839628                    -0.044284075
               19.872639                    -0.044526048
               19.905649                    -0.044655502
               19.938662                    -0.044678207
               19.971672                    -0.044599894
               20.004683                    -0.044426236
               20.037695                    -0.044162858
               20.070705                    -0.043815311
               20.103716                    -0.043389056
               20.136726                    -0.042889476
               20.169739                    -0.042321835
               20.202749                    -0.041691296
                20.23576                    -0.041002899
               20.268772                    -0.040261567
               20.301783                    -0.039472073
               20.334793                    -0.038639069
               20.367804                    -0.037767056
               20.400816                    -0.036860384
