        Frequency / MHz                Port 1 [1] (Mesh Pass=7)/abs,linear
----------------------------------------------------------------------
                      40                       4098.5398
                   40.26                       6767.5865
                   40.52                        11614.26
                   40.78                       9136.9513
                   41.04                        5637.071
                    41.3                       3833.2732
                   41.56                       2763.8095
                   41.82                       2085.1118
                   42.08                       1649.3449
                   42.34                        1366.919
                    42.6                       1177.7389
                   42.86                       1039.4146
                   43.12                       922.11448
                   43.38                       810.49005
                   43.64                       704.70842
                    43.9                       612.72005
                   44.16                       541.13084
                   44.42                       493.08253
                   44.68                       470.64649
                   44.94                       477.48567
                    45.2                        520.8455
                   45.46                       613.23996
                   45.72                       770.61691
                   45.98                       983.10888
                   46.24                        1125.728
                    46.5                       1064.8178
                   46.76                        917.5219
                   47.02                       794.69604
                   47.28                       709.12742
                   47.54                       647.34266
                    47.8                       596.49745
                   48.06                       549.83143
                   48.32                       506.37325
                   48.58                       467.75644
                   48.84                       435.18806
                    49.1                       408.34209
                   49.36                       385.67534
                   49.62                       365.28834
                   49.88                       345.80805
                   50.14                        326.8394
                    50.4                       308.75292
                   50.66                       292.09112
                   50.92                       277.08453
                   51.18                       263.51368
                   51.44                       250.87204
                    51.7                       238.66748
                   51.96                       226.66451
                   52.22                       214.92467
                   52.48                       203.65817
                   52.74                       193.02755
                      53                       183.03325
                   53.26                       173.52315
                   53.52                       164.29134
                   53.78                       155.19219
                   54.04                       146.19729
                    54.3                        137.3707
                   54.56                       128.79608
                   54.82                       120.51076
                   55.08                       112.48215
                   55.34                       104.62955
                    55.6                       96.869661
                   55.86                         89.1552
                   56.12                       81.485375
                   56.38                       73.888609
                   56.64                       66.393882
                    56.9                       59.008866
                   57.16                       51.714403
                   57.42                       44.474764
                   57.68                       37.256349
                   57.94                       30.046557
                    58.2                       22.871927
                   58.46                       15.840444
                   58.72                       9.3762725
                   58.98                       5.9407721
                   59.24                       9.7031404
                    59.5                       16.323946
                   59.76                       23.581304
                   60.02                       31.129943
                   60.28                        38.90355
                   60.54                       46.885681
                    60.8                       55.065272
                   61.06                       63.430443
                   61.32                       71.976253
