        Frequency / MHz                Port 1 [1] (Mesh Pass=7)/arg,degrees
----------------------------------------------------------------------
                      40                       77.780558
                   40.26                       65.135245
                   40.52                       24.223324
                   40.78                      -30.830181
                   41.04                      -54.753037
                    41.3                      -66.685224
                   41.56                      -73.436491
                   41.82                      -76.511324
                   42.08                      -77.034113
                   42.34                      -76.212403
                    42.6                       -75.12686
                   42.86                      -74.506774
                   43.12                      -74.454975
                   43.38                      -74.326599
                   43.64                      -73.106299
                    43.9                      -70.034572
                   44.16                      -64.865116
                   44.42                      -57.750385
                   44.68                      -49.143311
                   44.94                      -39.864915
                    45.2                      -31.230941
                   45.46                      -25.127962
                   45.72                      -24.136289
                   45.98                      -31.419031
                   46.24                      -47.301491
                    46.5                      -63.582548
                   46.76                      -73.437955
                   47.02                      -78.184319
                   47.28                      -80.641088
                   47.54                      -82.469557
                    47.8                      -84.243572
                   48.06                      -85.861532
                   48.32                      -87.030715
                   48.58                      -87.629965
                   48.84                      -87.791146
                    49.1                      -87.781921
                   49.36                      -87.843418
                   49.62                      -88.074253
                   49.88                       -88.41024
                   50.14                      -88.704526
                    50.4                      -88.844179
                   50.66                      -88.818588
                   50.92                      -88.708574
                   51.18                      -88.623153
                   51.44                      -88.630092
                    51.7                      -88.720681
                   51.96                      -88.826989
                   52.22                      -88.874547
                   52.48                       -88.83056
                   52.74                      -88.717949
                      53                      -88.593434
                   53.26                      -88.508397
                   53.52                       -88.47754
                   53.78                      -88.473563
                   54.04                      -88.448492
                    54.3                      -88.364702
                   54.56                      -88.215072
                   54.82                      -88.022203
                   55.08                      -87.820227
                   55.34                      -87.631355
                    55.6                      -87.450815
                   55.86                      -87.247759
                   56.12                      -86.979241
                   56.38                      -86.606865
                   56.64                      -86.105747
                    56.9                      -85.460504
                   57.16                      -84.647833
                   57.42                      -83.606956
                   57.68                      -82.194215
                   57.94                      -80.096681
                    58.2                      -76.603185
                   58.46                      -69.791518
                   58.72                       -52.64712
                   58.98                     -0.15648341
                   59.24                       50.196751
                    59.5                        66.58864
                   59.76                       73.346529
                   60.02                       76.940505
                   60.28                       79.135068
                   60.54                        80.57432
                    60.8                       81.552463
                   61.06                       82.233545
                   61.32                       82.724889
                   61.58                       83.100833
                   61.84                        83.40798
                    62.1                       83.666392
                   62.36                       83.874603
                   62.62                       84.020583
                   62.88                       84.095487
                   63.14                       84.104053
