        Frequency / MHz                S1,1 (Mesh Pass=7)/abs,dB
----------------------------------------------------------------------
                      40                    -0.089661262
               40.259998                     -0.10791477
                   40.52                     -0.13640442
               40.779999                     -0.16325915
               41.040001                     -0.17781473
               41.299999                     -0.17926578
               41.560001                     -0.17897519
                   41.82                     -0.19391752
               42.080002                     -0.23551112
                   42.34                     -0.30138647
               42.599998                     -0.37613059
               42.860001                     -0.44273492
               43.119999                     -0.49956045
               43.380001                     -0.57117753
               43.639999                     -0.70374728
               43.900002                     -0.94669823
                   44.16                       -1.328808
               44.419998                      -1.8323961
                   44.68                      -2.3671878
               44.939999                      -2.7649309
               45.200001                      -2.8484794
               45.459999                      -2.5707916
               45.720001                       -2.060948
                   45.98                      -1.5074522
               46.240002                      -1.0432745
                    46.5                     -0.72114387
               46.759998                     -0.53403856
                   47.02                     -0.44100913
               47.279999                     -0.39086885
               47.540001                     -0.34367001
               47.799999                     -0.28421874
               48.060001                     -0.22075695
                   48.32                     -0.17106052
               48.580002                     -0.14688148
                   48.84                     -0.14614992
               49.099998                      -0.1553524
               49.360001                     -0.15883762
               49.619999                     -0.14868253
               49.880001                     -0.12862267
               50.139999                     -0.10988514
               50.400002                     -0.10272332
                   50.66                     -0.10976492
               50.919998                     -0.12502568
                   51.18                     -0.13847474
               51.439999                     -0.14286188
               51.700001                     -0.13825005
               51.959999                     -0.13134317
               52.220001                     -0.13051508
                   52.48                     -0.14028176
               52.740002                     -0.15876994
                      53                     -0.17944463
               53.259998                     -0.19565939
                   53.52                     -0.20502585
               53.779999                     -0.21073998
               54.040001                      -0.2192245
               54.299999                     -0.23594151
               54.560001                     -0.26218949
                   54.82                     -0.29474006
               55.080002                     -0.32825213
                   55.34                     -0.35881464
               55.599998                     -0.38638145
               55.860001                     -0.41465421
               56.119999                     -0.44869615
               56.380001                     -0.49194239
               56.639999                      -0.5443764
               56.900002                     -0.60274384
                   57.16                     -0.66243775
               57.419998                     -0.71986323
                   57.68                      -0.7739141
               57.939999                     -0.82584891
               58.200001                     -0.87779286
               58.459999                     -0.93084164
               58.720001                     -0.98381834
                   58.98                       -1.033231
               59.240002                      -1.0744292
                    59.5                      -1.1033845
               59.759998                      -1.1182775
                   60.02                      -1.1201799
               60.279999                      -1.1124767
               60.540001                      -1.0993247
               60.799999                       -1.083887
               61.060001                      -1.0671736
                   61.32                      -1.0480824
               61.580002                      -1.0246038
                   61.84                     -0.99559484
               62.099998                     -0.96206679
               62.360001                     -0.92719055
               62.619999                     -0.89491541
               62.880001                     -0.86800694
               63.139999                     -0.84664863
               63.400002                     -0.82850097
                   63.66                     -0.81022962
               63.919998                     -0.78964997
                   64.18                     -0.76716024
               64.440002                     -0.74552638
               64.699997                     -0.72812864
               64.959999                     -0.71680528
               65.220001                     -0.71066609
               65.480003                     -0.70663395
               65.739998                     -0.70140454
                      66                     -0.69357215
               66.260002                     -0.68452764
               66.519997                      -0.6775047
               66.779999                     -0.67542852
               67.040001                     -0.67898877
               67.300003                     -0.68619778
               67.559998                      -0.6937111
                   67.82                     -0.69906009
               68.080002                     -0.70231347
               68.339996                     -0.70603544
               68.599998                      -0.7135779
               68.860001                     -0.72688376
               69.120003                     -0.74525725
               69.379997                     -0.76590705
               69.639999                     -0.78589516
               69.900002                     -0.80419662
               70.160004                      -0.8224701
               70.419998                     -0.84401916
                   70.68                     -0.87167149
               70.940002                     -0.90602663
               71.199997                      -0.9452274
               71.459999                     -0.98639854
               71.720001                      -1.0278111
               71.980003                      -1.0702989
               72.239998                      -1.1169821
                    72.5                      -1.1714754
               72.760002                       -1.235832
               73.019997                      -1.3095833
               73.279999                      -1.3905067
               73.540001                       -1.476633
               73.800003                      -1.5681892
               74.059998                      -1.6681676
                   74.32                      -1.7811747
               74.580002                      -1.9113303
               74.839996                      -2.0606487
               75.099998                      -2.2289399
               75.360001                      -2.4153526
               75.620003                      -2.6205987
               75.879997                      -2.8485052
               76.139999                      -3.1058963
               76.400002                      -3.4009558
               76.660004                       -3.741179
               76.919998                       -4.132276
                   77.18                      -4.5788414
               77.440002                      -5.0866121
               77.699997                      -5.6653185
               77.959999                      -6.3308089
               78.220001                      -7.1057679
               78.480003                      -8.0194784
               78.739998                      -9.1083313
                      79                      -10.419675
               79.260002                      -12.022927
               79.519997                      -14.036104
               79.779999                      -16.692519
               80.040001                      -20.552867
               80.300003                      -27.616586
               80.559998                      -37.691098
                   80.82                      -24.041698
               81.080002                      -18.979655
               81.339996                      -15.909318
               81.599998                      -13.750986
               81.860001                      -12.117951
               82.120003                      -10.822746
               82.379997                      -9.7599981
               82.639999                      -8.8672611
               82.900002                      -8.1074835
               83.160004                      -7.4581401
               83.419998                      -6.9033285
                   83.68                      -6.4286618
               83.940002                      -6.0193344
               84.199997                      -5.6609816
               84.459999                      -5.3419982
               84.720001                      -5.0554252
               84.980003                      -4.7988925
               85.239998                      -4.5724842
                    85.5                      -4.3757664
               85.760002                      -4.2057466
               86.019997                      -4.0568895
               86.279999                      -3.9230532
               86.540001                       -3.800065
               86.800003                      -3.6871871
               87.059998                       -3.586474
                   87.32                      -3.5004715
               87.580002                      -3.4297476
               87.839996                       -3.371899
               88.099998                       -3.322598
               88.360001                       -3.278006
               88.620003                      -3.2369358
               88.879997                      -3.2012861
               89.139999                      -3.1744489
               89.400002                      -3.1587704
               89.660004                      -3.1537859
               89.919998                      -3.1563675
                   90.18                       -3.162701
               90.440002                      -3.1707866
               90.699997                       -3.181765
               90.959999                      -3.1991274
               91.220001                       -3.226372
               91.480003                      -3.2646677
               91.739998                      -3.3121205
                      92                      -3.3651124
               92.260002                      -3.4208685
               92.519997                       -3.479541
               92.779999                      -3.5443476
               93.040001                      -3.6196526
               93.300003                      -3.7082844
               93.559998                      -3.8098957
                   93.82                      -3.9214718
               94.080002                      -4.0396967
               94.339996                      -4.1636706
               94.599998                      -4.2961113
               94.860001                      -4.4421707
               95.120003                      -4.6066287
               95.379997                      -4.7913432
               95.639999                      -4.9946518
               95.900002                      -5.2132069
               96.160004                        -5.44517
               96.419998                      -5.6926947
                   96.68                      -5.9619472
               96.940002                      -6.2605402
               97.199997                      -6.5940349
               97.459999                      -6.9637907
               97.720001                       -7.367701
               97.980003                      -7.8036282
               98.239998                       -8.273624
                    98.5                      -8.7861713
               98.760002                      -9.3547109
               99.019997                       -9.993126
               99.279999                      -10.710862
               99.540001                      -11.510707
               99.800003                      -12.391051
                  100.06                      -13.351872
                  100.32                      -14.400093
                  100.58                      -15.546353
                  100.84                      -16.783349
