        Frequency / MHz                S1,1 (Mesh Pass=7)/arg,degrees
----------------------------------------------------------------------
                      40                       2.7321261
               40.259998                       1.5362528
                   40.52                       0.4048413
               40.779999                     -0.64279565
               41.040001                       -1.660203
               41.299999                      -2.7450553
               41.560001                      -3.9729251
                   41.82                      -5.3409036
               42.080002                      -6.7639413
                   42.34                      -8.1304356
               42.599998                      -9.3871931
               42.860001                      -10.600627
               43.119999                      -11.939083
               43.380001                      -13.564063
               43.639999                      -15.490093
               43.900002                      -17.494381
                   44.16                      -19.107626
               44.419998                      -19.684815
                   44.68                      -18.603448
               44.939999                      -15.684597
               45.200001                      -11.679393
               45.459999                      -8.0973716
               45.720001                      -6.1608022
                   45.98                      -6.1163955
               46.240002                      -7.4975272
                    46.5                      -9.6318306
               46.759998                      -11.939136
                   47.02                      -14.052383
               47.279999                       -15.85077
               47.540001                       -17.42074
               47.799999                      -18.944614
               48.060001                      -20.566622
                   48.32                      -22.315322
               48.580002                      -24.116519
                   48.84                      -25.865482
               49.099998                      -27.503407
               49.360001                      -29.054483
               49.619999                      -30.605782
               49.880001                      -32.247434
               50.139999                      -34.017307
               50.400002                      -35.887037
                   50.66                      -37.792295
               50.919998                      -39.681939
                   51.18                      -41.553986
               51.439999                      -43.457221
               51.700001                      -45.459541
               51.959999                      -47.606329
               52.220001                      -49.897743
                   52.48                       -52.29804
               52.740002                      -54.767035
                      53                      -57.292033
               53.259998                      -59.900581
                   53.52                       -62.64741
               53.779999                      -65.584755
               54.040001                       -68.73774
               54.299999                      -72.099218
               54.560001                      -75.646366
                   54.82                      -79.365699
               55.080002                      -83.271276
                   55.34                      -87.405705
               55.599998                      -91.823738
               55.860001                        -96.5702
               56.119999                      -101.66578
               56.380001                      -107.10788
               56.639999                      -112.88395
               56.900002                       -118.9875
                   57.16                      -125.42722
               57.419998                      -132.22381
                   57.68                      -139.39661
               57.939999                      -146.94696
               58.200001                      -154.84738
               58.459999                      -163.04044
               58.720001                      -171.44745
                   58.98                      -179.98132
               59.240002                       171.44092
                    59.5                       162.89142
               59.759998                       154.43125
                   60.02                       146.11563
               60.279999                       138.00022
               60.540001                       130.14367
               60.799999                       122.60404
               61.060001                       115.42988
                   61.32                       108.65002
               61.580002                       102.26756
                   61.84                       96.262299
               62.099998                       90.601329
               62.360001                       85.253947
               62.619999                       80.202257
               62.880001                       75.442516
               63.139999                       70.976449
               63.400002                       66.798665
                   63.66                       62.887699
               63.919998                       59.206639
                   64.18                       55.714501
               64.440002                       52.380382
               64.699997                       49.192352
               64.959999                       46.154882
               65.220001                       43.276371
               65.480003                       40.555195
               65.739998                       37.972565
                      66                       35.497001
               66.260002                       33.098241
               66.519997                       30.760458
               66.779999                       28.486823
               67.040001                       26.291574
               67.300003                       24.185771
               67.559998                       22.165156
                   67.82                       20.208799
               68.080002                       18.288806
               68.339996                       16.385503
               68.599998                       14.496547
               68.860001                       12.635184
               69.120003                       10.818026
               69.379997                       9.0508385
               69.639999                       7.3219249
               69.900002                       5.6072747
               70.160004                       3.8840999
               70.419998                       2.1434947
                   70.68                      0.39373671
               70.940002                      -1.3480435
               71.199997                      -3.0700708
               71.459999                      -4.7763613
               71.720001                      -6.4866952
               71.980003                      -8.2258255
               72.239998                      -10.009461
                    72.5                        -11.8364
               72.760002                      -13.692026
               73.019997                      -15.561038
               73.279999                      -17.440461
               73.540001                      -19.344827
               73.800003                      -21.299736
               74.059998                      -23.328247
                   74.32                      -25.438749
               74.580002                      -27.623071
               74.839996                      -29.865176
               75.099998                      -32.155282
               75.360001                      -34.500033
               75.620003                      -36.922291
               75.879997                      -39.450282
               76.139999                      -42.102771
               76.400002                      -44.880144
               76.660004                      -47.766256
               76.919998                      -50.740363
                   77.18                      -53.791383
               77.440002                      -56.926085
               77.699997                      -60.165781
               77.959999                      -63.532162
               78.220001                      -67.030093
               78.480003                      -70.636352
               78.739998                      -74.299437
                      79                      -77.949354
               79.260002                      -81.509438
               79.519997                      -84.894098
               79.779999                      -87.957192
               80.040001                      -90.231617
               80.300003                      -88.770804
               80.559998                       46.379683
                   80.82                       67.796449
               81.080002                       66.685123
               81.339996                       63.937418
               81.599998                       60.842686
               81.860001                       57.728312
               82.120003                       54.699859
               82.379997                       51.772057
               82.639999                       48.921601
               82.900002                       46.123467
               83.160004                       43.373441
               83.419998                       40.692208
                   83.68                       38.113072
               83.940002                       35.662017
               84.199997                       33.342351
               84.459999                       31.132131
               84.720001                       28.996738
               84.980003                       26.908039
               85.239998                       24.858763
                    85.5                       22.862982
               85.760002                       20.943237
               86.019997                       19.112937
