        Frequency / MHz                S1,1 (6)/abs,dB
----------------------------------------------------------------------
                      40                      -0.1229498
               40.259998                     -0.15430297
                   40.52                     -0.19099961
               40.779999                     -0.21972079
               41.040001                     -0.23534738
               41.299999                     -0.24541604
               41.560001                     -0.26544728
                   41.82                     -0.30880779
               42.080002                     -0.37868068
                   42.34                     -0.46783451
               42.599998                     -0.56690095
               42.860001                     -0.67613695
               43.119999                     -0.81183485
               43.380001                      -1.0009846
               43.639999                       -1.265308
               43.900002                      -1.6010251
                   44.16                       -1.961917
               44.419998                      -2.2576539
                   44.68                      -2.3856663
               44.939999                      -2.2944671
               45.200001                      -2.0236561
               45.459999                      -1.6726302
               45.720001                      -1.3362172
                   45.98                      -1.0672548
               46.240002                      -0.8746278
                    46.5                     -0.73886096
               46.759998                     -0.63222627
                   47.02                     -0.53576248
               47.279999                     -0.44663625
               47.540001                     -0.37358183
               47.799999                     -0.32560883
               48.060001                     -0.30267639
                   48.32                     -0.29402649
               48.580002                     -0.28443994
                   48.84                     -0.26390853
               49.099998                     -0.23379328
               49.360001                     -0.20493392
               49.619999                     -0.18934157
               49.880001                     -0.19169059
               50.139999                     -0.20614404
               50.400002                     -0.22024006
                   50.66                      -0.2232543
               50.919998                     -0.21347555
                   51.18                      -0.1991753
               51.439999                     -0.19270588
               51.700001                     -0.20214637
               51.959999                     -0.22613077
               52.220001                     -0.25487061
                   52.48                     -0.27661145
               52.740002                     -0.28544497
                      53                     -0.28518551
               53.259998                     -0.28661624
                   53.52                      -0.3002436
               53.779999                     -0.32959701
               54.040001                     -0.36915969
               54.299999                     -0.40793115
               54.560001                     -0.43643321
                   54.82                     -0.45275582
               55.080002                     -0.46362418
                   55.34                     -0.47992149
               55.599998                     -0.50991078
               55.860001                     -0.55446135
               56.119999                      -0.6067935
               56.380001                     -0.65658859
               56.639999                     -0.69600841
               56.900002                     -0.72402658
                   57.16                     -0.74649222
               57.419998                     -0.77214656
                   57.68                     -0.80732288
               57.939999                     -0.85233807
               58.200001                     -0.90118195
               58.459999                     -0.94430483
               58.720001                     -0.97302951
                   58.98                      -0.9833618
               59.240002                     -0.97737537
                    59.5                     -0.96161198
               59.759998                     -0.94355696
                   60.02                     -0.92802925
               60.279999                     -0.91505714
               60.540001                     -0.90012868
               60.799999                     -0.87674743
               61.060001                     -0.84028053
                   61.32                     -0.79117387
               61.580002                     -0.73560057
                   61.84                     -0.68289688
               62.099998                     -0.64105613
               62.360001                     -0.61270532
               62.619999                      -0.5937459
               62.880001                      -0.5756103
               63.139999                     -0.55022612
               63.400002                     -0.51500444
                   63.66                     -0.47465604
               63.919998                     -0.43843032
                   64.18                     -0.41447407
               64.440002                     -0.40478358
               64.699997                     -0.40379228
               64.959999                     -0.40153333
               65.220001                     -0.38974219
               65.480003                     -0.36716893
               65.739998                     -0.34042643
                      66                     -0.31966922
               66.260002                     -0.31202089
               66.519997                     -0.31698312
               66.779999                     -0.32663189
               67.040001                     -0.33056893
               67.300003                      -0.3226949
               67.559998                     -0.30530924
                   67.82                     -0.28756915
               68.080002                     -0.27937963
               68.339996                      -0.2849176
               68.599998                      -0.2999343
               68.860001                     -0.31447938
               69.120003                     -0.31944546
               69.379997                     -0.31274508
               69.639999                      -0.3007816
               69.900002                     -0.29409736
               70.160004                     -0.30033754
               70.419998                      -0.3192485
                   70.68                     -0.34283229
               70.940002                     -0.36061165
               71.199997                     -0.36674745
               71.459999                     -0.36419238
               71.720001                     -0.36285676
               71.980003                     -0.37310678
               72.239998                     -0.39912956
                    72.5                      -0.4364024
               72.760002                      -0.4747772
               73.019997                     -0.50537841
               73.279999                     -0.52689409
               73.540001                     -0.54689287
               73.800003                     -0.57723088
               74.059998                     -0.62687167
                   74.32                     -0.69688148
               74.580002                     -0.78061124
               74.839996                     -0.86897856
               75.099998                     -0.95772312
               75.360001                      -1.0520017
               75.620003                      -1.1652648
               75.879997                      -1.3134381
               76.139999                      -1.5085585
               76.400002                      -1.7559099
               76.660004                      -2.0563671
               76.919998                      -2.4129284
                   77.18                       -2.838244
               77.440002                      -3.3593172
               77.699997                      -4.0176406
               77.959999                      -4.8664976
               78.220001                      -5.9694464
               78.480003                      -7.4043123
               78.739998                      -9.2771852
                      79                      -11.753107
               79.260002                      -15.099374
               79.519997                      -19.434464
               79.779999                      -21.375538
               80.040001                      -17.861683
               80.300003                      -14.479772
               80.559998                      -12.091576
                   80.82                      -10.394868
               81.080002                       -9.168616
               81.339996                      -8.2738173
               81.599998                      -7.6138599
               81.860001                      -7.1165162
               82.120003                      -6.7299923
               82.379997                       -6.424141
               82.639999                      -6.1891701
               82.900002                      -6.0282729
               83.160004                        -5.94635
               83.419998                      -5.9401052
                   83.68                      -5.9940628
               83.940002                      -6.0844201
               84.199997                       -6.189221
               84.459999                      -6.2988544
               84.720001                      -6.4187702
               84.980003                      -6.5608892
               85.239998                      -6.7286977
                    85.5                      -6.9056357
               85.760002                      -7.0552341
               86.019997                      -7.1362162
               86.279999                      -7.1251176
               86.540001                      -7.0283688
               86.800003                      -6.8720931
               87.059998                      -6.6796331
                   87.32                       -6.456861
               87.580002                      -6.1952691
               87.839996                      -5.8877849
               88.099998                      -5.5431549
               88.360001                      -5.1867399
               88.620003                      -4.8481704
               88.879997                      -4.5467587
               89.139999                      -4.2843534
               89.400002                      -4.0484134
               89.660004                       -3.822494
               89.919998                      -3.5978601
                   90.18                      -3.3789498
               90.440002                      -3.1793608
               90.699997                      -3.0119246
               90.959999                      -2.8798996
               91.220001                      -2.7745327
               91.480003                      -2.6800716
               91.739998                      -2.5832887
                      92                      -2.4815326
               92.260002                      -2.3836679
               92.519997                      -2.3033134
               92.779999                       -2.249323
               93.040001                        -2.21976
               93.300003                      -2.2028149
               93.559998                      -2.1841167
                   93.82                      -2.1560362
               94.080002                      -2.1227158
               94.339996                      -2.0971143
               94.599998                       -2.092291
               94.860001                      -2.1129745
               95.120003                      -2.1526362
               95.379997                      -2.1976969
               95.639999                      -2.2365203
               95.900002                       -2.267553
               96.160004                      -2.3008926
               96.419998                      -2.3521078
                   96.68                      -2.4327912
               96.940002                      -2.5439855
               97.199997                      -2.6762396
               97.459999                      -2.8163076
               97.720001                       -2.956787
               97.980003                      -3.1025805
               98.239998                      -3.2696462
                    98.5                       -3.477022
               98.760002                      -3.7375725
               99.019997                      -4.0528699
               99.279999                      -4.4147513
               99.540001                      -4.8127926
               99.800003                      -5.2438697
                  100.06                      -5.7179965
                  100.32                      -6.2562771
                  100.58                      -6.8817465
                  100.84                      -7.6073898
                   101.1                      -8.4248812
                  101.36                      -9.2948019
                  101.62                      -10.138278
                  101.88                      -10.834585
                  102.14                      -11.240923
                   102.4                      -11.252266
                  102.66                      -10.872135
                  102.92                      -10.215017
                  103.18                      -9.4314678
                  103.44                      -8.6376814
                   103.7                      -7.8939688
                  103.96                       -7.215795
                  104.22                      -6.5948655
                  104.48                      -6.0193049
                  104.74                      -5.4868429
                     105                        -5.00715
                  105.26                      -4.5945657
                  105.52                      -4.2573861
                  105.78                      -3.9903482
                  106.04                      -3.7741988
                   106.3                      -3.5830828
                  106.56                      -3.3968534
                  106.82                      -3.2112298
                  107.08                      -3.0384349
                  107.34                      -2.8974697
                   107.6                       -2.800715
                  107.86                      -2.7450747
                  108.12                      -2.7123397
                  108.38                       -2.679024
                  108.64                      -2.6307443
                   108.9                      -2.5717028
                  109.16                      -2.5217408
                  109.42                      -2.5029363
                  109.68                      -2.5251783
                  109.94                      -2.5794271
                   110.2                      -2.6424355
                  110.46                      -2.6912716
                  110.72                      -2.7193655
                  110.98                      -2.7421828
                  111.24                        -2.78745
                   111.5                      -2.8771611
                  111.76                      -3.0134367
                  112.02                      -3.1761599
                  112.28                       -3.334601
                  112.54                      -3.4682316
                   112.8                      -3.5829771
                  113.06                       -3.708966
                  113.32                      -3.8804573
                  113.58                      -4.1124292
                  113.84                      -4.3877641
                   114.1                      -4.6627723
                  114.36                      -4.8924575
                  114.62                      -5.0626209
                  114.88                      -5.2011789
                  115.14                      -5.3548247
                   115.4                      -5.5495829
                  115.66                       -5.763474
                  115.92                      -5.9296414
                  116.18                       -5.977674
                  116.44                      -5.8911987
                   116.7                      -5.7251696
                  116.96                      -5.5612142
                  117.22                      -5.4482906
                  117.48                      -5.3742752
                  117.74                      -5.2782864
                     118                      -5.0982703
                  118.26                      -4.8260123
                  118.52                       -4.519504
                  118.78                      -4.2607629
                  119.04                      -4.1027686
                   119.3                      -4.0412365
                  119.56                      -4.0167831
                  119.82                      -3.9487239
