        Frequency / MHz                S1,1 (6)/arg,degrees
----------------------------------------------------------------------
                      40                       2.0325707
               40.259998                      0.84751319
                   40.52                     -0.24143253
               40.779999                      -1.2633794
               41.040001                      -2.3094213
               41.299999                      -3.4692006
               41.560001                      -4.7682135
                   41.82                      -6.1526528
               42.080002                      -7.5307608
                   42.34                      -8.8404681
               42.599998                      -10.095396
               42.860001                      -11.369253
               43.119999                      -12.716271
               43.380001                      -14.074442
               43.639999                       -15.21374
               43.900002                      -15.766607
                   44.16                      -15.357152
               44.419998                      -13.831453
                   44.68                      -11.497266
               44.939999                      -9.1106118
               45.200001                      -7.4643985
               45.459999                      -6.9397073
               45.720001                        -7.43583
                   45.98                      -8.5928192
               46.240002                      -10.031971
                    46.5                      -11.499664
               46.759998                       -12.91169
                   47.02                      -14.313272
               47.279999                       -15.78653
               47.540001                      -17.364154
               47.799999                      -19.000754
               48.060001                      -20.608028
                   48.32                      -22.119433
               48.580002                      -23.538606
                   48.84                      -24.938905
               49.099998                      -26.413533
               49.360001                      -28.012842
               49.619999                      -29.714523
               49.880001                      -31.444778
               50.139999                       -33.13245
               50.400002                      -34.760066
                   50.66                      -36.378869
               50.919998                      -38.076677
                   51.18                      -39.920584
               51.439999                      -41.915642
               51.700001                      -44.007196
               51.959999                      -46.121974
               52.220001                      -48.220207
                   52.48                       -50.32586
               52.740002                      -52.515524
                      53                      -54.871972
               53.259998                      -57.434993
                   53.52                      -60.183221
               53.779999                      -63.056328
               54.040001                      -66.001431
               54.299999                       -69.01437
               54.560001                      -72.151051
                   54.82                      -75.501211
               55.080002                      -79.141348
                   55.34                      -83.098622
               55.599998                       -87.34838
               55.860001                      -91.842733
               56.119999                      -96.551533
               56.380001                      -101.49151
               56.639999                      -106.72726
               56.900002                      -112.34316
                   57.16                      -118.40358
               57.419998                      -124.92489
                   57.68                      -131.87336
               57.939999                      -139.18539
               58.200001                      -146.79639
               58.459999                      -154.66235
               58.720001                       -162.7645
                   58.98                      -171.09494
               59.240002                      -179.63187
                    59.5                       171.68155
               59.759998                       162.94296
                   60.02                       154.27835
               60.279999                       145.81647
               60.540001                       137.66013
               60.799999                       129.86546
               61.060001                       122.43862
                   61.32                       115.35279
               61.580002                       108.57787
                   61.84                       102.10728
               62.099998                       95.966716
               62.360001                       90.200561
               62.619999                       84.843726
               62.880001                       79.893532
               63.139999                       75.299602
               63.400002                       70.980409
                   63.66                       66.859864
               63.919998                       62.901525
                   64.18                       59.119077
               64.440002                       55.556723
               64.699997                       52.251403
               64.959999                       49.198608
               65.220001                       46.343698
               65.480003                       43.605855
               65.739998                       40.921346
                      66                       38.276371
               66.260002                       35.708304
               66.519997                        33.27506
               66.779999                       31.011726
               67.040001                        28.90169
               67.300003                       26.880608
               67.559998                       24.873627
                   67.82                       22.840171
               68.080002                       20.796276
               68.339996                       18.799075
               68.599998                       16.905964
               68.860001                        15.13334
               69.120003                       13.441338
               69.379997                       11.756903
               69.639999                       10.019659
               69.900002                       8.2195767
               70.160004                       6.4000957
               70.419998                       4.6258861
                   70.68                       2.9374631
               70.940002                       1.3203202
               71.199997                     -0.28969199
               71.459999                      -1.9668585
               71.720001                      -3.7487452
               71.980003                      -5.6148901
               72.239998                      -7.5043662
                    72.5                      -9.3590903
               72.760002                      -11.166222
               73.019997                      -12.971905
               73.279999                      -14.856381
               73.540001                      -16.886259
               73.800003                      -19.076509
               74.059998                      -21.388583
                   74.32                      -23.763084
               74.580002                      -26.166656
               74.839996                      -28.623338
               75.099998                      -31.211569
               75.360001                      -34.026646
               75.620003                      -37.133779
               75.879997                       -40.54415
               76.139999                      -44.227043
               76.400002                      -48.149102
               76.660004                      -52.317074
               76.919998                      -56.800136
                   77.18                      -61.718746
               77.440002                      -67.206448
               77.699997                      -73.369793
               77.959999                      -80.272219
               78.220001                      -87.957219
               78.480003                      -96.517331
               78.739998                      -106.24117
                      79                      -117.97658
               79.260002                      -134.30707
               79.519997                      -164.05271
               79.779999                       138.84516
               80.040001                       95.436028
               80.300003                       74.894153
               80.559998                       62.432608
                   80.82                       53.249444
               81.080002                       45.830877
               81.339996                       39.617426
               81.599998                       34.356429
               81.860001                       29.871894
               82.120003                       25.980762
               82.379997                       22.491355
               82.639999                        19.25013
               82.900002                       16.191025
               83.160004                       13.348573
               83.419998                       10.823425
                   83.68                       8.7172689
               83.940002                       7.0676412
               84.199997                       5.8214324
               84.459999                       4.8705607
               84.720001                       4.1350855
               84.980003                       3.6354438
               85.239998                       3.4978567
                    85.5                       3.8799097
               85.760002                       4.8520915
               86.019997                       6.3077968
               86.279999                       7.9837063
               86.540001                       9.5996198
               86.800003                          11.005
               87.059998                       12.206075
                   87.32                       13.270054
               87.580002                       14.204478
               87.839996                       14.908698
               88.099998                       15.231848
               88.360001                       15.082131
               88.620003                       14.492167
               88.879997                       13.599433
               89.139999                       12.568402
               89.400002                       11.508193
               89.660004                       10.429133
               89.919998                       9.2626995
                   90.18                       7.9288465
               90.440002                       6.4044568
               90.699997                       4.7472344
               90.959999                        3.063675
               91.220001                       1.4474884
               91.480003                    -0.073950002
               91.739998                      -1.5535875
                      92                      -3.0856263
               92.260002                      -4.7406631
               92.519997                      -6.5183698
               92.779999                      -8.3497893
               93.040001                      -10.143617
               93.300003                      -11.845972
               93.559998                      -13.477458
                   93.82                      -15.122823
               94.080002                      -16.876217
               94.339996                      -18.780963
               94.599998                      -20.804394
               94.860001                      -22.863559
               95.120003                      -24.881963
               95.379997                      -26.842937
               95.639999                      -28.806862
               95.900002                      -30.877338
               96.160004                       -33.13802
               96.419998                      -35.603555
                   96.68                      -38.217663
               96.940002                      -40.895369
               97.199997                      -43.584606
               97.459999                      -46.308811
               97.720001                      -49.165469
               97.980003                      -52.276757
               98.239998                      -55.725293
                    98.5                      -59.517743
               98.760002                      -63.598369
               99.019997                      -67.900844
               99.279999                      -72.409861
               99.540001                      -77.201375
               99.800003                      -82.437945
                  100.06                      -88.321743
                  100.32                       -95.03571
                  100.58                      -102.71361
                  100.84                      -111.45674
                   101.1                      -121.38374
                  101.36                      -132.67961
                  101.62                      -145.59042
                  101.88                      -160.29314
                  102.14                      -176.61642
                   102.4                       166.19697
                  102.66                       149.30935
                  102.92                       133.72854
                  103.18                       119.95397
                  103.44                       108.05763
                   103.7                       97.900322
                  103.96                       89.253522
                  104.22                       81.834951
                  104.48                       75.329662
                  104.74                       69.439743
                     105                       63.950785
                  105.26                       58.773174
                  105.52                       53.930622
                  105.78                       49.502587
                  106.04                       45.544682
                   106.3                       42.027626
                  106.56                       38.824869
                  106.82                        35.76571
                  107.08                       32.725124
                  107.34                       29.685421
                   107.6                        26.73303
                  107.86                       23.994396
                  108.12                       21.549081
                  108.38                        19.36801
                  108.64                       17.317643
                   108.9                       15.238314
                  109.16                       13.044784
                  109.42                       10.777817
                  109.68                       8.5733597
                  109.94                       6.5752295
                   110.2                       4.8387218
                  110.46                       3.2849355
                  110.72                       1.7422964
                  110.98                     0.061414329
                  111.24                      -1.7819719
                   111.5                      -3.6678692
                  111.76                      -5.4033924
                  112.02                      -6.8416668
                  112.28                      -7.9811608
                  112.54                      -8.9784781
                   112.8                      -10.043331
                  113.06                      -11.281399
                  113.32                      -12.603288
                  113.58                      -13.762343
                  113.84                      -14.490712
                   114.1                      -14.668408
                  114.36                      -14.425689
                  114.62                      -14.069864
                  114.88                      -13.851408
                  115.14                      -13.755894
                   115.4                      -13.498096
                  115.66                      -12.718034
                  115.92                      -11.270799
                  116.18                      -9.4300344
                  116.44                      -7.7703537
                   116.7                      -6.7472464
                  116.96                      -6.3803834
                  117.22                      -6.3107702
                  117.48                      -6.1005087
                  117.74                      -5.5628366
                     118                      -4.9377375
                  118.26                      -4.7393891
                  118.52                      -5.3529039
                  118.78                      -6.7531467
                  119.04                      -8.5497609
                   119.3                      -10.233375
                  119.56                      -11.472316
                  119.82                      -12.350297
                  120.08                      -13.367392
                  120.34                      -15.098655
                   120.6                      -17.776525
                  120.86                      -21.158727
                  121.12                      -24.693705
                  121.38                       -27.82018
                  121.64                       -30.34014
                   121.9                      -32.749282
                  122.16                      -36.152685
                  122.42                      -41.639679
                  122.68                      -49.769899
                  122.94                      -60.683119
                   123.2                      -74.656156
                  123.46                      -93.367268
                  123.72                      -126.61816
                  123.98                       144.47835
                  124.24                       90.969009
                   124.5                       67.244648
                  124.76                       49.899571
                  125.02                       35.258378
                  125.28                       22.581332
                  125.54                       11.835422
                   125.8                       3.1738668
                  126.06                      -3.3525157
                  126.32                      -8.0525604
                  126.58                      -11.681412
                  126.84                      -15.141094
