        Frequency / MHz                Port 1 [1] (Mesh Pass=2)/abs,linear
----------------------------------------------------------------------
                      40                       4486.3578
                   40.26                       3164.3993
                   40.52                       2482.3846
                   40.78                       2050.3202
                   41.04                        1730.103
                    41.3                       1472.9381
                   41.56                       1265.5458
                   41.82                        1103.023
                   42.08                       978.71678
                   42.34                       883.27734
                    42.6                       806.12921
                   42.86                        737.7455
                   43.12                       672.49874
                   43.38                       610.05819
                   43.64                       553.86484
                    43.9                       508.58364
                   44.16                       478.86965
                   44.42                       469.25955
                   44.68                       483.50463
                   44.94                       521.82948
                    45.2                       575.84266
                   45.46                       624.97815
                   45.72                       645.57372
                   45.98                        631.3387
                   46.24                       595.63316
                    46.5                       554.07353
                   46.76                       514.93363
                   47.02                       480.39466
                   47.28                       449.92314
                   47.54                       422.47742
                    47.8                       397.43672
                   48.06                       374.65947
                   48.32                       354.14978
                   48.58                       335.74547
                   48.84                       319.03567
                    49.1                       303.50777
                   49.36                       288.78333
                   49.62                       274.75975
                   49.88                       261.56296
                   50.14                       249.36255
                    50.4                       238.18265
                   50.66                       227.82629
                   50.92                       217.95619
                   51.18                       208.27515
                   51.44                       198.67696
                    51.7                       189.26334
                   51.96                       180.22638
                   52.22                       171.68459
                   52.48                       163.57832
                   52.74                       155.68959
                      53                       147.77208
                   53.26                       139.69968
                   53.52                       131.52975
                   53.78                       123.44603
                   54.04                       115.62804
                    54.3                       108.13049
                   54.56                       100.84534
                   54.82                       93.571461
                   55.08                       86.145628
                   55.34                       78.544106
                    55.6                       70.890349
                   55.86                       63.372314
                   56.12                       56.123388
                   56.38                       49.138715
                   56.64                       42.287456
                    56.9                       35.430873
                   57.16                       28.593794
                   57.42                       22.146397
                   57.68                       17.053466
                   57.94                       15.024828
                    58.2                         17.0441
                   58.46                       21.839442
                   58.72                       28.035723
                   58.98                        35.12878
                   59.24                       42.987204
                    59.5                       51.495122
                   59.76                       60.463448
                   60.02                       69.686803
                   60.28                       79.042965
                   60.54                       88.561527
                    60.8                       98.415208
                   61.06                       108.82984
                   61.32                       119.96518
                   61.58                       131.84279
                   61.84                        144.3637
                    62.1                        157.4034
                   62.36                       170.93356
                   62.62                       185.10474
                   62.88                       200.23622
                   63.14                       216.71013
                    63.4                       234.83249
                   63.66                       254.74835
                   63.92                       276.46573
                   64.18                       299.99072
                   64.44                       325.52621
                    64.7                       353.64169
                   64.96                       385.31367
                   65.22                         421.806
                   65.48                       464.46809
                   65.74                       514.58722
                      66                       573.42818
                   66.26                        642.5784
                   66.52                       724.66078
                   66.78                       824.27347
                   67.04                          948.65
                    67.3                         1106.89
                   67.56                        1304.692
                   67.82                       1527.3391
                   68.08                         1709.72
                   68.34                       1750.2631
                    68.6                       1626.6821
                   68.86                       1422.7719
                   69.12                       1215.0967
                   69.38                       1033.0434
                   69.64                       881.41338
                    69.9                       757.62914
                   70.16                       657.44621
                   70.42                       576.38503
                   70.68                       510.18216
                   70.94                        455.0612
                    71.2                       407.95386
                   71.46                        366.6496
                   71.72                       329.79752
                   71.98                       296.72525
                   72.24                       267.14513
                    72.5                       240.87255
                   72.76                        217.6485
                   73.02                       197.10068
                   73.28                       178.83535
                   73.54                       162.61156
                    73.8                       148.50823
                   74.06                       136.98552
                   74.32                       128.77483
                   74.58                       124.59412
                   74.84                       124.80148
                    75.1                       129.23032
                   75.36                       137.36571
                   75.62                       148.70385
                   75.88                       162.98878
                   76.14                       180.19089
                    76.4                       200.30738
                   76.66                       223.14365
                   76.92                       248.19967
                   77.18                        274.7205
                   77.44                        301.9024
                    77.7                       329.14406
                   77.96                       356.12539
                   78.22                       382.54089
                   78.48                       407.58128
                   78.74                       429.57315
                      79                       446.26784
                   79.26                       455.87053
                   79.52                        458.0997
                   79.78                       454.26374
                   80.04                       446.25895
                    80.3                       435.45576
                   80.56                       422.34443
                   80.82                       406.98541
                   81.08                       389.70104
                   81.34                       371.39026
                    81.6                       353.27429
                   81.86                       336.37053
                   82.12                        321.1093
                   82.38                        307.3038
                   82.64                       294.44471
                    82.9                       282.12643
                   83.16                       270.34431
                   83.42                       259.49103
                   83.68                       250.09026
                   83.94                        242.4661
                    84.2                       236.55651
                   84.46                       231.97878
                   84.72                       228.30597
                   84.98                       225.37479
                   85.24                       223.41176
                    85.5                       222.88813
                   85.76                       224.20531
                   86.02                       227.42323
                   86.28                       232.21138
                   86.54                       238.06109
                    86.8                       244.62494
                   87.06                       251.94806
                   87.32                       260.41559
                   87.58                       270.43843
