        Frequency / MHz                Port 1 [1] (Mesh Pass=2)/arg,degrees
----------------------------------------------------------------------
                      40                      -79.292931
                   40.26                      -79.929269
                   40.52                      -80.481957
                   40.78                      -81.606368
                   41.04                      -83.055851
                    41.3                      -84.211936
                   41.56                      -84.614999
                   41.82                      -84.218449
                   42.08                      -83.308606
                   42.34                      -82.298156
                    42.6                      -81.505185
                   42.86                      -80.955216
                   43.12                       -80.31643
                   43.38                      -79.054137
                   43.64                      -76.684529
                    43.9                      -72.947273
                   44.16                      -67.909162
                   44.42                      -62.116055
                   44.68                      -56.741801
                   44.94                      -53.425174
                    45.2                      -53.577702
                   45.46                      -57.434919
                   45.72                      -63.591739
                   45.98                      -69.873404
                   46.24                      -74.861943
                    46.5                      -78.312323
                   46.76                      -80.589198
                   47.02                      -82.140691
                   47.28                       -83.27532
                   47.54                       -84.13269
                    47.8                      -84.747357
                   48.06                      -85.133088
                   48.32                      -85.334421
                   48.58                      -85.427421
                   48.84                      -85.484694
                    49.1                      -85.537269
                   49.36                      -85.564114
                   49.62                      -85.517966
                   49.88                      -85.368305
                   50.14                      -85.131355
                    50.4                      -84.867341
                   50.66                      -84.645943
                   50.92                      -84.501982
                   51.18                      -84.412963
                   51.44                      -84.315958
                    51.7                      -84.152032
                   51.96                      -83.907687
                   52.22                      -83.626327
                   52.48                      -83.380812
                   52.74                      -83.222469
                      53                      -83.140889
                   53.26                      -83.064021
                   53.52                       -82.89888
                   53.78                      -82.586045
                   54.04                       -82.13502
                    54.3                      -81.617533
                   54.56                      -81.116832
                   54.82                      -80.660569
                   55.08                      -80.181886
                   55.34                      -79.534797
                    55.6                      -78.552697
                   55.86                      -77.116193
                   56.12                      -75.189518
                   56.38                      -72.782149
                   56.64                      -69.809328
                    56.9                       -65.86365
                   57.16                      -59.895948
                   57.42                       -49.70027
                   57.68                      -31.466074
                   57.94                      -3.5060596
                    58.2                       24.141021
                   58.46                       42.674771
                   58.72                       54.168083
                   58.98                       61.699704
                   59.24                       66.813827
                    59.5                        70.26369
                   59.76                       72.542881
                   60.02                       74.061394
                   60.28                       75.160042
                   60.54                       76.077841
                    60.8                       76.926442
                   61.06                       77.701604
                   61.32                       78.336789
                   61.58                       78.772111
                   61.84                       79.001159
                    62.1                        79.07736
                   62.36                       79.085714
                   62.62                       79.098582
                   62.88                       79.139044
                   63.14                       79.172287
                    63.4                       79.129609
                   63.66                       78.948888
                   63.92                       78.607338
                   64.18                       78.130124
                   64.44                       77.571429
                    64.7                       76.976711
                   64.96                       76.345442
                   65.22                       75.615816
                   65.48                       74.679988
                   65.74                       73.419322
                      66                       71.738803
                   66.26                       69.579761
                   66.52                       66.893785
                   66.78                       63.570355
                   67.04                       59.330373
                    67.3                       53.616152
                   67.56                       45.529744
                   67.82                       33.985635
                   68.08                       18.522444
                   68.34                      0.76819948
                    68.6                      -15.905317
                   68.86                      -29.331886
                   69.12                       -39.43601
                   69.38                      -46.900553
                   69.64                      -52.343714
                    69.9                      -56.215217
                   70.16                      -58.873826
                   70.42                      -60.634245
                   70.68                      -61.766865
                   70.94                        -62.4746
                    71.2                      -62.869827
                   71.46                       -62.97033
                   71.72                      -62.722832
                   71.98                      -62.045186
                   72.24                      -60.867023
                    72.5                      -59.151451
                   72.76                      -56.889723
                   73.02                      -54.069567
                   73.28                      -50.629108
                   73.54                      -46.422853
                    73.8                      -41.234254
                   74.06                      -34.862517
                   74.32                      -27.282865
                   74.58                      -18.806837
                   74.84                      -10.078231
                    75.1                      -1.8171687
                   75.36                       5.4848757
                   75.62                       11.644994
                   75.88                       16.657966
                   76.14                       20.548601
                    76.4                       23.317214
                   76.66                       24.963375
                   76.92                       25.529663
                   77.18                       25.123666
                   77.44                       23.903331
                    77.7                       22.029157
                   77.96                       19.605581
                   78.22                       16.650931
                   78.48                       13.128581
                   78.74                       9.0336347
                      79                       4.4823491
                   79.26                     -0.26893499
                   79.52                       -4.909684
                   79.78                      -9.2097795
                   80.04                      -13.094943
                    80.3                      -16.610218
                   80.56                      -19.815335
                   80.82                      -22.698586
                   81.08                      -25.168348
                   81.34                      -27.116932
                    81.6                      -28.499772
                   81.86                      -29.371509
                   82.12                      -29.858486
                   82.38                      -30.087958
                   82.64                      -30.118533
                    82.9                      -29.916373
                   83.16                      -29.392996
                   83.42                      -28.479073
                   83.68                      -27.185536
                   83.94                      -25.612341
