        Frequency / MHz                S1,1 (Mesh Pass=2)/abs,dB
----------------------------------------------------------------------
                      40                     -0.19143176
               40.259998                     -0.25456995
                   40.52                     -0.30555967
               40.779999                     -0.32486727
               41.040001                     -0.31672851
               41.299999                      -0.3075977
               41.560001                     -0.32945563
                   41.82                     -0.40043655
               42.080002                     -0.51456103
                   42.34                     -0.64602276
               42.599998                     -0.76791497
               42.860001                      -0.8768711
               43.119999                      -1.0066446
               43.380001                      -1.2195388
               43.639999                      -1.5822998
               43.900002                      -2.1388021
                   44.16                      -2.8798511
               44.419998                      -3.7009499
                   44.68                      -4.3653975
               44.939999                      -4.5793922
               45.200001                      -4.2445805
               45.459999                       -3.565794
               45.720001                      -2.8242393
                   45.98                      -2.1896691
               46.240002                      -1.7152733
                    46.5                       -1.387925
               46.759998                      -1.1677425
                   47.02                      -1.0132379
               47.279999                     -0.89593275
               47.540001                     -0.80427373
               47.799999                     -0.73792788
               48.060001                     -0.69806875
                   48.32                     -0.68061889
               48.580002                     -0.67603321
                   48.84                     -0.67445446
               49.099998                     -0.67167757
               49.360001                     -0.67106869
               49.619999                     -0.67987882
               49.880001                     -0.70276901
               50.139999                     -0.73723294
               50.400002                      -0.7740593
                   50.66                     -0.80266142
               50.919998                     -0.81776373
                   51.18                     -0.82265735
               51.439999                       -0.826503
               51.700001                     -0.83765471
               51.959999                     -0.85772735
               52.220001                     -0.88030549
                   52.48                      -0.8951521
               52.740002                     -0.89526802
                      53                     -0.88201349
               53.259998                     -0.86456174
                   53.52                     -0.85405895
               53.779999                      -0.8566352
               54.040001                     -0.86977081
               54.299999                     -0.88413592
               54.560001                     -0.88980074
                   54.82                     -0.88294134
               55.080002                     -0.86852109
                   55.34                     -0.85706916
               55.599998                     -0.85789132
               55.860001                     -0.87326508
               56.119999                     -0.89709768
               56.380001                      -0.9187687
               56.639999                     -0.92991252
               56.900002                     -0.92985591
                   57.16                     -0.92603353
               57.419998                     -0.92911891
                   57.68                     -0.94626831
               57.939999                     -0.97674452
               58.200001                      -1.0124045
               58.459999                       -1.042728
               58.720001                      -1.0614428
                   58.98                      -1.0705258
               59.240002                       -1.078875
                    59.5                      -1.0966236
               59.759998                      -1.1288916
                   60.02                      -1.1727435
               60.279999                      -1.2189683
               60.540001                        -1.25768
               60.799999                      -1.2844434
               61.060001                      -1.3030384
                   61.32                      -1.3230023
               61.580002                      -1.3536808
                   61.84                       -1.398613
               62.099998                      -1.4534628
               62.360001                      -1.5085675
               62.619999                      -1.5546898
               62.880001                      -1.5886342
               63.139999                      -1.6151657
               63.400002                      -1.6440029
                   63.66                      -1.6838996
               63.919998                      -1.7375089
                   64.18                      -1.7998681
               64.440002                      -1.8612476
               64.699997                      -1.9128439
               64.959999                      -1.9520595
               65.220001                      -1.9840745
               65.480003                      -2.0186984
               65.739998                      -2.0645918
                      66                      -2.1243489
               66.260002                      -2.1931044
               66.519997                       -2.261342
               66.779999                      -2.3204422
               67.040001                        -2.36789
               67.300003                       -2.408928
               67.559998                      -2.4535972
                   67.82                      -2.5110958
               68.080002                      -2.5848028
               68.339996                      -2.6706318
               68.599998                      -2.7595044
               68.860001                      -2.8427203
               69.120003                      -2.9173289
               69.379997                      -2.9882739
               69.639999                      -3.0659479
               69.900002                      -3.1607374
               70.160004                      -3.2777738
               70.419998                      -3.4146874
                   70.68                      -3.5634211
               70.940002                      -3.7152564
               71.199997                      -3.8664852
               71.459999                      -4.0214555
               71.720001                      -4.1910981
               71.980003                      -4.3878743
               72.239998                      -4.6200933
                    72.5                      -4.8885542
               72.760002                      -5.1870415
               73.019997                      -5.5064797
               73.279999                      -5.8408709
               73.540001                       -6.191879
               73.800003                      -6.5693334
               74.059998                      -6.9872132
                   74.32                      -7.4572811
               74.580002                      -7.9834078
               74.839996                      -8.5587959
               75.099998                      -9.1669869
               75.360001                      -9.7862211
               75.620003                      -10.395257
               75.879997                       -10.97751
               76.139999                      -11.520969
               76.400002                      -12.014295
               76.660004                      -12.442497
               76.919998                      -12.785813
                   77.18                      -13.022951
               77.440002                      -13.137035
               77.699997                      -13.121764
               77.959999                       -12.98607
               78.220001                      -12.755559
               78.480003                      -12.468864
               78.739998                      -12.168774
                      79                       -11.89138
               79.260002                      -11.657577
               79.519997                      -11.469884
               79.779999                      -11.315659
               80.040001                      -11.176264
               80.300003                      -11.039092
               80.559998                      -10.906287
                   80.82                       -10.79459
               81.080002                      -10.726386
               81.339996                      -10.717853
               81.599998                      -10.770661
               81.860001                      -10.870886
               82.120003                      -10.995968
               82.379997                      -11.127429
               82.639999                      -11.262793
               82.900002                      -11.418649
               83.160004                      -11.622271
               83.419998                      -11.897444
                   83.68                      -12.252715
               83.940002                      -12.677564
               84.199997                      -13.148769
               84.459999                      -13.646042
               84.720001                      -14.169985
               84.980003                      -14.750493
               85.239998                      -15.439151
                    85.5                      -16.291572
               85.760002                      -17.350952
               86.019997                      -18.640159
               86.279999                      -20.167562
               86.540001                       -21.95577
               86.800003                      -24.102966
               87.059998                      -26.866985
                   87.32                      -30.598126
               87.580002                      -33.246622
               87.839996                      -29.632219
               88.099998                      -25.418423
               88.360001                      -22.361199
               88.620003                      -20.120471
               88.879997                      -18.396063
               89.139999                      -16.985588
               89.400002                      -15.756981
               89.660004                      -14.639891
               89.919998                      -13.614956
                   90.18                       -12.69156
               90.440002                      -11.882728
               90.699997                      -11.188524
               90.959999                      -10.591468
               91.220001                      -10.061983
               91.480003                      -9.5700811
               91.739998                      -9.0975703
                      92                      -8.6438167
               92.260002                      -8.2214713
               92.519997                      -7.8455849
               92.779999                         -7.5232
               93.040001                      -7.2486446
               93.300003                      -7.0059618
               93.559998                      -6.7768337
                   93.82                      -6.5499059
               94.080002                      -6.3260261
               94.339996                      -6.1161291
               94.599998                      -5.9334249
               94.860001                      -5.7850252
               95.120003                      -5.6675843
               95.379997                      -5.5688347
               95.639999                      -5.4740553
               95.900002                      -5.3740833
               96.160004                      -5.2701096
               96.419998                      -5.1722075
                   96.68                      -5.0927079
               96.940002                      -5.0386872
               97.199997                      -5.0077728
               97.459999                      -4.9891882
               97.720001                      -4.9694464
               97.980003                      -4.9397308
               98.239998                      -4.9006681
                    98.5                      -4.8614693
               98.760002                      -4.8340683
