        Frequency / MHz                S1,1 (Mesh Pass=2)/arg,degrees
----------------------------------------------------------------------
                      40                      -6.6942305
               40.259998                      -9.5000621
                   40.52                      -12.114022
               40.779999                      -14.686973
               41.040001                       -17.42515
               41.299999                      -20.452848
               41.560001                      -23.733158
                   41.82                      -27.096128
               42.080002                       -30.34761
                   42.34                      -33.399339
               42.599998                       -36.34881
               42.860001                      -39.439606
               43.119999                      -42.898592
               43.380001                      -46.749762
               43.639999                      -50.711291
               43.900002                      -54.184405
                   44.16                      -56.299133
               44.419998                      -56.085777
                   44.68                      -53.034862
               44.939999                      -48.067756
               45.200001                      -43.547776
               45.459999                       -41.37573
               45.720001                      -41.788081
                   45.98                      -44.043272
               46.240002                      -47.282883
                    46.5                      -50.871121
               46.759998                      -54.448247
                   47.02                      -57.887035
               47.279999                      -61.206077
               47.540001                      -64.467799
               47.799999                      -67.702296
               48.060001                      -70.886988
                   48.32                      -73.976222
               48.580002                      -76.946466
                   48.84                      -79.820794
               49.099998                      -82.655049
               49.360001                      -85.497549
               49.619999                      -88.353749
               49.880001                      -91.182547
               50.139999                      -93.926719
               50.400002                      -96.555659
                   50.66                       -99.09194
               50.919998                      -101.60134
                   51.18                      -104.15203
               51.439999                      -106.77136
               51.700001                      -109.43167
               51.959999                      -112.07366
               52.220001                      -114.65127
                   52.48                      -117.16769
               52.740002                      -119.67901
                      53                       -122.2605
               53.259998                      -124.95846
                   53.52                      -127.76175
               53.779999                      -130.61111
               54.040001                      -133.43891
               54.299999                      -136.21326
               54.560001                      -138.95977
                   54.82                      -141.74578
               55.080002                      -144.63611
                   55.34                      -147.65112
               55.599998                      -150.75458
               55.860001                      -153.87794
               56.119999                      -156.96381
               56.380001                      -160.00299
               56.639999                      -163.04123
               56.900002                      -166.15057
                   57.16                      -169.38336
               57.419998                       -172.7398
                   57.68                      -176.16955
               57.939999                      -179.60443
               58.200001                       176.99878
               58.459999                       173.63016
               58.720001                       170.23184
                   58.98                       166.73383
               59.240002                       163.09753
                    59.5                       159.33856
               59.759998                       155.51532
                   60.02                       151.69211
               60.279999                        147.8995
               60.540001                       144.11455
               60.799999                       140.27392
               61.060001                       136.31284
                   61.32                        132.2047
               61.580002                       127.97607
                   61.84                       123.68939
               62.099998                         119.405
               62.360001                       115.14515
               62.619999                        110.8798
               62.880001                       106.54455
               63.139999                       102.07998
               63.400002                       97.467828
                   63.66                       92.741091
               63.919998                       87.964221
                   64.18                       83.195738
               64.440002                       78.454384
               64.699997                       73.708112
               64.959999                        68.89343
               65.220001                       63.954164
               65.480003                       58.875508
               65.739998                       53.692735
                      66                       48.471028
               66.260002                       43.268828
               66.519997                       38.105209
               66.779999                       32.948794
               67.040001                       27.736324
               67.300003                       22.410387
               67.559998                       16.953503
                   67.82                       11.397909
               68.080002                       5.8070442
               68.339996                      0.23994817
               68.599998                      -5.2822324
               68.860001                      -10.789496
               69.120003                      -16.347576
               69.379997                      -22.021222
               69.639999                      -27.838603
               69.900002                      -33.777783
               70.160004                      -39.781517
               70.419998                      -45.791456
                   70.68                      -51.782979
