        Time / ns                i1 (Mesh Pass=2)/real
----------------------------------------------------------------------
                       0                  -4.7990625e-09
             0.068522297                   1.5053233e-06
              0.13704459                   1.7085348e-06
               0.2055669                    1.927272e-06
              0.27408919                   2.1603389e-06
              0.34261149                   2.4058272e-06
               0.4111338                   2.6609698e-06
               0.4796561                   2.9219711e-06
              0.54817837                   3.1838213e-06
              0.61670071                   3.4400878e-06
              0.68522298                   3.6826898e-06
              0.75374526                   3.9016491e-06
              0.82226759                   4.0848254e-06
              0.89078987                   4.2176298e-06
               0.9593122                   4.2827264e-06
               1.0278345                   4.2597189e-06
               1.0963567                   4.1248263e-06
               1.1648791                   3.8505614e-06
               1.2334014                   3.4054037e-06
               1.3019236                   2.7534873e-06
                1.370446                   1.8543085e-06
               1.4389683                   6.6246076e-07
               1.5074905                   -8.725853e-07
               1.5760128                  -2.8066447e-06
               1.6445352                  -5.2009059e-06
               1.7130575                  -8.1219268e-06
               1.7815797                  -1.1641518e-05
               1.8501021                   -1.583648e-05
               1.9186244                  -2.0788199e-05
               1.9871466                  -2.6582025e-05
               2.0556691                   -3.330646e-05
               2.1241913                  -4.1052077e-05
               2.1927135                  -4.9910166e-05
                2.261236                  -5.9971073e-05
               2.3297582                  -7.1322182e-05
               2.3982804                  -8.4045518e-05
               2.4668028                  -9.8214943e-05
               2.5353251                  -0.00011389291
               2.6038473                  -0.00013112674
               2.6723697                  -0.00014994439
               2.7408919                  -0.00017034978
               2.8094141                  -0.00019231744
               2.8779366                   -0.0002157868
               2.9464588                  -0.00024065582
                3.014981                  -0.00026677418
               3.0835035                  -0.00029393588
               3.1520257                  -0.00032187154
               3.2205479                  -0.00035024018
               3.2890704                  -0.00037862072
               3.3575926                  -0.00040650327
                3.426115                  -0.00043328025
               3.4946373                  -0.00045823766
               3.5631595                  -0.00048054635
               3.6316819                  -0.00049925398
               3.7002041                  -0.00051327696
               3.7687263                  -0.00052139419
               3.8372488                  -0.00052224076
                3.905771                  -0.00051430386
               3.9742932                  -0.00049592019
               4.0428157                  -0.00046527517
               4.1113381                  -0.00042040477
               4.1798601                  -0.00035920006
               4.2483826                   -0.0002794149
                4.316905                  -0.00017867739
                4.385427                  -5.4504835e-05
               4.4539495                   9.5676442e-05
               4.5224719                   0.00027450678
               4.5909939                   0.00048466373
               4.6595163                   0.00072882709
               4.7280388                    0.0010096382
               4.7965608                    0.0013296533
               4.8650832                    0.0016912909
               4.9336057                    0.0020967722
               5.0021276                    0.0025480557
               5.0706501                    0.0030467669
               5.1391726                    0.0035941182
               5.2076945                    0.0041908287
                5.276217                    0.0048370324
               5.3447394                    0.0055321883
               5.4132614                    0.0062749819
               5.4817839                    0.0070632258
               5.5503063                    0.0078937588
               5.6188283                    0.0087623419
               5.6873507                    0.0096635632
               5.7558732                     0.010590734
               5.8243952                     0.011535798
               5.8929176                     0.012489247
               5.9614401                      0.01344004
               6.0299621                     0.014375537
               6.0984845                      0.01528145
                6.167007                     0.016141802
               6.2355289                      0.01693891
               6.3040514                     0.017653394
               6.3725739                     0.018264199
               6.4410958                     0.018748645
               6.5096183                     0.019082524
               6.5781407                     0.019240206
               6.6466627                     0.019194787
               6.7151852                     0.018918276
               6.7837076                     0.018381815
               6.8522301                     0.017555939
                6.920752                      0.01641087
               6.9892745                     0.014916859
                7.057797                     0.013044556
               7.1263189                     0.010765426
               7.1948414                    0.0080521964
               7.2633638                    0.0048793382
               7.3318858                     0.001223579
               7.4004083                   -0.0029355593
               7.4689307                   -0.0076151998
               7.5374527                    -0.012828535
               7.6059752                    -0.018584242
               7.6744976                    -0.024885889
               7.7430196                    -0.031731356
                7.811542                     -0.03911227
               7.8800645                    -0.047013443
               7.9485865                    -0.055412367
               8.0171089                    -0.064278744
               8.0856314                    -0.073574051
               8.1541538                    -0.083251208
               8.2226763                    -0.093254261
               8.2911978                     -0.10351823
               8.3597202                     -0.11396894
               8.4282427                     -0.12452309
               8.4967651                     -0.13508831
               8.5652876                     -0.14556342
                 8.63381                     -0.15583883
               8.7023315                     -0.16579692
                8.770854                      -0.1753128
               8.8393764                     -0.18425505
               8.9078989                     -0.19248658
               8.9764214                     -0.19986579
               9.0449438                     -0.20624766
               9.1134653                     -0.21148516
               9.1819878                     -0.21543074
               9.2505102                     -0.21793775
               9.3190327                     -0.21886231
               9.3875551                     -0.21806495
               9.4560776                     -0.21541253
               9.5245991                     -0.21078007
               9.5931215                     -0.20405275
                9.661644                     -0.19512782
               9.7301664                     -0.18391654
               9.7986889                     -0.17034611
               9.8672113                     -0.15436144
               9.9357328                     -0.13592695
               10.004255                     -0.11502817
               10.072778                     -0.09167321
                 10.1413                    -0.065894097
               10.209823                    -0.037747819
               10.278345                   -0.0073172753
               10.346867                     0.025288152
               10.415389                     0.059932206
               10.483912                     0.096451715
               10.552434                      0.13465679
               10.620956                      0.17433141
               10.689479                      0.21523432
               10.758001                      0.25710016
               10.826523                      0.29964113
               10.895045                      0.34254873
               10.963568                      0.38549611
                11.03209                      0.42814043
               11.100613                      0.47012571
               11.169135                      0.51108593
               11.237657                      0.55064833
               11.306179                      0.58843672
               11.374701                      0.62407553
               11.443224                       0.6571933
               11.511746                      0.68742687
               11.580269                      0.71442509
                11.64879                      0.73785299
               11.717313                      0.75739568
               11.785835                      0.77276206
               11.854358                       0.7836886
                11.92288                      0.78994292
               11.991403                      0.79132688
               12.059924                      0.78767973
               12.128447                      0.77888054
               12.196969                      0.76485062
               12.265491                      0.74555528
               12.334014                       0.7210055
               12.402536                      0.69125843
               12.471058                      0.65641826
                12.53958                      0.61663592
               12.608103                      0.57210863
               12.676625                      0.52307892
               12.745148                      0.46983266
                12.81367                      0.41269749
               12.882192                      0.35203978
               12.950714                      0.28826192
               13.019237                      0.22179855
               13.087759                      0.15311293
               13.156281                     0.082692578
               13.224804                     0.011044784
               13.293325                    -0.061308201
               13.361848                     -0.13383414
                13.43037                     -0.20599596
               13.498893                     -0.27725694
               13.567415                     -0.34708598
               13.635938                      -0.4149628
                13.70446                     -0.48038298
               13.772982                     -0.54286295
               13.841504                     -0.60194463
               13.910027                     -0.65719998
               13.978549                     -0.70823503
               14.047071                     -0.75469339
               14.115594                        -0.79626
               14.184115                     -0.83266348
               14.252638                     -0.86367893
                14.32116                     -0.88912934
               14.389683                     -0.90888721
               14.458205                     -0.92287505
               14.526728                     -0.93106592
               14.595249                     -0.93348277
               14.663772                     -0.93019766
               14.732294                     -0.92133045
               14.800817                     -0.90704685
               14.869339                     -0.88755614
               14.937861                     -0.86310822
               15.006383                     -0.83399069
               15.074905                     -0.80052513
               15.143428                     -0.76306331
                15.21195                     -0.72198331
               15.280473                     -0.67768496
               15.348995                     -0.63058567
               15.417517                     -0.58111596
               15.486039                     -0.52971476
               15.554562                     -0.47682506
               15.623084                      -0.4228895
               15.691607                     -0.36834601
               15.760129                     -0.31362373
                15.82865                     -0.25913918
               15.897173                     -0.20529249
               15.965695                     -0.15246414
               16.034218                     -0.10101192
               16.102739                    -0.051268231
               16.171263                   -0.0035377759
               16.239784                     0.041904353
               16.308308                     0.084814228
               16.376829                      0.12498023
               16.445353                      0.16222379
               16.513874                      0.19639976
               16.582396                       0.2273964
               16.650919                      0.25513497
                16.71944                      0.27956912
               16.787964                      0.30068365
               16.856485                       0.3184934
               16.925007                      0.33304155
                16.99353                      0.34439781
               17.062052                      0.35265636
               17.130575                      0.35793373
               17.199097                      0.36036643
                17.26762                      0.36010849
               17.336142                       0.3573291
               17.404663                       0.3522099
               17.473186                      0.34494266
               17.541708                      0.33572665
               17.610231                      0.32476622
               17.678753                      0.31226858
               17.747274                      0.29844135
               17.815798                      0.28349066
               17.884319                      0.26761898
               17.952843                      0.25102356
               18.021364                      0.23389447
               18.089888                      0.21641347
               18.158409                      0.19875255
               18.226931                      0.18107292
               18.295454                      0.16352409
               18.363976                      0.14624321
               18.432499                       0.1293546
                18.50102                      0.11296928
               18.569542                     0.097184986
               18.638065                     0.082086056
               18.706587                     0.067743622
                18.77511                     0.054215893
               18.843632                     0.041548554
               18.912155                     0.029775318
               18.980677                     0.018918503
               19.049198                    0.0089897597
               19.117722                  -9.1852007e-06
               19.186243                   -0.0080857091
               19.254766                    -0.015255447
