        Frequency / MHz                S1,1 (11)/arg,degrees
----------------------------------------------------------------------
                      40                      -4.8567648
               40.259998                      -7.4760954
                   40.52                      -10.097167
               40.779999                      -12.719977
               41.040001                      -15.344579
               41.299999                      -17.971106
               41.560001                      -20.599749
                   41.82                      -23.230739
               42.080002                      -25.864276
                   42.34                       -28.50054
               42.599998                      -31.139697
               42.860001                       -33.78194
               43.119999                       -36.42753
               43.380001                      -39.076826
               43.639999                      -41.730246
               43.900002                       -44.38823
                   44.16                      -47.051208
               44.419998                       -49.71956
                   44.68                      -52.393678
               44.939999                      -55.073995
               45.200001                      -57.761045
               45.459999                      -60.455453
               45.720001                      -63.157902
                   45.98                      -65.869099
               46.240002                      -68.589723
                    46.5                      -71.320372
               46.759998                      -74.061675
                   47.02                      -76.814329
               47.279999                      -79.579101
               47.540001                      -82.356809
               47.799999                      -85.148314
               48.060001                      -87.954436
                   48.32                      -90.775851
               48.580002                      -93.613036
                   48.84                       -96.46643
               49.099998                      -99.336366
               49.360001                      -102.22302
               49.619999                      -105.12647
               49.880001                      -108.04648
               50.139999                      -110.98227
               50.400002                      -113.93253
                   50.66                      -116.89523
               50.919998                       -119.8677
                   51.18                      -122.84659
               51.439999                      -125.82785
               51.700001                      -128.80667
               51.959999                      -131.77759
               52.220001                      -134.73435
                   52.48                      -137.67014
               52.740002                      -140.57792
                      53                      -143.45114
               53.259998                      -146.28426
                   53.52                      -149.07321
               53.779999                      -151.81608
               54.040001                      -154.51291
               54.299999                      -157.16596
               54.560001                      -159.77948
                   54.82                      -162.35943
               55.080002                      -164.91361
                   55.34                      -167.45102
               55.599998                      -169.98172
               55.860001                      -172.51618
               56.119999                      -175.06421
               56.380001                      -177.63446
               56.639999                       179.76599
               56.900002                       177.13166
                   57.16                       174.45816
               57.419998                       171.74145
                   57.68                       168.97742
               57.939999                       166.16165
               58.200001                        163.2897
               58.459999                       160.35767
               58.720001                       157.36297
                   58.98                       154.30432
               59.240002                       151.18186
                    59.5                       147.99646
               59.759998                       144.74917
                   60.02                       141.44067
               60.279999                       138.07117
               60.540001                       134.64052
               60.799999                       131.14864
               61.060001                       127.59585
                   61.32                       123.98298
               61.580002                       120.31131
                   61.84                        116.5823
               62.099998                       112.79715
               62.360001                       108.95692
               62.619999                       105.06242
               62.880001                       101.11438
               63.139999                       97.113805
               63.400002                       93.061836
                   63.66                        88.95998
               63.919998                        84.80982
                   64.18                       80.612751
               64.440002                       76.370083
               64.699997                       72.082938
               64.959999                       67.752463
               65.220001                       63.379858
               65.480003                       58.966573
               65.739998                       54.514244
                      66                       50.024513
               66.260002                       45.498967
               66.519997                       40.939027
               66.779999                       36.345938
               67.040001                       31.720972
               67.300003                       27.065432
               67.559998                       22.380717
                   67.82                       17.668323
               68.080002                       12.929729
               68.339996                       8.1661635
               68.599998                        3.378748
               68.860001                       -1.431727
               69.120003                      -6.2645231
               69.379997                      -11.119012
               69.639999                      -15.994429
               69.900002                      -20.889981
               70.160004                      -25.804985
               70.419998                      -30.738922
                   70.68                      -35.691493
               70.940002                      -40.662669
               71.199997                      -45.652612
               71.459999                      -50.661682
               71.720001                      -55.690176
               71.980003                      -60.738532
               72.239998                      -65.807188
                    72.5                      -70.896964
               72.760002                      -76.008978
               73.019997                      -81.144706
               73.279999                      -86.306144
               73.540001                      -91.495558
               73.800003                      -96.715489
               74.059998                      -101.96891
                   74.32                      -107.25925
               74.580002                      -112.59073
               74.839996                      -117.96861
               75.099998                      -123.39943
               75.360001                      -128.89133
               75.620003                      -134.45428
               75.879997                      -140.10044
               76.139999                      -145.84518
               76.400002                       -151.7075
               76.660004                      -157.71255
               76.919998                      -163.89321
                   77.18                      -170.29392
               77.440002                      -176.97565
               77.699997                       175.97669
               77.959999                       168.44222
               78.220001                       160.24469
               78.480003                       151.12169
               78.739998                       140.67772
                      79                        128.3259
               79.260002                       113.27162
               79.519997                        94.75279
               79.779999                       72.934434
               80.040001                       49.986528
               80.300003                       29.020634
               80.559998                       11.572396
                   80.82                      -2.6099174
               81.080002                       -14.35511
