        Frequency / MHz                S1,1 (Mesh Pass=5)/abs,dB
----------------------------------------------------------------------
                      40                      -3.4251412
               40.259998                      -3.4225091
                   40.52                      -3.4198802
               40.779999                      -3.4175779
               41.040001                      -3.4158973
               41.299999                      -3.4149473
               41.560001                      -3.4146126
                   41.82                      -3.4146674
               42.080002                      -3.4149617
                   42.34                      -3.4155731
               42.599998                      -3.4168239
               42.860001                      -3.4191455
               43.119999                      -3.4228713
               43.380001                      -3.4281045
               43.639999                      -3.4347299
               43.900002                      -3.4425876
                   44.16                      -3.4516926
               44.419998                      -3.4623685
                   44.68                      -3.4752069
               44.939999                      -3.4908742
               45.200001                       -3.509887
               45.459999                       -3.532512
               45.720001                      -3.5588551
                   45.98                      -3.5891171
               46.240002                      -3.6238569
                    46.5                       -3.664109
               46.759998                      -3.7112911
                   47.02                      -3.7669608
               47.279999                      -3.8326024
               47.540001                      -3.9096111
               47.799999                      -3.9995551
               48.060001                      -4.1046044
                   48.32                      -4.2279564
               48.580002                      -4.3740645
                   48.84                      -4.5486332
               49.099998                      -4.7585126
               49.360001                      -5.0117915
               49.619999                      -5.3183133
               49.880001                      -5.6907597
               50.139999                      -6.1462034
               50.400002                      -6.7079775
                   50.66                       -7.407769
               50.919998                      -8.2882099
                   51.18                      -9.4067227
               51.439999                      -10.841651
               51.700001                      -12.699797
               51.959999                      -15.105585
               52.220001                       -18.01022
                   52.48                      -20.077315
               52.740002                      -18.783615
                      53                      -15.953872
               53.259998                      -13.484769
                   53.52                      -11.573661
               53.779999                      -10.101982
               54.040001                      -8.9542516
               54.299999                      -8.0458421
               54.560001                      -7.3163735
                   54.82                      -6.7225916
               55.080002                      -6.2334169
                   55.34                      -5.8264359
               55.599998                      -5.4852343
               55.860001                      -5.1973683
               56.119999                      -4.9529742
               56.380001                      -4.7439719
               56.639999                      -4.5637313
               56.900002                      -4.4069625
                   57.16                       -4.269624
               57.419998                      -4.1487008
                   57.68                      -4.0418821
               57.939999                      -3.9472359
               58.200001                      -3.8629962
               58.459999                      -3.7875284
               58.720001                      -3.7194091
                   58.98                      -3.6575422
               59.240002                      -3.6011788
                    59.5                      -3.5498259
               59.759998                      -3.5030821
                   60.02                       -3.460485
               60.279999                       -3.421454
               60.540001                      -3.3853503
               60.799999                      -3.3516057
               61.060001                      -3.3198287
                   61.32                      -3.2898336
               61.580002                      -3.2615621
                   61.84                      -3.2349636
               62.099998                      -3.2098848
               62.360001                      -3.1860493
               62.619999                      -3.1631152
               62.880001                      -3.1407818
               63.139999                       -3.118864
               63.400002                      -3.0973152
                   63.66                      -3.0761585
               63.919998                      -3.0553966
                   64.18                      -3.0349428
               64.440002                       -3.014612
               64.699997                      -2.9941751
               64.959999                      -2.9734429
               65.220001                      -2.9523224
               65.480003                      -2.9308193
               65.739998                      -2.9089878
                      66                      -2.8868558
               66.260002                      -2.8643821
               66.519997                      -2.8414536
               66.779999                      -2.8179354
               67.040001                      -2.7937341
               67.300003                      -2.7688397
               67.559998                      -2.7433268
                   67.82                      -2.7173007
               68.080002                      -2.6908537
               68.339996                      -2.6640178
               68.599998                      -2.6367748
               68.860001                      -2.6091014
               69.120003                      -2.5810066
               69.379997                      -2.5525783
               69.639999                      -2.5239653
               69.900002                      -2.4953496
               70.160004                      -2.4668955
               70.419998                      -2.4387264
                   70.68                       -2.410926
               70.940002                       -2.383574
               71.199997                      -2.3567824
               71.459999                      -2.3307238
               71.720001                      -2.3056164
               71.980003                       -2.281704
               72.239998                       -2.259211
                    72.5                      -2.2383231
               72.760002                       -2.219197
               73.019997                      -2.2019867
               73.279999                      -2.1868755
               73.540001                      -2.1740981
               73.800003                       -2.163932
               74.059998                      -2.1566769
                   74.32                       -2.152621
               74.580002                      -2.1520273
               74.839996                      -2.1551421
               75.099998                      -2.1622187
               75.360001                        -2.17355
               75.620003                      -2.1894847
               75.879997                      -2.2104268
               76.139999                      -2.2368101
               76.400002                       -2.269083
               76.660004                      -2.3076903
               76.919998                      -2.3530856
                   77.18                      -2.4057524
               77.440002                      -2.4662326
               77.699997                      -2.5351422
               77.959999                       -2.613172
               78.220001                      -2.7010656
               78.480003                      -2.7995972
               78.739998                      -2.9095563
                      79                      -3.0317454
               79.260002                      -3.1669946
               79.519997                      -3.3161721
               79.779999                       -3.480182
               80.040001                      -3.6599464
               80.300003                       -3.856352
               80.559998                      -4.0701974
                   80.82                      -4.3021346
               81.080002                      -4.5526038
               81.339996                      -4.8217987
               81.599998                      -5.1095984
               81.860001                      -5.4155038
               82.120003                      -5.7385354
               82.379997                       -6.077112
               82.639999                      -6.4289208
               82.900002                      -6.7908023
               83.160004                      -7.1586744
               83.419998                      -7.5275368
                   83.68                      -7.8915445
               83.940002                      -8.2441848
               84.199997                      -8.5785372
               84.459999                      -8.8876434
               84.720001                      -9.1649482
               84.980003                       -9.404812
               85.239998                      -9.6030147
                    85.5                      -9.7571569
               85.760002                      -9.8668525
               86.019997                      -9.9336579
               86.279999                      -9.9607425
               86.540001                      -9.9523923
               86.800003                      -9.9134788
               87.059998                      -9.8490056
                   87.32                      -9.7637747
               87.580002                      -9.6621861
               87.839996                      -9.5481294
               88.099998                      -9.4249418
               88.360001                      -9.2953855
               88.620003                      -9.1616751
               88.879997                      -9.0255237
               89.139999                      -8.8882222
               89.400002                      -8.7507422
               89.660004                      -8.6138206
               89.919998                      -8.4780378
                   90.18                      -8.3438614
               90.440002                        -8.21166
               90.699997                      -8.0817114
               90.959999                      -7.9542103
               91.220001                      -7.8292886
               91.480003                      -7.7070458
               91.739998                      -7.5875809
                      92                      -7.4710106
               92.260002                      -7.3574668
               92.519997                      -7.2470798
               92.779999                      -7.1399653
               93.040001                      -7.0362095
               93.300003                      -6.9358759
               93.559998                      -6.8390206
                   93.82                      -6.7457154
               94.080002                      -6.6560531
               94.339996                      -6.5701453
               94.599998                      -6.4881037
               94.860001                      -6.4100206
               95.120003                      -6.3359575
               95.379997                      -6.2659517
               95.639999                       -6.200025
               95.900002                      -6.1382091
               96.160004                      -6.0805487
               96.419998                      -6.0271039
                   96.68                      -5.9779297
               96.940002                      -5.9330631
               97.199997                      -5.8925137
               97.459999                      -5.8562677
               97.720001                      -5.8243037
               97.980003                      -5.7966096
               98.239998                      -5.7731902
                    98.5                      -5.7540629
               98.760002                      -5.7392469
               99.019997                      -5.7287461
               99.279999                      -5.7225466
               99.540001                      -5.7206181
               99.800003                      -5.7229326
                  100.06                      -5.7294788
                  100.32                      -5.7402645
                  100.58                      -5.7553179
                  100.84                      -5.7746712
                   101.1                      -5.7983506
                  101.36                      -5.8263712
                  101.62                      -5.8587418
                  101.88                      -5.8954833
                  102.14                      -5.9366362
                   102.4                      -5.9822689
                  102.66                      -6.0324688
                  102.92                      -6.0873308
                  103.18                      -6.1469438
                  103.44                      -6.2113912
                   103.7                      -6.2807511
                  103.96                      -6.3551142
                  104.22                      -6.4345932
                  104.48                      -6.5193237
                  104.74                      -6.6094616
                     105                      -6.7051639
                  105.26                      -6.8065837
                  105.52                      -6.9138634
                  105.78                      -7.0271433
                  106.04                      -7.1465772
                   106.3                      -7.2723387
                  106.56                      -7.4046268
                  106.82                      -7.5436613
                  107.08                       -7.689672
                  107.34                      -7.8428832
                   107.6                      -8.0035208
                  107.86                      -8.1718153
                  108.12                      -8.3480245
                  108.38                      -8.5324398
                  108.64                      -8.7254017
                   108.9                      -8.9272937
                  109.16                      -9.1385338
                  109.42                      -9.3595728
                  109.68                      -9.5908923
                  109.94                      -9.8330201
                   110.2                      -10.086551
                  110.46                      -10.352163
                  110.72                      -10.630644
                  110.98                      -10.922878
                  111.24                      -11.229848
                   111.5                      -11.552621
                  111.76                      -11.892339
                  112.02                      -12.250219
                  112.28                      -12.627558
                  112.54                      -13.025724
                   112.8                      -13.446121
                  113.06                      -13.890112
                  113.32                      -14.358872
                  113.58                      -14.853161
                  113.84                      -15.372976
                   114.1                      -15.917052
                  114.36                      -16.482111
                  114.62                      -17.061777
                  114.88                      -17.645063
                  115.14                      -18.214453
                   115.4                      -18.743987
