        Frequency / MHz                Port 1 [1] (Mesh Pass=3)/abs,linear
----------------------------------------------------------------------
                      40                       1298.0088
                   40.26                       1216.3556
                   40.52                       1136.3246
                   40.78                       1060.1882
                   41.04                       989.10915
                    41.3                       923.51333
                   41.56                       863.38119
                   41.82                       808.44586
                   42.08                       758.31783
                   42.34                       712.55982
                    42.6                       670.73088
                   42.86                       632.41173
                   43.12                       597.21822
                   43.38                       564.80657
                   43.64                       534.87289
                    43.9                       507.14943
                   44.16                       481.39973
                   44.42                       457.41434
                   44.68                       435.00783
                   44.94                       414.01685
                    45.2                       394.29843
                   45.46                       375.72788
                   45.72                        358.1961
                   45.98                       341.60668
                   46.24                       325.87342
                    46.5                       310.91874
                   46.76                       296.67308
                   47.02                       283.07475
                   47.28                       270.06972
                   47.54                       257.61096
                    47.8                       245.65723
                   48.06                       234.17195
                   48.32                       223.12245
                   48.58                       212.48005
                   48.84                       202.22086
                    49.1                       192.32675
                   49.36                       182.78629
                   49.62                       173.59543
                   49.88                       164.75816
                   50.14                       156.28785
                    50.4                       148.20988
                   50.66                       140.56562
                   50.92                       133.41762
                   51.18                       126.85514
                   51.44                       120.99881
                    51.7                       116.00308
                   51.96                       112.05411
                   52.22                        109.3605
                   52.48                       108.13346
                   52.74                       108.55511
                      53                       110.73817
                   53.26                        114.6854
                   53.52                       120.25876
                   53.78                       127.16352
                   54.04                        134.9476
                    54.3                       143.01631
                   54.56                       150.66941
                   54.82                       157.17032
                   55.08                       161.84931
                   55.34                        164.2204
                    55.6                       164.07114
                   55.86                       161.48545
                   56.12                       156.79081
                   56.38                       150.45782
                   56.64                       142.99666
                    56.9                       134.88257
                   57.16                        126.5199
                   57.42                       118.23706
                   57.68                       110.29927
                   57.94                       102.92744
                    58.2                       96.315576
                   58.46                        90.64268
                   58.72                       86.076612
                   58.98                       82.768992
                   59.24                       80.841919
                    59.5                       80.370818
                   59.76                       81.371239
                   60.02                       83.797331
                   60.28                       87.554273
                   60.54                       92.519701
                    60.8                       98.565982
                   61.06                       105.57719
                   61.32                       113.45883
                   61.58                        122.1415
                   61.84                       131.58056
                    62.1                       141.75411
                   62.36                       152.66068
                   62.62                       164.31748
                   62.88                       176.75946
                   63.14                       190.03936
                    63.4                       204.22833
                   63.66                       219.41726
                   63.92                       235.71872
                   64.18                       253.27001
                   64.44                       272.23738
                    64.7                       292.82211
                   64.96                       315.26882
                   65.22                       339.87635
                   65.48                       367.01207
                   65.74                        397.1306
                      66                       430.79857
                   66.26                       468.72787
                   66.52                       511.82048
                   66.78                       561.22869
                   67.04                       618.43423
                    67.3                       685.34702
                   67.56                       764.41315
                   67.82                       858.68835
                   68.08                       971.73843
                   68.34                       1106.9832
                    68.6                       1265.5458
                   68.86                       1440.8368
                   69.12                       1608.8099
                   69.38                       1721.7925
                   69.64                       1730.0491
                    69.9                       1628.9789
                   70.16                       1464.4429
                   70.42                       1286.9309
                   70.68                       1124.0704
                   70.94                       984.36515
                    71.2                       867.35767
                   71.46                       769.73845
                   71.72                       687.86606
                   71.98                        618.5697
                   72.24                       559.29668
                    72.5                       508.05057
                   72.76                       463.28293
                   73.02                       423.79125
                   73.28                       388.63645
                   73.54                       357.07969
                    73.8                       328.53533
                   74.06                       302.53606
                   74.32                       278.70723
                   74.58                        256.7479
                   74.84                       236.41702
                    75.1                       217.52351
                   75.36                       199.91969
                   75.62                       183.49752
                   75.88                       168.18749
                   76.14                       153.96009
                    76.4                       140.82991
                   76.66                       128.86197
                   76.92                       118.17944
                   77.18                        108.9695
                   77.44                       101.48096
                    77.7                       96.002895
                   77.96                       92.814512
                   78.22                       92.109964
                   78.48                       93.928291
                   78.74                       98.130529
                      79                       104.43819
                   79.26                       112.50364
                   79.52                       121.97146
                   79.78                       132.51152
                   80.04                       143.82735
                    80.3                        155.6509
                   80.56                       167.73329
                   80.82                       179.83691
                   81.08                       191.73162
                   81.34                       203.19601
                    81.6                       214.02362
                   81.86                       224.03306
                   82.12                       233.08006
                   82.38                       241.06905
                   82.64                       247.96163
                    82.9                       253.78014
                   83.16                        258.6054
                   83.42                       262.56922
                   83.68                       265.84299
                   83.94                       268.62433
                    84.2                       271.12367
                   84.46                       273.55238
                   84.72                       276.11325
                   84.98                        278.9937
                   85.24                       282.36164
                    85.5                        286.3634
                   85.76                       291.12314
                   86.02                        296.7432
                   86.28                       303.30485
                   86.54                       310.86907
                    86.8                       319.47694
                   87.06                       329.14949
                   87.32                       339.88647
                   87.58                        351.6637
                   87.84                        364.4287
                    88.1                       378.09421
                   88.36                       392.52983
                   88.62                       407.55217
                   88.88                       422.91441
                   89.14                       438.29726
                    89.4                       453.30384
                   89.66                       467.46216
                   89.92                       480.23935
                   90.18                       491.07086
                   90.44                       499.40549
                    90.7                       504.76236
                   90.96                        506.7901
                   91.22                         505.315
                   91.48                       500.36502
                   91.74                       492.16288
                      92                       481.09016
                   92.26                       467.63284
                   92.52                       452.32196
                   92.78                       435.68132
                   93.04                       418.18917
                    93.3                       400.25589
                   93.56                        382.2153
                   93.82                       364.32615
                   94.08                       346.77979
                   94.34                       329.71077
                    94.6                       313.20808
                   94.86                        297.3257
                   95.12                       282.09171
                   95.38                       267.51579
                   95.64                       253.59511
                    95.9                       240.31906
                   96.16                       227.67286
                   96.42                       215.64045
                   96.68                       204.20679
                   96.94                       193.35973
                    97.2                       183.09152
                   97.46                       173.40012
                   97.72                       164.29039
                   97.98                       155.77517
                   98.24                       147.87631
                    98.5                       140.62547
                   98.76                       134.06469
                   99.02                        128.2462
                   99.28                       123.23134
                   99.54                       119.08815
                    99.8                       115.88737
                  100.06                       113.69702
                  100.32                       112.57605
                  100.58                       112.56815
                  100.84                       113.69722
                   101.1                       115.96548
                  101.36                       119.35503
                  101.62                       123.83207
                  101.88                        129.3529
                  102.14                       135.87018
                   102.4                       143.33831
                  102.66                       151.71749
                  102.92                       160.97612
                  103.18                       171.09206
                  103.44                       182.05267
                   103.7                       193.85432
                  103.96                       206.50118
                  104.22                       220.00374
                  104.48                       234.37672
                  104.74                       249.63646
                     105                       265.79751
                  105.26                       282.86826
                  105.52                       300.84527
                  105.78                       319.70604
                  106.04                           339.4
                   106.3                       359.83749
                  106.56                       380.87683
                  106.82                        402.3102
                  107.08                       423.84981
                  107.34                       445.11717
                   107.6                       465.63955
                  107.86                       484.85859
                  108.12                       502.15595
                  108.38                       516.89842
                  108.64                       528.49988
                   108.9                       536.49135
                  109.16                       540.58425
                  109.42                       540.71102
                  109.68                       537.03176
                  109.94                       529.90558
                   110.2                       519.83548
                  110.46                       507.40185
                  110.72                       493.19964
                  110.98                       477.78942
                  111.24                       461.66645
                   111.5                       445.24628
                  111.76                       428.86321
                  112.02                       412.77672
                  112.28                       397.18206
                  112.54                       382.22223
                   112.8                       367.99956
                  113.06                       354.58597
                  113.32                       342.03178
                  113.58                        330.3727
                  113.84                       319.63534
                   114.1                       309.84129
                  114.36                       301.00994
                  114.62                       293.16041
                  114.88                       286.31247
                  115.14                       280.48689
                   115.4                       275.70499
                  115.66                       271.98766
                  115.92                        269.3536
                  116.18                       267.81708
                  116.44                       267.38506
                   116.7                       268.05386
                  116.96                       269.80539
                  117.22                       272.60311
                  117.48                       276.38761
                  117.74                       281.07201
                     118                       286.53731
                  118.26                        292.6281
                  118.52                        299.1492
                  118.78                       305.86441
                  119.04                       312.49848
                   119.3                         318.744
                  119.56                       324.27416
                  119.82                       328.76186
                  120.08                       331.90393
                  120.34                       333.44763
                   120.6                       333.21476
                  120.86                       331.11865
                  121.12                       327.17003
                  121.38                       321.47058
                  121.64                       314.19591
                   121.9                         305.572
                  122.16                       295.85011
                  122.42                       285.28422
                  122.68                       274.11389
                  122.94                        262.5531
                   123.2                       250.78482
                  123.46                       238.95988
                  123.72                         227.199
                  123.98                       215.59652
                  124.24                       204.22495
                   124.5                       193.13982
                  124.76                       182.38427
                  125.02                       171.99335
                  125.28                       161.99797
                  125.54                       152.42852
                   125.8                       143.31828
                  126.06                       134.70674
                  126.32                       126.64276
                  126.58                       119.18764
                  126.84                       112.41767
                   127.1                       106.42554
                  127.36                       101.31977
                  127.62                       97.220681
                  127.88                       94.251912
                  128.14                       92.527391
                   128.4                        92.13577
                  128.66                       93.126707
                  128.92                       95.504049
                  129.18                       99.228697
                  129.44                       104.22987
                   129.7                       110.42027
                  129.96                       117.71041
                  130.22                       126.01923
                  130.48                       135.28037
                  130.74                       145.44492
                     131                       156.48176
                  131.26                       168.37661
                  131.52                       181.13064
                  131.78                       194.75878
                  132.04                       209.28817
                   132.3                       224.75666
                  132.56                       241.21126
                  132.82                       258.70644
                  133.08                       277.30205
                  133.34                       297.06047
                   133.6                       318.04287
                  133.86                       340.30383
                  134.12                       363.88396
                  134.38                       388.79959
                  134.64                       415.02897
                   134.9                       442.49407
                  135.16                       471.03776
                  135.42                       500.39703
                  135.68                        530.1743
                  135.94                       559.81193
                   136.2                       588.57791
                  136.46                       615.57412
                  136.72                       639.77919
                  136.98                       660.13353
                  137.24                       675.66263
                   137.5                       685.61731
                  137.76                       689.59535
                  138.02                       687.60689
                  138.28                       680.06197
                  138.54                       667.68646
                   138.8                       651.39588
                  139.06                        632.1648
                  139.32                       610.92091
                  139.58                       588.47696
                  139.84                        565.4996
                   140.1                       542.50587
                  140.36                       519.87687
                  140.62                       497.87932
                  140.88                       476.68908
                  141.14                       456.41305
                   141.4                       437.10782
                  141.66                       418.79469
                  141.92                        401.4713
                  142.18                        385.1203
                  142.44                       369.71563
                   142.7                       355.22718
                  142.96                       341.62406
                  143.22                       328.87704
                  143.48                       316.96028
                  143.74                       305.85257
                     144                        295.5382
                  144.26                       286.00742
                  144.52                       277.25669
                  144.78                       269.28865
                  145.04                       262.11188
                   145.3                       255.74047
                  145.56                       250.19318
                  145.82                       245.49235
                  146.08                       241.66222
                  146.34                       238.72671
                   146.6                       236.70668
                  146.86                       235.61652
                  147.12                       235.46032
                  147.38                       236.22754
                  147.64                       237.88846
                   147.9                       240.38949
                  148.16                       243.64869
                  148.42                       247.55185
                  148.68                       251.94969
                  148.94                       256.65702
                   149.2                        261.4547
                  149.46                       266.09542
                  149.72                       270.31415
                  149.98                       273.84311
                  150.24                       276.43067
                   150.5                        277.8617
                  150.76                       277.97631
                  151.02                       276.68339
                  151.28                        273.9661
                  151.54                       269.87842
                   151.8                       264.53369
                  152.06                       258.08795
                  152.32                        250.7216
                  152.58                       242.62232
                  152.84                       233.97149
                   153.1                       224.93475
                  153.36                       215.65679
                  153.62                       206.25942
                  153.88                       196.84212
                  154.14                        187.4841
                   154.4                       178.24725
                  154.66                       169.17931
                  154.92                       160.31708
                  155.18                       151.68938
                  155.44                       143.31986
                   155.7                       135.22942
                  155.96                       127.43857
                  156.22                       119.96959
                  156.48                       112.84865
                  156.74                       106.10798
                     157                       99.787947
                  157.26                       93.939058
                  157.52                       88.623559
                  157.78                       83.916094
