        Frequency / MHz                Port 1 [1] (Mesh Pass=3)/arg,degrees
----------------------------------------------------------------------
                      40                      -32.647328
                   40.26                      -37.514396
                   40.52                      -41.769869
                   40.78                       -45.47333
                   41.04                      -48.690708
                    41.3                      -51.486007
                   41.56                      -53.917413
                   41.82                       -56.03604
                   42.08                      -57.885936
                   42.34                      -59.504563
                    42.6                      -60.923403
                   42.86                       -62.16862
                   43.12                      -63.261792
                   43.38                      -64.220719
                   43.64                      -65.060198
                    43.9                      -65.792663
                   44.16                      -66.428613
                   44.42                      -66.976827
                   44.68                      -67.444464
                   44.94                      -67.837163
                    45.2                      -68.159222
                   45.46                      -68.413855
                   45.72                      -68.603438
                   45.98                      -68.729658
                   46.24                      -68.793504
                    46.5                      -68.795149
                   46.76                      -68.733794
                   47.02                      -68.607579
                   47.28                      -68.413604
                   47.54                      -68.147989
                    47.8                      -67.805898
                   48.06                      -67.381393
                   48.32                      -66.867107
                   48.58                      -66.253792
                   48.84                      -65.529838
                    49.1                      -64.680869
                   49.36                      -63.689399
                   49.62                      -62.534478
                   49.88                      -61.191199
                   50.14                      -59.630036
                    50.4                       -57.81621
                   50.66                      -55.709504
                   50.92                      -53.265294
                   51.18                       -50.43773
                   51.44                       -47.18623
                    51.7                      -43.486337
                   51.96                      -39.345377
                   52.22                      -34.821379
                   52.48                      -30.039979
                   52.74                      -25.199966
                      53                      -20.557963
                   53.26                      -16.390885
                   53.52                      -12.947952
                   53.78                      -10.410811
                   54.04                      -8.8735781
                    54.3                      -8.3416471
                   54.56                      -8.7408191
                   54.82                      -9.9299886
                   55.08                      -11.716035
                   55.34                      -13.872716
                    55.6                      -16.163964
                   55.86                       -18.36798
                   56.12                       -20.29598
                   56.38                      -21.800965
                   56.64                       -22.77606
                    56.9                      -23.145723
                   57.16                      -22.854386
                   57.42                      -21.856453
                   57.68                      -20.110213
                   57.94                      -17.577267
                    58.2                      -14.228485
                   58.46                      -10.056972
                   58.72                      -5.0969362
                   58.98                       0.5561123
                   59.24                       6.7332662
                    59.5                       13.199802
                   59.76                         19.6876
                   60.02                        25.94291
                   60.28                       31.768773
                   60.54                       37.045221
                    60.8                        41.72528
                   61.06                        45.81646
                   61.32                       49.359227
                   61.58                       52.409346
                   61.84                       55.026171
                    62.1                       57.266099
                   62.36                       59.179583
                   62.62                       60.810205
                   62.88                       62.194767
                   63.14                       63.363779
                    63.4                        64.34207
                   63.66                         65.1494
                   63.92                       65.801041
                   64.18                       66.308301
                   64.44                       66.678947
                    64.7                       66.917472
                   64.96                       67.025163
                   65.22                        66.99996
                   65.48                       66.836076
                   65.74                        66.52339
                      66                       66.046546
                   66.26                       65.383654
                   66.52                       64.504383
                   66.78                       63.367114
                   67.04                       61.914696
                    67.3                       60.068082
                   67.56                        57.71688
                   67.82                       54.705538
                   68.08                       50.814065
                   68.34                       45.734578
                    68.6                        39.05497
                   68.86                       30.291491
                   69.12                       19.073229
                   69.38                        5.588626
                   69.64                      -8.9605917
                    69.9                      -22.719694
                   70.16                      -34.329161
                   70.42                      -43.460743
                   70.68                       -50.43315
                   70.94                      -55.730003
                    71.2                      -59.778488
                   71.46                      -62.901465
                   71.72                      -65.330071
                   71.98                      -67.227217
                   72.24                      -68.707669
                    72.5                      -69.852576
                   72.76                       -70.71939
                   73.02                      -71.348486
                   73.28                      -71.767526
                   73.54                      -71.994287
                    73.8                      -72.038439
                   74.06                      -71.902561
                   74.32                      -71.582603
                   74.58                      -71.067864
                   74.84                      -70.340527
                    75.1                      -69.374752
                   75.36                      -68.135295
                   75.62                      -66.575672
                   75.88                      -64.635961
                   76.14                       -62.24058
                    76.4                      -59.296851
                   76.66                      -55.696178
                   76.92                       -51.32131
                   77.18                      -46.065389
                   77.44                      -39.869286
                    77.7                      -32.778067
                   77.96                      -24.998406
                   78.22                      -16.912698
                   78.48                       -9.008423
                   78.74                      -1.7427368
                      79                       4.5734834
                   79.26                        9.808382
                   79.52                       13.970599
                   79.78                       17.148743
                   80.04                       19.462888
                    80.3                       21.036402
                   80.56                        21.98358
                   80.82                       22.406405
                   81.08                       22.395577
                   81.34                       22.032975
                    81.6                       21.394087
                   81.86                       20.549738
                   82.12                        19.56687
                   82.38                       18.508406
                   82.64                       17.432402
                    82.9                       16.390778
                   83.16                       15.427939
                   83.42                        14.57957
                   83.68                       13.871792
                   83.94                       13.320777
                    84.2                       12.932859
                   84.46                       12.705088
                   84.72                       12.626149
                   84.98                       12.677551
                   85.24                       12.834956
                    85.5                       13.069575
                   85.76                       13.349524
                   86.02                       13.641099
