        Frequency / MHz                S1,1 (Mesh Pass=3)/abs,dB
----------------------------------------------------------------------
                      40                      -3.0005887
               40.259998                      -2.9994286
                   40.52                      -2.9987684
               40.779999                      -2.9986282
               41.040001                      -2.9990546
               41.299999                      -3.0001097
               41.560001                      -3.0018606
                   41.82                      -3.0043633
               42.080002                      -3.0076492
                   42.34                      -3.0117446
               42.599998                      -3.0166774
               42.860001                      -3.0225021
               43.119999                      -3.0292984
               43.380001                      -3.0371651
               43.639999                      -3.0461983
               43.900002                      -3.0564772
                   44.16                      -3.0680682
               44.419998                      -3.0810327
                   44.68                      -3.0954547
               44.939999                       -3.111452
               45.200001                      -3.1291724
               45.459999                      -3.1487812
               45.720001                      -3.1704384
                   45.98                      -3.1942889
               46.240002                      -3.2204774
                    46.5                      -3.2491615
               46.759998                      -3.2805467
                   47.02                      -3.3148858
               47.279999                      -3.3524824
               47.540001                      -3.3936641
               47.799999                      -3.4387737
               48.060001                      -3.4881702
                   48.32                      -3.5422576
               48.580002                       -3.601527
                   48.84                      -3.6665909
               49.099998                      -3.7382068
               49.360001                      -3.8172816
               49.619999                      -3.9048744
               49.880001                      -4.0022157
               50.139999                      -4.1107659
               50.400002                      -4.2322962
                   50.66                      -4.3689923
               50.919998                      -4.5235453
                   51.18                      -4.6992143
               51.439999                      -4.8998704
               51.700001                      -5.1300304
               51.959999                      -5.3948937
               52.220001                      -5.7003715
                   52.48                      -6.0530344
               52.740002                      -6.4598758
                      53                      -6.9276958
               53.259998                      -7.4618545
                   53.52                      -8.0640078
               53.779999                      -8.7283126
               54.040001                      -9.4355499
               54.299999                      -10.145338
               54.560001                      -10.789468
                   54.82                      -11.275347
               55.080002                      -11.511867
                   55.34                       -11.45396
               55.599998                      -11.130088
               55.860001                      -10.622741
               56.119999                      -10.023891
               56.380001                      -9.4046891
               56.639999                      -8.8088678
               56.900002                      -8.2585002
                   57.16                      -7.7618807
               57.419998                      -7.3196339
                   57.68                      -6.9285845
               57.939999                      -6.5839569
               58.200001                      -6.2805228
               58.459999                      -6.0131613
               58.720001                      -5.7770998
                   58.98                      -5.5680317
               59.240002                      -5.3821447
                    59.5                      -5.2161395
               59.759998                      -5.0671906
                   60.02                      -4.9328931
               60.279999                      -4.8111894
               60.540001                      -4.7002983
               60.799999                       -4.598661
               61.060001                      -4.5049098
                   61.32                      -4.4178523
               61.580002                      -4.3364676
                   61.84                      -4.2598919
               62.099998                      -4.1873913
               62.360001                      -4.1183391
               62.619999                      -4.0521818
               62.880001                      -3.9884297
               63.139999                      -3.9266491
               63.400002                      -3.8664651
                   63.66                      -3.8075745
               63.919998                       -3.749735
                   64.18                      -3.6927617
               64.440002                      -3.6365096
               64.699997                       -3.580865
               64.959999                      -3.5257333
               65.220001                       -3.471048
               65.480003                      -3.4167698
               65.739998                       -3.362897
                      66                      -3.3094623
               66.260002                      -3.2565288
               66.519997                      -3.2041759
               66.779999                      -3.1524955
               67.040001                      -3.1015892
               67.300003                      -3.0515677
               67.559998                      -3.0025575
                   67.82                      -2.9547051
               68.080002                      -2.9081763
               68.339996                      -2.8631544
               68.599998                      -2.8198278
               68.860001                       -2.778393
               69.120003                      -2.7390511
               69.379997                      -2.7020084
               69.639999                      -2.6674861
               69.900002                      -2.6357203
               70.160004                      -2.6069689
               70.419998                      -2.5815011
                   70.68                      -2.5596015
               70.940002                      -2.5415675
               71.199997                      -2.5277078
               71.459999                        -2.51835
               71.720001                      -2.5138479
               71.980003                      -2.5145864
               72.239998                      -2.5209845
                    72.5                      -2.5334953
               72.760002                      -2.5526098
               73.019997                       -2.578851
               73.279999                      -2.6127883
               73.540001                      -2.6550327
               73.800003                      -2.7062514
               74.059998                      -2.7671728
                   74.32                      -2.8385861
               74.580002                      -2.9213487
               74.839996                      -3.0163771
               75.099998                      -3.1246506
               75.360001                      -3.2472114
               75.620003                      -3.3851628
               75.879997                      -3.5396694
               76.139999                      -3.7119523
               76.400002                      -3.9032819
               76.660004                      -4.1149607
               76.919998                      -4.3483103
                   77.18                      -4.6046497
               77.440002                      -4.8852736
               77.699997                      -5.1914318
               77.959999                      -5.5243064
               78.220001                       -5.884986
               78.480003                      -6.2744352
               78.739998                      -6.6934603
                      79                       -7.142681
               79.260002                      -7.6224846
               79.519997                      -8.1329917
               79.779999                      -8.6740169
               80.040001                      -9.2450172
               80.300003                      -9.8450384
               80.559998                      -10.472639
                   80.82                      -11.125795
               81.080002                      -11.801761
               81.339996                      -12.496908
               81.599998                      -13.206525
               81.860001                      -13.924568
               82.120003                      -14.643392
               82.379997                      -15.353479
               82.639999                      -16.043199
               82.900002                       -16.69873
               83.160004                      -17.304248
               83.419998                      -17.842578
                   83.68                      -18.296445
               83.940002                      -18.650286
               84.199997                       -18.89237
               84.459999                      -19.016631
               84.720001                      -19.023625
               84.980003                      -18.920246
               85.239998                      -18.718325
                    85.5                      -18.432666
               85.760002                      -18.079088
               86.019997                      -17.672913
               86.279999                      -17.228029
               86.540001                      -16.756433
               86.800003                      -16.268158
               87.059998                      -15.771376
                   87.32                      -15.272632
               87.580002                      -14.777084
               87.839996                      -14.288752
               88.099998                       -13.81074
               88.360001                      -13.345411
               88.620003                      -12.894541
               88.879997                      -12.459435
               89.139999                      -12.041019
               89.400002                      -11.639919
               89.660004                      -11.256525
               89.919998                      -10.891039
                   90.18                      -10.543525
               90.440002                      -10.213934
               90.699997                      -9.9021284
               90.959999                      -9.6079014
               91.220001                      -9.3309839
               91.480003                       -9.071056
               91.739998                      -8.8277616
                      92                      -8.6007119
               92.260002                      -8.3895039
               92.519997                      -8.1937209
               92.779999                      -8.0129416
               93.040001                      -7.8467396
               93.300003                      -7.6946838
               93.559998                      -7.5563456
                   93.82                      -7.4312944
               94.080002                      -7.3191138
               94.339996                      -7.2193943
               94.599998                       -7.131747
               94.860001                      -7.0558023
               95.120003                      -6.9912091
               95.379997                      -6.9376305
               95.639999                      -6.8947511
               95.900002                      -6.8622678
               96.160004                      -6.8398981
               96.419998                      -6.8273773
                   96.68                      -6.8244584
               96.940002                      -6.8309151
               97.199997                      -6.8465287
               97.459999                      -6.8710924
               97.720001                      -6.9044025
               97.980003                      -6.9462568
               98.239998                      -6.9964475
                    98.5                      -7.0547631
               98.760002                      -7.1209818
               99.019997                      -7.1948653
               99.279999                      -7.2761498
               99.540001                      -7.3645361
               99.800003                      -7.4596879
                  100.06                      -7.5612147
                  100.32                      -7.6686719
                  100.58                      -7.7815517
                  100.84                      -7.8992725
                   101.1                      -8.0211778
                  101.36                      -8.1465211
                  101.62                      -8.2744625
                  101.88                      -8.4040657
                  102.14                      -8.5342959
                   102.4                      -8.6640261
                  102.66                      -8.7920492
