        Frequency / MHz                S1,1 (Mesh Pass=3)/arg,degrees
----------------------------------------------------------------------
                      40                      -13.047505
               40.259998                      -15.688855
                   40.52                      -18.331918
               40.779999                      -20.977116
               41.040001                      -23.624916
               41.299999                      -26.275732
               41.560001                      -28.929853
                   41.82                      -31.587501
               42.080002                       -34.24893
                   42.34                      -36.914558
               42.599998                      -39.584968
               42.860001                      -42.260879
               43.119999                      -44.943012
               43.380001                       -47.63199
               43.639999                      -50.328322
               43.900002                      -53.032474
                   44.16                      -55.745039
               44.419998                      -58.466787
                   44.68                      -61.198692
               44.939999                      -63.941798
               45.200001                      -66.697119
               45.459999                      -69.465545
               45.720001                      -72.247875
                   45.98                      -75.044934
               46.240002                      -77.857866
                    46.5                      -80.687819
               46.759998                       -83.53639
                   47.02                      -86.405165
               47.279999                      -89.295667
               47.540001                      -92.209241
               47.799999                      -95.147417
               48.060001                       -98.11189
                   48.32                      -101.10457
               48.580002                      -104.12795
                   48.84                      -107.18459
               49.099998                      -110.27721
               49.360001                      -113.40837
               49.619999                      -116.58055
               49.880001                      -119.79604
               50.139999                      -123.05714
               50.400002                      -126.36598
                   50.66                      -129.72402
               50.919998                      -133.13133
                   51.18                      -136.58549
               51.439999                      -140.08043
               51.700001                        -143.605
               51.959999                      -147.14112
               52.220001                      -150.66134
                   52.48                      -154.12478
               52.740002                      -157.47203
                      53                      -160.61821
               53.259998                      -163.44469
                   53.52                      -165.79082
               53.779999                      -167.44914
               54.040001                      -168.17174
               54.299999                      -167.70469
               54.560001                      -165.87523
                   54.82                      -162.74147
               55.080002                      -158.73448
                   55.34                       -154.6201
               55.599998                      -151.20182
               55.860001                      -148.99263
               56.119999                      -148.12618
               56.380001                      -148.47866
               56.639999                      -149.82423
               56.900002                      -151.93245
                   57.16                      -154.60796
               57.419998                      -157.69893
                   57.68                      -161.09218
               57.939999                      -164.70509
               58.200001                       -168.4778
               58.459999                      -172.36715
               58.720001                       -176.3423
                   58.98                       179.61857
               59.240002                        175.5305
                    59.5                       171.40374
               59.759998                       167.24504
                   60.02                       163.05901
               60.279999                        158.8487
               60.540001                       154.61629
               60.799999                       150.36309
               61.060001                       146.08991
                   61.32                       141.79699
               61.580002                       137.48429
                   61.84                        133.1517
               62.099998                       128.79916
               62.360001                       124.42678
               62.619999                       120.03488
               62.880001                       115.62389
               63.139999                        111.1943
               63.400002                       106.74656
                   63.66                       102.28128
               63.919998                       97.799174
                   64.18                       93.301057
               64.440002                       88.788051
               64.699997                       84.261438
               64.959999                        79.72245
               65.220001                       75.172369
               65.480003                       70.612506
               65.739998                       66.044068
                      66                       61.468307
               66.260002                       56.886395
               66.519997                       52.299649
               66.779999                       47.709301
               67.040001                       43.116435
               67.300003                       38.522039
               67.559998                       33.926905
                   67.82                        29.33161
               68.080002                        24.73664
               68.339996                       20.142328
               68.599998                       15.548834
               68.860001                       10.956214
               69.120003                       6.3642506
               69.379997                       1.7725881
               69.639999                      -2.8194573
               69.900002                      -7.4127869
               70.160004                      -12.008412
               70.419998                      -16.607643
                   70.68                      -21.211819
               70.940002                      -25.822579
               71.199997                      -30.441642
               71.459999                      -35.071036
               71.720001                      -39.713051
               71.980003                      -44.370041
               72.239998                      -49.044484
                    72.5                      -53.739173
               72.760002                      -58.456783
               73.019997                      -63.200188
               73.279999                      -67.972388
               73.540001                      -72.776332
               73.800003                       -77.61511
               74.059998                      -82.491838
                   74.32                      -87.409492
               74.580002                      -92.370915
               74.839996                      -97.378755
               75.099998                      -102.43544
               75.360001                      -107.54317
               75.620003                      -112.70357
               75.879997                      -117.91812
               76.139999                      -123.18747
               76.400002                      -128.51185
