        Frequency / MHz                Port 1 [1] (Mesh Pass=3)/abs,linear
----------------------------------------------------------------------
                      40                       16478.828
                   40.26                       7404.5203
                   40.52                       4603.4386
                   40.78                        3387.329
                   41.04                       2633.9046
                    41.3                       2081.6394
                   41.56                       1674.4423
                   41.82                       1386.0721
                   42.08                       1185.6153
                   42.34                       1042.3458
                    42.6                       930.53025
                   42.86                       832.66932
                   43.12                       742.29748
                   43.38                       662.20057
                   43.64                       598.30796
                    43.9                       555.46108
                   44.16                       537.28072
                   44.42                       547.69181
                   44.68                       591.90935
                   44.94                       675.18673
                    45.2                       794.69975
                   45.46                       918.21834
                   45.72                       979.12637
                   45.98                       950.99241
                   46.24                       880.04942
                    46.5                       808.22815
                   46.76                       745.89928
                   47.02                       689.53099
                   47.28                       635.65574
                   47.54                       584.95113
                    47.8                       540.11262
                   48.06                       502.76896
                   48.32                       472.36713
                   48.58                       446.71296
                   48.84                       423.22862
                    49.1                       400.26356
                   49.36                       377.69045
                   49.62                       356.41006
                   49.88                       337.34311
                   50.14                       320.73067
                    50.4                       306.02889
                   50.66                       292.27496
                   50.92                       278.66349
                   51.18                       264.96718
                   51.44                         251.519
                    51.7                       238.83766
                   51.96                       227.23029
                   52.22                       216.61334
                   52.48                       206.59271
                   52.74                       196.71811
                      53                       186.74488
                   53.26                       176.72947
                   53.52                       166.91708
                   53.78                       157.53846
                   54.04                       148.66149
                    54.3                       140.16605
                   54.56                       131.83153
                   54.82                       123.47189
                   55.08                       115.02974
                   55.34                       106.57573
                    55.6                       98.233199
                   55.86                        90.09101
                   56.12                       82.154874
                   56.38                       74.352423
                   56.64                        66.57885
                    56.9                       58.752032
                   57.16                       50.845171
                   57.42                       42.884466
                   57.68                        34.92372
                   57.94                       27.018257
                    58.2                       19.221398
                   58.46                       11.665727
                   58.72                       5.4087192
                   58.98                       7.1962936
                   59.24                       14.505493
                    59.5                       22.684649
                   59.76                       31.216997
                   60.02                       39.987633
                   60.28                       48.937684
                   60.54                       58.036052
                    60.8                        67.29112
                   61.06                       76.761738
                   61.32                        86.54869
                   61.58                        96.76149
                   61.84                        107.4733
                    62.1                       118.68827
                   62.36                       130.34467
