        Frequency / MHz                Port 1 [1] (Mesh Pass=3)/arg,degrees
----------------------------------------------------------------------
                      40                      -12.154576
                   40.26                      -52.918035
                   40.52                      -62.184259
                   40.78                      -67.818594
                   41.04                      -72.751252
                    41.3                      -76.279557
                   41.56                      -77.738791
                   41.82                       -77.41867
                   42.08                      -76.137752
                   42.34                      -74.695826
                    42.6                      -73.513798
                   42.86                       -72.43118
                   43.12                      -70.806835
                   43.38                      -67.943542
                   43.64                      -63.476177
                    43.9                       -57.47264
                   44.16                      -50.394573
                   44.42                      -43.096436
                   44.68                      -36.850921
                   44.94                      -33.307776
                    45.2                      -34.259716
                   45.46                      -40.725958
                   45.72                      -51.014278
                   45.98                      -60.966191
                   46.24                      -68.145066
                    46.5                      -72.961403
                   46.76                      -76.563253
                   47.02                      -79.592296
                   47.28                      -82.085056
                   47.54                      -83.856418
                    47.8                      -84.873332
                   48.06                      -85.352083
                   48.32                      -85.634114
                   48.58                      -86.001132
                   48.84                      -86.540206
                    49.1                      -87.133311
                   49.36                      -87.581061
                   49.62                      -87.762633
                   49.88                      -87.712032
                   50.14                      -87.580838
                    50.4                      -87.535127
                   50.66                      -87.652776
                   50.92                      -87.882157
                   51.18                      -88.089935
                   51.44                      -88.160024
                    51.7                      -88.068304
                   51.96                      -87.888709
                   52.22                      -87.739294
                   52.48                      -87.706151
                   52.74                      -87.791147
                      53                      -87.916951
                   53.26                      -87.983755
                   53.52                      -87.934184
                   53.78                      -87.783635
                   54.04                      -87.603769
                    54.3                      -87.474469
                   54.56                      -87.433655
                   54.82                      -87.455283
                   55.08                      -87.468151
                   55.34                      -87.399628
                    55.6                      -87.214215
                   55.86                      -86.926338
                   56.12                      -86.584568
                   56.38                      -86.237282
                   56.64                      -85.896879
                    56.9                      -85.519086
                   57.16                      -85.001597
                   57.42                      -84.187916
                   57.68                      -82.846262
                   57.94                      -80.562403
                    58.2                      -76.328641
                   58.46                      -66.553619
                   58.72                      -29.724427
                   58.98                       49.151638
                   59.24                       71.115126
                    59.5                       78.038104
                   59.76                       81.214756
                   60.02                       82.933704
                   60.28                       83.954973
                   60.54                       84.624556
                    60.8                       85.129816
                   61.06                       85.569588
                   61.32                       85.976793
                   61.58                       86.336346
                   61.84                         86.6111
                    62.1                       86.772181
                   62.36                       86.823041
                   62.62                       86.806629
                   62.88                       86.789721
                   63.14                        86.82879
                    63.4                       86.935928
                   63.66                        87.06833
                   63.92                       87.151128
                   64.18                       87.121744
                   64.44                       86.971287
                    64.7                       86.757968
                   64.96                       86.577794
                   65.22                       86.503133
                   65.48                       86.528524
                   65.74                       86.563839
                      66                       86.482013
                   66.26                       86.194941
                   66.52                       85.716203
                   66.78                       85.166927
                   67.04                       84.702145
                    67.3                       84.393449
                   67.56                       84.150088
                   67.82                       83.732195
                   68.08                       82.845413
                   68.34                       81.274074
                    68.6                       78.985772
                   68.86                       76.084244
                   69.12                       72.477166
                   69.38                       67.152336
                   69.64                       56.361533
                    69.9                       27.717777
                   70.16                      -23.318876
                   70.42                      -50.900504
                   70.68                      -61.924479
                   70.94                      -67.903382
                    71.2                      -72.059826
                   71.46                      -75.126499
                   71.72                      -77.190182
                   71.98                       -78.34347
                   72.24                      -78.837269
                    72.5                      -79.003839
                   72.76                      -79.126997
                   73.02                      -79.342554
                   73.28                      -79.612177
                   73.54                      -79.787966
                    73.8                      -79.727286
                   74.06                        -79.3785
                   74.32                      -78.791499
                   74.58                      -78.066776
                   74.84                      -77.283662
                    75.1                      -76.446572
                   75.36                      -75.475193
                   75.62                      -74.239154
                   75.88                      -72.609277
                   76.14                      -70.491389
                    76.4                       -67.82817
                   76.66                      -64.576595
                   76.92                      -60.678473
                   77.18                      -56.043621
                   77.44                      -50.564936
                    77.7                      -44.179908
                   77.96                      -36.975202
                   78.22                      -29.287328
                   78.48                      -21.700782
                   78.74                      -14.876848
                      79                      -9.3028544
                   79.26                      -5.1456515
                   79.52                      -2.2837063
                   79.78                     -0.45075173
                   80.04                      0.60866213
                    80.3                       1.0473821
                   80.56                      0.92421548
                   80.82                       0.2926437
                   81.08                     -0.70191101
                   81.34                      -1.7973567
                    81.6                      -2.6929705
                   81.86                      -3.1743561
                   82.12                      -3.1865559
                   82.38                      -2.8033745
                   82.64                      -2.1236058
                    82.9                      -1.1709715
                   83.16                      0.13433764
                   83.42                       1.9155518
                   83.68                       4.2359523
                   83.94                       7.0267118
                    84.2                       10.095235
                   84.46                       13.206985
                   84.72                       16.186691
                   84.98                       18.975299
                   85.24                       21.610206
                    85.5                       24.146351
                   85.76                       26.573414
                   86.02                       28.784589
                   86.28                       30.614523
                   86.54                       31.919274
                    86.8                       32.650622
                   87.06                       32.880787
                   87.32                       32.752887
                   87.58                       32.373022
                   87.84                       31.708889
                    88.1                       30.566931
                   88.36                       28.671169
                   88.62                       25.810445
                   88.88                       21.977962
                   89.14                       17.387423
                    89.4                       12.291575
                   89.66                       6.7274204
                   89.92                       0.4567766
                   90.18                      -6.7665775
