        Frequency / MHz                S1,1 (Mesh Pass=3)/abs,dB
----------------------------------------------------------------------
                      40                     -0.10305676
               40.259998                      -0.1414468
                   40.52                     -0.17603113
               40.779999                     -0.19348354
               41.040001                     -0.19532026
               41.299999                     -0.19751453
               41.560001                     -0.21958965
                   41.82                     -0.27167741
               42.080002                     -0.34875577
                   42.34                     -0.43624377
               42.599998                      -0.5243755
               42.860001                     -0.62185111
               43.119999                     -0.75757493
               43.380001                     -0.96713005
               43.639999                      -1.2703528
               43.900002                      -1.6483529
                   44.16                      -2.0282723
               44.419998                      -2.2931909
                   44.68                      -2.3381984
               44.939999                      -2.1467594
               45.200001                      -1.8040183
               45.459999                      -1.4297234
               45.720001                      -1.1106958
                   45.98                     -0.87984628
               46.240002                     -0.72714718
                    46.5                     -0.62136004
               46.759998                     -0.53229685
                   47.02                     -0.44614257
               47.279999                     -0.36745729
               47.540001                     -0.30893234
               47.799999                     -0.27797379
               48.060001                       -0.269417
                   48.32                     -0.26803523
               48.580002                     -0.25832665
                   48.84                      -0.2346633
               49.099998                     -0.20434331
               49.360001                     -0.18143462
               49.619999                     -0.17642034
               49.880001                     -0.18900559
               50.139999                     -0.20840585
               50.400002                     -0.22062447
                   50.66                      -0.2179599
               50.919998                      -0.2041306
                   51.18                     -0.19130953
               51.439999                     -0.19152395
               51.700001                     -0.20864568
               51.959999                     -0.23600835
               52.220001                     -0.26085228
                   52.48                     -0.27275844
               52.740002                     -0.27055441
                      53                     -0.26285489
               53.259998                     -0.26204018
                   53.52                     -0.27616653
               53.779999                     -0.30409591
               54.040001                     -0.33653605
               54.299999                     -0.36212223
               54.560001                      -0.3747604
                   54.82                     -0.37746743
               55.080002                      -0.3802089
                   55.34                     -0.39354537
               55.599998                     -0.42241695
               55.860001                     -0.46365137
               56.119999                     -0.50820484
               56.380001                     -0.54658216
               56.639999                     -0.57422779
               56.900002                      -0.5936956
                   57.16                     -0.61250454
               57.419998                      -0.6383686
                   57.68                     -0.67474332
               57.939999                     -0.71889553
               58.200001                     -0.76304183
               58.459999                     -0.79775316
               58.720001                     -0.81597107
                   58.98                     -0.81583372
               59.240002                     -0.80105445
                    59.5                     -0.77886749
               59.759998                      -0.7566153
                   60.02                     -0.73851838
               60.279999                      -0.7239663
               60.540001                      -0.7080842
               60.799999                     -0.68452726
               61.060001                     -0.64937729
                   61.32                     -0.60407433
               61.580002                     -0.55547743
                   61.84                     -0.51271278
               62.099998                     -0.48247475
               62.360001                     -0.46539382
               62.619999                     -0.45558213
               62.880001                      -0.4438603
               63.139999                     -0.42318289
               63.400002                     -0.39306016
                   63.66                     -0.35999648
               63.919998                     -0.33346707
                   64.18                     -0.31999864
               64.440002                     -0.31904282
               64.699997                     -0.32313357
               64.959999                     -0.32237206
               65.220001                     -0.31068957
               65.480003                     -0.28981784
               65.739998                     -0.26814849
                      66                     -0.25519533
               66.260002                     -0.25542824
               66.519997                     -0.26538507
               66.779999                     -0.27581491
               67.040001                      -0.2776396
               67.300003                     -0.26798599
               67.559998                     -0.25213136
                   67.82                     -0.23992984
               68.080002                     -0.23926575
               68.339996                     -0.25094418
               68.599998                     -0.26819466
               68.860001                      -0.2810936
               69.120003                     -0.28318495
               69.379997                     -0.27588073
               69.639999                     -0.26750881
               69.900002                     -0.26771465
               70.160004                       -0.281156
               70.419998                     -0.30460319
                   70.68                     -0.32917172
               70.940002                     -0.34631355
               71.199997                     -0.35371233
               71.459999                     -0.35699307
               71.720001                     -0.36605263
               71.980003                     -0.38868716
               72.239998                     -0.42583729
                    72.5                       -0.471378
               72.760002                     -0.51655413
               73.019997                     -0.55628738
               73.279999                     -0.59321213
               73.540001                     -0.63666278
               73.800003                     -0.69747542
               74.059998                     -0.78226099
                   74.32                     -0.89083946
               74.580002                      -1.0183214
               74.839996                      -1.1606308
               75.099998                      -1.3201978
               75.360001                      -1.5083678
               75.620003                       -1.743276
               75.879997                       -2.045091
               76.139999                      -2.4319547
               76.400002                        -2.91903
               76.660004                      -3.5211572
               76.919998                      -4.2579309
                   77.18                      -5.1591121
               77.440002                      -6.2683144
               77.699997                      -7.6435918
               77.959999                      -9.3524264
               78.220001                      -11.448088
               78.480003                      -13.867841
               78.739998                      -16.088152
                      79                      -16.863622
               79.260002                      -15.898289
               79.519997                      -14.388142
               79.779999                      -13.029589
               80.040001                      -11.935806
               80.300003                      -11.067998
               80.559998                      -10.385801
                   80.82                       -9.872912
               81.080002                      -9.5262868
               81.339996                      -9.3392839
               81.599998                       -9.290671
               81.860001                      -9.3435437
               82.120003                      -9.4547009
               82.379997                      -9.5905438
               82.639999                      -9.7386138
               82.900002                      -9.9028891
               83.160004                      -10.082415
               83.419998                      -10.247032
                   83.68                      -10.330093
               83.940002                      -10.254217
               84.199997                      -9.9813903
               84.459999                      -9.5408827
               84.720001                      -9.0027322
               84.980003                      -8.4292839
               85.239998                      -7.8508305
                    85.5                       -7.272356
               85.760002                      -6.6936235
               86.019997                      -6.1242526
               86.279999                      -5.5848841
               86.540001                      -5.0975018
               86.800003                      -4.6744084
               87.059998                      -4.3131024
                   87.32                      -3.9989251
               87.580002                      -3.7135446
               87.839996                      -3.4446834
               88.099998                      -3.1914858
               88.360001                      -2.9622972
               88.620003                      -2.7668704
               88.879997                      -2.6084165
               89.139999                      -2.4802906
               89.400002                      -2.3689398
               89.660004                      -2.2613423
               89.919998                      -2.1523289
                   90.18                      -2.0468361
               90.440002                      -1.9555037
               90.699997                      -1.8868256
               90.959999                      -1.8410925
               91.220001                       -1.809748
               91.480003                      -1.7804633
               91.739998                      -1.7448805
                      92                       -1.703911
               92.260002                      -1.6668247
               92.519997                       -1.644793
               92.779999                      -1.6434465
               93.040001                      -1.6592154
               93.300003                       -1.681591
               93.559998                      -1.6999947
                   93.82                      -1.7109591
               94.080002                      -1.7206918
               94.339996                      -1.7411534
               94.599998                      -1.7825137
               94.860001                      -1.8470231
               95.120003                      -1.9280439
               95.379997                       -2.014772
               95.639999                      -2.0999431
               95.900002                      -2.1855965
               96.160004                      -2.2829179
               96.419998                      -2.4063345
                   96.68                      -2.5659689
               96.940002                      -2.7631887
               97.199997                      -2.9917156
               97.459999                      -3.2437625
               97.720001                      -3.5178283
               97.980003                      -3.8234353
               98.239998                      -4.1797705
                    98.5                      -4.6093962
               98.760002                      -5.1310524
               99.019997                      -5.7553803
               99.279999                      -6.4850908
               99.540001                      -7.3186995
               99.800003                      -8.2544643
                  100.06                      -9.2884509
                  100.32                      -10.398515
                  100.58                      -11.507047
                  100.84                       -12.43263
                   101.1                      -12.904461
                  101.36                       -12.74452
                  101.62                      -12.051709
                  101.88                      -11.085503
                  102.14                      -10.053485
                   102.4                      -9.0609131
                  102.66                      -8.1519592
                  102.92                      -7.3469343
                  103.18                      -6.6567241
                  103.44                      -6.0835199
                   103.7                      -5.6180796
                  103.96                      -5.2396329
                  104.22                      -4.9208808
                  104.48                      -4.6372769
                  104.74                      -4.3762405
                     105                      -4.1403617
                  105.26                      -3.9419558
                  105.52                      -3.7924094
                  105.78                      -3.6928937
                  106.04                      -3.6314585
                   106.3                      -3.5881695
