        Frequency / MHz                S1,1 (Mesh Pass=3)/arg,degrees
----------------------------------------------------------------------
                      40                     -0.14641698
               40.259998                      -1.2346585
                   40.52                      -2.2015869
               40.779999                      -3.1321932
               41.040001                       -4.153675
               41.299999                      -5.3445991
               41.560001                      -6.6809521
                   41.82                      -8.0575173
               42.080002                      -9.3665448
                   42.34                      -10.580345
               42.599998                        -11.7776
               42.860001                      -13.079962
               43.119999                      -14.529171
               43.380001                      -15.984459
               43.639999                      -17.102521
               43.900002                      -17.419198
                   44.16                      -16.546091
               44.419998                      -14.472087
                   44.68                      -11.782824
               44.939999                      -9.4424449
               45.200001                      -8.1916969
               45.459999                      -8.1839407
               45.720001                      -9.1153224
                   45.98                      -10.532954
               46.240002                      -12.061883
                    46.5                      -13.510449
               46.759998                      -14.872542
                   47.02                      -16.246605
               47.279999                      -17.721115
               47.540001                      -19.299201
               47.799999                      -20.902013
               48.060001                      -22.431828
                   48.32                      -23.844417
               48.580002                      -25.182292
                   48.84                      -26.546133
               49.099998                      -28.024964
               49.360001                      -29.637554
               49.619999                      -31.326249
               49.880001                      -33.002359
               50.139999                      -34.609824
               50.400002                      -36.166045
                   50.66                      -37.752821
               50.919998                      -39.462422
                   51.18                      -41.337747
               51.439999                      -43.349233
               51.700001                      -45.421283
               51.959999                      -47.487479
               52.220001                      -49.538991
                   52.48                        -51.6357
               52.740002                      -53.871967
                      53                      -56.319722
               53.259998                      -58.989857
                   53.52                      -61.836141
               53.779999                      -64.795422
               54.040001                      -67.837479
               54.299999                      -70.993968
               54.560001                      -74.348891
                   54.82                      -77.996593
               55.080002                      -81.995806
                   55.34                      -86.349806
               55.599998                      -91.022475
               55.860001                      -95.976514
               56.119999                      -101.20985
               56.380001                      -106.77074
               56.639999                      -112.74193
               56.900002                      -119.20445
                   57.16                      -126.20171
               57.419998                      -133.72386
                   57.68                      -141.71574
               57.939999                       -150.0999
               58.200001                       -158.8004
               58.459999                      -167.75645
               58.720001                      -176.92082
                   58.98                       173.75447
               59.240002                       164.33687
                    59.5                       154.92415
               59.759998                       145.64211
                   60.02                       136.62752
               60.279999                       128.00279
               60.540001                       119.85052
               60.799999                       112.19831
               61.060001                       105.02194
                   61.32                       98.268572
               61.580002                       91.889776
                   61.84                       85.866943
               62.099998                       80.215944
               62.360001                        74.96853
               62.619999                       70.141388
               62.880001                       65.710428
               63.139999                       61.607422
               63.400002                       57.744076
                   63.66                       54.050721
               63.919998                       50.504952
                   64.18                       47.132121
               64.440002                       43.977121
               64.699997                       41.064999
               64.959999                        38.37366
               65.220001                       35.836543
               65.480003                       33.376204
               65.739998                       30.946022
                      66                       28.553022
               66.260002                       26.245648
               66.519997                       24.076489
               66.779999                       22.062375
               67.040001                       20.167463
               67.300003                       18.321179
               67.559998                       16.460665
                   67.82                       14.568237
               68.080002                        12.67846
               68.339996                       10.851248
               68.599998                       9.1293298
               68.860001                       7.5064765
               69.120003                       5.9279382
               69.379997                       4.3239369
               69.639999                       2.6534366
               69.900002                      0.92804882
               70.160004                     -0.79963394
               70.419998                      -2.4737678
                   70.68                      -4.0751742
               70.940002                      -5.6374293
               71.199997                       -7.227688
               71.459999                      -8.9051012
               71.720001                      -10.684612
               71.980003                      -12.532122
               72.239998                      -14.391628
                    72.5                      -16.226108
               72.760002                      -18.046818
               73.019997                      -19.911377
               73.279999                      -21.891559
               73.540001                      -24.032194
               73.800003                      -26.329761
               74.059998                      -28.743522
                   74.32                      -31.230286
               74.580002                      -33.780596
               74.839996                      -36.434725
               75.099998                      -39.267206
               75.360001                       -42.35016
               75.620003                      -45.717333
               75.879997                       -49.35086
               76.139999                      -53.192565
               76.400002                      -57.168993
               76.660004                       -61.21091
               76.919998                      -65.252088
                   77.18                      -69.199442
               77.440002                      -72.871953
               77.699997                       -75.90423
               77.959999                      -77.587244
               78.220001                       -76.57102
               78.480003                      -70.373636
               78.739998                      -55.666541
                      79                      -33.990009
               79.260002                       -15.87643
               79.519997                       -5.779334
               79.779999                     -0.95992485
               80.040001                       1.1257417
               80.300003                       1.7267437
               80.559998                       1.3881577
                   80.82                      0.40906368
               81.080002                     -0.93380623
               81.339996                      -2.3284486
               81.599998                      -3.4667136
               81.860001                      -4.1201985
               82.120003                      -4.2034176
               82.379997                      -3.7695097
               82.639999                       -2.914725
               82.900002                      -1.6440912
               83.160004                      0.19339362
               83.419998                       2.8239453
                   83.68                       6.3367114
               83.940002                       10.471681
               84.199997                       14.637031
               84.459999                        18.23001
               84.720001                       20.959081
               84.980003                       22.866615
               85.239998                       24.131542
                    85.5                       24.882177
               85.760002                       25.135304
               86.019997                       24.852152
               86.279999                       24.031792
               86.540001                        22.76288
               86.800003                       21.206279
               87.059998                       19.533704
                   87.32                       17.862985
               87.580002                       16.222866
               87.839996                       14.565915
               88.099998                       12.822386
               88.360001                       10.960449
               88.620003                        9.014364
               88.879997                       7.0668038
               89.139999                       5.2003593
               89.400002                       3.4491808
               89.660004                       1.7797735
               89.919998                      0.11435467
                   90.18                      -1.6170982
               90.440002                      -3.4313607
               90.699997                      -5.2839266
               90.959999                      -7.1004558
               91.220001                      -8.8266908
               91.480003                      -10.465881
               91.739998                        -12.0795
                      92                      -13.748689
               92.260002                       -15.52249
               92.519997                      -17.388715
               92.779999                      -19.285651
               93.040001                      -21.145757
               93.300003                      -22.942697
               93.559998                      -24.712836
                   93.82                      -26.536115
               94.080002                      -28.486653
               94.339996                      -30.588356
               94.599998                      -32.804316
               94.860001                      -35.066612
               95.120003                      -37.325055
               95.379997                      -39.586121
               95.639999                      -41.917508
               95.900002                      -44.412579
               96.160004                      -47.138397
               96.419998                      -50.102754
                   96.68                      -53.260211
               96.940002                      -56.552146
               97.199997                      -59.955958
               97.459999                      -63.515962
               97.720001                      -67.337127
               97.980003                      -71.543892
               98.239998                      -76.231313
                    98.5                       -81.44018
               98.760002                      -87.171146
               99.019997                      -93.430332
               99.279999                      -100.28721
               99.540001                      -107.92593
               99.800003                      -116.67721
                  100.06                      -127.02647
                  100.32                      -139.59736
                  100.58                      -155.05883
                  100.84                      -173.77021
                   101.1                       165.00167
                  101.36                       143.52236
                  101.62                       124.29724
                  101.88                       108.40918
                  102.14                       95.601919
                   102.4                       85.141402
                  102.66                       76.321279
                  102.92                       68.623327
                  103.18                       61.737841
                  103.44                       55.526194
                   103.7                        49.95287
                  103.96                       45.008197
                  104.22                       40.641738
                  104.48                       36.733887
                  104.74                       33.119731
                     105                        29.65333
                  105.26                       26.268615
                  105.52                       22.996081
                  105.78                       19.926046
                  106.04                       17.140093
                   106.3                       14.648167
                  106.56                        12.36765
                  106.82                       10.163794
                  107.08                       7.9298299
                  107.34                       5.6516612
                   107.6                       3.4136537
                  107.86                       1.3436148
                  108.12                     -0.46753282
                  108.38                      -2.0288595
                  108.64                      -3.4493749
                   108.9                      -4.8657921
                  109.16                      -6.3430801
                  109.42                      -7.8191118
                  109.68                      -9.1301248
                  109.94                       -10.10034
                   110.2                      -10.646645
                  110.46                      -10.835597
                  110.72                      -10.836853
                  110.98                      -10.789479
                  111.24                      -10.679758
                   111.5                      -10.332294
                  111.76                      -9.5270407
                  112.02                      -8.1790902
                  112.28                      -6.4610512
                  112.54                      -4.7407175
                   112.8                      -3.3432063
                  113.06                      -2.3500421
                  113.32                      -1.6063711
                  113.58                     -0.89745219
                  113.84                     -0.14656858
                   114.1                      0.50295508
                  114.36                      0.78621675
                  114.62                      0.52093215
                  114.88                     -0.26016828
                  115.14                      -1.3375896
                   115.4                      -2.4423317
                  115.66                      -3.4115084
                  115.92                      -4.2800353
                  116.18                      -5.2470801
                  116.44                      -6.5242715
                   116.7                      -8.1777233
                  116.96                      -10.080341
                  117.22                      -11.990608
                  117.48                      -13.697554
                  117.74                      -15.156428
                     118                      -16.533448
                  118.26                      -18.105593
                  118.52                      -20.069192
                  118.78                      -22.406865
                  119.04                      -24.901087
                   119.3                      -27.268703
                  119.56                      -29.341149
                  119.82                      -31.205679
                  120.08                      -33.197688
                  120.34                      -35.700764
                   120.6                       -38.89669
                  120.86                      -42.663401
                  121.12                      -46.664965
                  121.38                      -50.560798
                  121.64                      -54.267673
                   121.9                      -58.174925
                  122.16                      -63.110094
                  122.42                      -70.001808
                  122.68                      -79.577735
                  122.94                      -92.475099
                   123.2                      -109.88279
                  123.46                       -135.1411
                  123.72                      -176.34031
                  123.98                       129.19286
                  124.24                       89.453947
                   124.5                       63.779976
                  124.76                       44.497094
                  125.02                       28.579693
                  125.28                       15.011878
                  125.54                       3.4966169
